Date,Open,High,Low,Close,Volume
2005-01-03,14.67,14.7,14.5,14.54,6863600
2005-01-04,14.58,14.62,14.28,14.42,7440800
2005-01-05,14.45,14.46,14.34,14.4,5112000
2005-01-06,14.5,14.59,14.42,14.52,4183200
2005-01-07,14.52,14.54,14.33,14.48,3062400
2005-01-10,14.48,14.68,14.38,14.48,4755200
2005-01-11,14.61,14.74,14.46,14.51,5910400
2005-01-12,14.57,14.64,14.46,14.52,6937200
2005-01-13,14.58,14.6,14.26,14.28,4628400
2005-01-14,14.34,14.38,14.24,14.32,3761600
2005-01-18,14.32,14.51,14.27,14.49,6358400
2005-01-19,14.52,14.6,14.36,14.38,5594400
2005-01-20,14.38,14.56,14.37,14.5,3383200
2005-01-21,14.48,14.56,14.21,14.25,4725600
2005-01-24,14.26,14.54,14.16,14.39,7258800
2005-01-25,14.35,14.44,13.98,14.13,11516000
2005-01-26,14.22,14.48,14.2,14.47,5002800
2005-01-27,14.52,14.58,14.31,14.36,4312000
2005-01-28,14.54,14.7,14.51,14.59,6068800
2005-01-31,14.62,14.64,14.5,14.57,3356000
2005-02-01,14.54,14.78,14.51,14.74,5202400
2005-02-02,14.79,14.79,14.64,14.71,5651600
2005-02-03,14.76,15.0,14.75,15.0,5326000
2005-02-04,14.69,15.2,14.63,14.9,8458800
2005-02-07,14.9,14.99,14.85,14.86,2030800
2005-02-08,14.88,15.09,14.78,15.03,4733200
2005-02-09,14.98,15.09,14.75,14.78,5512000
2005-02-10,14.84,14.88,14.8,14.88,3642800
2005-02-11,14.88,15.13,14.86,15.08,2564800
2005-02-14,15.08,15.14,15.02,15.05,3722800
2005-02-15,15.09,15.46,15.02,15.43,4725600
2005-02-16,15.42,15.48,15.25,15.31,7077200
2005-02-17,15.26,15.33,14.92,14.92,9570400
2005-02-18,14.95,15.02,14.87,15.0,8077600
2005-02-22,14.89,15.0,14.64,14.7,6761600
2005-02-23,14.91,14.95,14.71,14.8,5610800
