Date,Open,High,Low,Close,Volume
2005-01-03,23.25,23.41,23.16,23.34,6891600
2005-01-04,23.34,23.36,22.98,23.1,7568200
2005-01-05,23.2,23.22,22.84,22.84,6334600
2005-01-06,22.94,23.45,22.94,23.35,11467400
2005-01-07,23.4,23.78,23.25,23.75,13401200
2005-01-10,23.74,24.08,23.7,23.98,12381000
2005-01-11,24.0,24.0,23.54,23.54,9232200
2005-01-12,23.48,23.73,23.24,23.46,8783200
2005-01-13,23.47,23.48,22.92,23.02,7674800
2005-01-14,22.88,23.23,22.78,23.12,8730800
2005-01-18,22.98,23.2,22.75,23.02,9745400
2005-01-19,23.02,23.24,22.95,23.02,8195000
2005-01-20,23.02,23.18,22.75,22.88,9125600
2005-01-21,22.8,23.09,22.78,22.99,9360200
2005-01-24,23.0,23.17,22.92,22.96,7757000
2005-01-25,22.97,23.12,22.9,22.96,5243400
2005-01-26,22.98,23.16,22.94,22.94,6397200
2005-01-27,22.9,23.02,22.69,22.73,7919200
2005-01-28,22.7,22.77,22.44,22.64,8251800
2005-01-31,22.64,22.7,22.43,22.51,7116400
2005-02-01,22.51,22.82,22.42,22.78,7823000
2005-02-02,22.78,22.88,22.69,22.82,5066200
2005-02-03,22.86,23.0,22.7,22.83,4831600
2005-02-04,22.73,22.84,22.66,22.76,8564800
2005-02-07,22.75,22.92,22.72,22.8,5042600
2005-02-08,22.7,22.8,22.58,22.64,5848200
2005-02-09,22.68,22.78,22.58,22.58,5659200
2005-02-10,22.7,22.71,22.44,22.49,5813200
2005-02-11,22.58,23.22,22.54,23.1,8709600
2005-02-14,23.05,23.3,23.02,23.24,6268400
2005-02-15,23.32,23.5,23.24,23.44,7898000
2005-02-16,23.44,23.48,23.35,23.42,5686200
2005-02-17,23.42,23.42,23.14,23.28,5405800
2005-02-18,23.28,23.28,23.05,23.2,8168000
2005-02-22,23.0,23.25,22.7,22.72,9825000
2005-02-23,22.75,22.94,22.71,22.87,7171400
2005-02-24,22.79,23.18,22.68,23.18,6745600
2005-02-25,23.12,23.15,22.96,23.14,6454800
2005-02-28,23.14,23.16,22.75,23.0,5685600
2005-03-01,23.0,23.18,22.94,22.98,7652400
2005-03-02,22.81,23.12,22.65,23.03,6271200
2005-03-03,23.03,23.12,22.76,23.0,5650000
2005-03-04,23.07,23.25,22.94,23.2,5408000
2005-03-07,23.29,23.36,23.22,23.32,5966200
2005-03-08,23.32,23.37,23.2,23.25,6110000
2005-03-09,23.1,23.23,22.94,22.95,6444600
2005-03-10,22.92,23.25,22.89,23.14,5261000
2005-03-11,23.1,23.14,22.98,23.0,5274000
2005-03-14,23.0,23.18,22.91,23.06,5532400
2005-03-15,23.06,23.12,22.8,22.83,7662200
2005-03-16,22.72,22.78,22.56,22.71,6189200
2005-03-17,22.12,22.44,22.04,22.26,8770400
2005-03-18,22.16,22.45,21.92,22.24,14130600
2005-03-21,22.19,22.19,21.85,21.94,7433800
2005-03-22,21.67,22.25,21.67,21.88,7266600
2005-03-23,21.82,22.44,21.82,22.3,8209800
2005-03-24,22.25,22.64,22.22,22.47,6460600
2005-03-28,22.48,22.67,22.32,22.59,7915200
2005-03-29,22.75,23.02,22.69,22.88,12020600
2005-03-30,23.08,23.39,23.02,23.38,10171000
2005-03-31,23.38,23.5,23.27,23.31,8347000
2005-04-01,23.42,23.49,23.06,23.1,7075200
2005-04-04,23.18,23.21,22.99,23.09,7372800
2005-04-05,23.24,23.61,23.22,23.6,7688800
2005-04-06,23.65,23.95,23.58,23.8,9128800
2005-04-07,23.8,24.24,23.78,24.18,8723000
2005-04-08,24.18,24.2,23.91,23.93,5914400
2005-04-11,24.0,24.1,23.87,23.88,6234800
2005-04-12,23.85,24.04,23.52,23.95,7459200
2005-04-13,23.75,24.12,23.72,24.02,7296800
2005-04-14,23.96,24.25,23.92,24.14,8730400
2005-04-15,24.14,24.99,24.14,24.94,19453600
2005-04-18,24.7,24.84,24.2,24.49,14338400
2005-04-19,24.32,24.37,23.9,24.08,8223200
2005-04-20,23.9,24.08,23.61,23.65,7695600
2005-04-21,23.88,24.1,23.38,24.05,7206000
2005-04-22,23.95,24.0,23.61,23.78,5591200
2005-04-25,23.8,23.95,23.66,23.88,5695400
2005-04-26,23.76,24.23,23.76,23.97,6823600
2005-04-27,23.96,24.28,23.8,24.24,8681000
2005-04-28,24.08,24.28,24.04,24.04,7635600
2005-04-29,24.17,24.6,24.05,24.58,7669600
2005-05-02,24.5,24.74,24.48,24.69,6868200
2005-05-03,24.68,24.7,24.46,24.63,7104400
2005-05-04,24.65,24.92,24.54,24.86,7371600
2005-05-05,24.74,24.75,24.34,24.6,6889400
2005-05-06,24.67,24.78,24.46,24.51,5076600
2005-05-09,24.48,24.56,24.38,24.54,4836800
2005-05-10,24.44,24.62,24.32,24.42,5075800
2005-05-11,24.52,24.67,24.4,24.63,8070800
2005-05-12,24.69,24.75,24.5,24.56,5473400
2005-05-13,24.42,24.46,24.14,24.38,6661600
2005-05-16,24.45,24.78,24.34,24.74,5743000
2005-05-17,24.62,24.72,24.44,24.7,6214400
2005-05-18,24.7,24.82,24.57,24.68,6440000
2005-05-19,24.7,24.72,24.33,24.52,6582000
2005-05-20,24.59,24.59,24.37,24.44,5397200
2005-05-23,24.6,24.6,24.2,24.4,6053200
2005-05-24,24.2,24.42,24.2,24.34,5949800
2005-05-25,24.24,24.34,24.04,24.12,6245200
2005-05-26,24.12,24.31,23.64,24.11,5242800
2005-05-27,24.2,24.3,23.96,24.0,3947800
2005-05-31,24.08,24.2,23.94,24.12,7121000
2005-06-01,24.08,24.3,24.01,24.16,5928600
2005-06-02,24.04,24.2,23.97,24.13,4352000
2005-06-03,24.02,24.32,23.98,24.14,5241000
2005-06-06,24.32,24.42,24.12,24.22,4911400
2005-06-07,24.24,24.52,24.22,24.38,6230600
2005-06-08,24.5,24.5,24.23,24.33,6023200
2005-06-09,24.26,24.52,24.2,24.49,6664000
2005-06-10,24.48,24.52,24.31,24.45,6506600
2005-06-13,24.36,24.76,24.26,24.42,5535200
2005-06-14,24.38,24.61,24.38,24.51,4122400
2005-06-15,24.53,24.57,24.21,24.51,4333800
2005-06-16,24.51,24.62,24.42,24.54,3991400
2005-06-17,24.76,24.79,24.5,24.72,9855000
2005-06-20,24.57,24.74,24.46,24.7,3677600
2005-06-21,24.75,24.8,24.67,24.72,5205000
2005-06-22,24.76,24.86,24.65,24.86,6087200
2005-06-23,24.86,24.92,24.5,24.54,4966200
2005-06-24,24.48,24.62,24.33,24.51,8244400
2005-06-27,24.5,24.57,24.39,24.5,6317400
2005-06-28,24.58,24.78,24.5,24.75,4980000
2005-06-29,24.69,24.7,24.56,24.62,5267200
2005-06-30,24.5,24.58,24.46,24.5,9484400
2005-07-01,24.62,24.82,24.48,24.52,6754400
2005-07-05,24.46,24.7,24.43,24.48,5362400
2005-07-06,24.48,24.68,24.42,24.57,7425800
2005-07-07,24.42,24.6,24.36,24.48,12111000
2005-07-08,24.49,24.73,24.4,24.68,6413600
