Date,Open,High,Low,Close,Volume
2005-01-03,50.2,50.26,49.07,49.21,718300
2005-01-04,49.48,49.48,48.75,48.82,579600
2005-01-05,48.82,48.88,48.25,48.38,581200
2005-01-06,48.18,48.93,48.17,48.87,604300
2005-01-07,49.05,49.4,48.77,48.85,465400
2005-01-10,49.0,49.34,48.85,49.29,601300
2005-01-11,49.37,49.37,48.8,49.07,432000
2005-01-12,49.3,49.39,48.86,49.25,544600
2005-01-13,49.32,49.6,49.12,49.25,333900
2005-01-14,49.43,49.75,49.07,49.51,337700
2005-01-18,49.5,49.94,49.19,49.85,615700
2005-01-19,50.0,50.2,49.77,49.92,613300
2005-01-20,49.92,50.01,49.56,49.92,495400
2005-01-21,49.92,49.99,49.3,49.39,625500
2005-01-24,49.59,50.05,49.46,50.01,618500
2005-01-25,50.01,50.07,49.4,49.47,355400
2005-01-26,49.49,49.99,49.45,49.87,413600
2005-01-27,49.87,50.0,49.42,49.7,494300
2005-01-28,49.8,49.8,49.3,49.8,572300
2005-01-31,49.89,50.12,49.74,50.12,479000
2005-02-01,50.12,50.89,49.9,50.8,700800
2005-02-02,50.9,50.95,50.43,50.61,519300
2005-02-03,50.4,50.67,50.05,50.5,470700
2005-02-04,50.73,50.8,50.4,50.49,919100
2005-02-07,50.7,50.7,50.36,50.5,485700
2005-02-08,50.7,50.93,50.42,50.5,884300
2005-02-09,50.52,51.15,50.52,50.97,755700
2005-02-10,51.1,51.12,50.81,50.98,689300
2005-02-11,51.05,51.43,50.63,51.21,759400
2005-02-14,51.46,51.96,51.32,51.66,1103600
2005-02-15,51.92,51.92,51.44,51.53,727900
2005-02-16,51.53,51.53,50.88,51.29,1242100
2005-02-17,51.43,51.45,51.09,51.3,660800
2005-02-18,51.3,51.3,50.81,51.01,718400
2005-02-22,51.01,51.01,49.8,49.9,1063600
2005-02-23,50.2,50.42,50.11,50.11,659600
2005-02-24,50.33,50.62,50.26,50.59,754100
2005-02-25,50.83,51.67,50.53,51.33,1058600
2005-02-28,51.44,51.55,51.25,51.47,1078100
2005-03-01,51.49,51.95,51.41,51.63,697400
2005-03-02,51.63,51.78,51.45,51.64,970900
2005-03-03,51.64,51.69,51.02,51.26,866600
2005-03-04,51.65,52.0,51.5,51.83,801200
2005-03-07,51.31,51.46,51.16,51.3,1335300
2005-03-08,51.3,51.31,50.8,51.08,578100
2005-03-09,51.0,51.0,49.87,49.95,1058600
2005-03-10,49.96,50.33,49.55,50.28,635500
2005-03-11,50.28,50.5,49.44,49.5,780900
2005-03-14,49.6,50.35,49.6,50.35,783200
2005-03-15,50.6,50.69,49.95,50.03,503800
2005-03-16,50.1,50.28,49.26,49.56,714500
2005-03-17,49.85,50.6,49.63,49.71,762500
2005-03-18,49.72,49.85,49.2,49.34,990300
2005-03-21,49.37,49.57,49.14,49.19,461900
2005-03-22,49.2,49.25,47.7,48.09,772000
2005-03-23,48.1,48.36,47.51,48.14,749200
2005-03-24,48.29,48.64,48.25,48.3,1374000
2005-03-28,48.3,48.53,48.19,48.21,433100
2005-03-29,48.25,48.25,47.6,47.72,584800
2005-03-30,48.05,48.52,47.95,48.52,1721500
2005-03-31,48.93,49.19,48.69,49.01,693000
2005-04-01,49.74,50.0,48.72,49.06,770800
2005-04-04,49.22,49.26,48.7,49.15,611300
2005-04-05,49.27,49.59,49.0,49.59,682000
2005-04-06,49.79,50.31,49.6,50.04,1038600
2005-04-07,50.04,50.28,49.8,50.22,534600
2005-04-08,50.23,50.27,49.75,49.83,606600
2005-04-11,50.15,50.48,50.0,50.26,380100
2005-04-12,50.2,50.99,49.67,50.89,686900
2005-04-13,50.7,51.2,50.55,50.83,967900
2005-04-14,50.78,50.89,50.21,50.69,816500
2005-04-15,50.6,50.61,49.81,49.82,693700
2005-04-18,49.82,50.29,49.51,50.06,535000
2005-04-19,49.99,50.64,49.81,50.46,622200
2005-04-20,50.21,50.47,49.95,50.03,523400
2005-04-21,50.6,51.0,50.19,50.69,606500
2005-04-22,50.69,51.25,50.51,51.08,512000
2005-04-25,51.28,51.5,50.98,51.39,450500
2005-04-26,51.39,51.39,50.94,51.05,519000
2005-04-27,51.06,51.65,50.58,51.37,726800
2005-04-28,51.38,51.65,51.0,51.03,642900
2005-04-29,51.3,51.7,51.04,51.7,933600
2005-05-02,51.7,52.22,51.66,52.14,755900
2005-05-03,52.15,52.44,51.95,52.1,661600
2005-05-04,52.39,52.82,51.88,52.78,767100
2005-05-05,52.78,52.81,52.15,52.77,727300
2005-05-06,53.0,53.33,52.5,52.51,781700
2005-05-09,52.55,53.07,52.04,53.07,927800
2005-05-10,52.95,52.95,52.44,52.69,614300
2005-05-11,52.8,53.25,52.42,53.1,617500
2005-05-12,53.11,53.47,52.85,53.17,503700
2005-05-13,53.17,53.17,51.68,52.28,896500
2005-05-16,52.29,53.01,51.97,53.0,705600
2005-05-17,53.0,53.77,52.76,53.65,1111200
2005-05-18,53.65,53.89,53.36,53.5,720800
2005-05-19,53.55,53.74,52.99,53.25,632500
2005-05-20,53.25,53.41,53.04,53.27,790900
2005-05-23,53.3,53.44,52.92,53.3,857800
2005-05-24,53.49,53.49,53.0,53.29,784900
2005-05-25,53.29,53.98,53.29,53.64,690400
2005-05-26,53.65,54.09,53.62,53.66,475500
2005-05-27,54.6,54.6,53.93,54.23,850400
2005-05-31,54.32,54.97,54.3,54.58,1047900
2005-06-01,54.65,55.28,54.61,55.0,807100
2005-06-02,55.1,55.22,54.87,55.07,724300
2005-06-03,54.38,54.82,54.18,54.82,1419500
2005-06-06,53.75,53.98,53.34,53.4,1179600
2005-06-07,53.28,54.15,53.28,53.71,775100
2005-06-08,53.58,53.88,53.42,53.8,526600
2005-06-09,53.8,53.96,53.44,53.57,727300
2005-06-10,53.9,54.0,53.48,53.66,485000
2005-06-13,53.38,54.16,53.37,53.86,476900
2005-06-14,54.08,54.37,53.75,54.13,379000
2005-06-15,54.08,54.14,53.47,53.82,477900
2005-06-16,53.82,54.45,53.8,54.1,1028900
2005-06-17,54.15,54.57,54.05,54.49,1806600
2005-06-20,54.51,54.67,54.15,54.49,631800
2005-06-21,54.69,54.74,54.32,54.62,580000
2005-06-22,54.94,54.98,54.57,54.9,567500
2005-06-23,54.9,54.95,54.45,54.77,547800
2005-06-24,54.77,55.14,54.43,54.5,578700
2005-06-27,54.5,54.74,54.07,54.66,460200
2005-06-28,54.75,55.31,54.75,55.3,605700
2005-06-29,55.5,55.58,55.25,55.42,424200
2005-06-30,55.72,55.84,55.22,55.3,460200
2005-07-01,55.6,55.86,55.21,55.62,458700
2005-07-05,55.62,55.75,55.11,55.65,434600
2005-07-06,55.66,55.75,54.95,55.05,468300
2005-07-07,54.85,55.39,54.65,55.28,589100
