Date,Open,High,Low,Close,Volume
2005-01-03,34.21,34.29,33.95,34.02,1552500
2005-01-04,34.05,34.34,33.87,33.89,975400
2005-01-05,33.85,33.98,33.41,33.49,1091400
2005-01-06,33.6,33.61,33.25,33.5,1781500
2005-01-07,33.61,34.09,33.3,33.37,1406000
2005-01-10,33.29,33.69,33.2,33.48,1108200
2005-01-11,33.5,33.59,33.29,33.48,899700
2005-01-12,33.4,33.69,33.26,33.62,1119100
2005-01-13,33.55,34.18,33.55,33.92,1426600
2005-01-14,33.95,34.7,33.93,34.57,1669600
2005-01-18,34.5,34.98,34.41,34.81,1691000
2005-01-19,34.8,35.04,34.7,34.75,994600
2005-01-20,34.65,34.82,34.42,34.7,1072700
2005-01-21,34.35,34.38,33.68,33.73,3667100
2005-01-24,33.75,34.16,33.5,33.89,1354500
2005-01-25,34.0,34.04,33.51,33.58,1521700
2005-01-26,33.4,35.1,33.4,34.5,2917200
2005-01-27,34.35,35.27,34.33,35.27,2720000
2005-01-28,35.15,35.39,34.75,35.39,1679100
2005-01-31,35.45,35.5,35.06,35.25,1849500
2005-02-01,35.33,35.64,35.15,35.62,1332600
2005-02-02,35.5,35.65,35.3,35.65,1781500
2005-02-03,35.52,35.62,35.35,35.62,1045800
2005-02-04,35.62,35.87,35.43,35.65,1461200
2005-02-07,35.6,35.64,35.29,35.32,956600
2005-02-08,35.06,35.21,34.91,34.98,2697600
2005-02-09,34.94,35.05,34.71,34.72,945600
2005-02-10,34.85,34.88,34.57,34.63,812000
2005-02-11,34.64,34.73,34.27,34.55,1219300
2005-02-14,34.59,34.9,34.56,34.79,1841200
2005-02-15,34.79,34.88,34.56,34.65,1137000
2005-02-16,34.55,34.6,34.35,34.49,900600
2005-02-17,34.5,34.76,34.31,34.42,1093500
2005-02-18,34.43,34.43,33.55,33.73,1880100
2005-02-22,33.63,33.63,32.51,32.7,3008400
2005-02-23,32.5,33.31,32.25,32.5,2219000
2005-02-24,32.65,32.97,32.56,32.96,1665900
2005-02-25,32.96,33.65,32.88,33.41,1994300
2005-02-28,33.45,33.68,33.13,33.4,1694100
2005-03-01,33.4,33.87,33.32,33.71,1887700
2005-03-02,33.8,34.18,33.62,33.91,2154600
2005-03-03,33.91,34.05,33.71,33.96,1318200
2005-03-04,34.1,34.4,34.07,34.25,1359600
2005-03-07,34.4,34.68,34.3,34.56,1140100
2005-03-08,34.5,34.78,34.2,34.63,1650600
2005-03-09,34.63,34.68,33.63,33.68,2017800
2005-03-10,33.82,34.21,33.69,34.21,1842100
2005-03-11,34.08,34.4,33.55,33.57,1766800
2005-03-14,33.5,34.33,33.47,34.25,1842000
2005-03-15,34.35,34.64,33.9,33.9,1626400
2005-03-16,36.34,36.34,33.59,33.82,1377700
2005-03-17,33.88,34.1,33.55,33.91,1272600
2005-03-18,33.91,34.15,33.42,33.57,2165900
2005-03-21,33.6,33.81,33.48,33.59,1123300
2005-03-22,33.6,33.78,32.86,32.93,1876400
2005-03-23,32.93,32.95,32.41,32.84,2609000
2005-03-24,33.0,33.54,33.0,33.39,1519900
2005-03-28,33.44,33.79,33.35,33.42,1100100
2005-03-29,33.31,33.31,32.7,32.83,2100300
2005-03-30,33.05,33.74,33.0,33.55,2887800
2005-03-31,33.77,34.15,33.65,34.06,1466600
2005-04-01,34.38,34.54,33.91,34.13,1692000
2005-04-04,34.19,34.19,33.78,33.96,1741400
2005-04-05,34.0,34.36,33.91,34.36,1935700
2005-04-06,34.35,34.47,34.2,34.28,1077500
2005-04-07,34.2,34.64,34.11,34.46,1440300
2005-04-08,34.34,34.67,34.28,34.53,1763700
2005-04-11,34.49,34.98,34.49,34.89,1249900
2005-04-12,34.79,35.25,34.44,35.1,1997400
2005-04-13,35.0,35.11,34.68,34.92,1630000
2005-04-14,34.83,35.1,34.69,34.72,1798800
2005-04-15,34.67,34.83,34.17,34.19,1578800
2005-04-18,34.01,34.63,34.01,34.57,1673300
2005-04-19,34.57,34.82,34.34,34.76,1517600
2005-04-20,34.67,34.75,34.38,34.57,1716600
2005-04-21,35.0,35.07,34.6,34.88,1705300
2005-04-22,34.91,35.12,34.74,34.97,1613800
2005-04-25,34.93,35.27,34.89,35.13,1336400
2005-04-26,35.08,35.23,34.79,34.89,1345100
2005-04-27,34.85,35.55,34.58,35.31,2072500
2005-04-28,35.3,35.48,34.9,35.0,1401100
2005-04-29,35.0,35.27,34.85,35.22,1677100
2005-05-02,35.23,35.55,35.15,35.37,1266100
2005-05-03,35.36,35.85,35.18,35.61,2370400
2005-05-04,35.62,35.82,35.18,35.5,1930600
2005-05-05,35.43,35.64,35.17,35.52,1142400
2005-05-06,35.18,35.37,35.0,35.22,1450600
2005-05-09,35.21,35.33,34.53,35.16,2194100
2005-05-10,35.0,35.23,34.86,35.17,1683100
2005-05-11,35.2,35.33,34.95,35.29,1417400
2005-05-12,35.34,35.36,34.97,35.05,1436500
2005-05-13,35.12,35.23,34.09,34.51,1823200
2005-05-16,34.48,35.01,34.38,34.88,951700
