Date,Open,High,Low,Close,Volume
2005-01-03,31.05,31.19,30.52,30.7,6426800
2005-01-04,30.75,31.06,29.92,30.16,7233200
2005-01-05,30.18,30.82,30.14,30.46,7191200
2005-01-06,30.5,31.12,30.28,30.88,4973200
2005-01-07,30.88,31.25,30.55,30.98,5314800
2005-01-10,31.23,31.74,31.12,31.42,6071600
2005-01-11,31.51,31.6,31.02,31.14,5212800
2005-01-12,31.38,31.71,31.2,31.57,6050800
2005-01-13,31.74,32.25,31.74,32.04,6777600
2005-01-14,32.04,32.25,31.92,31.98,5261200
2005-01-18,31.8,31.88,31.56,31.63,6742400
2005-01-19,32.04,32.28,31.82,31.9,4879200
2005-01-20,31.96,32.21,31.32,31.54,6586800
2005-01-21,31.68,32.25,31.6,31.82,6410400
2005-01-24,31.92,31.94,31.44,31.54,3795600
2005-01-25,31.54,31.61,30.96,31.08,5268800
2005-01-26,31.1,31.31,30.98,31.22,4389600
2005-01-27,31.25,31.8,31.19,31.69,3672800
2005-01-28,31.38,31.68,31.28,31.49,3941200
2005-01-31,31.71,31.96,31.62,31.76,4149600
2005-02-01,31.86,32.88,31.78,32.78,6132400
2005-02-02,32.75,32.91,32.42,32.66,6615600
2005-02-03,32.66,32.81,32.47,32.71,5346400
2005-02-04,32.71,32.85,32.5,32.61,5264800
2005-02-07,32.38,32.56,31.9,32.31,5437200
2005-02-08,32.31,32.6,32.2,32.24,4018800
2005-02-09,32.24,32.56,32.01,32.14,4580800
2005-02-10,33.28,33.98,33.28,33.5,15467600
2005-02-11,33.6,33.76,33.33,33.38,9006800
2005-02-14,33.47,33.96,33.38,33.94,6724000
2005-02-15,33.96,34.66,33.92,34.42,6248400
2005-02-16,34.42,35.2,34.32,35.14,7228800
2005-02-17,35.14,35.21,34.88,35.1,4013200
2005-02-18,35.21,35.44,34.88,35.04,5267600
2005-02-22,35.0,35.04,34.0,34.12,7268000
2005-02-23,34.12,35.25,34.12,35.25,6061600
2005-02-24,35.21,36.09,35.16,36.02,7052800
2005-02-25,35.86,36.45,35.52,36.37,7380000
2005-02-28,36.29,36.62,36.12,36.5,6100800
2005-03-01,36.45,37.44,36.44,37.03,7964400
2005-03-02,36.95,37.76,36.83,37.66,7815600
2005-03-03,37.9,38.19,37.3,37.42,6825600
2005-03-04,37.65,38.47,37.65,38.45,5186400
2005-03-07,38.39,38.67,38.06,38.48,6118400
2005-03-08,38.38,38.46,38.05,38.31,5143600
2005-03-09,38.25,38.31,37.49,37.67,5225600
2005-03-10,37.74,38.24,37.32,37.5,5810000
2005-03-11,37.59,37.59,36.78,36.93,6120800
2005-03-14,37.32,37.56,36.99,37.38,4086600
2005-03-15,37.42,37.96,37.28,37.84,5149600
2005-03-16,37.8,37.82,36.94,37.31,4564400
2005-03-17,37.55,37.76,36.86,37.68,3934600
2005-03-18,37.69,37.71,36.5,36.95,7704400
2005-03-21,37.0,37.24,36.4,36.84,4345000
2005-03-22,36.84,37.56,36.84,36.96,3203600
2005-03-23,37.04,37.04,35.92,36.08,5707800
2005-03-24,36.2,36.56,36.04,36.48,3625800
2005-03-28,36.48,37.06,36.25,36.89,3731000
2005-03-29,37.02,37.34,36.13,36.28,4489200
2005-03-30,36.52,37.78,36.2,37.76,5300400
2005-03-31,37.72,37.73,37.28,37.48,3622800
2005-04-01,37.6,38.04,36.58,36.89,3904000
2005-04-04,37.2,37.4,36.95,37.2,3324000
2005-04-05,37.45,37.6,37.28,37.49,3734400
2005-04-06,37.62,37.84,37.43,37.53,3363800
2005-04-07,37.62,38.26,37.5,38.16,4486400
2005-04-08,38.16,38.18,37.4,37.52,2418800
2005-04-11,37.52,38.18,37.52,38.04,3174600
2005-04-12,38.04,38.58,37.68,38.51,3230600
2005-04-13,38.54,38.62,37.4,37.5,4034400
2005-04-14,37.5,37.5,35.38,35.62,10319600
2005-04-15,35.0,36.38,34.25,35.34,11194000
2005-04-18,35.38,35.55,33.7,34.48,5815400
2005-04-19,35.25,35.25,34.77,35.08,4934200
2005-04-20,35.4,35.64,34.33,34.44,4153000
2005-04-21,35.0,35.08,34.42,35.07,3731200
2005-04-22,34.9,35.32,34.5,34.93,2624800
2005-04-25,35.15,35.43,34.8,35.15,2583200
2005-04-26,35.1,35.61,34.59,34.59,2232000
2005-04-27,34.7,36.4,34.32,36.22,5911200
2005-04-28,37.0,37.0,35.5,35.66,5428400
2005-04-29,36.0,36.76,35.52,36.68,4133600
2005-05-02,36.76,37.52,36.48,37.22,5176400
2005-05-03,37.35,38.01,37.2,37.82,5913200
2005-05-04,38.14,38.62,37.88,38.18,4198800
2005-05-05,38.31,38.74,38.08,38.42,2869400
2005-05-06,38.51,38.92,38.29,38.72,2474800
2005-05-09,38.48,39.15,38.12,39.08,3886400
2005-05-10,38.6,39.24,38.42,38.65,3918200
2005-05-11,38.62,38.72,38.08,38.6,4221600
2005-05-12,38.62,39.11,37.86,37.9,4254000
2005-05-13,38.2,38.2,36.52,37.0,4527400
2005-05-16,37.0,37.75,37.0,37.74,4136200
2005-05-17,37.62,37.7,37.3,37.69,3628000
2005-05-18,37.75,38.26,36.88,37.08,7428800
2005-05-19,37.08,37.52,36.8,37.5,3699400
2005-05-20,37.62,38.06,37.18,37.94,3564600
2005-05-23,37.94,38.48,37.6,38.46,3732400
2005-05-24,38.35,38.59,38.05,38.48,2868000
2005-05-25,38.48,38.51,37.88,38.22,2567600
2005-05-26,38.48,39.24,38.35,39.15,3336200
2005-05-27,39.27,39.27,38.91,39.04,2203000
2005-05-31,38.5,39.4,38.5,39.0,3000400
2005-06-01,38.9,39.48,38.83,39.42,2699800
2005-06-02,39.12,39.6,39.07,39.54,2824000
2005-06-03,39.58,39.9,39.54,39.88,3479800
2005-06-06,39.75,39.82,39.46,39.67,2091600
2005-06-07,39.67,40.72,39.67,40.56,4157200
2005-06-08,40.62,40.88,39.9,40.09,4380400
2005-06-09,40.3,41.26,40.2,41.26,4428000
2005-06-10,42.24,42.24,40.4,40.58,2651000
2005-06-13,40.5,41.33,40.49,41.33,2812200
2005-06-14,41.33,41.73,41.18,41.58,2904600
2005-06-15,41.82,42.28,41.48,42.06,3595400
2005-06-16,41.58,41.96,40.9,41.18,4741800
2005-06-17,41.92,41.92,41.5,41.53,3973000
2005-06-20,41.53,42.61,41.5,42.54,3864000
2005-06-21,42.54,42.9,42.14,42.2,3582000
2005-06-22,42.75,43.24,42.16,42.16,4935000
2005-06-23,42.1,42.18,41.54,41.54,4036000
2005-06-24,41.65,41.74,41.07,41.08,5156400
2005-06-27,41.08,41.35,40.92,41.19,3869400
2005-06-28,41.35,41.94,41.28,41.88,2955400
2005-06-29,41.94,42.35,41.8,41.91,3724000
2005-06-30,42.18,42.23,41.1,41.41,3228600
2005-07-01,41.42,41.56,40.96,41.18,1920800
2005-07-05,41.0,42.16,41.0,42.1,3239200
2005-07-06,42.1,42.94,41.6,41.78,6291000
2005-07-07,41.6,42.09,41.1,42.0,3406000
2005-07-08,42.0,42.3,41.88,42.16,2725200
2005-07-11,42.48,42.49,41.8,41.94,2686400
2005-07-12,41.96,42.04,40.82,41.6,3818200
2005-07-13,41.12,41.5,40.15,40.89,4873600
2005-07-14,41.25,41.26,39.9,40.18,5035000
2005-07-15,40.35,40.86,40.11,40.69,3267600
2005-07-18,40.69,40.86,40.28,40.62,2231800
2005-07-19,40.78,40.84,39.0,39.5,8880400
2005-07-20,39.25,39.55,38.87,39.26,4328400
2005-07-21,38.28,38.88,37.68,38.28,7154200
2005-07-22,38.2,38.8,38.1,38.22,4724200
2005-07-25,38.18,38.42,37.68,38.0,4665000
2005-07-26,38.0,38.08,37.58,37.9,6639600
2005-07-27,38.08,38.28,37.28,37.31,6612200
2005-07-28,37.62,39.5,37.53,39.2,11169200
2005-07-29,39.22,39.44,38.6,38.7,5881200
2005-08-01,38.83,39.12,38.75,38.9,5722600
2005-08-02,38.92,38.92,38.26,38.44,6638600
2005-08-03,38.5,38.7,38.1,38.44,5195400
2005-08-04,38.44,38.5,38.28,38.38,4690200
2005-08-05,38.38,38.54,37.75,37.78,5161600
2005-08-08,37.95,38.16,37.14,37.44,3359200
2005-08-09,37.47,38.58,37.34,38.5,4872200
2005-08-10,38.7,39.5,38.6,39.05,5091000
2005-08-11,39.04,39.68,39.04,39.64,3691000
2005-08-12,39.66,39.82,39.27,39.74,3353800
2005-08-15,39.64,39.68,39.36,39.62,2348200
2005-08-16,39.58,39.65,39.17,39.24,1762000
2005-08-17,39.1,39.1,38.52,38.86,2925600
2005-08-18,38.9,39.3,38.68,38.8,3612600
2005-08-19,38.9,39.02,38.6,38.78,2548400
2005-08-22,38.95,39.35,38.76,38.88,2523600
2005-08-23,39.0,39.2,38.8,38.8,2179400
2005-08-24,38.8,38.92,38.36,38.36,2310800
2005-08-25,38.55,39.3,38.4,39.25,2994400
2005-08-26,39.28,39.29,38.65,38.86,3178600
2005-08-29,38.46,39.25,38.42,39.18,2696600
2005-08-30,39.16,39.65,39.02,39.52,3277400
2005-08-31,39.5,39.88,39.28,39.84,3692800
2005-09-01,39.72,40.06,39.52,39.85,2894400
2005-09-02,39.8,40.1,39.75,40.05,2101600
2005-09-06,40.04,41.02,39.98,41.02,3597600
2005-09-07,40.8,41.78,40.78,41.6,4783600
2005-09-08,40.88,42.06,40.85,41.88,4754600
2005-09-09,41.89,42.48,41.78,42.38,2373400
2005-09-12,42.3,42.49,41.85,41.98,3202000
2005-09-13,41.5,41.62,40.2,40.29,5820400
2005-09-14,40.29,40.8,40.05,40.2,4572400
2005-09-15,40.24,40.66,40.08,40.5,3748200
2005-09-16,40.9,41.25,40.56,40.94,4080600
2005-09-19,40.88,40.94,40.32,40.48,2288400
2005-09-20,40.6,40.92,40.38,40.43,2866600
2005-09-21,40.25,40.45,39.91,39.94,2626200
2005-09-22,39.72,40.48,39.7,40.47,2846000
2005-09-23,40.37,41.84,40.28,40.62,5639200
2005-09-26,41.0,41.44,40.9,41.28,3516400
2005-09-27,41.35,41.88,41.31,41.7,4375600
2005-09-28,41.6,41.86,41.49,41.7,2906600
2005-09-29,41.27,42.5,41.2,42.35,4631200
2005-09-30,42.44,43.31,42.4,43.07,3946800
2005-10-03,43.22,43.44,42.68,43.05,2892200
2005-10-04,43.05,43.56,42.5,42.56,3348600
2005-10-05,42.56,42.76,41.96,42.0,2968400
2005-10-06,42.05,42.09,41.12,41.46,2787800
2005-10-07,41.54,41.79,41.16,41.35,2383800
2005-10-10,41.32,42.09,41.3,41.48,2167200
2005-10-11,41.5,41.85,41.2,41.38,2596000
2005-10-12,41.38,41.48,40.54,40.6,6252200
2005-10-13,40.25,40.72,40.0,40.46,4218600
2005-10-14,40.56,41.63,40.56,41.17,4217200
2005-10-17,41.15,42.3,41.15,42.26,3768800
2005-10-18,42.12,42.36,41.66,41.96,2161400
2005-10-19,41.85,43.4,41.56,43.4,3209800
2005-10-20,43.28,43.34,42.52,42.53,3331800
2005-10-21,43.18,43.66,43.0,43.64,4155800
2005-10-24,43.8,44.21,43.6,44.16,2835600
2005-10-25,43.75,43.86,41.76,42.45,6119800
2005-10-26,43.0,43.1,40.4,40.8,9206000
2005-10-27,41.75,42.5,41.65,41.9,7495000
2005-10-28,42.48,44.28,42.22,44.06,6469000
2005-10-31,44.06,44.6,43.72,44.28,5843200
2005-11-01,44.28,44.99,44.22,44.83,4887400
2005-11-02,44.82,44.88,44.18,44.62,5259000
2005-11-03,44.52,44.95,44.12,44.21,4315400
2005-11-04,44.42,44.59,43.95,44.14,3260000
2005-11-07,44.25,44.7,44.12,44.27,2627200
2005-11-08,44.1,44.22,43.78,44.0,2305600
2005-11-09,44.1,44.42,43.96,44.15,2651200
2005-11-10,44.3,45.0,44.24,45.0,3788200
2005-11-11,45.0,45.18,44.64,44.86,2467600
2005-11-14,44.94,45.4,44.84,45.3,2638000
2005-11-15,45.18,46.0,45.05,45.62,4515600
2005-11-16,46.95,47.17,46.35,47.0,5139200
2005-11-17,46.84,47.3,46.41,47.14,3898000
2005-11-18,47.48,47.5,47.18,47.4,2526000
2005-11-21,47.3,47.36,47.1,47.2,2147200
2005-11-22,47.3,47.68,47.28,47.36,2497000
2005-11-23,47.48,47.92,47.22,47.22,2144600
2005-11-25,47.45,47.72,47.36,47.6,1034000
2005-11-28,47.75,47.96,46.34,46.43,2963800
2005-11-29,46.72,47.32,46.57,47.15,3289600
2005-11-30,46.89,47.23,46.21,46.24,3702000
2005-12-01,46.6,47.51,46.6,47.48,3084400
2005-12-02,47.48,47.82,47.38,47.75,1785000
2005-12-05,47.76,47.82,47.1,47.66,3452600
2005-12-06,47.92,48.2,47.38,47.44,3354600
2005-12-07,47.08,47.5,46.86,47.32,3672800
2005-12-08,47.42,48.16,47.42,47.95,2116600
2005-12-09,48.08,49.44,48.08,49.34,3158200
2005-12-12,49.52,49.68,48.62,49.02,3075200
2005-12-13,49.15,49.15,48.33,48.68,3518000
2005-12-14,48.75,49.22,48.39,48.55,2568800
2005-12-15,48.72,49.08,48.49,48.7,2584400
2005-12-16,48.92,49.14,48.29,48.3,2756400
2005-12-19,48.3,48.45,46.82,47.12,4368000
2005-12-20,47.24,48.34,47.1,47.84,3666400
2005-12-21,48.18,48.74,48.18,48.44,2850800
2005-12-22,48.42,48.82,48.14,48.26,2072600
2005-12-23,48.48,48.65,48.02,48.26,917800
2005-12-27,48.24,48.5,47.31,47.48,1528400
2005-12-28,47.5,48.17,47.38,48.0,1464000
2005-12-29,48.0,48.27,47.8,47.84,1439400
2005-12-30,47.51,47.66,47.1,47.16,2166400
2006-01-03,47.19,47.19,46.31,47.03,3444000
2006-01-04,46.98,47.39,46.82,47.21,3371000
2006-01-05,47.1,47.58,46.6,46.72,2935400
2006-01-06,47.18,47.42,46.1,46.9,4071400
2006-01-09,46.98,47.33,46.57,46.62,3123800
2006-01-10,46.32,46.81,46.04,46.32,3849800
2006-01-11,46.2,46.44,45.25,45.26,5092200
2006-01-12,45.28,46.59,45.2,45.74,3352800
2006-01-13,45.28,45.43,44.38,44.97,4908400
2006-01-17,44.88,44.9,44.38,44.6,4601800
2006-01-18,45.5,46.62,45.5,45.97,5899800
2006-01-19,46.7,46.8,45.46,46.02,4794600
2006-01-20,45.86,45.9,44.76,44.77,4296800
2006-01-23,44.77,45.3,44.32,44.54,3680800
2006-01-24,44.85,45.6,44.83,45.54,3850800
2006-01-25,46.0,46.05,45.04,45.28,4436200
2006-01-26,45.58,45.92,45.14,45.46,3208400
2006-01-27,45.35,46.66,45.35,46.34,4935200
2006-01-30,46.78,47.1,46.63,46.66,3112200
2006-01-31,46.98,48.6,46.78,48.4,6668600
2006-02-01,48.0,49.0,48.0,48.7,5536800
2006-02-02,48.8,48.8,48.15,48.51,3810600
2006-02-03,48.25,49.27,48.0,49.16,4488400
2006-02-06,49.04,49.04,48.62,48.8,3349400
2006-02-07,48.92,49.36,48.32,48.32,3071800
2006-02-08,47.84,48.26,47.35,48.06,3594000
2006-02-09,49.55,50.86,49.32,49.64,6927600
2006-02-10,49.99,50.38,49.12,50.2,3418600
2006-02-13,49.96,49.98,49.45,49.75,2727000
2006-02-14,49.9,51.4,49.9,51.3,3601400
2006-02-15,51.05,51.32,50.74,51.25,3747000
2006-02-16,50.98,50.99,50.23,50.75,3005000
2006-02-17,50.72,50.87,50.32,50.62,2468200
2006-02-21,50.15,50.98,49.67,49.71,3972600
2006-02-22,50.11,51.89,50.11,51.7,3421700
2006-02-23,51.7,52.48,50.7,52.32,4098800
2006-02-24,52.47,52.47,51.66,52.17,2105400
2006-02-27,52.01,52.45,51.8,52.11,2293500
2006-02-28,52.01,52.06,50.99,51.0,2910200
2006-03-01,51.28,51.63,50.89,51.29,2977400
2006-03-02,51.27,51.49,50.39,50.45,3190300
2006-03-03,50.01,51.31,49.55,50.56,2706600
2006-03-06,50.26,50.45,48.84,48.96,2886200
2006-03-07,48.96,50.34,48.9,49.97,2564600
2006-03-08,50.12,50.92,50.01,50.76,2300600
2006-03-09,50.87,50.98,49.67,49.71,1868500
2006-03-10,49.98,51.18,49.76,50.94,2166800
2006-03-13,51.28,51.69,49.7,50.55,2905300
2006-03-14,50.0,51.29,49.87,51.0,2180700
2006-03-15,51.01,51.61,51.01,51.37,1869800
2006-03-16,51.38,51.66,51.01,51.37,1738600
2006-03-17,51.69,51.94,50.9,51.06,1999100
2006-03-20,50.89,52.09,50.89,51.92,1946400
2006-03-21,51.6,51.97,50.22,50.43,1891800
2006-03-22,49.9,51.74,49.9,51.54,1846700
