Date,Open,High,Low,Close,Volume
2005-01-03,38.6,39.11,38.15,38.39,505600
2005-01-04,38.27,38.55,37.69,37.85,506200
2005-01-05,37.9,37.98,35.94,36.25,945600
2005-01-06,36.52,36.7,35.88,35.95,1437600
2005-01-07,36.05,36.4,35.76,35.96,745800
2005-01-10,35.95,36.0,35.45,35.64,747400
2005-01-11,35.5,35.72,35.1,35.18,915800
2005-01-12,35.11,35.4,34.17,35.15,762300
2005-01-13,34.95,36.23,34.95,35.45,597000
2005-01-14,35.65,35.97,35.56,35.85,296000
2005-01-18,35.95,36.6,35.56,36.6,418400
2005-01-19,36.65,37.09,36.23,36.67,542500
2005-01-20,36.6,36.6,36.0,36.13,394800
2005-01-21,36.22,36.49,35.87,36.49,497100
2005-01-24,36.45,36.86,36.18,36.25,440500
2005-01-25,36.38,36.51,35.26,35.28,582300
2005-01-26,35.45,35.79,35.11,35.7,569700
2005-01-27,35.53,35.9,35.21,35.55,636900
2005-01-28,35.73,35.99,35.42,35.87,1035300
2005-01-31,36.0,36.3,35.71,35.9,852000
2005-02-01,36.05,36.25,35.91,36.17,414300
2005-02-02,36.35,36.72,36.0,36.16,1642900
2005-02-03,36.3,36.39,35.88,36.02,562800
2005-02-04,36.1,36.46,35.97,36.0,871200
2005-02-07,36.0,36.53,35.8,36.17,628800
2005-02-08,36.05,36.6,36.05,36.1,570800
2005-02-09,36.1,36.76,36.1,36.49,544500
2005-02-10,36.75,37.1,36.75,36.94,593200
2005-02-11,36.94,37.25,36.69,36.94,674200
2005-02-14,37.09,37.5,37.09,37.4,1075600
2005-02-15,37.6,38.14,37.41,38.05,1250500
2005-02-16,37.46,37.95,37.28,37.79,768100
2005-02-17,38.1,38.55,38.02,38.07,982200
2005-02-18,38.07,38.85,37.25,38.17,1021500
2005-02-22,38.18,38.18,37.1,37.1,563400
2005-02-23,37.3,37.8,37.27,37.3,772000
2005-02-24,37.05,37.25,36.88,37.07,344400
2005-02-25,37.07,38.45,37.07,38.32,682700
2005-02-28,38.33,38.69,37.85,38.26,882200
2005-03-01,38.26,38.62,38.15,38.25,775900
2005-03-02,38.27,38.28,37.69,38.05,587700
2005-03-03,38.07,38.18,37.66,38.05,577600
2005-03-04,38.35,38.74,38.2,38.5,348800
2005-03-07,38.6,39.39,38.46,39.21,373500
2005-03-08,39.22,39.22,38.68,38.95,227800
2005-03-09,38.7,38.7,37.86,38.02,579600
2005-03-10,38.03,38.66,38.02,38.25,552600
2005-03-11,37.2,37.56,36.78,37.28,1003800
2005-03-14,37.35,38.01,37.2,38.0,564600
2005-03-15,38.1,38.48,37.72,37.77,426100
2005-03-16,37.62,37.62,37.15,37.24,643200
2005-03-17,37.2,37.97,37.2,37.8,383400
2005-03-18,37.81,37.81,36.83,37.14,859100
2005-03-21,37.1,37.28,36.84,37.09,451800
2005-03-22,37.04,37.4,36.13,36.13,720700
2005-03-23,36.14,36.46,35.45,36.05,954700
2005-03-24,36.15,36.75,36.11,36.18,443500
2005-03-28,36.25,36.48,36.06,36.2,379000
2005-03-29,36.21,36.95,36.1,36.57,519000
2005-03-30,36.65,37.9,36.65,37.3,582000
2005-03-31,37.39,37.8,37.11,37.2,532400
2005-04-01,37.7,37.9,36.95,37.23,747000
2005-04-04,36.9,37.19,36.85,37.13,628000
2005-04-05,37.1,37.56,36.85,36.89,460300
2005-04-06,36.9,37.24,36.83,36.88,485400
2005-04-07,36.9,37.21,36.82,37.17,569700
2005-04-08,37.2,37.2,36.85,36.9,393300
2005-04-11,36.95,36.99,36.63,36.96,316600
2005-04-12,36.86,37.28,36.58,37.28,633500
2005-04-13,37.25,37.39,37.01,37.01,561100
2005-04-14,36.89,37.06,36.54,36.61,387100
2005-04-15,36.65,36.94,36.4,36.54,661900
2005-04-18,36.54,36.85,36.3,36.5,532500
2005-04-19,36.7,36.7,36.41,36.48,258700
2005-04-20,36.48,36.78,36.24,36.52,708700
2005-04-21,36.77,36.97,36.4,36.55,376900
2005-04-22,36.6,37.5,36.49,37.5,949000
2005-04-25,37.55,37.99,37.55,37.81,396300
2005-04-26,37.6,37.94,37.6,37.89,572600
2005-04-27,37.79,38.01,37.55,37.89,595000
2005-04-28,37.84,37.88,37.34,37.37,340900
2005-04-29,37.57,38.14,37.33,38.12,599200
2005-05-02,38.17,38.17,37.72,38.11,591600
2005-05-03,38.17,38.4,37.93,38.4,569300
2005-05-04,38.4,38.85,38.16,38.85,670500
2005-05-05,38.9,39.24,38.33,38.55,1234800
2005-05-06,38.55,38.75,37.83,38.45,664400
2005-05-09,38.45,38.9,38.27,38.85,1017000
2005-05-10,38.8,39.15,38.58,38.89,778300
2005-05-11,38.89,38.9,38.26,38.3,1138000
2005-05-12,37.52,38.09,37.5,37.78,984200
2005-05-13,38.0,38.0,37.21,37.3,679500
2005-05-16,37.7,37.78,37.5,37.7,860700
2005-05-17,37.6,38.1,37.47,37.9,821000
2005-05-18,37.89,37.89,37.37,37.7,440600
2005-05-19,37.86,38.28,37.8,38.24,408200
2005-05-20,38.44,38.44,38.0,38.42,532300
2005-05-23,38.4,38.74,38.36,38.5,545400
2005-05-24,38.4,38.41,37.67,37.86,654200
2005-05-25,37.86,37.86,37.43,37.5,697200
2005-05-26,37.68,37.76,37.05,37.1,520200
2005-05-27,37.17,37.3,37.04,37.18,355500
2005-05-31,37.22,37.42,37.1,37.1,573100
2005-06-01,37.11,38.03,37.04,37.81,847300
2005-06-02,37.93,38.25,37.9,38.19,474900
2005-06-03,38.22,38.45,37.97,38.22,504400
2005-06-06,38.36,38.87,38.3,38.85,608400
2005-06-07,38.76,39.76,38.75,39.3,1114800
2005-06-08,39.5,39.79,39.42,39.65,620700
2005-06-09,39.55,39.56,39.29,39.5,470400
2005-06-10,39.47,39.5,39.3,39.5,790200
2005-06-13,39.4,39.69,39.26,39.57,653800
2005-06-14,39.51,40.24,39.51,40.11,590000
2005-06-15,40.24,40.26,39.93,40.13,461600
2005-06-16,40.13,40.34,39.75,40.19,356500
2005-06-17,40.2,40.95,40.14,40.94,490900
2005-06-20,40.74,41.3,40.74,40.91,382700
2005-06-21,40.42,40.64,40.14,40.48,595300
2005-06-22,40.55,40.76,40.25,40.51,367900
2005-06-23,40.49,40.52,39.82,40.0,493300
2005-06-24,39.97,40.13,39.61,39.86,363900
2005-06-27,39.81,40.2,39.52,40.05,451200
2005-06-28,40.0,40.21,39.63,40.2,607100
2005-06-29,40.2,40.69,40.12,40.65,432600
2005-06-30,40.75,40.92,40.22,40.92,581600
2005-07-01,40.98,41.11,40.66,41.04,359800
2005-07-05,40.25,41.52,39.69,41.1,800200
2005-07-06,41.0,41.18,40.84,40.91,457500
2005-07-07,40.48,41.31,40.05,41.22,444700
2005-07-08,41.09,41.8,41.01,41.67,339000
2005-07-11,41.69,42.09,41.64,41.88,462700
2005-07-12,41.88,41.92,41.37,41.72,438300
2005-07-13,41.73,41.82,41.49,41.7,225800
2005-07-14,41.8,41.84,41.12,41.45,484700
2005-07-15,41.52,42.02,41.52,42.0,518600
2005-07-18,42.05,42.71,41.92,42.35,606800
2005-07-19,42.48,43.02,42.48,42.92,317100
2005-07-20,42.92,43.2,42.42,43.14,450000
2005-07-21,43.05,43.1,42.47,42.65,649200
2005-07-22,42.65,43.03,42.55,43.0,217800
2005-07-25,43.1,43.25,42.85,43.05,323100
2005-07-26,43.02,43.72,43.02,43.27,269800
2005-07-27,43.36,43.41,42.8,43.29,443400
2005-07-28,43.29,43.9,43.23,43.72,282800
2005-07-29,43.67,44.01,43.45,44.0,408900
2005-08-01,44.11,44.14,43.55,43.9,434600
2005-08-02,43.79,44.02,43.67,44.01,875600
2005-08-03,43.7,43.75,42.9,43.0,935300
2005-08-04,42.85,42.85,42.0,42.3,780800
2005-08-05,42.3,42.3,40.44,40.68,1121500
2005-08-08,40.65,40.65,39.05,39.1,862100
2005-08-09,39.16,40.08,39.01,39.31,545000
2005-08-10,39.5,40.09,39.32,39.38,637600
2005-08-11,39.58,39.73,39.15,39.18,889300
2005-08-12,39.2,39.5,38.71,39.15,1150500
2005-08-15,39.15,39.72,38.76,39.24,844200
2005-08-16,39.25,40.37,39.25,40.21,637300
2005-08-17,39.66,39.69,39.04,39.15,521200
2005-08-18,39.1,39.11,38.52,38.6,942300
2005-08-19,38.61,38.62,38.1,38.43,473500
2005-08-22,38.42,38.7,38.32,38.51,394900
2005-08-23,38.45,38.78,38.45,38.59,318500
2005-08-24,38.52,39.05,38.52,38.72,430100
2005-08-25,38.75,38.96,38.53,38.82,355700
2005-08-26,38.83,39.0,38.53,38.75,506100
2005-08-29,38.61,38.85,38.16,38.74,540600
2005-08-30,38.64,38.93,38.33,38.81,483500
2005-08-31,38.86,39.91,38.82,39.9,542500
2005-09-01,39.91,40.75,39.69,40.2,709900
2005-09-02,40.2,40.37,39.83,39.96,681500
2005-09-06,40.05,40.93,39.91,40.92,917600
2005-09-07,40.9,40.91,40.27,40.42,691500
2005-09-08,40.17,40.52,40.08,40.18,373600
2005-09-09,40.25,40.48,40.07,40.43,393300
2005-09-12,40.43,40.45,40.07,40.1,438100
2005-09-13,40.0,40.12,39.33,39.41,915100
2005-09-14,39.43,39.49,39.0,39.24,525200
2005-09-15,39.38,39.58,39.2,39.5,445300
2005-09-16,39.66,39.66,39.25,39.42,1102700
2005-09-19,39.4,39.53,39.04,39.2,393000
2005-09-20,39.26,39.68,39.0,39.18,410700
2005-09-21,39.0,39.0,38.47,38.55,543700
2005-09-22,38.32,38.6,37.57,38.56,558600
2005-09-23,38.45,38.76,38.08,38.46,385800
2005-09-26,38.46,38.71,38.42,38.64,408100
2005-09-27,38.65,38.78,38.14,38.59,515900
2005-09-28,38.82,38.85,38.15,38.26,408200
2005-09-29,38.24,38.65,37.82,38.43,529800
2005-09-30,38.4,38.9,38.34,38.78,487800
2005-10-03,39.0,39.34,38.4,38.88,1107000
2005-10-04,38.87,38.87,38.02,38.03,693600
2005-10-05,37.96,37.96,36.98,36.99,848500
2005-10-06,37.05,37.17,36.4,36.79,831500
2005-10-07,36.79,37.04,35.95,36.41,632100
2005-10-10,36.47,36.52,35.7,35.86,700100
2005-10-11,35.92,36.64,35.89,36.09,1068100
2005-10-12,35.8,35.95,35.18,35.42,827200
2005-10-13,35.17,35.99,34.93,35.54,1063300
2005-10-14,36.49,36.65,35.72,36.4,942900
2005-10-17,36.39,36.68,35.96,36.44,900500
2005-10-18,36.42,36.57,35.88,35.91,591600
2005-10-19,35.91,36.44,35.45,36.43,996800
2005-10-20,36.38,36.45,35.44,35.73,909300
2005-10-21,35.8,36.22,35.57,36.1,510000
2005-10-24,36.5,37.43,36.5,37.4,775600
2005-10-25,37.04,37.43,36.73,37.0,717100
2005-10-26,37.0,37.32,36.7,36.93,622700
2005-10-27,36.9,37.1,36.59,36.63,430700
2005-10-28,36.78,37.75,36.74,37.74,601900
2005-10-31,37.85,38.58,37.74,38.4,657300
2005-11-01,38.0,38.0,36.78,37.03,1239600
2005-11-02,37.03,37.79,36.71,37.77,649300
2005-11-03,37.75,37.95,37.14,37.5,583500
2005-11-04,37.62,37.81,36.85,37.47,425700
2005-11-07,37.41,37.69,37.23,37.49,571200
2005-11-08,37.09,37.75,36.82,37.75,607000
2005-11-09,37.74,38.84,37.64,38.46,707300
2005-11-10,38.45,39.38,38.07,39.34,661100
2005-11-11,39.4,39.8,39.08,39.58,669600
2005-11-14,39.52,39.76,39.28,39.48,579200
2005-11-15,39.48,39.53,39.27,39.39,769200
2005-11-16,38.79,38.97,38.18,38.44,540200
2005-11-17,38.4,39.18,38.35,39.0,746400
2005-11-18,39.23,39.23,38.77,39.0,661500
2005-11-21,39.0,39.05,38.55,38.97,585000
2005-11-22,38.9,39.48,38.8,39.38,834900
2005-11-23,39.35,39.59,39.2,39.52,639400
2005-11-25,39.6,39.62,39.4,39.6,115600
2005-11-28,39.6,39.6,38.74,38.74,601900
2005-11-29,38.78,38.9,38.65,38.9,564100
2005-11-30,38.9,39.05,38.7,38.73,684000
2005-12-01,38.93,39.59,38.92,39.53,571400
2005-12-02,39.4,39.47,39.16,39.45,359500
2005-12-05,39.06,39.23,38.69,38.81,817500
2005-12-06,38.9,38.91,38.58,38.68,505900
2005-12-07,38.68,38.74,38.24,38.39,506000
2005-12-08,38.37,38.98,38.03,38.44,706300
2005-12-09,38.36,38.9,38.3,38.47,685800
2005-12-12,38.57,38.74,38.1,38.3,432500
2005-12-13,38.24,38.74,38.12,38.73,519200
2005-12-14,38.4,38.74,38.39,38.55,493100
2005-12-15,38.51,38.9,37.95,38.04,816500
2005-12-16,38.41,38.84,38.35,38.72,873900
2005-12-19,38.63,38.75,37.69,37.71,466200
2005-12-20,38.65,38.65,37.9,38.34,904200
2005-12-21,38.54,38.6,38.3,38.51,557600
2005-12-22,38.5,38.85,38.21,38.8,493300
2005-12-23,38.99,39.38,38.9,39.35,446000
2005-12-27,39.36,39.44,38.84,38.93,272900
2005-12-28,38.89,38.95,38.31,38.46,281700
2005-12-29,38.6,38.65,38.1,38.31,554700
2005-12-30,38.3,38.35,37.8,37.87,684700
2006-01-03,37.92,38.85,37.76,38.72,466200
2006-01-04,38.91,39.09,38.64,39.07,688400
2006-01-05,39.07,39.81,39.0,39.72,1017700
2006-01-06,39.85,40.24,39.76,40.22,948400
2006-01-09,40.25,40.75,40.24,40.65,893600
2006-01-10,40.6,41.36,40.37,41.31,1221600
2006-01-11,41.31,41.42,40.82,41.25,961300
2006-01-12,41.27,41.41,41.06,41.41,607900
2006-01-13,41.41,41.41,40.63,40.77,707200
2006-01-17,40.78,40.83,40.33,40.67,430500
2006-01-18,40.68,40.98,40.37,40.57,354300
2006-01-19,40.75,41.05,40.59,41.0,434100
2006-01-20,41.0,41.0,40.36,40.4,541100
2006-01-23,40.6,40.95,40.5,40.8,293300
2006-01-24,40.97,41.61,40.88,41.41,475400
2006-01-25,41.28,41.84,41.28,41.81,484900
2006-01-26,41.91,42.14,41.82,41.94,700300
2006-01-27,42.0,42.74,41.9,42.58,486400
2006-01-30,42.58,42.58,42.1,42.25,302500
2006-01-31,42.24,43.0,42.05,42.52,586700
2006-02-01,42.8,43.35,42.5,42.8,1114200
2006-02-02,42.85,43.05,42.61,42.81,896800
2006-02-03,42.64,42.9,41.8,42.37,503000
2006-02-06,42.35,42.72,42.2,42.7,455600
2006-02-07,42.7,42.86,42.08,42.15,536200
2006-02-08,42.12,43.1,41.4,42.41,1176900
2006-02-09,42.5,42.65,42.02,42.4,643600
2006-02-10,43.45,43.49,42.41,42.98,636800
2006-02-13,42.72,43.01,42.67,42.96,833900
2006-02-14,43.0,43.13,42.33,42.89,816200
2006-02-15,42.89,43.56,42.79,43.48,799000
2006-02-16,43.48,43.48,43.22,43.3,695900
2006-02-17,43.46,43.78,43.15,43.64,1277800
2006-02-21,43.65,44.09,43.45,43.8,578900
2006-02-22,43.8,44.09,43.47,43.97,862600
2006-02-23,43.97,44.05,43.48,43.87,833900
2006-02-24,43.83,43.98,43.64,43.9,510200
2006-02-27,44.3,44.45,43.89,44.33,761200
2006-02-28,44.23,44.44,44.0,44.31,1150200
2006-03-01,44.22,44.57,44.11,44.57,813500
2006-03-02,44.47,44.54,44.05,44.5,525500
2006-03-03,44.35,44.4,43.76,43.94,893500
2006-03-06,44.05,45.25,43.89,44.98,732100
2006-03-07,44.98,44.98,44.08,44.32,475600
2006-03-08,44.25,44.32,43.73,44.2,713700
2006-03-09,44.25,44.67,44.11,44.66,823900
2006-03-10,44.57,45.22,44.55,45.0,674800
2006-03-13,45.0,45.37,44.66,45.02,659600
2006-03-14,45.02,45.59,44.9,45.48,547500
2006-03-15,45.6,46.74,45.55,46.52,744300
2006-03-16,46.8,47.54,46.65,47.21,451100
2006-03-17,46.9,47.51,46.78,47.51,476700
2006-03-20,47.4,47.46,46.19,46.95,485500
2006-03-21,47.05,47.2,46.25,46.79,827700
2006-03-22,46.62,47.14,46.28,47.05,548000
2006-03-23,47.2,47.2,46.71,47.0,1117400
2006-03-24,47.01,47.37,46.87,47.19,584300
2006-03-27,47.09,47.13,46.5,46.85,513200
2006-03-28,46.85,47.79,46.59,47.45,545300
2006-03-29,47.49,48.38,47.49,48.14,443900
2006-03-30,47.85,48.03,46.77,47.03,543800
2006-03-31,46.86,47.09,46.37,46.9,515900
2006-04-03,47.0,47.23,45.78,45.96,690300
2006-04-04,45.85,46.01,45.33,45.96,642100
2006-04-05,46.06,46.69,46.06,46.44,474100
2006-04-06,46.45,46.95,45.89,46.05,448300
2006-04-07,46.0,46.19,45.11,45.11,502900
2006-04-10,45.05,45.06,44.45,44.57,454200
2006-04-11,44.65,44.8,44.24,44.24,485500
2006-04-12,44.3,44.75,44.3,44.55,483700
2006-04-13,44.45,44.46,43.8,43.91,510200
2006-04-17,43.9,44.16,43.66,43.74,429300
2006-04-18,43.99,45.4,43.87,45.14,647700
2006-04-19,45.12,46.3,45.1,46.17,700200
2006-04-20,46.23,46.34,45.53,46.21,486600
2006-04-21,46.46,46.51,45.83,46.05,452400
2006-04-24,45.9,46.09,45.64,45.83,444400
2006-04-25,45.76,45.82,44.52,44.65,737700
2006-04-26,44.9,44.95,44.28,44.83,776300
2006-04-27,44.73,45.22,44.31,44.83,684100
2006-04-28,44.88,45.39,44.59,44.69,475300
2006-05-01,44.62,45.08,44.0,44.14,521200
2006-05-02,44.15,44.18,43.26,43.48,778400
