Date,Open,High,Low,Close,Volume
2005-01-03,19.5,19.52,18.96,19.02,366000
2005-01-04,19.02,19.02,18.2,18.25,468000
2005-01-05,18.15,18.24,17.81,17.81,597800
2005-01-06,17.81,18.18,17.16,18.16,1526600
2005-01-07,18.16,18.42,17.88,18.22,910200
2005-01-10,18.15,18.5,18.08,18.08,634000
2005-01-11,18.08,18.08,17.75,17.9,671200
2005-01-12,17.85,17.98,17.31,17.88,778800
2005-01-13,17.88,17.88,17.54,17.65,764800
2005-01-14,17.42,17.42,16.95,17.04,5539000
2005-01-18,17.0,17.26,16.9,17.22,1380200
2005-01-19,17.25,17.29,16.96,17.04,770000
2005-01-20,16.85,17.1,16.8,17.0,1042200
2005-01-21,17.0,17.15,16.95,17.07,765400
2005-01-24,17.06,17.11,16.96,17.0,1005000
2005-01-25,17.06,17.17,17.0,17.06,661800
2005-01-26,17.06,17.15,17.0,17.1,513800
2005-01-27,17.1,17.2,17.04,17.11,486200
2005-01-28,17.15,17.16,17.0,17.08,478200
2005-01-31,17.28,17.56,17.19,17.56,1008000
2005-02-01,17.56,17.7,17.52,17.7,822000
2005-02-02,17.7,17.78,17.5,17.78,485200
2005-02-03,17.8,17.8,17.4,17.58,752600
2005-02-04,17.59,17.84,17.57,17.82,788800
2005-02-07,17.85,18.1,17.82,18.02,1132800
2005-02-08,18.05,18.26,17.94,18.26,1179600
2005-02-09,18.29,18.3,17.97,18.08,662000
2005-02-10,18.1,18.28,17.96,18.08,385800
2005-02-11,18.08,18.1,17.85,18.0,629000
2005-02-14,17.96,18.02,17.78,18.0,361600
2005-02-15,17.98,18.06,17.71,17.82,474400
2005-02-16,17.8,18.04,17.7,17.95,329600
2005-02-17,17.94,17.94,17.5,17.56,657000
2005-02-18,17.61,17.77,17.48,17.52,437800
2005-02-22,17.48,17.55,17.1,17.12,444200
2005-02-23,17.24,17.46,17.18,17.42,537400
2005-02-24,18.25,18.69,17.94,18.59,1353800
2005-02-25,18.72,19.17,18.64,19.16,826800
2005-02-28,19.15,19.19,18.83,19.0,700000
2005-03-01,19.02,19.36,19.02,19.2,373600
2005-03-02,19.02,19.34,18.92,19.08,376200
2005-03-03,19.15,19.32,19.02,19.11,264800
2005-03-04,19.15,19.54,19.1,19.46,255400
2005-03-07,19.48,19.52,19.2,19.28,169400
2005-03-08,19.25,19.38,19.0,19.32,423400
2005-03-09,19.25,19.49,18.9,18.92,633000
2005-03-10,18.92,19.06,18.7,18.86,331800
2005-03-11,18.8,18.88,18.54,18.58,938600
2005-03-14,18.58,19.03,18.58,18.84,633400
2005-03-15,18.92,19.05,18.52,18.65,369800
2005-03-16,18.6,18.6,18.28,18.38,357400
2005-03-17,18.38,18.85,18.33,18.76,445200
2005-03-18,18.88,18.97,18.72,18.95,760800
2005-03-21,19.0,19.0,18.57,18.64,276400
2005-03-22,18.64,18.66,18.12,18.13,744600
2005-03-23,18.05,18.38,17.98,18.16,363200
2005-03-24,18.28,18.51,18.25,18.29,235600
2005-03-28,18.32,18.38,18.05,18.14,198800
2005-03-29,18.16,18.3,17.63,17.68,451400
2005-03-30,17.66,18.2,17.66,18.2,369600
2005-03-31,18.19,18.22,18.05,18.18,478600
2005-04-01,18.38,18.48,17.94,17.99,418800
2005-04-04,17.95,18.14,17.68,18.08,298200
2005-04-05,18.14,18.23,18.06,18.21,228400
2005-04-06,18.26,18.4,18.1,18.1,267800
2005-04-07,18.1,18.2,17.92,18.14,184400
2005-04-08,18.12,18.12,17.75,17.78,361200
2005-04-11,17.78,17.82,17.52,17.68,274600
2005-04-12,17.74,17.92,17.42,17.76,605000
2005-04-13,17.68,17.69,17.16,17.24,600800
2005-04-14,17.26,17.42,17.1,17.16,723600
2005-04-15,16.85,16.86,16.1,16.23,902400
2005-04-18,16.25,16.48,16.02,16.4,552800
2005-04-19,16.48,16.72,16.48,16.66,312800
2005-04-20,16.62,16.72,16.2,16.24,462400
2005-04-21,16.48,16.72,16.26,16.72,485000
2005-04-22,16.65,16.65,16.2,16.33,555000
2005-04-25,16.44,16.98,16.4,16.88,926400
2005-04-26,17.8,18.22,17.52,17.87,1427000
2005-04-27,17.82,18.0,17.26,17.85,815000
2005-04-28,17.86,18.08,17.7,17.8,621200
2005-04-29,17.92,18.32,17.9,18.3,724600
2005-05-02,18.28,18.47,18.06,18.45,625400
2005-05-03,18.4,18.77,18.4,18.51,629400
2005-05-04,18.68,18.99,18.65,18.95,359000
2005-05-05,18.92,19.08,18.55,18.65,655400
2005-05-06,18.78,18.92,18.62,18.74,344200
2005-05-09,18.68,18.84,18.46,18.81,403600
2005-05-10,18.7,18.7,18.26,18.35,413600
2005-05-11,18.35,18.67,18.04,18.66,631200
2005-05-12,18.65,19.0,18.35,18.45,925800
2005-05-13,18.52,18.52,17.88,18.12,668600
2005-05-16,18.12,18.6,18.04,18.6,540400
2005-05-17,18.56,18.78,18.49,18.75,727000
2005-05-18,18.9,19.45,18.9,19.34,428000
2005-05-19,19.33,19.4,18.92,19.0,412800
2005-05-20,19.0,19.0,18.8,18.96,274600
2005-05-23,19.01,19.32,18.98,19.24,335400
2005-05-24,19.18,19.3,18.96,19.24,466600
2005-05-25,19.24,19.26,18.63,19.06,561400
2005-05-26,19.22,19.32,19.09,19.26,356000
2005-05-27,19.22,19.3,19.06,19.28,281400
2005-05-31,19.28,19.33,19.0,19.02,289400
2005-06-01,19.11,19.47,19.08,19.3,442000
2005-06-02,19.22,19.22,18.74,18.88,548200
2005-06-03,18.88,19.02,18.41,18.6,589000
2005-06-06,18.6,18.65,18.42,18.54,530400
2005-06-07,18.55,18.81,18.45,18.51,615400
2005-06-08,18.52,18.52,18.11,18.2,409000
2005-06-09,18.2,18.2,17.9,18.08,354000
2005-06-10,18.12,18.18,17.85,17.93,699200
2005-06-13,17.86,18.02,17.79,17.94,628200
2005-06-14,17.94,18.1,17.92,18.0,415000
2005-06-15,18.05,18.05,17.8,18.0,561400
2005-06-16,18.0,18.14,17.9,18.02,498600
2005-06-17,18.12,18.2,18.02,18.05,889400
2005-06-20,17.85,18.04,17.76,17.91,475800
2005-06-21,17.88,17.92,17.64,17.76,688000
2005-06-22,17.82,17.88,17.7,17.8,437000
2005-06-23,17.8,17.85,17.3,17.35,525600
2005-06-24,17.34,17.52,17.22,17.5,2402000
2005-06-27,17.38,17.78,17.38,17.64,748600
2005-06-28,18.25,18.38,18.1,18.22,1130000
2005-06-29,18.26,18.35,18.23,18.3,504200
2005-06-30,18.35,18.42,18.24,18.24,396600
2005-07-01,18.22,18.35,18.18,18.34,354000
2005-07-05,18.25,18.28,17.88,17.9,614600
2005-07-06,17.9,17.96,17.62,17.62,467400
2005-07-07,17.5,17.88,17.42,17.84,240200
2005-07-08,17.84,18.37,17.83,18.35,221600
2005-07-11,18.32,18.92,18.32,18.6,362800
2005-07-12,18.58,18.82,18.4,18.66,311000
2005-07-13,18.62,18.74,18.48,18.65,252800
2005-07-14,18.64,18.8,18.34,18.36,401200
2005-07-15,18.36,18.5,18.28,18.41,153000
2005-07-18,18.38,18.73,18.38,18.58,756200
2005-07-19,18.72,19.26,18.7,19.18,703600
2005-07-20,19.05,19.06,18.18,18.5,1297400
2005-07-21,18.5,18.59,18.21,18.5,777400
2005-07-22,18.59,18.7,18.36,18.63,367000
2005-07-25,18.7,18.94,18.65,18.8,504800
2005-07-26,18.8,18.98,18.58,18.9,672200
2005-07-27,19.0,19.14,18.94,19.06,431000
2005-07-28,19.06,19.21,19.06,19.18,213400
2005-07-29,19.14,19.2,18.9,19.05,621000
2005-08-01,19.06,19.08,18.8,18.82,347400
2005-08-02,18.89,19.06,18.88,18.98,319800
2005-08-03,18.95,19.0,18.76,18.98,314000
2005-08-04,18.92,18.92,18.65,18.76,181200
2005-08-05,18.74,18.75,18.55,18.64,303600
2005-08-08,18.64,18.8,18.62,18.68,350000
2005-08-09,18.68,18.74,18.58,18.7,552200
2005-08-10,18.88,18.88,18.51,18.62,213400
2005-08-11,18.62,18.92,18.6,18.68,333800
2005-08-12,18.6,18.72,18.52,18.66,378600
2005-08-15,18.66,18.69,18.38,18.46,341200
2005-08-16,18.44,18.44,18.18,18.22,499400
2005-08-17,18.22,18.22,17.94,18.1,422800
2005-08-18,18.08,18.18,18.0,18.04,412800
2005-08-19,18.1,18.1,17.92,17.98,160800
2005-08-22,17.98,18.24,17.94,18.22,286200
2005-08-23,18.22,18.22,17.6,17.65,286400
2005-08-24,17.55,17.77,17.35,17.43,380200
2005-08-25,17.5,17.8,17.37,17.74,402000
2005-08-26,17.75,17.8,17.63,17.72,426800
2005-08-29,17.73,17.96,17.7,17.96,368800
2005-08-30,17.96,17.96,17.76,17.92,506000
2005-08-31,17.9,18.16,17.78,18.16,249400
2005-09-01,18.18,18.3,17.94,17.94,192400
2005-09-02,17.96,18.02,17.86,17.88,158800
2005-09-06,17.95,18.24,17.95,18.04,223600
2005-09-07,18.1,18.22,17.96,18.0,286800
2005-09-08,18.0,18.04,17.9,18.01,386000
2005-09-09,18.0,18.1,17.98,18.06,342200
2005-09-12,18.04,18.1,17.86,17.89,446400
2005-09-13,17.89,18.02,17.79,17.86,409400
2005-09-14,17.94,18.07,17.9,17.98,305400
2005-09-15,17.99,18.01,17.87,18.0,393400
2005-09-16,18.0,18.1,17.92,18.02,1225200
2005-09-19,18.04,18.1,17.94,18.02,447000
2005-09-20,18.02,18.11,16.98,17.32,3583600
2005-09-21,17.8,18.35,17.76,17.98,2276400
2005-09-22,17.98,18.04,17.83,18.0,499200
2005-09-23,18.0,18.41,17.98,18.4,678400
2005-09-26,18.5,18.57,18.21,18.28,323000
2005-09-27,18.28,18.38,18.02,18.28,344000
2005-09-28,18.25,18.26,18.0,18.1,239600
2005-09-29,18.12,18.38,18.04,18.28,363400
2005-09-30,18.28,18.88,18.26,18.85,526400
2005-10-03,18.89,19.02,18.89,18.95,584400
2005-10-04,18.95,19.0,18.74,18.79,580200
2005-10-05,18.76,18.76,18.18,18.22,449000
2005-10-06,18.28,18.48,18.15,18.3,760000
2005-10-07,18.38,18.55,18.16,18.24,347800
2005-10-10,18.32,18.48,18.16,18.39,481600
2005-10-11,18.38,18.67,18.3,18.62,616000
2005-10-12,18.62,18.7,17.91,18.01,1742200
2005-10-13,18.02,18.1,17.75,18.06,740200
2005-10-14,18.19,18.3,17.92,18.18,528000
2005-10-17,18.18,18.3,18.14,18.26,349800
2005-10-18,17.82,17.83,17.32,17.76,2306800
2005-10-19,17.7,17.74,17.38,17.72,1245000
2005-10-20,17.72,17.82,17.6,17.75,1049400
2005-10-21,17.75,18.0,17.72,17.78,625000
2005-10-24,17.85,17.98,17.71,17.92,526800
2005-10-25,17.75,17.76,17.0,17.38,1032200
2005-10-26,17.38,17.52,17.29,17.3,1133400
2005-10-27,17.22,17.23,16.7,16.76,908600
2005-10-28,16.84,17.12,16.8,17.1,731400
2005-10-31,17.5,17.59,17.35,17.54,723200
2005-11-01,17.5,17.68,17.48,17.64,956600
2005-11-02,17.64,17.84,17.55,17.81,466800
2005-11-03,18.05,18.05,17.91,17.97,1420800
2005-11-04,18.0,18.0,17.8,17.9,430600
2005-11-07,17.88,18.04,17.84,17.96,415600
2005-11-08,17.96,18.21,17.84,18.16,507200
2005-11-09,18.16,18.23,18.02,18.2,451000
2005-11-10,18.19,18.51,18.05,18.38,596800
2005-11-11,18.38,18.6,18.38,18.59,341400
2005-11-14,18.6,18.62,18.34,18.57,325200
2005-11-15,18.54,18.62,18.38,18.43,427400
2005-11-16,18.44,18.5,18.38,18.46,328400
2005-11-17,18.46,18.66,18.4,18.6,269000
2005-11-18,18.68,18.75,18.54,18.68,254200
2005-11-21,18.65,18.74,18.54,18.69,297800
2005-11-22,18.68,18.74,18.62,18.7,190600
2005-11-23,18.62,18.72,18.56,18.62,123800
2005-11-25,18.68,18.75,18.64,18.74,51000
2005-11-28,18.75,18.78,18.41,18.55,289600
2005-11-29,18.55,18.76,18.48,18.59,479800
2005-11-30,18.62,18.78,18.34,18.4,370400
2005-12-01,18.5,18.69,18.5,18.68,875800
2005-12-02,18.68,18.93,18.6,18.9,341000
2005-12-05,18.82,18.84,18.57,18.8,271800
2005-12-06,18.88,19.05,18.72,19.0,274200
2005-12-07,18.88,19.18,18.84,19.04,475400
2005-12-08,19.0,19.05,18.69,18.82,198000
2005-12-09,18.82,18.84,18.6,18.75,206000
2005-12-12,18.75,18.78,18.64,18.72,257600
2005-12-13,18.61,19.31,18.61,19.14,721600
2005-12-14,19.14,19.24,18.94,19.1,374400
2005-12-15,19.1,19.11,18.9,19.0,258800
2005-12-16,19.01,19.06,18.98,18.98,288000
2005-12-19,19.0,19.01,18.64,18.66,489800
2005-12-20,18.66,18.82,18.58,18.65,240800
2005-12-21,18.65,18.8,18.64,18.65,386000
2005-12-22,18.68,19.06,18.6,19.06,201800
2005-12-23,19.08,19.46,19.08,19.43,269600
2005-12-27,19.42,19.54,19.21,19.3,204000
2005-12-28,19.38,19.48,19.38,19.46,256200
2005-12-29,19.58,19.75,19.4,19.44,236200
2005-12-30,19.35,19.46,19.16,19.18,168800
2006-01-03,19.29,21.0,19.29,20.48,2859400
2006-01-04,20.04,20.36,19.78,20.08,1344000
2006-01-05,20.08,20.18,20.0,20.08,520800
2006-01-06,20.1,20.11,19.86,19.94,541600
2006-01-09,19.82,20.0,19.7,19.96,544800
2006-01-10,19.9,20.0,19.78,19.91,353800
2006-01-11,19.91,19.93,19.81,19.83,235000
2006-01-12,19.84,20.0,19.76,19.8,242600
2006-01-13,19.81,19.98,19.8,19.82,143800
2006-01-17,19.75,19.95,19.7,19.9,194000
2006-01-18,19.85,19.91,19.62,19.77,214000
2006-01-19,19.81,20.0,19.76,19.98,173000
2006-01-20,19.97,19.97,19.42,19.42,234600
2006-01-23,19.43,19.9,19.43,19.76,253000
2006-01-24,19.78,20.2,19.78,20.12,411200
2006-01-25,20.12,20.32,19.68,19.76,322400
2006-01-26,20.5,21.42,20.28,21.22,2363000
2006-01-27,21.24,22.08,20.8,22.08,1186800
2006-01-30,22.08,22.08,21.68,21.68,962800
2006-01-31,21.68,21.88,21.67,21.88,717200
2006-02-01,21.78,22.08,21.78,22.0,725600
2006-02-02,22.0,23.22,22.0,22.57,1365600
2006-02-03,21.62,21.84,20.88,21.64,1451200
2006-02-06,21.64,22.1,21.62,22.03,747600
2006-02-07,21.96,22.02,21.6,21.66,488200
2006-02-08,21.69,21.73,21.42,21.66,533000
2006-02-09,21.63,21.88,21.33,21.38,586200
2006-02-10,21.35,21.74,21.22,21.62,335000
2006-02-13,21.55,21.55,20.88,21.38,1157400
2006-02-14,21.39,21.72,21.24,21.56,468000
2006-02-15,21.52,21.54,21.32,21.48,299800
2006-02-16,21.55,21.64,21.44,21.52,204600
2006-02-17,21.55,21.6,21.39,21.5,256800
2006-02-21,21.5,21.59,21.39,21.59,268400
2006-02-22,21.6,21.75,21.13,21.19,554200
2006-02-23,21.12,21.37,20.82,21.12,719600
2006-02-24,21.12,21.18,20.8,21.03,770000
2006-02-27,21.03,21.36,20.98,21.22,265000
2006-02-28,21.16,21.37,21.08,21.22,348200
2006-03-01,21.22,21.89,21.22,21.89,599000
