Date,Open,High,Low,Close,Volume
2005-01-03,10.61,10.66,10.55,10.56,818775
2005-01-04,10.55,10.6,10.05,10.29,904500
2005-01-05,10.29,10.29,10.07,10.1,1370250
2005-01-06,10.1,10.23,10.05,10.18,1195425
2005-01-07,10.21,10.22,10.08,10.18,662512
2005-01-10,10.07,10.34,10.07,10.24,878175
2005-01-11,10.2,10.28,10.06,10.19,1480950
2005-01-12,10.2,10.31,10.04,10.29,1462725
2005-01-13,10.29,10.37,10.2,10.25,915638
2005-01-14,10.3,10.37,10.19,10.37,1573088
2005-01-18,10.38,10.55,10.25,10.44,1139062
2005-01-19,10.41,10.44,10.36,10.38,982462
2005-01-20,10.38,10.38,10.23,10.28,804262
2005-01-21,10.3,10.35,10.15,10.15,436050
2005-01-24,10.18,10.19,10.03,10.07,990900
2005-01-25,10.07,10.32,10.07,10.31,1234912
2005-01-26,10.37,11.21,10.37,11.08,2810700
2005-01-27,11.08,11.51,11.08,11.23,2824200
2005-01-28,11.25,11.29,10.99,11.02,1613925
2005-01-31,11.08,11.33,11.05,11.32,1443150
2005-02-01,11.33,11.41,11.29,11.33,1244025
2005-02-02,11.3,11.45,11.27,11.38,962888
2005-02-03,11.36,11.38,11.25,11.37,715162
2005-02-04,11.32,11.88,11.31,11.72,2945700
2005-02-07,11.69,11.76,11.56,11.67,642262
2005-02-08,11.67,11.82,11.67,11.7,1047938
2005-02-09,11.68,11.68,11.45,11.48,1079662
2005-02-10,11.48,11.51,11.19,11.23,1911938
2005-02-11,11.23,11.45,11.17,11.38,1375312
2005-02-14,11.38,11.48,11.37,11.4,655425
2005-02-15,11.36,11.5,11.3,11.39,730012
2005-02-16,11.32,11.42,11.32,11.39,1040175
2005-02-17,11.37,11.38,11.19,11.21,1026338
2005-02-18,11.24,11.26,11.12,11.16,358088
2005-02-22,11.08,11.25,10.96,11.06,564300
2005-02-23,11.08,11.16,11.05,11.05,497138
2005-02-24,11.05,11.17,11.0,11.13,716850
2005-02-25,11.13,11.28,11.13,11.27,1018575
2005-02-28,11.26,11.42,11.25,11.36,930825
2005-03-01,11.36,11.44,11.24,11.39,966938
2005-03-02,11.38,11.58,11.36,11.5,715838
2005-03-03,11.5,11.73,11.49,11.69,1431338
2005-03-04,11.72,11.86,11.64,11.85,1135688
2005-03-07,11.91,12.01,11.89,12.01,910575
2005-03-08,12.08,12.2,12.06,12.13,1411425
2005-03-09,12.0,12.06,11.91,11.94,863662
2005-03-10,11.9,12.04,11.79,11.95,517725
2005-03-11,11.92,12.12,11.91,11.98,478912
2005-03-14,12.04,12.28,12.04,12.14,1229850
2005-03-15,12.19,12.22,12.05,12.13,534600
2005-03-16,12.06,12.09,11.79,11.93,691200
2005-03-17,11.97,12.11,11.91,12.05,583200
2005-03-18,12.37,12.39,12.1,12.19,1212638
2005-03-21,12.16,12.16,11.97,12.03,839025
2005-03-22,11.98,12.06,11.83,11.87,665550
2005-03-23,11.8,11.91,11.7,11.87,851850
2005-03-24,11.9,12.04,11.83,11.97,392850
2005-03-28,11.97,12.13,11.94,11.99,1011488
2005-03-29,11.99,12.06,11.85,11.88,919350
2005-03-30,11.88,11.99,11.85,11.88,934875
2005-03-31,11.88,11.93,11.82,11.93,1616962
2005-04-01,11.91,11.93,11.76,11.84,753300
2005-04-04,11.87,11.9,11.66,11.85,744525
2005-04-05,11.87,11.87,11.8,11.83,827550
2005-04-06,11.85,11.93,11.81,11.82,679050
2005-04-07,11.84,11.88,11.78,11.87,830925
2005-04-08,11.87,11.9,11.82,11.86,969300
2005-04-11,11.89,11.93,11.85,11.9,1349325
2005-04-12,11.89,12.02,11.73,11.97,737775
2005-04-13,11.93,12.0,11.83,11.89,781650
2005-04-14,11.88,11.88,11.56,11.7,1439775
2005-04-15,11.57,11.64,11.01,11.27,3723300
2005-04-18,11.26,11.33,11.13,11.28,1355062
2005-04-19,11.29,11.53,11.29,11.53,918338
2005-04-20,11.67,11.74,10.96,11.24,3204900
2005-04-21,11.29,11.5,11.16,11.48,1576462
2005-04-22,11.47,11.56,11.31,11.4,1687838
2005-04-25,11.41,11.56,11.41,11.55,1082362
2005-04-26,11.53,11.59,11.38,11.38,750600
2005-04-27,11.35,11.35,11.13,11.13,1801575
2005-04-28,11.13,11.19,10.98,11.17,2236612
