Date,Open,High,Low,Close,Volume
2005-01-03,67.4,68.09,66.71,66.86,508200
2005-01-04,66.86,67.08,65.25,65.79,631900
2005-01-05,65.75,65.75,64.22,64.25,482600
2005-01-06,64.26,64.75,64.24,64.45,370600
2005-01-07,64.6,64.92,64.28,64.37,369400
2005-01-10,64.3,64.77,64.0,64.27,341000
2005-01-11,64.27,64.4,63.69,63.75,310600
2005-01-12,63.55,63.67,62.56,63.1,505800
2005-01-13,63.1,63.26,62.52,62.64,282800
2005-01-14,62.7,63.04,62.59,62.91,278200
2005-01-18,62.81,62.92,62.39,62.56,511200
2005-01-19,62.75,62.92,62.0,62.17,712400
2005-01-20,62.02,62.02,60.9,61.55,1263900
2005-01-21,61.55,61.69,60.73,60.84,358000
2005-01-24,60.94,61.36,60.25,60.34,302200
2005-01-25,60.33,60.97,60.29,60.7,436100
2005-01-26,61.3,62.4,60.85,62.31,953400
2005-01-27,63.05,63.77,62.63,63.31,545000
2005-01-28,62.75,63.8,62.04,62.56,579000
2005-01-31,63.05,63.72,63.05,63.41,362300
2005-02-01,63.42,64.52,63.18,64.24,430400
2005-02-02,64.1,64.6,63.92,64.16,330300
2005-02-03,64.2,64.25,63.54,63.76,385500
2005-02-04,63.9,64.69,63.75,64.6,310800
2005-02-07,64.35,64.71,63.94,64.0,404000
2005-02-08,64.15,64.55,64.05,64.5,232000
2005-02-09,64.75,64.93,64.18,64.25,272800
2005-02-10,64.25,64.72,64.25,64.65,190500
2005-02-11,64.6,65.84,64.34,65.77,197000
2005-02-14,65.6,65.9,65.28,65.42,450500
2005-02-15,65.45,65.88,65.12,65.46,181200
2005-02-16,65.46,65.46,65.0,65.21,177700
2005-02-17,65.3,65.71,65.26,65.33,365400
2005-02-18,65.34,65.53,64.47,64.85,319300
2005-02-22,64.75,65.35,63.62,63.69,1284900
2005-02-23,64.2,64.2,63.72,63.86,844000
2005-02-24,63.87,63.87,63.3,63.6,440000
2005-02-25,63.15,64.25,63.15,64.17,376000
2005-02-28,64.2,65.0,64.0,64.76,596100
2005-03-01,64.8,66.15,64.77,66.02,402000
2005-03-02,65.95,66.25,65.6,65.68,313500
2005-03-03,65.7,65.9,64.65,65.35,239500
2005-03-04,65.55,66.63,65.5,66.18,294300
2005-03-07,66.18,66.36,65.64,65.94,186800
2005-03-08,65.85,66.22,65.78,65.86,182100
2005-03-09,65.86,65.9,65.37,65.44,263700
2005-03-10,65.49,65.65,65.02,65.5,129500
2005-03-11,65.63,65.65,64.45,64.55,357400
2005-03-14,64.55,64.75,64.46,64.65,341000
2005-03-15,64.9,65.68,64.5,65.0,437900
2005-03-16,64.85,64.85,64.37,64.65,241200
2005-03-17,64.66,64.89,64.1,64.57,191900
2005-03-18,64.68,64.7,64.07,64.31,226800
2005-03-21,64.2,64.3,63.03,63.25,277500
2005-03-22,63.05,63.22,62.2,62.26,410600
2005-03-23,61.95,61.98,61.21,61.62,312700
2005-03-24,61.5,62.66,61.5,61.85,205700
2005-03-28,61.9,62.05,60.9,61.15,608700
2005-03-29,61.15,61.16,59.82,59.82,621300
2005-03-30,60.07,60.94,60.0,60.94,729700
2005-03-31,60.83,62.11,60.77,62.03,443300
2005-04-01,62.28,62.95,61.25,61.59,442800
2005-04-04,61.59,63.01,61.2,62.77,380800
2005-04-05,62.77,63.14,62.5,62.63,592600
2005-04-06,62.63,62.63,61.61,61.7,747800
2005-04-07,61.71,61.92,61.38,61.75,463000
2005-04-08,61.76,61.77,61.19,61.36,363200
2005-04-11,61.4,61.46,60.24,60.41,496800
2005-04-12,60.3,60.4,58.71,60.1,873000
2005-04-13,60.25,60.25,58.0,58.31,1068900
2005-04-14,58.65,59.05,58.25,58.44,872000
2005-04-15,58.3,58.49,57.08,57.08,457900
2005-04-18,57.22,58.42,57.22,58.17,521200
2005-04-19,60.35,61.7,59.2,59.47,1100500
2005-04-20,59.5,59.6,58.67,58.69,640900
2005-04-21,58.94,60.12,58.52,60.03,551900
2005-04-22,61.2,62.01,60.84,61.08,854200
2005-04-25,61.33,62.99,61.2,62.55,659700
2005-04-26,61.75,63.05,61.75,62.25,575200
2005-04-27,62.25,62.82,61.13,62.45,471900
2005-04-28,62.46,62.46,61.7,61.7,367800
2005-04-29,61.95,62.58,61.71,62.53,498900
2005-05-02,62.68,62.75,62.1,62.54,414000
2005-05-03,62.65,62.95,61.62,62.0,450900
2005-05-04,62.2,64.22,62.2,64.19,934400
2005-05-05,64.1,64.17,62.9,63.6,487800
2005-05-06,63.75,63.78,62.83,62.96,424800
2005-05-09,62.96,63.45,62.7,63.4,393100
2005-05-10,63.25,63.25,62.55,62.81,408100
2005-05-11,62.91,63.02,62.4,62.81,804900
2005-05-12,62.81,63.41,61.79,61.84,703800
2005-05-13,61.97,62.0,61.05,61.56,381800
2005-05-16,61.5,63.3,61.46,63.3,337400
2005-05-17,63.05,63.26,61.96,63.19,496400
2005-05-18,63.4,65.05,63.4,64.9,597100
2005-05-19,64.8,65.25,64.5,64.96,987900
2005-05-20,64.89,65.09,64.34,64.95,124700
2005-05-23,64.85,65.38,64.69,65.25,417800
2005-05-24,65.25,66.1,64.85,65.99,398100
2005-05-25,66.0,66.03,65.25,65.45,326900
2005-05-26,65.45,66.34,65.45,66.16,776000
2005-05-27,66.3,66.4,66.05,66.25,175700
2005-05-31,66.24,66.95,65.95,66.7,138500
2005-06-01,66.45,67.48,66.4,67.08,334200
2005-06-02,66.97,67.33,66.7,67.29,253700
2005-06-03,67.3,67.68,66.93,67.16,274200
2005-06-06,67.17,67.62,66.97,67.6,259300
2005-06-07,67.7,68.0,67.12,67.21,216700
2005-06-08,67.21,67.4,66.37,66.4,203300
2005-06-09,66.48,67.57,66.14,67.25,306200
2005-06-10,67.2,67.45,67.05,67.18,149200
2005-06-13,67.2,67.5,66.84,66.98,213100
2005-06-14,66.98,67.33,66.7,67.03,158200
2005-06-15,67.2,67.22,66.39,66.62,264500
2005-06-16,66.63,66.93,66.39,66.9,201700
2005-06-17,66.9,67.2,66.35,67.2,247800
2005-06-20,67.1,67.1,66.15,66.45,268100
2005-06-21,66.4,66.75,65.6,65.72,381400
2005-06-22,65.8,66.2,65.45,65.87,264900
2005-06-23,65.95,65.95,64.85,64.9,601500
2005-06-24,64.9,67.5,64.88,67.45,1450900
2005-06-27,67.15,67.45,66.96,67.3,525500
2005-06-28,67.3,69.08,67.3,69.08,624400
2005-06-29,68.95,69.19,68.48,69.01,348000
2005-06-30,69.25,69.3,68.32,68.33,324800
2005-07-01,68.4,69.42,68.4,69.42,345100
2005-07-05,69.2,69.99,69.18,69.95,395100
2005-07-06,70.0,70.09,69.43,69.61,434900
2005-07-07,68.5,70.19,68.45,70.09,411600
2005-07-08,70.0,70.79,69.55,70.4,652900
2005-07-11,70.6,71.9,70.6,71.75,389600
2005-07-12,71.78,72.39,71.5,72.21,300900
2005-07-13,72.0,72.28,71.6,71.99,301100
2005-07-14,72.24,73.0,72.24,72.63,432600
2005-07-15,72.38,73.25,71.71,71.95,494000
2005-07-18,71.9,72.06,71.43,71.89,502800
2005-07-19,72.0,72.65,71.99,72.6,592100
2005-07-20,72.4,73.7,72.12,73.56,453100
2005-07-21,73.4,73.5,72.68,72.89,741700
2005-07-22,72.92,72.92,71.68,72.32,717800
2005-07-25,72.4,72.6,71.4,71.89,519400
2005-07-26,71.75,71.91,71.34,71.75,229400
2005-07-27,71.6,71.9,70.43,71.15,1209100
2005-07-28,71.24,71.86,71.0,71.55,455200
