Date,Open,High,Low,Close,Volume
2005-01-03,18.0,18.55,18.0,18.16,2035800
2005-01-04,18.15,18.19,17.91,17.92,1999800
2005-01-05,17.93,17.98,17.67,17.76,1670200
2005-01-06,17.75,17.99,17.75,17.92,1035100
2005-01-07,17.95,18.29,17.95,18.24,1078900
2005-01-10,18.28,18.81,18.25,18.78,2505000
2005-01-11,18.89,18.98,18.55,18.71,1467300
2005-01-12,18.71,18.71,18.45,18.54,2255400
2005-01-13,18.54,18.57,18.37,18.4,1735400
2005-01-14,18.45,18.68,18.39,18.66,2108700
2005-01-18,18.6,19.03,18.58,19.0,2108600
2005-01-19,18.95,18.99,18.74,18.87,848800
2005-01-20,18.85,18.9,18.61,18.67,1385900
2005-01-21,18.67,18.67,18.45,18.5,799400
2005-01-24,18.45,18.52,18.13,18.29,1215200
2005-01-25,18.34,18.5,18.03,18.09,2753600
2005-01-26,18.05,18.25,18.01,18.1,1198900
2005-01-27,18.12,18.43,18.11,18.22,588500
2005-01-28,18.19,18.34,18.0,18.23,917200
2005-01-31,18.25,18.34,17.95,18.12,1546900
2005-02-01,18.28,18.36,18.23,18.24,1331800
2005-02-02,18.28,18.3,17.89,17.98,1663400
2005-02-03,18.0,18.07,17.74,17.83,1004800
2005-02-04,17.83,18.08,17.77,18.03,1484500
2005-02-07,18.07,18.25,17.73,17.8,1213600
2005-02-08,17.8,18.17,17.79,18.16,2007400
2005-02-09,18.11,18.14,17.62,17.68,1800400
2005-02-10,17.75,17.77,17.37,17.56,1364500
2005-02-11,17.6,17.83,17.57,17.68,2986200
2005-02-14,17.72,17.88,17.67,17.77,1131200
2005-02-15,17.81,17.89,17.44,17.69,2313000
2005-02-16,17.73,18.52,17.72,18.43,5795400
2005-02-17,18.5,18.69,18.28,18.3,2641800
2005-02-18,18.38,18.66,18.38,18.61,3534900
2005-02-22,18.55,18.74,18.36,18.41,1281000
2005-02-23,18.45,18.57,18.27,18.31,905100
2005-02-24,18.18,18.38,18.07,18.35,948800
2005-02-25,18.35,18.72,18.35,18.6,1231600
2005-02-28,18.61,18.65,18.23,18.33,1227600
2005-03-01,18.47,18.71,18.4,18.67,1855900
2005-03-02,18.63,18.68,18.52,18.6,1644200
2005-03-03,18.8,18.84,18.69,18.76,1810600
2005-03-04,18.81,18.83,18.66,18.78,1446100
2005-03-07,18.72,18.98,18.69,18.97,877200
2005-03-08,18.98,19.28,18.84,18.98,3570900
2005-03-09,18.9,18.9,18.47,18.55,1871900
2005-03-10,18.53,18.69,18.47,18.65,840300
2005-03-11,18.6,19.04,18.49,19.0,1345000
2005-03-14,19.0,19.0,18.85,18.9,830200
2005-03-15,18.9,18.9,18.47,18.67,1968700
2005-03-16,18.5,18.77,18.41,18.72,1559600
2005-03-17,18.73,18.78,18.58,18.61,1099500
2005-03-18,18.65,18.84,18.56,18.79,824300
2005-03-21,18.85,18.93,18.54,18.58,2270200
2005-03-22,18.6,18.67,18.38,18.39,2905600
