Date,Open,High,Low,Close,Volume
2005-01-03,32.18,32.18,30.9,31.06,5776600
2005-01-04,31.17,31.42,30.68,30.71,4594400
2005-01-05,30.65,30.82,30.08,30.2,5259800
2005-01-06,30.2,31.31,30.05,30.75,6149400
2005-01-07,31.06,31.15,30.01,30.7,5229600
2005-01-10,31.06,31.44,31.02,31.2,4278400
2005-01-11,31.32,31.32,31.0,31.06,3817000
2005-01-12,31.2,31.69,30.96,31.64,4290400
2005-01-13,31.86,32.1,31.6,31.68,4620000
2005-01-14,31.73,32.37,31.6,32.22,3788200
2005-01-18,32.55,32.68,32.13,32.37,3720600
2005-01-19,32.37,32.59,32.2,32.25,2090200
2005-01-20,32.15,32.29,31.44,31.96,4055200
2005-01-21,32.2,32.48,31.9,31.95,3973400
2005-01-24,32.2,32.34,31.98,32.02,3259600
2005-01-25,32.25,32.44,31.91,32.26,2868600
2005-01-26,32.3,32.62,32.04,32.55,3089200
2005-01-27,32.55,33.25,32.44,32.88,3380400
2005-01-28,32.6,33.01,32.37,32.8,3907400
2005-01-31,32.74,33.25,32.26,33.1,3727600
2005-02-01,33.18,33.62,33.04,33.51,3207400
2005-02-02,33.35,33.94,33.35,33.9,2524000
2005-02-03,33.72,33.83,33.22,33.54,3287000
2005-02-04,33.58,33.7,32.82,33.1,5848800
2005-02-07,33.05,33.33,32.53,32.92,2878800
2005-02-08,32.62,32.99,32.46,32.88,3729000
2005-02-09,32.68,33.2,32.5,32.98,3673600
2005-02-10,33.24,34.44,33.06,34.3,4978400
2005-02-11,34.3,34.69,34.12,34.34,4892000
2005-02-14,34.44,34.76,33.98,34.1,3734600
2005-02-15,34.2,34.38,33.8,34.12,4572800
2005-02-16,34.17,35.06,33.98,35.0,5776600
2005-02-17,35.1,35.18,34.16,34.28,5276200
2005-02-18,34.4,35.18,34.29,35.12,5910200
2005-02-22,35.42,35.86,35.2,35.2,6059200
2005-02-23,35.19,35.65,34.98,35.39,4842200
2005-02-24,35.52,36.0,35.43,36.0,4956600
2005-02-25,36.75,39.09,36.62,38.86,15629400
2005-02-28,38.64,39.64,37.58,38.43,9530600
2005-03-01,38.28,38.7,37.56,38.26,6564400
2005-03-02,38.0,38.64,37.97,38.55,6675000
2005-03-03,39.2,39.5,38.67,39.49,7847600
2005-03-04,39.5,40.87,39.2,40.68,6013400
2005-03-07,40.48,40.48,39.42,40.23,5387600
2005-03-08,40.0,40.82,40.0,40.06,5325200
2005-03-09,40.25,40.9,39.26,39.3,6842400
2005-03-10,39.3,39.3,37.85,38.5,6886800
2005-03-11,38.51,39.12,38.19,38.76,4458200
2005-03-14,38.8,39.0,37.8,38.6,5772200
2005-03-15,38.72,38.98,37.86,37.95,5248800
2005-03-16,37.88,38.74,37.53,37.84,5098200
2005-03-17,38.15,38.86,38.06,38.78,4355200
2005-03-18,38.9,39.22,38.5,38.66,4764800
2005-03-21,38.66,38.88,37.95,37.96,3899800
2005-03-22,38.07,38.5,37.6,37.67,4615800
2005-03-23,37.5,37.5,36.62,36.9,5291400
2005-03-24,37.38,38.01,36.82,37.04,4684600
2005-03-28,37.05,37.54,36.74,36.98,3412000
2005-03-29,37.0,37.71,36.57,36.64,3971400
2005-03-30,36.75,37.13,35.82,37.02,5204000
2005-03-31,37.3,38.25,37.28,38.05,4531200
2005-04-01,38.34,39.22,38.31,39.1,4256000
2005-04-04,39.42,40.07,38.76,39.36,6726000
2005-04-05,39.19,39.62,38.51,38.58,4878400
2005-04-06,38.6,39.44,38.37,39.12,4689000
2005-04-07,39.37,39.42,38.1,38.47,4856200
