Date,Open,High,Low,Close,Volume
2005-01-03,36.76,37.26,36.3,36.41,391000
2005-01-04,36.6,36.88,35.27,35.27,443900
2005-01-05,35.21,36.0,34.35,34.45,508200
2005-01-06,34.61,34.81,33.24,33.95,741700
2005-01-07,34.15,34.35,33.82,34.0,357800
2005-01-10,34.5,35.0,34.1,34.67,443300
2005-01-11,34.57,34.73,34.13,34.22,489000
2005-01-12,34.35,34.8,34.11,34.64,346100
2005-01-13,34.66,34.69,34.12,34.16,300700
2005-01-14,34.41,34.74,34.1,34.65,404300
2005-01-18,34.75,35.3,34.65,35.11,365600
2005-01-19,36.25,37.7,35.95,36.96,1696000
2005-01-20,36.96,37.5,36.89,37.11,850300
2005-01-21,37.22,38.14,37.1,37.6,1120800
2005-01-24,37.25,37.49,36.83,36.83,1398800
2005-01-25,37.05,37.72,36.99,37.7,1166800
2005-01-26,37.7,37.95,37.41,37.78,800400
2005-01-27,38.03,38.57,37.36,38.47,720300
2005-01-28,38.62,38.74,38.03,38.63,410300
2005-01-31,38.8,39.5,38.77,39.33,459700
2005-02-01,39.85,40.0,39.62,39.9,528400
2005-02-02,39.95,40.21,39.66,39.9,710200
2005-02-03,39.9,39.98,39.64,39.75,364100
2005-02-04,39.74,40.59,39.64,40.42,507400
2005-02-07,40.36,40.95,40.15,40.44,416600
2005-02-08,40.6,41.46,40.6,41.4,924600
2005-02-09,41.5,41.94,40.89,41.08,767600
2005-02-10,41.09,41.31,40.01,40.5,497600
2005-02-11,40.54,41.6,40.24,41.41,332800
2005-02-14,41.41,41.48,40.66,40.99,622800
2005-02-15,40.99,41.0,40.2,40.86,582700
2005-02-16,40.5,40.93,40.5,40.81,397300
2005-02-17,40.5,40.8,39.78,40.54,711900
2005-02-18,40.54,40.83,40.13,40.76,448300
2005-02-22,40.54,40.73,39.84,39.85,397900
2005-02-23,39.9,40.0,39.21,39.64,367000
2005-02-24,39.66,40.31,39.39,40.21,473400
2005-02-25,40.03,40.48,40.0,40.43,246200
2005-02-28,40.4,40.65,39.68,39.9,320000
2005-03-01,40.27,41.05,40.27,41.05,301900
2005-03-02,40.5,40.95,39.81,40.67,622100
2005-03-03,40.92,41.0,39.84,40.3,345800
2005-03-04,40.5,40.59,39.25,39.91,642000
2005-03-07,40.13,40.92,39.8,40.6,381600
2005-03-08,40.45,40.88,40.34,40.72,271400
2005-03-09,40.52,40.8,40.23,40.27,253800
2005-03-10,40.3,40.33,39.55,40.26,320400
2005-03-11,40.23,40.59,39.88,40.11,339700
2005-03-14,40.56,41.35,40.26,41.07,528700
2005-03-15,41.08,41.61,41.0,41.41,480200
2005-03-16,41.41,41.74,40.64,40.79,303800
2005-03-17,40.74,40.79,40.25,40.45,417900
2005-03-18,40.4,40.4,39.37,39.75,565300
2005-03-21,40.45,40.75,39.68,40.4,620500
2005-03-22,40.23,40.31,37.89,38.31,1698000
2005-03-23,39.0,39.0,38.2,38.55,713500
2005-03-24,38.55,38.84,38.15,38.2,421100
2005-03-28,38.35,38.52,37.79,38.02,396300
2005-03-29,38.1,38.15,36.63,36.68,563700
2005-03-30,36.84,37.18,36.49,36.97,604600
2005-03-31,36.94,37.42,36.68,37.04,403800
2005-04-01,37.14,37.82,36.93,37.19,379400
2005-04-04,37.19,37.19,35.79,36.36,605300
2005-04-05,36.86,37.13,36.57,36.7,339800
2005-04-06,36.76,37.44,36.71,37.26,465300
2005-04-07,37.35,37.89,37.35,37.8,482900
2005-04-08,37.91,38.06,37.27,37.31,290300
2005-04-11,37.51,37.51,36.67,36.88,199000
2005-04-12,36.9,37.12,36.04,36.79,483800
2005-04-13,36.56,37.05,36.46,36.76,599900
2005-04-14,36.88,37.23,36.5,36.82,1153900
2005-04-15,36.7,36.8,35.99,36.05,1011800
2005-04-18,36.06,36.86,35.91,36.33,443500
2005-04-19,36.43,36.7,36.3,36.7,546800
2005-04-20,38.7,39.7,38.16,38.19,2315600
2005-04-21,38.95,39.55,38.51,39.22,1213200
2005-04-22,39.22,40.18,38.75,39.81,558000
2005-04-25,39.81,40.17,39.46,39.97,463600
2005-04-26,39.97,40.71,39.7,39.88,382000
2005-04-27,39.88,40.05,39.38,39.87,504800
2005-04-28,39.86,40.0,39.18,39.26,426900
2005-04-29,39.59,39.66,38.73,39.44,472900
2005-05-02,39.54,39.92,39.16,39.76,448600
2005-05-03,39.7,40.13,39.07,39.6,732900
2005-05-04,39.55,39.85,39.07,39.4,658900
2005-05-05,39.22,39.54,38.97,39.17,595000
2005-05-06,39.3,39.6,38.95,39.43,185400
2005-05-09,39.71,39.72,39.21,39.5,295900
2005-05-10,39.3,39.51,39.0,39.24,675500
2005-05-11,39.24,39.5,39.11,39.29,432900
2005-05-12,39.35,39.64,39.05,39.32,481900
2005-05-13,39.42,39.87,38.93,39.36,699400
2005-05-16,39.25,39.58,38.93,39.1,577500
