Date,Open,High,Low,Close,Volume
2005-01-03,95.4,95.4,92.73,92.97,1603900
2005-01-04,92.67,92.94,90.75,91.29,2118300
2005-01-05,91.29,92.01,89.37,90.75,2197000
2005-01-06,91.5,92.52,90.93,91.14,2065900
2005-01-07,91.26,93.0,91.17,92.07,1913933
2005-01-10,91.56,92.64,91.08,91.41,2777700
2005-01-11,88.83,90.15,87.66,88.95,4823333
2005-01-12,89.16,89.52,87.75,88.29,3251367
2005-01-13,88.29,89.43,87.81,88.5,1827867
2005-01-14,88.8,90.0,88.68,89.7,1330733
2005-01-18,88.8,89.67,87.48,89.31,1620900
2005-01-19,88.8,88.95,87.33,87.54,1982200
2005-01-20,89.97,90.0,85.92,86.1,2213833
2005-01-21,86.49,88.11,86.31,86.79,1995433
2005-01-24,87.51,88.08,86.31,86.43,1555833
2005-01-25,87.45,87.51,84.9,85.11,2727733
2005-01-26,84.03,86.55,84.03,85.92,1747700
2005-01-27,85.92,87.45,85.68,87.18,1324300
2005-01-28,87.0,87.54,86.64,86.91,1551567
2005-01-31,87.9,88.77,87.06,88.53,1730167
2005-02-01,89.19,89.19,87.75,88.68,1538267
2005-02-02,88.35,88.8,87.72,88.44,1190367
2005-02-03,88.44,88.44,87.3,87.42,1298767
2005-02-04,87.78,88.35,86.7,88.11,1258933
2005-02-07,88.41,89.28,88.35,88.86,1128900
2005-02-08,88.89,90.03,88.08,90.0,1887400
2005-02-09,89.61,89.88,87.69,87.72,1838433
2005-02-10,88.26,89.19,88.02,88.41,1115767
2005-02-11,88.59,90.24,88.47,89.55,1191767
2005-02-14,89.94,90.45,89.61,89.67,1328467
2005-02-15,89.85,90.15,89.1,89.43,1359933
2005-02-16,89.52,92.4,89.28,91.8,2360133
2005-02-17,92.55,94.5,90.6,93.12,2342033
2005-02-18,93.48,94.32,93.21,93.3,1700300
2005-02-22,93.45,94.86,92.07,92.13,1892000
2005-02-23,92.88,93.69,92.7,92.97,1173600
2005-02-24,94.11,94.38,92.82,94.38,1627433
2005-02-25,94.38,96.0,94.2,94.89,2042800
2005-02-28,95.64,96.51,95.25,96.36,2249733
2005-03-01,96.33,96.87,94.65,94.98,1664333
2005-03-02,94.2,94.86,93.06,93.9,1373700
2005-03-03,94.8,95.16,93.24,93.84,1292733
2005-03-04,94.2,95.85,94.02,95.4,1565667
2005-03-07,96.12,96.3,93.87,94.05,1404567
2005-03-08,94.44,94.8,93.42,93.72,1267867
2005-03-09,93.21,94.5,92.55,92.76,1654133
2005-03-10,92.64,92.7,90.36,91.44,1748567
2005-03-11,91.89,93.51,91.56,93.0,1472267
2005-03-14,93.84,94.2,92.55,93.54,1552567
2005-03-15,95.25,95.85,94.44,94.77,1990067
2005-03-16,94.5,94.53,93.27,94.14,1467767
2005-03-17,94.14,95.04,93.0,94.68,1307500
2005-03-18,94.95,95.16,93.45,95.04,2073967
2005-03-21,95.04,95.34,93.63,94.38,954500
2005-03-22,94.71,95.1,92.88,92.88,1482667
2005-03-23,92.1,92.25,91.05,91.17,2370567
2005-03-24,91.35,91.65,90.9,91.08,1976800
2005-03-28,91.08,91.92,90.06,90.15,1502133
2005-03-29,90.15,90.84,88.41,88.71,2391667
2005-03-30,88.8,89.94,88.34,89.7,1936467
