Date,Open,High,Low,Close,Volume
2005-01-03,5.67,5.69,5.46,5.52,7157653
2005-01-04,5.58,5.58,5.3,5.38,7497081
2005-01-05,5.32,5.5,5.3,5.46,5534261
2005-01-06,5.46,5.5,5.37,5.38,5419164
2005-01-07,5.39,5.41,5.17,5.2,8944604
2005-01-10,5.12,5.32,5.1,5.25,9306372
2005-01-11,5.3,5.64,5.25,5.61,15807072
2005-01-12,5.62,5.65,5.48,5.55,18746649
2005-01-13,5.55,6.02,5.53,5.96,31916135
2005-01-14,6.0,6.26,6.0,6.15,21112551
2005-01-18,6.16,6.29,6.09,6.25,8056284
2005-01-19,6.27,6.27,5.99,6.07,12304146
2005-01-20,6.09,6.09,5.93,6.03,10101301
2005-01-21,6.03,6.12,5.96,6.06,6710471
2005-01-24,6.09,6.11,5.88,5.91,8099897
2005-01-25,5.91,6.03,5.91,6.0,8404462
2005-01-26,6.05,6.25,5.99,6.22,9210425
2005-01-27,6.25,6.3,6.16,6.24,5351193
2005-01-28,6.28,6.28,6.09,6.21,7707147
2005-01-31,6.26,6.38,6.19,6.36,7077739
2005-02-01,6.38,6.38,6.26,6.31,7507520
2005-02-02,6.53,6.7,6.47,6.62,11579470
2005-02-03,6.52,6.61,6.47,6.6,5679186
2005-02-04,6.6,6.69,6.56,6.69,10357106
2005-02-07,6.65,6.82,6.65,6.77,13570428
2005-02-08,6.8,7.02,6.75,6.94,26648750
2005-02-09,6.94,6.96,6.69,6.72,8796469
2005-02-10,5.89,5.99,5.66,5.74,98374777
2005-02-11,5.71,5.87,5.48,5.82,22459701
2005-02-14,5.75,6.04,5.74,6.02,14423612
2005-02-15,6.04,6.13,5.99,6.07,10857650
2005-02-16,6.07,6.15,6.02,6.12,8217241
2005-02-17,6.14,6.2,6.03,6.06,7492260
2005-02-18,6.09,6.15,6.03,6.06,4293298
2005-02-22,6.0,6.17,5.98,6.03,6682055
2005-02-23,6.02,6.14,6.0,6.08,5818176
2005-02-24,6.1,6.15,6.0,6.11,5288132
2005-02-25,6.14,6.2,6.11,6.17,7543872
2005-02-28,6.15,6.25,6.13,6.15,7384572
2005-03-01,6.18,6.31,6.15,6.3,9228740
2005-03-02,6.32,6.45,6.24,6.42,6990919
2005-03-03,6.45,6.51,6.38,6.4,5177248
2005-03-04,6.47,6.5,6.28,6.5,5607239
2005-03-07,6.5,6.68,6.47,6.62,6529742
2005-03-08,6.64,6.64,6.49,6.51,3132551
2005-03-09,6.48,6.61,6.42,6.42,7441924
2005-03-10,6.47,6.49,6.33,6.37,4859136
2005-03-11,6.37,6.48,6.37,6.46,7245138
2005-03-14,6.47,6.57,6.46,6.48,8009042
2005-03-15,6.48,6.61,6.44,6.47,7772324
2005-03-16,6.49,6.59,6.42,6.44,3197781
2005-03-17,6.42,6.57,6.42,6.47,4873376
2005-03-18,6.5,6.54,6.45,6.48,4252871
2005-03-21,6.53,6.54,6.43,6.47,3850969
2005-03-22,6.14,6.39,6.12,6.33,17749945
2005-03-23,6.35,6.44,6.24,6.38,7334459
2005-03-24,6.41,6.45,6.18,6.19,7273288
2005-03-28,6.2,6.24,5.95,6.06,11543488
2005-03-29,6.02,6.06,5.79,5.84,9069765
2005-03-30,5.86,5.88,5.54,5.73,12033464
2005-03-31,5.73,5.76,5.49,5.55,13739288
2005-04-01,5.62,5.79,5.58,5.78,9128776
2005-04-04,5.78,5.81,5.62,5.77,5329749
2005-04-05,5.8,5.82,5.7,5.7,4695531
2005-04-06,5.7,5.75,5.68,5.72,3711939
2005-04-07,5.72,5.89,5.69,5.87,5310384
2005-04-08,5.9,5.96,5.81,5.85,5553907
2005-04-11,5.85,5.88,5.74,5.85,4715947
2005-04-12,5.86,6.0,5.83,5.96,7299989
2005-04-13,5.95,6.0,5.82,5.85,7519973
2005-04-14,5.93,5.96,5.67,5.68,6535360
2005-04-15,5.74,5.94,5.72,5.78,7772117
2005-04-18,5.8,5.82,5.63,5.7,4734424
2005-04-19,5.74,5.81,5.68,5.78,4306664
2005-04-20,5.75,5.81,5.59,5.6,5383597
2005-04-21,5.64,5.67,5.51,5.66,6643408
2005-04-22,5.68,5.68,5.44,5.49,4953509
2005-04-25,5.51,5.74,5.49,5.73,5356909
2005-04-26,5.73,5.78,5.64,5.67,4374565
2005-04-27,5.67,5.67,5.44,5.59,7237997
2005-04-28,5.55,5.59,5.42,5.44,2931627
2005-04-29,5.45,5.53,5.32,5.42,4401469
2005-05-02,5.47,5.53,5.4,5.52,3385899
2005-05-03,5.54,5.7,5.53,5.7,5828853
2005-05-04,5.53,5.65,5.5,5.58,9320563
2005-05-05,5.56,5.73,5.49,5.64,7442483
2005-05-06,5.56,6.06,5.55,5.97,13359893
2005-05-09,6.0,6.0,5.76,5.8,5720677
2005-05-10,5.79,5.81,5.73,5.79,4887189
2005-05-11,5.83,5.83,5.64,5.7,6088888
2005-05-12,5.67,5.74,5.62,5.65,3788971
2005-05-13,5.76,5.82,5.6,5.66,10440016
2005-05-16,5.67,5.76,5.64,5.76,7051819
2005-05-17,5.84,5.99,5.82,5.92,9365035
2005-05-18,5.95,6.02,5.73,5.93,10278008
2005-05-19,5.96,5.96,5.76,5.83,10630165
2005-05-20,5.85,5.95,5.74,5.87,6909523
2005-05-23,5.89,5.89,5.78,5.84,4014275
2005-05-24,5.83,5.85,5.74,5.79,4833528
2005-05-25,5.79,5.79,5.66,5.71,8756261
2005-05-26,5.73,5.78,5.68,5.72,3410571
2005-05-27,5.72,5.81,5.69,5.77,2611008
2005-05-31,5.79,5.94,5.76,5.92,5450536
2005-06-01,5.88,6.0,5.82,5.95,8720667
2005-06-02,5.96,5.96,5.91,5.94,3134976
2005-06-03,5.9,5.96,5.83,5.85,3709627
2005-06-06,5.87,6.17,5.85,6.14,7606741
2005-06-07,6.14,6.28,6.11,6.12,8974067
2005-06-08,6.16,6.16,5.96,6.04,4364237
2005-06-09,6.09,6.36,6.05,6.35,6471915
2005-06-10,6.37,6.5,6.29,6.43,7944531
2005-06-13,6.42,6.62,6.39,6.49,9042901
2005-06-14,6.59,6.63,6.42,6.44,6381403
2005-06-15,6.51,6.56,6.42,6.51,6049013
2005-06-16,6.5,6.64,6.49,6.59,9802853
2005-06-17,6.57,6.64,6.53,6.58,12882651
2005-06-20,6.54,6.63,6.54,6.6,5675872
2005-06-21,6.6,6.68,6.57,6.66,4429357
2005-06-22,6.68,6.69,6.64,6.68,4191661
2005-06-23,6.69,6.94,6.63,6.66,8160379
2005-06-24,6.56,6.58,6.3,6.33,9551888
2005-06-27,6.3,6.4,6.21,6.29,4701555
2005-06-28,6.31,6.37,6.26,6.36,4098464
2005-06-29,6.33,6.42,6.3,6.32,4801547
2005-06-30,6.36,6.37,6.16,6.2,5760672
2005-07-01,6.26,6.26,6.14,6.15,3195163
2005-07-05,6.12,6.17,6.03,6.15,9451013
2005-07-06,6.13,6.36,6.07,6.26,6148315
2005-07-07,6.16,6.43,6.12,6.42,5455368
2005-07-08,6.45,6.56,6.38,6.5,5295400
2005-07-11,6.52,6.63,6.51,6.59,3717715
2005-07-12,6.56,6.75,6.54,6.7,5165195
2005-07-13,6.72,6.78,6.65,6.75,4553267
2005-07-14,6.79,6.84,6.75,6.79,4374171
2005-07-15,6.76,6.9,6.76,6.77,8723971
2005-07-18,6.75,6.76,6.68,6.76,3279357
2005-07-19,6.75,6.79,6.71,6.78,2837208
2005-07-20,6.75,6.87,6.71,6.83,3685437
2005-07-21,6.84,6.94,6.78,6.85,5737296
2005-07-22,6.88,6.92,6.84,6.92,2752307
2005-07-25,6.92,6.95,6.85,6.9,3815488
2005-07-26,6.93,6.98,6.83,6.9,7835051
2005-07-27,6.94,7.2,6.89,7.2,11385328
2005-07-28,7.23,7.23,7.11,7.11,8290368
2005-07-29,7.03,7.76,7.02,7.63,18553453
2005-08-01,7.58,7.65,7.47,7.55,7467133
2005-08-02,7.56,7.76,7.52,7.68,6388707
2005-08-03,7.67,7.88,7.67,7.77,7846504
2005-08-04,7.76,7.82,7.66,7.74,4530477
2005-08-05,7.72,7.79,7.63,7.64,7546363
2005-08-08,7.65,7.78,7.64,7.69,4263312
2005-08-09,7.7,7.76,7.64,7.65,4085099
2005-08-10,7.7,7.72,7.48,7.5,4337008
2005-08-11,7.47,7.5,7.33,7.46,6153717
2005-08-12,7.4,7.41,7.3,7.36,5166643
2005-08-15,7.65,7.8,7.58,7.61,5703067
2005-08-16,7.62,7.67,7.48,7.5,2672685
2005-08-17,7.48,7.7,7.47,7.61,3862899
2005-08-18,7.57,7.65,7.52,7.54,2501635
2005-08-19,7.53,7.6,7.5,7.51,1780627
2005-08-22,7.58,7.61,7.44,7.5,2608997
2005-08-23,7.47,7.69,7.47,7.61,4550048
2005-08-24,7.63,8.0,7.62,7.9,7442173
2005-08-25,7.9,7.94,7.81,7.85,3195869
2005-08-26,7.82,7.89,7.77,7.84,2900811
2005-08-29,7.87,8.06,7.78,8.03,4856488
2005-08-30,7.97,8.17,7.94,8.0,7122360
2005-08-31,8.0,8.38,7.96,8.38,5440155
2005-09-01,8.32,8.57,8.32,8.51,5371603
2005-09-02,8.53,8.59,8.48,8.54,4359045
2005-09-06,8.56,8.62,8.52,8.61,3348611
2005-09-07,8.65,8.65,8.3,8.32,9736616
2005-09-08,8.27,8.28,8.11,8.11,7838040
2005-09-09,7.92,8.32,7.66,8.29,12739171
2005-09-12,8.4,8.5,8.35,8.45,4432240
2005-09-13,8.42,8.56,8.38,8.44,3704797
2005-09-14,8.44,8.57,8.41,8.43,4286816
2005-09-15,8.34,8.52,8.22,8.24,3834936
2005-09-16,8.22,8.27,8.12,8.16,7113339
2005-09-19,8.3,8.36,8.15,8.24,4057528
2005-09-20,8.17,8.21,7.68,7.78,10930336
2005-09-21,7.74,7.76,7.35,7.37,10983805
2005-09-22,7.32,7.46,7.19,7.35,10321325
2005-09-23,7.35,7.58,7.31,7.49,4719987
2005-09-26,7.49,7.57,7.42,7.44,5858408
2005-09-27,7.43,7.57,7.41,7.5,4381875
2005-09-28,7.52,7.63,7.38,7.41,3387640
2005-09-29,7.39,7.67,7.27,7.66,5398293
2005-09-30,7.71,7.72,7.56,7.67,4347243
2005-10-03,7.64,7.9,7.6,7.76,8357016
