Date,Open,High,Low,Close,Volume
2005-01-03,42.0,42.09,41.68,41.73,1432500
2005-01-04,41.87,42.09,41.56,41.8,1229900
2005-01-05,41.66,42.1,41.5,42.05,1471300
2005-01-06,41.96,42.24,41.88,42.0,1136900
2005-01-07,41.94,42.08,41.49,41.52,930600
2005-01-10,41.32,41.74,41.17,41.62,1032400
2005-01-11,41.66,41.67,41.12,41.26,1463700
2005-01-12,40.91,40.91,40.51,40.65,1735000
2005-01-13,40.65,40.65,40.08,40.17,1547200
2005-01-14,39.35,39.96,39.1,39.73,2343700
2005-01-18,39.41,39.94,39.02,39.92,1726700
2005-01-19,39.88,39.91,39.37,39.41,1123000
2005-01-20,39.37,39.38,39.12,39.22,1307900
2005-01-21,39.22,39.28,38.73,38.85,1268100
2005-01-24,38.85,39.12,38.8,38.87,1617800
2005-01-25,38.9,39.08,38.8,38.86,1431700
2005-01-26,39.0,39.17,38.83,39.0,1706000
2005-01-27,39.05,39.17,38.9,38.99,1356200
2005-01-28,38.93,39.04,38.84,38.97,1340300
2005-01-31,39.45,39.49,39.19,39.47,1001800
2005-02-01,39.86,40.15,39.43,40.02,1889700
2005-02-02,40.15,40.15,39.79,39.91,1187400
2005-02-03,39.94,39.99,39.68,39.76,1070900
2005-02-04,39.86,40.07,39.62,40.06,1091200
2005-02-07,40.16,40.49,40.09,40.3,873100
2005-02-08,40.38,40.48,40.26,40.26,1009300
2005-02-09,40.26,40.36,39.8,39.81,888900
2005-02-10,40.0,40.11,39.89,39.96,655700
2005-02-11,40.0,40.41,39.82,40.24,998800
2005-02-14,40.37,40.47,40.25,40.38,530600
2005-02-15,40.49,40.5,40.19,40.19,1112000
2005-02-16,40.1,40.24,39.9,40.15,988900
2005-02-17,40.13,40.15,39.74,39.74,878100
2005-02-18,39.75,39.75,39.33,39.35,756100
2005-02-22,39.1,39.3,38.64,38.64,1219200
2005-02-23,38.87,39.06,38.66,38.89,1074500
2005-02-24,39.04,39.18,38.88,39.14,770500
2005-02-25,39.17,39.74,39.05,39.42,1042600
2005-02-28,39.45,39.53,39.07,39.15,1022100
2005-03-01,39.22,39.71,39.18,39.52,1100200
2005-03-02,39.5,39.67,39.21,39.47,757100
2005-03-03,39.52,39.64,39.17,39.39,933600
2005-03-04,39.64,40.18,39.56,40.02,882400
2005-03-07,40.19,40.53,40.13,40.42,1160500
2005-03-08,40.42,40.82,40.02,40.7,1560300
2005-03-09,40.55,40.55,39.73,39.73,1518500
2005-03-10,39.82,40.1,39.75,40.06,941200
2005-03-11,39.99,40.16,39.34,39.45,821000
2005-03-14,39.55,39.94,39.44,39.83,629200
2005-03-15,40.03,40.03,39.43,39.43,777500
2005-03-16,39.3,39.31,38.92,38.99,918900
2005-03-17,38.98,39.43,38.75,39.2,954400
2005-03-18,39.24,39.29,38.71,38.76,1901200
2005-03-21,38.75,38.75,37.93,38.21,1491800
2005-03-22,38.21,38.69,37.75,37.76,1082500
2005-03-23,37.75,38.82,37.68,38.59,2173500
2005-03-24,38.7,39.8,38.65,38.65,2181000
2005-03-28,39.12,39.3,38.74,38.75,1617300
2005-03-29,38.67,39.04,38.53,38.66,1677500
2005-03-30,38.66,39.18,38.65,39.18,1715200
2005-03-31,39.18,39.58,39.0,39.08,1241600
2005-04-01,39.33,39.65,38.46,38.73,1537500
2005-04-04,38.65,39.23,38.43,39.14,1349300
2005-04-05,39.1,39.42,38.93,39.03,869500
2005-04-06,39.3,39.75,39.23,39.45,734900
2005-04-07,39.45,39.56,39.07,39.17,1214200
2005-04-08,39.17,39.17,38.78,38.97,989900
2005-04-11,38.96,39.15,38.88,38.98,875500
2005-04-12,38.9,39.69,38.61,39.56,1275000
2005-04-13,38.8,38.81,37.08,37.92,5788200
2005-04-14,37.92,37.92,37.05,37.37,2390700
2005-04-15,37.2,37.55,37.04,37.08,1954900
2005-04-18,37.12,38.13,37.07,38.08,1964600
2005-04-19,38.33,38.4,38.04,38.06,1706600
2005-04-20,37.88,38.15,37.42,37.43,1494100
2005-04-21,37.75,38.19,37.32,38.08,1544300
2005-04-22,37.86,38.35,37.86,38.18,1352400
2005-04-25,38.3,38.66,38.19,38.62,1030000
2005-04-26,38.56,38.73,38.25,38.25,1529200
2005-04-27,38.14,39.24,38.06,39.06,2894300
2005-04-28,39.0,39.02,38.57,38.6,990700
2005-04-29,38.92,39.21,38.43,39.21,1287000
2005-05-02,39.49,39.59,39.09,39.59,1763500
2005-05-03,39.66,40.03,39.51,39.7,1237900
2005-05-04,40.05,40.82,39.63,40.72,2390600
2005-05-05,40.65,40.9,39.98,40.25,1458300
2005-05-06,40.35,40.37,39.34,39.73,1169400
2005-05-09,39.63,40.06,39.63,39.85,1089100
2005-05-10,38.93,39.79,38.93,39.43,1194600
2005-05-11,39.54,39.92,39.33,39.76,794500
2005-05-12,39.86,40.05,39.32,39.35,1021200
2005-05-13,39.35,39.58,38.92,39.13,1099900
2005-05-16,39.21,39.98,39.21,39.96,796100
2005-05-17,39.75,40.29,39.61,40.21,955700
2005-05-18,40.44,40.95,40.35,40.89,1390000
2005-05-19,40.79,40.94,40.56,40.83,1056500
2005-05-20,40.91,40.91,40.21,40.52,1224900
2005-05-23,40.52,40.54,40.23,40.27,920200
2005-05-24,40.23,40.23,39.92,40.11,935900
2005-05-25,40.05,40.15,39.75,40.01,611100
2005-05-26,40.13,40.32,39.99,40.21,483200
2005-05-27,40.16,40.29,40.03,40.17,460300
2005-05-31,40.09,40.17,39.92,39.94,788000
2005-06-01,39.94,40.87,39.86,40.71,1293400
2005-06-02,40.33,40.41,40.01,40.25,1177600
2005-06-03,40.13,40.31,39.69,39.79,1123500
2005-06-06,39.82,39.91,39.52,39.8,851100
2005-06-07,39.96,40.21,39.63,39.63,905400
2005-06-08,39.79,39.94,39.61,39.65,456200
2005-06-09,39.65,39.91,39.5,39.59,759200
2005-06-10,39.75,39.8,39.42,39.66,753700
2005-06-13,39.49,39.81,39.31,39.5,787300
2005-06-14,39.35,39.74,39.34,39.58,559700
2005-06-15,39.78,39.88,39.57,39.78,791700
2005-06-16,39.62,39.87,39.51,39.8,668900
2005-06-17,40.29,40.49,40.0,40.39,1950900
2005-06-20,40.0,40.34,39.85,40.22,718600
2005-06-21,40.24,40.24,39.93,40.02,592200
2005-06-22,40.27,40.46,40.06,40.21,619400
2005-06-23,40.17,40.28,39.75,39.82,837000
2005-06-24,39.76,40.03,39.75,39.9,1079700
2005-06-27,39.92,39.97,39.69,39.7,782700
2005-06-28,39.8,40.4,39.8,40.4,1053900
2005-06-29,40.5,40.85,40.43,40.59,1229700
2005-06-30,40.37,40.68,39.92,39.97,1312800
2005-07-01,40.26,40.47,40.01,40.15,875600
2005-07-05,40.01,40.63,40.0,40.53,875500
2005-07-06,40.37,40.55,40.0,40.05,926300
2005-07-07,39.5,39.97,39.42,39.95,1029900
2005-07-08,39.88,40.77,39.88,40.72,916600
2005-07-11,40.92,41.04,40.71,41.04,1176100
2005-07-12,41.06,41.75,40.92,41.59,2472100
2005-07-13,42.9,42.9,41.88,41.95,3316400
2005-07-14,42.51,42.53,42.19,42.47,2126100
2005-07-15,42.55,42.7,42.38,42.6,1761800
2005-07-18,42.56,42.65,42.22,42.25,1112000
2005-07-19,42.32,42.69,42.31,42.5,1564500
2005-07-20,42.25,43.0,42.24,42.91,1478800
2005-07-21,42.96,42.99,42.31,42.43,1336900
2005-07-22,42.51,42.56,42.19,42.54,733600
2005-07-25,42.55,42.59,42.19,42.29,1317400
2005-07-26,42.39,42.55,42.17,42.47,671700
2005-07-27,42.64,42.64,42.2,42.3,770300
2005-07-28,42.4,42.45,42.14,42.41,999500
2005-07-29,42.6,42.6,41.74,41.82,1156100
2005-08-01,41.81,42.28,41.81,42.25,1522000
2005-08-02,42.36,42.4,41.96,42.22,859600
2005-08-03,42.0,42.21,41.9,42.14,636100
2005-08-04,41.92,41.98,41.41,41.49,842400
2005-08-05,41.4,41.49,41.0,41.05,848500
2005-08-08,41.15,41.22,41.01,41.03,567800
2005-08-09,41.03,41.93,40.21,41.23,658500
2005-08-10,41.38,41.6,41.0,41.06,918800
2005-08-11,41.12,41.34,40.9,41.25,859400
2005-08-12,41.1,41.32,40.84,41.18,850100
2005-08-15,41.02,41.57,40.98,41.5,795300
2005-08-16,41.45,41.56,40.84,40.88,1229800
2005-08-17,40.84,40.99,40.72,40.74,1004600
2005-08-18,40.66,40.87,40.45,40.59,831000
2005-08-19,40.88,41.11,40.78,41.0,1028300
2005-08-22,41.15,41.44,41.02,41.31,869700
2005-08-23,41.38,41.38,40.8,40.83,1201100
2005-08-24,40.8,41.01,40.52,40.52,1105300
2005-08-25,40.54,40.78,40.4,40.6,837000
2005-08-26,40.5,40.52,39.84,39.84,1245900
2005-08-29,39.65,40.28,39.64,40.21,1120100
2005-08-30,40.22,40.22,39.52,39.98,1298800
2005-08-31,40.08,40.59,39.81,40.57,1433900
2005-09-01,40.5,40.89,40.31,40.75,1377200
2005-09-02,40.75,40.92,40.51,40.51,783200
2005-09-06,40.82,41.32,40.76,41.08,1255700
2005-09-07,40.75,40.99,40.7,40.82,1190800
2005-09-08,40.75,40.9,40.25,40.33,1159900
2005-09-09,40.5,40.79,40.35,40.58,668300
2005-09-12,40.6,40.96,40.48,40.66,1535900
2005-09-13,40.73,40.76,40.39,40.45,1452700
2005-09-14,40.58,40.72,40.2,40.26,1506800
2005-09-15,40.29,40.38,40.06,40.19,1050700
2005-09-16,40.5,41.03,40.33,41.01,2803100
2005-09-19,40.86,40.86,40.08,40.23,1292900
2005-09-20,40.4,40.78,39.9,40.03,1417200
2005-09-21,39.73,39.79,39.19,39.19,1591600
2005-09-22,39.0,39.5,38.68,39.5,1066100
2005-09-23,39.36,39.85,39.03,39.61,1211400
2005-09-26,39.61,39.79,39.03,39.15,1186400
2005-09-27,39.28,39.31,38.95,39.14,1747100
2005-09-28,39.3,39.31,38.56,38.83,1372400
2005-09-29,38.82,39.84,38.62,39.72,2095000
2005-09-30,39.6,39.63,38.95,39.05,1540200
2005-10-03,39.0,39.37,38.86,39.19,1084500
2005-10-04,39.28,39.71,38.4,38.41,1405600
2005-10-05,38.41,38.58,38.05,38.17,1694200
2005-10-06,38.3,38.5,37.9,38.31,1504400
2005-10-07,38.51,38.68,38.22,38.59,1702100
2005-10-10,38.83,38.83,38.04,38.13,1110400
2005-10-11,38.1,38.22,37.62,37.9,1902300
2005-10-12,37.52,38.05,37.39,37.81,1606400
2005-10-13,37.83,38.15,37.52,38.12,1744300
2005-10-14,39.0,39.5,38.96,39.33,2555500
2005-10-17,39.65,39.94,38.91,39.31,2161300
2005-10-18,39.45,39.69,39.19,39.22,2644300
2005-10-19,39.27,40.77,39.22,40.76,2698900
2005-10-20,40.76,41.33,40.69,40.77,2720200
2005-10-21,41.16,41.3,40.71,40.8,2237000
2005-10-24,41.0,41.49,40.85,41.37,1509700
2005-10-25,41.12,41.45,40.99,41.43,1991200
2005-10-26,41.4,42.0,41.27,41.57,2436600
2005-10-27,41.61,41.94,41.53,41.61,2253500
2005-10-28,41.75,42.47,41.71,42.41,2612600
2005-10-31,42.41,42.74,42.04,42.34,3523400
2005-11-01,42.73,42.82,42.13,42.59,3206400
2005-11-02,43.37,43.37,42.45,42.7,1774800
2005-11-03,42.85,42.9,42.32,42.49,2002500
2005-11-04,42.69,42.75,42.4,42.7,1444400
2005-11-07,42.71,43.04,42.68,42.93,1195000
2005-11-08,42.88,42.93,42.59,42.84,1499900
2005-11-09,42.87,43.09,42.81,42.87,984500
2005-11-10,43.0,43.48,42.72,43.38,3053000
2005-11-11,43.43,43.5,43.29,43.49,709200
2005-11-14,43.0,43.38,42.96,43.25,1509300
2005-11-15,43.0,43.22,42.55,42.76,1353300
2005-11-16,42.81,42.86,42.28,42.46,1108700
2005-11-17,42.49,43.09,42.27,42.98,938600
2005-11-18,43.5,43.5,42.79,43.2,1328800
2005-11-21,43.2,43.58,43.1,43.46,1155000
2005-11-22,43.32,43.9,43.12,43.77,1277200
2005-11-23,43.39,43.92,43.18,43.52,1659500
2005-11-25,43.57,43.72,43.43,43.68,508700
2005-11-28,43.49,43.86,43.18,43.23,1448200
2005-11-29,43.47,43.56,43.08,43.2,1439700
2005-11-30,43.19,43.27,42.45,42.55,2152900
2005-12-01,42.73,43.13,42.7,42.85,1306000
2005-12-02,42.75,43.02,42.54,42.75,950100
2005-12-05,42.42,42.66,42.2,42.53,1274900
2005-12-06,42.75,42.86,42.32,42.37,1434400
2005-12-07,42.37,42.37,41.64,42.06,1551100
2005-12-08,42.06,42.19,41.63,41.78,2116000
2005-12-09,41.93,42.67,41.7,42.41,1584600
