Date,Open,High,Low,Close,Volume
2005-01-03,39.93,40.48,39.41,39.52,5332350
2005-01-04,39.52,39.54,38.4,38.47,4727850
2005-01-05,38.4,38.92,38.23,38.7,3873450
2005-01-06,38.25,38.25,36.69,37.0,14716650
2005-01-07,37.13,37.33,36.77,36.77,5945400
2005-01-10,36.92,37.75,36.89,37.3,5709300
2005-01-11,36.93,37.65,36.93,37.46,4325700
2005-01-12,37.4,37.93,37.16,37.81,4406400
2005-01-13,37.81,37.93,37.53,37.76,2960550
2005-01-14,38.37,38.63,37.93,38.28,4073850
2005-01-18,38.2,38.51,38.03,38.49,2378400
2005-01-19,38.49,38.55,38.09,38.23,3068850
2005-01-20,38.07,38.07,37.17,37.3,4337700
2005-01-21,37.49,37.5,37.04,37.2,3411150
2005-01-24,37.04,37.05,36.36,36.77,6248700
2005-01-25,36.77,36.97,35.83,36.02,8264400
2005-01-26,36.16,37.23,36.07,37.11,5679150
2005-01-27,37.11,37.27,36.54,36.56,5097450
2005-01-28,36.5,36.56,35.72,35.93,6055200
2005-01-31,36.32,36.33,35.69,35.86,6257850
2005-02-01,36.0,36.94,35.8,36.89,5050200
2005-02-02,36.87,36.99,36.49,36.6,3109200
2005-02-03,36.56,37.01,36.2,36.87,3654900
2005-02-04,37.0,37.46,36.82,37.27,3857400
2005-02-07,37.03,37.33,36.85,37.03,2345400
2005-02-08,37.03,37.19,36.84,36.95,2520300
2005-02-09,36.99,37.31,36.08,36.19,5257650
2005-02-10,36.33,36.5,35.83,36.25,3138300
2005-02-11,36.25,36.56,35.29,36.23,5918850
2005-02-14,36.31,36.64,36.05,36.45,2222400
2005-02-15,36.67,37.27,36.58,37.0,4331400
2005-02-16,36.83,36.97,36.6,36.73,2445450
2005-02-17,36.58,36.83,36.43,36.62,3100950
2005-02-18,35.9,36.06,35.41,35.89,10342650
2005-02-22,35.43,35.73,34.51,34.52,7638150
2005-02-23,34.87,35.12,34.49,34.54,6899250
2005-02-24,34.5,34.53,33.91,34.27,4243500
2005-02-25,34.39,34.73,34.11,34.46,4302900
2005-02-28,35.57,36.44,35.46,36.01,8817000
2005-03-01,36.2,36.59,36.07,36.32,3761400
2005-03-02,36.1,36.99,35.83,35.94,5292750
2005-03-03,34.7,35.27,34.64,34.93,13803450
2005-03-04,35.0,35.97,35.0,35.47,6460500
2005-03-07,35.47,35.85,35.33,35.67,3879600
2005-03-08,35.43,35.61,35.23,35.34,4215150
2005-03-09,35.27,35.57,35.07,35.43,4746600
2005-03-10,35.43,35.57,34.84,35.06,4073250
2005-03-11,35.15,35.16,34.51,34.83,4530600
2005-03-14,35.0,35.28,34.87,35.27,3604350
2005-03-15,35.13,35.14,34.22,34.41,8435850
2005-03-16,34.42,34.67,34.17,34.43,4461150
2005-03-17,34.43,34.67,34.16,34.29,2984250
2005-03-18,34.29,34.5,34.04,34.29,6685050
2005-03-21,34.29,34.49,33.94,34.25,3230400
2005-03-22,34.33,34.85,34.19,34.34,4298550
2005-03-23,34.34,34.45,34.08,34.26,6329250
2005-03-24,34.27,34.62,34.17,34.49,7135800
2005-03-28,34.7,35.41,34.68,35.29,5100600
2005-03-29,35.29,35.65,34.83,34.92,8008050
2005-03-30,35.17,35.92,34.97,35.55,4059750
2005-03-31,35.3,36.33,35.01,36.01,6942300
2005-04-01,35.0,35.39,32.8,33.73,26951100
2005-04-04,33.66,33.73,33.01,33.25,7468200
2005-04-05,33.3,33.67,33.29,33.52,5096700
2005-04-06,33.52,34.11,33.51,34.01,5758950
2005-04-07,33.91,34.17,33.53,34.09,5745150
2005-04-08,34.13,34.23,33.55,33.62,3205950
2005-04-11,33.63,34.15,33.59,34.03,3758100
2005-04-12,33.89,34.54,33.59,34.35,5022300
2005-04-13,34.14,34.34,33.79,33.9,3953700
2005-04-14,33.03,33.43,33.0,33.05,5424900
2005-04-15,32.85,32.97,32.19,32.47,7674450
2005-04-18,32.3,32.9,31.93,32.79,6077550
2005-04-19,32.79,32.93,32.35,32.8,4306200
2005-04-20,32.79,32.92,32.27,32.31,3620700
2005-04-21,32.77,32.86,32.35,32.65,3912900
2005-04-22,32.65,32.9,32.26,32.45,4091550
2005-04-25,32.57,33.15,32.44,32.91,2799600
2005-04-26,32.69,33.09,32.65,32.8,4480050
2005-04-27,33.5,33.83,33.07,33.48,6690300
2005-04-28,33.48,34.07,32.77,33.03,5015400
2005-04-29,33.83,34.23,33.0,33.56,5498250
2005-05-02,33.73,34.13,33.46,33.64,2818650
2005-05-03,33.68,33.93,33.47,33.8,2750400
2005-05-04,33.85,34.37,33.54,34.28,4507650
2005-05-05,34.37,34.83,34.23,34.35,3538200
2005-05-06,34.47,34.66,34.31,34.35,3309900
2005-05-09,34.29,34.69,34.09,34.69,3451800
2005-05-10,34.38,35.0,34.32,34.71,3308850
2005-05-11,34.71,34.86,34.23,34.59,3869700
2005-05-12,34.59,34.78,33.79,33.82,5868750
2005-05-13,33.82,33.83,33.1,33.4,5137950
2005-05-16,33.4,34.5,33.33,34.47,2966250
2005-05-17,34.25,35.47,34.23,35.41,4737450
2005-05-18,35.93,36.66,35.88,36.33,8649000
2005-05-19,36.33,36.49,35.93,36.13,4484550
2005-05-20,36.25,36.57,36.01,36.24,2262450
2005-05-23,36.23,36.75,36.13,36.52,2096850
2005-05-24,36.29,36.6,36.25,36.4,2154900
2005-05-25,36.4,36.53,36.01,36.1,1478550
2005-05-26,36.17,36.79,36.17,36.58,2178750
2005-05-27,36.55,36.73,36.49,36.57,1392000
2005-05-31,36.57,36.57,36.2,36.29,1643700
2005-06-01,37.33,37.65,37.13,37.53,6129150
2005-06-02,37.87,38.35,37.72,38.14,5274300
2005-06-03,38.14,38.53,37.85,37.89,3453000
2005-06-06,38.03,38.62,38.0,38.32,2734650
2005-06-07,38.97,39.87,38.77,39.31,6056550
2005-06-08,39.32,39.33,38.66,38.83,4454850
2005-06-09,38.67,39.46,38.47,39.17,3759450
