Date,Open,High,Low,Close,Volume
2005-01-03,64.0,65.18,63.87,64.87,926600
2005-01-04,65.4,65.7,64.28,64.59,770400
2005-01-05,64.59,64.59,63.61,63.72,385500
2005-01-06,63.72,63.87,63.31,63.6,466600
2005-01-07,63.62,64.01,63.41,63.73,332600
2005-01-10,63.75,63.79,62.22,62.7,761400
2005-01-11,62.35,62.8,61.9,62.8,738700
2005-01-12,62.81,64.67,62.8,64.67,759000
2005-01-13,64.42,64.79,64.16,64.62,630900
2005-01-14,64.6,66.2,64.5,65.61,916100
2005-01-18,65.61,66.53,64.95,66.5,619100
2005-01-19,66.0,67.15,66.0,66.55,818800
2005-01-20,66.5,66.59,65.54,66.0,622300
2005-01-21,65.87,66.69,65.62,66.25,597300
2005-01-24,66.26,66.47,65.21,65.24,491700
2005-01-25,65.27,65.95,64.57,64.64,459100
2005-01-26,64.7,65.94,64.43,65.76,980400
2005-01-27,65.76,67.36,65.73,67.32,787500
2005-01-28,67.42,67.91,66.24,66.44,577300
2005-01-31,67.15,67.8,66.99,67.8,674700
2005-02-01,68.8,69.51,68.59,69.33,1022900
2005-02-02,69.1,69.68,68.96,69.68,729800
2005-02-03,69.75,70.85,69.55,70.65,793900
2005-02-04,70.6,70.76,69.52,69.92,732100
2005-02-07,69.75,69.75,68.74,69.25,1040300
2005-02-08,69.48,69.53,69.29,69.49,397700
2005-02-09,69.58,69.58,68.56,68.56,363800
2005-02-10,68.8,68.8,68.09,68.39,307800
2005-02-11,68.4,69.22,68.19,69.16,448900
2005-02-14,69.01,69.09,68.26,68.38,286700
2005-02-15,68.43,68.85,68.33,68.38,370500
2005-02-16,68.13,68.27,67.38,68.25,410100
2005-02-17,68.25,68.8,67.71,68.26,333000
2005-02-18,68.31,68.65,67.61,67.65,480900
2005-02-22,66.95,67.85,66.66,67.53,485800
2005-02-23,67.53,68.0,67.49,67.92,375700
2005-02-24,67.93,68.3,66.73,68.1,392400
2005-02-25,68.05,68.15,67.56,67.76,411100
2005-02-28,67.51,67.51,65.86,66.5,809400
2005-03-01,66.65,67.68,66.05,67.68,566500
2005-03-02,67.0,68.22,66.99,67.82,467400
2005-03-03,67.8,67.8,66.28,66.64,394700
2005-03-04,66.72,66.75,65.94,66.39,808400
2005-03-07,66.4,66.78,66.0,66.67,422200
2005-03-08,66.82,66.84,66.25,66.49,330500
2005-03-09,66.3,66.4,65.77,65.83,286600
2005-03-10,65.63,66.29,65.22,65.54,260900
2005-03-11,65.63,65.79,64.69,64.87,282600
2005-03-14,64.89,65.88,64.8,65.86,316900
