Date,Open,High,Low,Close,Volume
2005-01-03,42.0,42.15,41.27,41.35,2330400
2005-01-04,41.6,42.08,41.43,41.46,2675500
2005-01-05,41.41,41.75,41.11,41.32,2306000
2005-01-06,41.26,42.2,41.11,41.86,2149200
2005-01-07,41.76,41.76,40.73,41.35,2544400
2005-01-10,41.85,42.17,41.33,41.43,2260800
2005-01-11,41.35,41.58,41.03,41.2,2360500
2005-01-12,41.28,41.81,40.82,41.75,4044000
2005-01-13,42.0,42.33,41.69,41.92,3586000
2005-01-14,41.9,42.35,41.55,42.27,2058000
2005-01-18,42.68,43.42,42.24,42.58,2433000
2005-01-19,42.49,42.96,42.43,42.67,2297200
2005-01-20,42.3,43.1,41.8,42.51,2585200
2005-01-21,42.9,43.39,42.36,42.4,3017900
2005-01-24,42.69,43.2,42.4,42.44,2865800
2005-01-25,42.85,43.4,42.13,42.6,2436100
2005-01-26,42.65,43.1,42.21,42.97,2263500
2005-01-27,43.06,43.86,42.9,43.64,2034300
2005-01-28,43.1,43.5,42.16,42.56,3107500
2005-01-31,42.38,43.59,41.75,43.3,2618000
2005-02-01,43.3,44.02,43.04,43.78,3067500
2005-02-02,43.65,44.46,43.41,44.24,2203300
2005-02-03,43.99,44.4,43.27,44.38,1648800
2005-02-04,44.38,44.73,43.74,44.2,1971000
2005-02-07,44.02,44.3,43.26,43.91,1898200
2005-02-08,43.45,44.36,43.36,44.25,1709200
2005-02-09,44.12,44.95,43.68,44.63,2591400
2005-02-10,45.0,46.19,44.76,46.02,3243600
2005-02-11,46.18,47.0,46.1,46.98,3033200
2005-02-14,46.87,46.95,46.3,46.79,2794000
2005-02-15,46.7,46.98,45.86,46.49,2476900
2005-02-16,46.68,47.5,46.38,47.35,2932500
2005-02-17,47.9,48.25,46.09,46.11,4078600
2005-02-18,46.35,47.19,45.87,46.74,2999400
2005-02-22,47.22,47.23,46.0,46.03,2916000
2005-02-23,46.1,47.14,46.08,47.09,1965300
2005-02-24,47.24,47.6,46.31,47.48,2343700
2005-02-25,47.48,48.02,47.14,47.7,2031400
2005-02-28,47.98,48.36,46.28,47.28,2407000
2005-03-01,46.75,47.14,45.5,45.7,4586100
2005-03-02,45.36,46.12,45.06,45.85,3502900
2005-03-03,46.19,47.6,46.19,47.31,3572500
2005-03-04,47.31,47.54,46.05,47.26,3035700
2005-03-07,47.26,47.26,46.17,46.92,2080400
2005-03-08,46.92,47.44,46.5,46.68,2154200
2005-03-09,46.95,47.0,44.85,44.93,4020000
2005-03-10,44.93,44.93,43.55,44.4,3835500
2005-03-11,44.0,45.07,43.93,44.46,3105900
2005-03-14,44.46,45.03,43.55,44.93,3131600
2005-03-15,44.93,45.54,44.22,44.3,2798700
2005-03-16,44.2,45.0,43.7,44.09,2947300
2005-03-17,44.6,44.6,43.3,43.56,3687600
2005-03-18,43.85,44.56,43.45,43.68,3680100
2005-03-21,43.68,44.18,43.2,43.8,2234200
2005-03-22,43.8,45.18,43.55,43.87,3328900
2005-03-23,43.87,43.88,42.5,42.68,3552300
2005-03-24,42.98,43.39,42.46,42.87,2286500
2005-03-28,42.87,43.95,42.73,43.48,2633300
2005-03-29,43.5,44.24,42.93,42.94,4081500
2005-03-30,43.16,43.6,41.85,43.1,4076400
2005-03-31,43.9,44.88,43.75,44.49,3318300
2005-04-01,45.9,45.9,44.82,45.55,3588200
2005-04-04,46.05,46.2,44.15,44.73,4540700
2005-04-05,44.61,45.35,44.12,44.88,3347000
2005-04-06,45.23,46.22,44.95,45.72,3646400
2005-04-07,46.23,46.28,44.94,45.41,4288400
2005-04-08,45.41,45.72,44.59,44.66,2642900
2005-04-11,44.56,44.92,44.0,44.8,2832700
2005-04-12,44.75,44.76,43.44,44.0,3714900
2005-04-13,43.81,44.46,43.18,43.33,3480000
2005-04-14,43.6,44.26,43.11,43.26,3191300
2005-04-15,44.1,44.6,42.9,43.06,5876200
2005-04-18,43.3,44.52,43.29,44.01,4143500
2005-04-19,44.5,45.51,44.45,45.02,3903500
2005-04-20,45.1,45.6,44.03,44.08,3853400
2005-04-21,44.09,45.69,43.92,45.57,4081900
2005-04-22,46.25,46.61,45.32,46.0,3860500
2005-04-25,46.45,46.8,46.02,46.48,2633800
2005-04-26,46.05,46.42,45.12,45.12,3236600
2005-04-27,45.3,45.56,43.81,43.88,3665500
2005-04-28,43.88,44.78,43.5,43.85,3949200
2005-04-29,44.7,44.9,43.73,44.12,3776600
2005-05-02,44.03,45.4,43.69,45.33,2463500
2005-05-03,44.71,45.0,43.67,43.83,3221100
2005-05-04,43.89,44.93,43.4,44.71,3124500
2005-05-05,44.75,45.35,44.26,44.85,2990700
2005-05-06,45.25,45.62,44.96,45.11,2354500
2005-05-09,45.21,45.77,44.87,45.49,1884700
2005-05-10,45.3,45.44,44.42,44.52,2641800
2005-05-11,44.35,44.8,43.91,44.38,2426400
2005-05-12,44.38,44.38,42.33,42.66,4670000
2005-05-13,42.5,42.98,41.98,42.51,4304900
2005-05-16,42.51,43.08,41.81,43.05,6441800
2005-05-17,42.81,43.43,42.75,43.36,3476700
2005-05-18,43.8,43.84,42.66,43.2,4240000
2005-05-19,43.2,44.36,42.9,44.3,2868800
2005-05-20,44.51,44.82,43.88,43.97,2375600
2005-05-23,43.97,44.73,43.85,44.55,2630300
2005-05-24,44.7,44.97,44.36,44.74,2353300
2005-05-25,44.84,45.8,44.62,45.51,3748000
2005-05-26,45.71,45.75,45.29,45.61,2356400
2005-05-27,45.61,46.37,45.43,46.2,1474400
2005-05-31,46.2,46.4,45.35,46.19,2166300
2005-06-01,46.44,46.89,46.27,46.57,2065800
2005-06-02,46.5,46.95,45.85,46.72,2035100
2005-06-03,46.97,47.61,46.84,47.02,1891900
2005-06-06,47.27,47.65,46.9,47.5,2131400
2005-06-07,47.32,47.66,46.67,46.76,2213000
2005-06-08,46.56,47.73,46.4,47.0,2799300
2005-06-09,47.25,48.87,47.13,48.84,2945900
2005-06-10,48.76,49.2,48.08,48.56,2570100
2005-06-13,48.42,49.3,48.02,49.24,2218900
2005-06-14,48.85,49.4,48.7,48.97,1788400
2005-06-15,49.11,49.8,48.96,49.76,3048100
2005-06-16,49.65,50.8,49.64,50.68,3015200
2005-06-17,51.23,51.6,50.33,51.55,3711300
2005-06-20,51.55,51.95,51.26,51.56,2925700
2005-06-21,51.56,51.57,50.53,50.6,2614400
2005-06-22,51.0,51.15,50.16,50.91,2517100
2005-06-23,50.95,52.1,50.68,51.01,2245400
2005-06-24,51.19,51.43,50.35,50.4,2520300
2005-06-27,50.95,52.08,50.95,51.95,3141800
2005-06-28,51.84,51.84,50.67,50.67,2577700
2005-06-29,50.67,51.1,50.22,50.76,2254000
2005-06-30,50.37,51.7,50.37,51.16,3378700
2005-07-01,51.6,51.99,51.18,51.57,2362200
2005-07-05,51.82,53.34,51.73,53.12,3376600
2005-07-06,53.36,53.87,52.56,52.9,2990700
2005-07-07,52.2,54.61,51.93,53.14,2943600
2005-07-08,53.27,53.53,52.18,52.39,2247800
2005-07-11,51.6,52.99,51.33,52.98,2368100
2005-07-12,53.25,53.93,52.86,53.48,2355000
2005-07-13,53.45,53.72,52.76,52.92,2669200
2005-07-14,53.15,53.35,51.65,52.03,2557500
2005-07-15,52.28,52.4,51.65,51.67,2305500
2005-07-18,51.67,52.27,50.8,51.54,1840800
2005-07-19,51.89,53.41,51.57,53.41,2245600
2005-07-20,53.0,53.21,51.9,52.5,3612000
2005-07-21,52.5,53.11,51.45,52.44,2221300
2005-07-22,53.9,55.35,53.77,55.05,3876900
2005-07-25,54.5,56.85,54.5,56.8,4259400
2005-07-26,56.8,57.0,55.85,56.21,3348100
2005-07-27,56.35,57.1,55.76,57.02,2474300
2005-07-28,57.28,57.46,55.88,57.33,3506000
2005-07-29,57.85,58.23,56.42,56.54,2545200
2005-08-01,56.78,57.69,56.7,57.02,2657700
2005-08-02,57.38,58.25,57.3,57.97,2301000
2005-08-03,58.3,58.65,57.75,58.12,2776200
2005-08-04,57.85,58.48,57.8,58.02,2172100
2005-08-05,58.09,58.21,56.84,57.38,2521600
2005-08-08,58.15,58.72,58.03,58.16,1946300
2005-08-09,58.3,58.49,57.66,57.83,2035600
2005-08-10,58.03,58.84,57.63,58.44,2516100
2005-08-11,58.53,59.18,58.34,59.16,2578600
2005-08-12,59.08,59.23,58.26,58.55,2622600
2005-08-15,58.56,58.8,57.73,58.03,2353500
2005-08-16,58.04,58.64,56.84,56.98,2689600
2005-08-17,57.1,57.5,55.71,55.83,3452800
2005-08-18,54.81,55.9,54.71,55.29,3365400
2005-08-19,55.83,56.33,55.5,55.94,2438100
2005-08-22,56.24,56.7,55.05,55.52,1997400
2005-08-23,55.79,56.53,55.15,56.16,2284400
2005-08-24,56.4,57.49,55.75,56.7,2293600
2005-08-25,56.64,56.7,56.0,56.32,1272000
2005-08-26,56.4,56.83,55.47,55.54,1533000
2005-08-29,55.67,56.7,55.67,56.09,2251000
2005-08-30,56.45,57.83,56.45,57.23,3510100
2005-08-31,57.4,58.76,57.37,58.75,4369200
2005-09-01,59.0,59.57,58.02,59.19,3277600
2005-09-02,59.2,59.2,57.85,57.93,2352900
2005-09-06,58.17,58.85,57.59,58.85,3101100
2005-09-07,58.65,59.13,58.1,58.5,2813200
2005-09-08,58.65,58.8,58.02,58.2,2126300
2005-09-09,58.59,59.53,58.39,59.31,2549400
2005-09-12,59.31,59.45,57.57,57.76,3083400
2005-09-13,57.83,58.36,56.89,57.8,3609700
2005-09-14,58.15,59.12,58.14,58.7,2869300
2005-09-15,59.05,59.74,58.29,58.69,3746900
2005-09-16,59.1,59.14,58.18,58.8,3472300
2005-09-19,59.85,61.05,59.76,60.75,3387500
2005-09-20,60.5,61.0,59.86,60.49,3118900
2005-09-21,61.13,61.2,59.62,60.79,3606400
2005-09-22,61.1,61.9,59.43,60.4,3975400
2005-09-23,60.43,60.43,58.95,59.17,2472300
2005-09-26,58.85,60.47,58.85,60.4,2575400
2005-09-27,59.72,60.6,59.47,60.51,2291700
2005-09-28,60.95,60.95,60.13,60.38,2612900
2005-09-29,60.53,60.85,59.85,60.72,2247700
2005-09-30,60.73,60.92,59.62,59.68,1942800
2005-10-03,59.72,59.98,58.62,59.11,2248400
2005-10-04,59.05,59.06,57.4,57.43,2753400
2005-10-05,57.56,58.05,55.32,55.52,3845500
2005-10-06,53.52,55.5,53.46,54.46,5186700
2005-10-07,54.75,55.0,53.87,55.0,3110800
2005-10-10,55.05,55.05,53.32,54.66,3061500
2005-10-11,56.0,56.59,55.48,55.49,2703000
2005-10-12,55.5,55.8,54.08,54.55,2754800
2005-10-13,55.5,55.5,52.17,53.38,3987200
2005-10-14,53.25,54.14,52.32,53.97,3544900
2005-10-17,54.48,54.59,53.64,54.1,3149300
2005-10-18,53.75,54.11,51.4,51.52,3265800
2005-10-19,51.65,52.91,50.61,52.85,3918900
2005-10-20,52.35,52.79,50.37,51.2,3902300
2005-10-21,51.05,53.24,50.8,51.9,3662900
2005-10-24,51.42,53.61,51.39,53.55,3110900
2005-10-25,53.65,56.08,53.54,55.97,4455500
2005-10-26,55.9,58.22,55.53,56.6,5407600
2005-10-27,57.18,57.25,55.24,55.4,3461400
2005-10-28,54.25,55.1,51.66,55.1,8870700
2005-10-31,54.25,55.6,54.12,54.96,4478300
2005-11-01,54.96,56.23,54.57,56.09,3431600
2005-11-02,55.6,57.72,55.5,57.4,4109200
2005-11-03,57.71,59.38,57.71,58.64,4020800
2005-11-04,58.64,58.65,56.7,56.93,3685500
2005-11-07,56.93,57.0,55.05,55.89,3872800
2005-11-08,55.65,56.65,55.0,55.45,3435100
2005-11-09,55.44,56.11,53.5,53.88,6466000
2005-11-10,53.88,54.41,51.9,52.73,5210100
2005-11-11,52.01,53.52,51.81,52.83,3402500
2005-11-14,53.19,53.96,52.96,53.09,2508200
2005-11-15,52.85,54.46,52.01,52.47,4137300
2005-11-16,53.1,54.19,52.71,54.07,3421100
2005-11-17,54.85,55.51,54.7,55.34,4288300
2005-11-18,55.95,55.96,55.0,55.67,3496500
2005-11-21,55.83,57.02,55.5,57.0,3536000
2005-11-22,57.6,58.16,56.93,57.93,3460100
2005-11-23,57.53,59.07,56.87,58.28,2840300
2005-11-25,58.4,58.66,58.14,58.51,922100
2005-11-28,57.7,57.85,56.8,56.89,3109800
2005-11-29,56.9,57.94,56.49,56.73,3420400
2005-11-30,56.6,58.0,56.6,57.35,3453100
2005-12-01,57.85,59.7,57.7,59.58,4852900
2005-12-02,59.73,59.91,58.71,59.41,3567300
2005-12-05,60.01,60.69,59.55,59.83,4932300
2005-12-06,59.45,60.47,59.4,59.68,2856800
