Date,Open,High,Low,Close,Volume
2005-01-03,66.92,67.8,66.15,66.29,3530182
2005-01-04,66.84,67.41,64.29,64.76,3921329
2005-01-05,64.91,65.48,63.82,64.84,3616916
2005-01-06,64.88,65.87,64.45,65.19,2963882
2005-01-07,66.23,66.7,65.35,66.09,3257025
2005-01-10,65.7,67.54,65.7,66.82,4435009
2005-01-11,66.11,66.65,65.56,65.8,2948442
2005-01-12,65.96,67.11,65.93,67.11,3536348
2005-01-13,66.93,67.11,64.76,64.87,3596267
2005-01-14,64.95,66.67,64.62,66.58,3153331
2005-01-18,65.97,68.39,65.94,67.8,3958124
2005-01-19,67.63,68.19,66.81,66.93,2919004
2005-01-20,66.93,67.82,64.65,64.83,6126374
2005-01-21,65.0,65.54,64.17,64.83,5277312
2005-01-24,64.95,64.95,61.76,63.0,4922322
2005-01-25,63.4,64.34,62.32,63.08,3217886
2005-01-26,63.33,64.31,63.0,63.47,3666464
2005-01-27,63.53,64.72,62.94,63.69,3866835
2005-01-28,63.4,63.71,61.27,62.2,4691818
2005-01-31,63.5,65.35,63.34,64.96,4198210
2005-02-01,64.78,65.35,64.21,64.72,2313623
2005-02-02,65.08,65.9,64.53,65.5,2983981
2005-02-03,65.71,65.9,64.76,65.18,2000747
2005-02-04,64.87,66.99,64.87,66.95,3566201
2005-02-07,67.0,67.01,65.75,66.15,3413387
2005-02-08,67.63,67.7,65.76,66.23,4683714
2005-02-09,66.51,66.81,65.02,65.03,3386370
2005-02-10,65.23,66.1,64.99,65.92,2527311
2005-02-11,65.99,67.31,65.45,66.7,2956592
2005-02-14,66.6,67.08,66.4,66.99,1834240
2005-02-15,67.0,68.0,66.3,67.04,2866368
2005-02-16,66.85,67.5,66.26,67.29,1876943
2005-02-17,68.7,70.0,67.5,67.57,7422040
2005-02-18,67.55,67.6,66.85,66.97,2614908
2005-02-22,67.06,67.5,65.33,65.34,3082303
2005-02-23,65.73,66.07,65.09,65.58,1736703
2005-02-24,65.09,66.77,64.13,66.68,3896137
2005-02-25,66.45,67.39,66.04,67.28,1979777
2005-02-28,40.38,41.56,35.86,38.65,118301622
2005-03-01,40.0,41.48,39.12,41.26,52544850
2005-03-02,41.73,42.25,40.74,40.88,24569674
2005-03-03,41.48,41.56,38.8,39.33,21444106
2005-03-04,38.47,38.52,37.45,37.53,24063617
2005-03-07,38.11,38.26,37.5,37.59,10664261
2005-03-08,37.7,38.55,37.18,38.35,14037276
2005-03-09,38.5,39.66,38.33,39.31,12760748
2005-03-10,39.4,39.86,37.94,38.61,10670456
2005-03-11,38.8,39.19,38.0,38.03,5536238
2005-03-14,38.32,39.54,38.05,39.41,6381951
2005-03-15,39.42,39.9,38.07,38.07,7265105
2005-03-16,38.02,39.03,34.3,37.19,29895519
2005-03-17,37.47,38.89,37.47,38.16,10857691
2005-03-18,38.28,38.61,37.74,38.26,5885479
2005-03-21,37.99,38.65,37.98,38.27,3715661
2005-03-22,38.37,38.5,37.93,38.1,7341616
2005-03-23,38.02,38.71,38.02,38.1,3633481
