Date,Open,High,Low,Close,Volume
2005-01-03,58.72,58.72,57.8,57.98,688500
2005-01-04,58.0,58.2,56.8,57.1,826000
2005-01-05,57.0,57.0,57.0,57.0,1490500
2005-01-06,57.0,58.0,57.0,57.0,875000
2005-01-07,57.5,58.5,57.3,58.4,705000
2005-01-10,58.0,59.0,58.0,59.0,513500
2005-01-11,58.5,58.5,57.5,57.5,606000
2005-01-12,57.68,58.0,57.21,57.52,418500
2005-01-13,58.0,58.0,57.0,57.0,297500
2005-01-14,57.7,57.7,57.2,57.3,407500
2005-01-18,57.52,58.02,57.32,57.8,910500
2005-01-19,57.8,58.36,57.64,57.78,546000
2005-01-20,58.0,58.0,58.0,58.0,776500
2005-01-21,58.7,60.2,58.6,60.1,1593500
2005-01-24,60.0,60.1,59.9,60.0,603000
2005-01-25,60.0,60.0,59.3,59.7,810500
2005-01-26,59.7,59.7,59.26,59.28,518000
2005-01-27,59.4,59.5,58.66,58.84,399500
2005-01-28,59.0,60.0,59.0,60.0,1599500
2005-01-31,60.0,60.12,59.4,59.88,712500
2005-02-01,60.0,60.0,60.0,60.0,558500
2005-02-02,60.0,60.0,60.0,60.0,673500
2005-02-03,60.0,60.0,60.0,60.0,528500
2005-02-04,60.0,60.5,59.7,60.5,458500
2005-02-07,60.5,60.9,60.3,60.9,888000
2005-02-08,61.0,61.0,60.0,61.0,542500
2005-02-09,60.8,60.9,60.4,60.7,440000
2005-02-10,61.0,61.0,60.0,61.0,563000
2005-02-11,60.5,61.34,60.5,61.16,980500
2005-02-14,61.0,61.0,61.0,61.0,348500
2005-02-15,61.0,61.0,61.0,61.0,364000
2005-02-16,61.0,61.0,60.0,60.0,577500
2005-02-17,60.0,60.0,60.0,60.0,435000
2005-02-18,60.2,60.2,59.8,60.0,521000
2005-02-22,59.82,60.7,59.8,60.08,642000
2005-02-23,60.33,60.8,60.2,60.68,401500
2005-02-24,61.0,61.0,60.0,60.0,695000
2005-02-25,60.0,60.0,60.0,60.0,390500
2005-02-28,60.0,60.0,60.0,60.0,489500
2005-03-01,60.3,60.7,60.2,60.4,407000
2005-03-02,60.0,60.0,60.0,60.0,479500
2005-03-03,60.0,60.0,59.0,60.0,944500
2005-03-04,60.0,60.0,59.0,60.0,1097500
2005-03-07,59.8,60.34,59.36,60.02,1105000
2005-03-08,60.05,60.42,59.86,60.22,711500
2005-03-09,60.0,60.7,60.0,60.5,889500
2005-03-10,60.0,60.0,60.0,60.0,648000
2005-03-11,60.0,60.0,60.0,60.0,734000
2005-03-14,60.0,60.0,60.0,60.0,301500
2005-03-15,60.24,60.3,59.56,59.56,794000
2005-03-16,59.4,59.4,57.26,57.36,2390500
2005-03-17,57.0,59.0,57.0,59.0,1582000
2005-03-18,58.88,58.96,58.16,58.37,476000
2005-03-21,58.0,59.0,58.0,58.0,676000
2005-03-22,58.0,58.0,57.42,57.7,704000
2005-03-23,57.5,57.6,57.2,57.2,941500
2005-03-24,57.3,58.12,57.28,57.9,660000
2005-03-28,58.0,58.0,57.0,57.0,918500
2005-03-29,57.0,58.0,56.0,57.0,2463000
2005-03-30,57.0,58.0,57.0,58.0,1477500
2005-03-31,58.0,58.0,57.0,57.0,993000
2005-04-01,57.0,57.0,56.0,56.0,1145000
2005-04-04,57.0,58.0,57.0,58.0,1369000
2005-04-05,58.0,59.0,58.0,58.0,710000
2005-04-06,58.5,58.96,58.2,58.48,530500
2005-04-07,58.4,58.6,57.8,58.0,413000
2005-04-08,57.9,57.98,57.52,57.65,480500
2005-04-11,57.0,59.0,57.0,58.0,897000
2005-04-12,58.44,58.64,58.16,58.36,1026000
2005-04-13,58.3,58.6,57.4,57.7,723000
2005-04-14,58.0,58.0,57.0,57.0,515000
2005-04-15,57.0,58.0,57.0,57.0,1189500
2005-04-18,57.0,58.0,56.0,56.0,1279500
2005-04-19,57.0,57.0,56.0,56.0,721500
2005-04-20,56.48,56.48,55.2,55.21,1469500
2005-04-21,56.2,56.3,55.7,56.0,1407500
2005-04-22,56.0,56.1,54.8,54.9,1241000
2005-04-25,55.0,56.0,55.0,55.0,1285500
2005-04-26,56.0,56.0,55.0,55.0,810000
2005-04-27,55.0,55.1,54.7,54.9,934000
2005-04-28,55.0,57.0,55.0,56.0,1253500
2005-04-29,55.86,56.5,55.86,55.96,885500
2005-05-02,57.0,58.0,56.0,57.0,1212000
2005-05-03,57.0,57.0,56.0,56.0,605000
2005-05-04,57.0,57.0,56.0,57.0,1102000
2005-05-05,56.7,56.7,56.2,56.2,545500
