Date,Open,High,Low,Close,Volume
2005-01-03,13.59,13.62,13.24,13.27,1037600
2005-01-04,13.27,13.29,12.92,13.01,1642800
2005-01-05,12.95,13.02,12.8,12.8,1019600
2005-01-06,12.84,12.95,12.8,12.9,610000
2005-01-07,12.88,12.92,12.81,12.85,1320400
2005-01-10,12.76,12.94,12.76,12.86,772000
2005-01-11,12.84,12.86,12.78,12.85,960000
2005-01-12,12.86,12.99,12.81,12.98,1072400
2005-01-13,12.98,13.4,12.95,13.32,3176000
2005-01-14,13.32,13.48,13.26,13.46,1492400
2005-01-18,13.44,13.59,13.34,13.5,1411600
2005-01-19,13.5,13.6,13.47,13.49,1355200
2005-01-20,13.44,13.49,13.22,13.25,1714400
2005-01-21,13.26,13.29,12.92,13.01,2053200
2005-01-24,13.05,13.25,13.01,13.13,1757600
2005-01-25,13.12,13.36,13.12,13.2,1211600
2005-01-26,13.22,13.3,13.1,13.19,934800
2005-01-27,13.2,13.29,13.08,13.27,868800
2005-01-28,13.21,13.23,13.01,13.2,885600
2005-01-31,13.27,13.42,13.22,13.42,1122800
2005-02-01,13.48,13.61,13.44,13.58,1486000
2005-02-02,13.54,13.58,13.44,13.53,908800
2005-02-03,13.53,13.55,13.25,13.31,1780000
2005-02-04,13.4,13.4,12.9,13.2,2372400
2005-02-07,13.2,13.42,13.02,13.42,1493200
2005-02-08,13.35,13.45,13.32,13.45,987600
2005-02-09,13.5,13.6,13.06,13.07,1725200
2005-02-10,13.16,13.21,13.12,13.2,1184000
2005-02-11,13.2,13.31,13.11,13.27,1260800
2005-02-14,13.31,13.31,13.16,13.19,599200
2005-02-15,13.26,13.4,13.25,13.29,953600
2005-02-16,13.22,13.31,13.15,13.29,587600
2005-02-17,13.29,13.32,13.2,13.2,1142400
2005-02-18,13.2,13.25,13.15,13.21,1264000
2005-02-22,13.21,13.21,12.84,12.84,1204000
2005-02-23,12.88,13.22,12.86,13.17,1336800
2005-02-24,13.12,13.19,13.01,13.18,659600
2005-02-25,13.18,13.22,13.16,13.19,785200
2005-02-28,13.19,13.26,13.11,13.19,926000
2005-03-01,13.21,13.51,13.21,13.51,2398000
2005-03-02,13.32,13.34,12.9,13.34,4791600
2005-03-03,13.36,13.49,13.3,13.32,3024800
2005-03-04,13.33,13.39,13.04,13.09,2200000
2005-03-07,13.08,13.12,13.06,13.1,1380000
2005-03-08,13.2,13.22,12.88,12.94,1597200
2005-03-09,12.88,13.04,12.76,12.98,1688000
2005-03-10,12.88,13.08,12.88,12.97,958800
2005-03-11,12.92,13.23,12.92,13.15,910000
2005-03-14,13.11,13.29,13.06,13.26,908800
