Date,Open,High,Low,Close,Volume
2005-01-03,64.56,65.05,63.0,63.65,351500
2005-01-04,63.45,63.94,62.51,62.56,270500
2005-01-05,62.31,62.31,59.1,60.1,881000
2005-01-06,59.9,61.32,59.9,61.2,512300
2005-01-07,61.41,61.8,60.69,61.09,275800
2005-01-10,61.9,62.0,60.62,60.62,520300
2005-01-11,60.72,60.81,59.44,59.63,477600
2005-01-12,59.55,59.73,58.55,59.23,337700
2005-01-13,58.9,60.37,58.9,59.7,366000
2005-01-14,59.68,60.08,59.28,59.88,371600
2005-01-18,60.03,60.52,59.56,60.52,273000
2005-01-19,60.75,61.2,60.25,60.5,296600
2005-01-20,60.3,60.7,59.97,60.46,343000
2005-01-21,60.26,60.73,60.2,60.46,584000
2005-01-24,60.3,60.73,59.54,59.57,345900
2005-01-25,59.7,59.82,58.29,58.29,517100
2005-01-26,58.1,58.23,57.15,58.04,626300
2005-01-27,58.04,58.17,56.66,56.93,771500
2005-01-28,58.13,58.15,57.13,57.99,741700
2005-01-31,58.1,58.36,57.0,57.78,704800
2005-02-01,58.03,58.19,57.6,57.94,778600
2005-02-02,58.05,59.27,58.05,59.27,695200
2005-02-03,59.35,59.56,59.02,59.2,458600
2005-02-04,59.48,59.95,59.39,59.62,426400
2005-02-07,59.55,59.7,59.21,59.22,268100
2005-02-08,59.3,59.36,59.11,59.2,261500
2005-02-09,59.05,59.83,59.05,59.76,302400
2005-02-10,59.76,59.98,59.29,59.95,316100
2005-02-11,59.9,60.4,59.51,60.4,427000
2005-02-14,60.4,60.66,60.1,60.57,219100
2005-02-15,60.58,61.05,60.39,60.8,341500
2005-02-16,60.8,61.2,60.15,61.2,218900
2005-02-17,62.0,62.04,61.15,61.76,557400
2005-02-18,61.55,61.56,60.4,61.07,416400
2005-02-22,60.9,60.9,59.39,59.4,418900
2005-02-23,59.65,60.23,59.01,59.28,371100
2005-02-24,59.2,59.34,58.38,58.86,360700
2005-02-25,58.66,60.18,58.66,60.12,331200
2005-02-28,60.15,60.36,58.84,59.8,603300
2005-03-01,59.81,60.78,59.75,60.67,397200
2005-03-02,60.6,60.61,59.95,60.25,295400
2005-03-03,60.4,60.49,59.82,60.14,305200
2005-03-04,60.3,61.85,60.3,61.85,402700
