Date,Open,High,Low,Close,Volume
2005-01-03,490.0,490.0,482.0,482.7,1474660
2005-01-04,482.8,487.7,477.0,478.6,1584770
2005-01-05,480.5,487.8,480.2,484.6,1895500
2005-01-06,488.0,492.4,487.4,489.3,1804990
2005-01-07,491.0,491.1,486.0,486.5,1280480
2005-01-10,485.1,487.4,480.2,483.4,1699950
2005-01-11,483.3,484.8,480.2,482.2,1295000
2005-01-12,481.0,481.9,477.1,480.7,1612440
2005-01-13,480.0,482.8,474.5,476.0,1543560
2005-01-14,477.5,478.5,474.6,475.1,1141230
2005-01-18,474.0,483.2,472.5,481.7,1511500
2005-01-19,481.0,484.4,480.1,480.4,1276420
2005-01-20,475.0,480.5,474.5,477.7,1732190
2005-01-21,485.0,485.0,478.5,479.3,1951580
2005-01-24,482.8,487.7,481.6,483.6,1598150
2005-01-25,485.5,487.5,483.6,485.1,1269150
2005-01-26,485.2,486.8,481.3,484.8,1410450
2005-01-27,484.9,487.7,481.0,485.6,1236970
2005-01-28,485.0,486.1,482.1,483.8,1682050
2005-01-31,490.0,493.0,489.2,490.5,1915060
2005-02-01,493.0,496.0,491.2,494.8,1874910
2005-02-02,495.3,497.5,492.5,496.8,1608550
2005-02-03,492.4,493.5,487.5,491.5,1517480
2005-02-04,491.5,497.9,491.4,497.8,1411460
2005-02-07,497.6,499.9,495.0,497.3,946460
2005-02-08,498.0,498.9,494.2,494.8,1098460
2005-02-09,494.8,496.4,490.6,491.8,1061960
2005-02-10,491.8,495.0,489.5,489.8,1373210
2005-02-11,490.0,495.9,488.5,494.0,999940
2005-02-14,494.1,494.6,491.0,492.5,960720
2005-02-15,492.6,495.3,492.3,494.0,950740
2005-02-16,491.2,493.5,490.5,491.8,827790
2005-02-17,491.9,492.6,487.2,488.0,1413570
2005-02-18,485.5,487.7,483.6,485.7,1653190
2005-02-22,483.0,486.5,479.0,479.5,1743780
2005-02-23,483.3,485.0,479.7,483.8,1658710
2005-02-24,484.3,485.6,481.7,483.0,1278590
2005-02-25,480.5,484.1,479.6,482.8,1584640
2005-02-28,482.5,482.6,476.0,477.2,2070030
2005-03-01,479.3,481.8,476.8,478.8,1244040
2005-03-02,476.5,484.1,476.2,481.3,1145070
2005-03-03,483.8,483.9,477.4,479.7,1173100
2005-03-04,481.8,486.8,480.2,484.0,1255050
2005-03-07,483.5,486.5,483.4,484.7,791160
2005-03-08,484.7,486.8,482.1,484.7,1192640
2005-03-09,481.5,483.4,477.0,478.8,1306850
2005-03-10,478.9,483.2,478.7,481.5,1197120
2005-03-11,481.5,482.5,474.7,477.9,1198730
2005-03-14,477.9,482.5,477.5,482.2,998190
2005-03-15,484.0,484.5,477.8,478.0,1065750
2005-03-16,475.0,476.9,473.0,473.7,1143530
2005-03-17,474.1,475.0,470.0,472.4,959420
2005-03-18,472.6,472.6,460.5,468.5,3756790
2005-03-21,464.7,464.7,455.5,457.6,2447370
2005-03-22,459.0,460.1,443.9,444.4,4488550
2005-03-23,442.5,448.5,440.5,444.5,3680200
2005-03-24,446.5,451.0,445.2,445.2,1821690
2005-03-28,448.5,451.7,447.7,447.7,1225760
2005-03-29,446.6,449.1,442.6,443.5,1721340
2005-03-30,444.5,450.0,443.9,449.2,1339140
2005-03-31,450.0,452.0,447.9,449.4,1428870
2005-04-01,454.0,457.0,444.0,446.2,1725680
2005-04-04,446.3,447.6,438.0,445.9,1936330
2005-04-05,449.0,450.5,445.3,449.4,1264410
2005-04-06,452.0,453.3,445.7,451.5,1159850
2005-04-07,453.0,457.5,452.0,454.6,1289740
2005-04-08,457.1,457.8,453.5,454.0,964340
2005-04-11,456.7,459.0,455.0,456.1,1131870
2005-04-12,456.1,466.1,453.4,464.5,1505020
2005-04-13,465.0,465.9,456.9,458.1,1385230
2005-04-14,459.0,459.7,451.8,454.0,1579200
2005-04-15,459.2,463.7,456.3,457.5,2706600
2005-04-18,460.0,464.1,459.8,462.1,1855750
2005-04-19,465.5,468.1,463.5,463.5,1490510
2005-04-20,462.0,466.2,458.9,461.3,1934130
2005-04-21,463.8,464.5,456.6,462.7,1760700
2005-04-22,457.6,467.0,457.6,463.2,1253910
2005-04-25,464.5,470.0,464.0,467.8,1222870
2005-04-26,468.0,471.4,465.9,466.2,1302920
2005-04-27,465.0,471.5,464.1,470.5,1218690
2005-04-28,465.1,467.4,461.3,461.9,1598760
2005-04-29,462.4,469.8,457.5,469.6,1712840
2005-05-02,469.6,472.2,461.5,465.3,1525790
2005-05-03,466.8,468.7,463.2,468.0,1447260
2005-05-04,468.0,471.9,465.5,469.7,1372800
2005-05-05,470.0,471.9,464.5,468.8,990680
