Date,Open,High,Low,Close,Volume
2005-01-03,31.06,31.35,30.82,30.82,3823600
2005-01-04,30.94,30.99,29.42,29.75,5165400
2005-01-05,29.8,29.93,29.22,29.34,3776000
2005-01-06,28.7,29.01,28.55,28.75,6224700
2005-01-07,28.95,28.95,28.39,28.53,2208300
2005-01-10,28.5,28.57,28.16,28.54,3143000
2005-01-11,28.53,28.53,28.05,28.09,4172600
2005-01-12,28.08,28.12,27.66,27.82,3824800
2005-01-13,27.89,28.22,27.57,27.61,3827500
2005-01-14,27.73,28.13,27.64,28.0,1554400
2005-01-18,28.0,28.53,27.74,28.47,2239900
2005-01-19,28.3,28.45,27.89,27.93,2891700
2005-01-20,27.86,28.39,27.62,28.26,3005000
2005-01-21,28.24,28.47,27.84,28.12,3770600
2005-01-24,28.13,28.48,27.51,27.58,4118100
2005-01-25,27.5,28.04,27.14,27.23,5146400
2005-01-26,27.55,27.6,26.45,26.7,10800400
2005-01-27,26.65,26.91,26.5,26.75,4647300
2005-01-28,26.75,26.89,26.36,26.42,3141600
2005-01-31,26.67,27.25,26.56,27.19,3954900
2005-02-01,27.18,27.8,27.14,27.71,5613500
2005-02-02,27.95,28.23,27.89,28.23,5519900
2005-02-03,28.08,28.17,27.56,27.6,4400900
2005-02-04,27.53,27.88,27.33,27.84,4019600
2005-02-07,27.85,28.06,27.69,27.97,1813900
2005-02-08,27.84,27.96,27.71,27.88,1445500
2005-02-09,27.85,27.99,27.19,27.27,2213900
2005-02-10,27.32,27.36,26.66,26.75,3882500
2005-02-11,26.75,26.87,26.6,26.75,8369200
2005-02-14,26.68,26.77,26.25,26.56,11188500
2005-02-15,26.61,27.08,26.56,26.93,3247000
2005-02-16,26.9,27.01,26.81,26.93,3286100
2005-02-17,26.87,27.03,26.77,26.8,3359200
2005-02-18,26.86,27.0,26.77,26.77,3257000
2005-02-22,26.55,26.92,26.53,26.66,2432700
2005-02-23,26.67,26.73,26.43,26.62,2325500
2005-02-24,26.63,27.14,26.55,27.1,4253200
2005-02-25,27.0,27.03,26.55,26.95,6360200
2005-02-28,26.84,27.23,26.81,27.09,2381100
2005-03-01,27.02,27.7,27.02,27.4,3110200
2005-03-02,27.25,27.71,27.25,27.48,2525200
2005-03-03,27.49,27.62,27.25,27.44,2237500
2005-03-04,27.56,27.76,27.2,27.72,3220000
2005-03-07,27.7,27.99,27.36,27.91,3244500
2005-03-08,27.92,27.97,27.39,27.83,2986000
2005-03-09,27.75,28.2,27.73,27.93,3552400
2005-03-10,27.9,28.25,27.64,28.22,2635600
2005-03-11,28.24,28.3,27.8,27.85,2558400
2005-03-14,28.02,28.22,27.77,27.89,2364000
2005-03-15,27.93,28.07,27.57,27.75,2022200
2005-03-16,27.75,27.75,27.24,27.28,2572500
2005-03-17,27.28,27.88,27.23,27.78,3277400
2005-03-18,27.79,27.97,27.4,27.69,6083600
2005-03-21,27.65,27.92,27.46,27.72,1807000
2005-03-22,27.68,27.87,27.25,27.31,2584200
2005-03-23,27.31,27.49,27.02,27.24,2153500
2005-03-24,27.27,27.37,27.06,27.07,1958800
2005-03-28,27.24,27.43,27.12,27.31,1658000
2005-03-29,27.13,27.27,26.82,26.87,3791800
2005-03-30,26.92,27.37,26.82,27.18,3201300
2005-03-31,27.13,27.19,26.83,27.1,2662200
2005-04-01,27.11,27.6,27.1,27.26,2264100
2005-04-04,27.25,27.67,27.1,27.54,2617000
2005-04-05,27.65,27.69,27.37,27.51,2121400
2005-04-06,27.51,27.64,27.43,27.44,1843700
2005-04-07,27.45,27.87,27.38,27.86,1580100
2005-04-08,27.87,27.9,27.33,27.36,1829700
2005-04-11,27.37,27.44,27.03,27.23,1427100
2005-04-12,27.02,27.75,27.02,27.65,3472800
2005-04-13,27.65,28.3,27.6,28.0,4960000
2005-04-14,27.92,28.19,27.7,27.95,6696700
2005-04-15,27.95,27.96,27.15,27.2,4407000
2005-04-18,27.2,27.36,27.05,27.26,2325400
2005-04-19,27.26,27.42,27.02,27.18,3643400
2005-04-20,27.15,27.27,26.86,26.9,5209600
2005-04-21,27.1,27.6,26.9,27.3,3457100
2005-04-22,27.3,27.3,26.95,27.07,3041400
2005-04-25,27.21,27.65,27.15,27.45,1962400
2005-04-26,27.45,27.56,27.05,27.05,1980800
2005-04-27,27.05,27.15,26.9,27.08,3435300
2005-04-28,26.95,27.18,26.76,26.8,2882500
2005-04-29,26.92,26.99,26.55,26.9,2740500
2005-05-02,26.94,27.24,26.76,27.08,2216300
2005-05-03,27.0,27.5,27.0,27.38,2385000
2005-05-04,27.51,27.91,27.4,27.82,2408800
2005-05-05,27.82,28.04,27.43,27.66,1752700
2005-05-06,27.8,27.9,27.68,27.82,1693000
2005-05-09,27.92,28.02,27.68,28.01,2959800
2005-05-10,27.78,27.86,27.55,27.81,1938800
