Date,Open,High,Low,Close,Volume
2005-01-03,29.25,29.59,29.16,29.23,1754400
2005-01-04,29.38,29.51,29.05,29.13,2012900
2005-01-05,29.14,29.24,28.82,28.84,2250100
2005-01-06,28.86,29.12,28.77,29.06,1270600
2005-01-07,29.0,29.1,28.78,28.92,1105900
2005-01-10,28.95,29.18,28.86,29.02,977900
2005-01-11,29.0,29.09,28.61,28.9,1216300
2005-01-12,28.9,28.97,28.64,28.97,1199600
2005-01-13,28.9,29.25,28.84,29.16,2484600
2005-01-14,29.17,29.37,29.12,29.2,1931100
2005-01-18,29.3,29.9,29.27,29.81,2854900
2005-01-19,29.8,30.05,29.76,29.94,2158700
2005-01-20,30.0,30.07,29.83,29.91,1769900
2005-01-21,29.81,30.24,29.8,30.0,2183600
2005-01-24,30.0,30.0,29.59,29.65,1895900
2005-01-25,29.77,29.77,29.33,29.42,1560600
2005-01-26,29.45,29.83,29.19,29.53,1964500
2005-01-27,29.6,29.64,29.38,29.53,1558000
2005-01-28,29.25,29.32,29.01,29.25,1437800
2005-01-31,29.34,29.5,29.23,29.5,1109400
2005-02-01,29.35,29.35,28.95,28.99,1750400
2005-02-02,29.0,29.05,28.75,29.04,1944100
2005-02-03,28.9,28.97,28.58,28.61,1850600
2005-02-04,28.54,28.81,28.4,28.74,1618700
2005-02-07,28.74,28.75,28.46,28.59,1210800
2005-02-08,28.6,28.77,28.44,28.45,1331700
2005-02-09,28.52,28.56,28.17,28.32,1217100
2005-02-10,28.31,28.5,28.18,28.19,1460000
2005-02-11,28.25,28.65,28.15,28.47,1945400
2005-02-14,28.5,28.6,28.35,28.52,1111600
2005-02-15,28.57,29.18,28.42,29.12,1885800
2005-02-16,29.12,29.25,28.8,28.86,963300
2005-02-17,28.86,28.93,28.43,28.43,1112900
2005-02-18,28.44,28.61,28.34,28.53,1117500
2005-02-22,28.53,28.62,27.4,27.5,3363500
2005-02-23,27.54,27.54,26.27,26.62,5546300
2005-02-24,26.8,27.31,26.54,27.31,3075200
2005-02-25,27.35,27.53,27.06,27.43,1785500
2005-02-28,27.45,27.59,27.06,27.32,1767300
2005-03-01,27.48,28.06,27.43,28.05,2229200
2005-03-02,28.05,28.05,27.75,28.0,1834500
2005-03-03,28.0,28.07,27.67,27.8,1893000
2005-03-04,28.05,28.39,27.95,28.23,1236000
2005-03-07,28.3,28.3,28.03,28.18,916100
2005-03-08,28.06,28.15,27.79,28.01,966500
2005-03-09,27.98,28.07,27.68,27.87,1491000
2005-03-10,27.8,28.3,27.8,28.25,1325400
2005-03-11,28.18,28.25,27.68,27.76,1366600
2005-03-14,27.77,28.03,27.69,28.0,1164000
2005-03-15,28.0,28.1,27.64,27.74,1086300
