Date,Open,High,Low,Close,Volume
2005-01-03,58.24,58.24,57.12,57.31,1971700
2005-01-04,57.47,57.85,57.03,57.05,3762600
2005-01-05,56.85,57.27,56.61,56.95,2903000
2005-01-06,56.95,57.48,56.73,57.36,4984900
2005-01-07,57.6,57.88,56.8,57.5,2670900
2005-01-10,57.29,57.38,56.75,56.79,2669400
2005-01-11,56.79,56.79,55.9,56.09,3142600
2005-01-12,56.09,56.23,55.56,56.13,2798000
2005-01-13,56.03,56.5,55.86,56.32,2704900
2005-01-14,56.7,57.26,56.58,57.24,4327500
2005-01-18,56.8,57.95,56.65,57.92,2922500
2005-01-19,58.4,58.98,58.0,58.45,4495800
2005-01-20,57.6,58.2,57.5,57.82,3892900
2005-01-21,57.75,58.04,56.7,56.81,3644000
2005-01-24,56.82,56.85,54.78,55.26,6896900
2005-01-25,55.45,55.75,54.99,55.13,3820500
2005-01-26,55.55,56.49,55.5,56.33,4395000
2005-01-27,56.17,57.11,55.83,56.95,3221800
2005-01-28,56.95,56.95,56.06,56.72,2790900
2005-01-31,56.97,57.7,56.97,57.6,3673800
2005-02-01,56.8,56.99,55.89,56.73,4487900
2005-02-02,57.0,57.03,56.26,56.54,1870700
2005-02-03,56.51,56.64,55.62,56.03,2230100
2005-02-04,55.91,56.51,55.91,56.51,1890700
2005-02-07,56.4,57.14,56.1,56.85,1880400
2005-02-08,56.65,56.7,55.52,55.9,2237800
2005-02-09,56.0,56.21,55.43,55.5,3032700
2005-02-10,55.72,55.92,54.49,54.72,6393100
2005-02-11,54.41,55.76,54.41,55.55,4679100
2005-02-14,55.69,56.43,55.49,55.72,1981200
2005-02-15,56.02,56.6,55.78,56.54,3590300
2005-02-16,56.24,56.49,55.91,56.35,1852800
2005-02-17,56.35,56.49,56.02,56.06,2373000
2005-02-18,55.86,56.12,55.64,55.64,1319400
2005-02-22,55.2,55.2,53.91,53.99,2702100
2005-02-23,54.35,54.35,48.9,53.74,2667200
2005-02-24,53.74,54.07,53.35,53.94,2920000
2005-02-25,54.07,54.96,54.01,54.75,2746400
2005-02-28,54.65,54.65,53.59,54.38,2428100
2005-03-01,54.3,54.55,54.2,54.4,2070800
2005-03-02,54.0,54.65,53.87,54.3,1640300
2005-03-03,54.31,54.31,53.53,53.71,2003600
2005-03-04,54.36,54.5,53.77,53.78,2717100
2005-03-07,54.16,54.56,54.15,54.49,3074800
2005-03-08,54.65,55.07,54.31,54.5,2283300
2005-03-09,54.3,54.31,53.31,53.45,2546700
2005-03-10,53.85,54.14,53.25,53.67,3294700
2005-03-11,54.4,54.79,53.7,53.87,3305300
2005-03-14,54.13,54.34,53.6,54.07,2992700
2005-03-15,54.82,55.1,54.5,54.51,3380100
2005-03-16,54.52,55.43,54.51,55.2,3662100
2005-03-17,55.4,55.74,54.91,55.4,4041500
2005-03-18,55.8,55.96,54.52,54.83,11543800
2005-03-21,53.99,54.32,51.22,51.59,10664500
2005-03-22,52.0,52.95,51.6,52.55,7339700
2005-03-23,52.55,52.55,51.88,51.89,4467600
2005-03-24,51.79,51.97,51.07,51.13,2557200
2005-03-28,51.26,51.63,51.22,51.54,2632600
2005-03-29,51.54,52.04,51.48,51.52,3470200
2005-03-30,51.5,51.9,51.29,51.9,1778100
2005-03-31,51.9,51.96,51.5,51.81,3612000
2005-04-01,51.77,51.78,50.65,50.78,2759900
2005-04-04,50.5,50.5,49.85,50.22,2943800
2005-04-05,50.24,51.17,50.2,51.1,3035600
2005-04-06,51.29,51.51,51.15,51.26,2232300
2005-04-07,51.17,51.4,50.5,51.27,2988400
2005-04-08,51.5,51.65,50.79,50.93,2564700
2005-04-11,51.0,51.06,50.39,50.5,2300300
2005-04-12,50.5,50.93,50.0,50.7,2136500
2005-04-13,50.8,51.23,49.89,50.13,3267600
2005-04-14,50.92,50.92,49.53,49.68,3006000
2005-04-15,49.67,49.78,48.59,48.65,2612500
2005-04-18,48.72,49.41,48.71,49.01,2723100
2005-04-19,49.05,49.4,48.92,48.95,3166200
2005-04-20,48.95,49.15,47.9,47.91,4525100
2005-04-21,48.5,50.2,48.43,49.98,4981100
2005-04-22,50.25,50.53,48.84,49.21,2844400
2005-04-25,49.3,49.61,48.98,49.17,2093300
2005-04-26,48.7,48.71,47.84,47.85,4218300
