Date,Open,High,Low,Close,Volume
2005-01-03,6.67,6.69,6.5,6.58,5054088
2005-01-04,6.55,6.61,6.18,6.29,8260376
2005-01-05,6.24,6.44,6.22,6.39,8317240
2005-01-06,6.39,6.73,6.32,6.69,14804540
2005-01-07,6.75,6.85,6.64,6.81,9581292
2005-01-10,6.84,7.18,6.8,7.1,13507656
2005-01-11,7.02,7.18,6.99,7.05,7255308
2005-01-12,7.08,7.5,7.06,7.44,17814396
2005-01-13,7.44,7.44,7.28,7.3,6807564
2005-01-14,7.32,7.47,7.24,7.46,7801940
2005-01-18,7.32,7.48,7.31,7.42,8013888
2005-01-19,7.42,7.48,7.3,7.35,7906264
2005-01-20,7.35,7.4,7.26,7.28,6823776
2005-01-21,7.3,7.3,7.16,7.19,9324732
2005-01-24,7.14,7.26,6.9,7.0,12352272
2005-01-25,7.09,7.16,7.04,7.1,6404552
2005-01-26,7.16,7.25,7.14,7.2,3700344
2005-01-27,7.29,7.36,6.9,7.07,8804140
2005-01-28,7.07,7.13,6.73,6.85,6114792
2005-01-31,6.84,6.94,6.73,6.84,6153932
2005-02-01,6.84,6.92,6.78,6.9,6806000
2005-02-02,6.88,6.99,6.88,6.96,3125020
2005-02-03,6.96,6.98,6.68,6.81,6148100
2005-02-04,6.81,7.0,6.81,6.98,3964720
2005-02-07,7.0,7.18,6.98,7.12,4036632
2005-02-08,7.11,7.14,6.94,6.98,3197420
2005-02-09,7.0,7.03,6.75,6.78,4973244
2005-02-10,6.84,6.92,6.55,6.8,6775672
2005-02-11,6.84,7.07,6.76,7.04,3777208
2005-02-14,7.04,7.08,6.98,7.02,3478668
2005-02-15,6.99,7.19,6.99,7.12,4197940
2005-02-16,7.15,7.23,7.13,7.15,3793600
2005-02-17,7.21,7.24,6.9,6.9,8172448
2005-02-18,7.0,7.0,6.78,6.87,5299096
2005-02-22,6.87,7.01,6.8,6.86,4115660
2005-02-23,6.86,7.0,6.84,6.92,3479936
2005-02-24,6.9,7.06,6.9,7.04,5083052
2005-02-25,7.01,7.1,6.95,7.04,3491304
2005-02-28,6.94,7.0,6.78,6.84,7212920
2005-03-01,6.86,7.08,6.82,7.04,6261804
2005-03-02,7.0,7.21,6.96,7.16,5509588
2005-03-03,7.15,7.32,7.09,7.13,16288548
2005-03-04,7.14,7.24,7.1,7.17,12326236
2005-03-07,8.35,8.48,8.24,8.47,55292988
2005-03-08,8.41,8.47,8.16,8.28,17099276
2005-03-09,8.25,8.35,8.22,8.22,9144312
2005-03-10,8.25,8.28,8.12,8.25,5779924
2005-03-11,8.3,8.35,8.12,8.2,4333896
2005-03-14,8.2,8.52,8.09,8.49,10399148
2005-03-15,8.56,8.81,8.34,8.47,12033040
2005-03-16,8.44,8.46,8.26,8.31,4662632
2005-03-17,8.3,8.37,8.25,8.31,5013560
2005-03-18,8.31,8.44,8.24,8.26,4494344
2005-03-21,8.32,8.36,8.16,8.24,3887316
2005-03-22,8.22,8.33,8.2,8.23,4414052
2005-03-23,8.18,8.43,8.18,8.28,4754040
2005-03-24,8.33,8.35,8.2,8.23,5641064
2005-03-28,8.24,8.26,8.05,8.06,6802608
2005-03-29,8.19,8.31,7.99,8.02,11146756
2005-03-30,8.07,8.46,8.06,8.4,12359920
2005-03-31,8.43,8.57,8.29,8.51,8947816
2005-04-01,8.56,8.61,8.3,8.44,8311132
2005-04-04,8.5,8.5,8.38,8.42,5773756
2005-04-05,8.47,8.6,8.42,8.56,10455192
2005-04-06,8.64,8.84,8.63,8.79,14501552
2005-04-07,8.84,9.5,8.83,9.33,31671588
2005-04-08,9.27,9.35,9.04,9.1,14596444
2005-04-11,9.18,9.3,9.12,9.23,7541152
2005-04-12,9.21,9.53,8.89,9.48,20648036
2005-04-13,9.48,9.62,9.23,9.24,11717640
2005-04-14,9.22,9.32,9.07,9.13,8355768
2005-04-15,9.1,9.29,8.92,9.27,7429660
2005-04-18,9.2,9.36,9.1,9.24,13047264
2005-04-19,9.25,9.75,9.23,9.74,12258152
