Date,Open,High,Low,Close,Volume
2005-01-03,8.39,8.4,8.23,8.28,1362800
2005-01-04,8.31,8.33,8.16,8.18,574000
2005-01-05,8.15,8.25,8.12,8.2,1631200
2005-01-06,8.2,8.3,8.18,8.29,936400
2005-01-07,8.3,8.36,8.21,8.29,530800
2005-01-10,8.29,8.38,8.27,8.3,873200
2005-01-11,8.29,8.3,8.2,8.26,891200
2005-01-12,8.22,8.26,8.15,8.24,690400
2005-01-13,8.18,8.21,8.03,8.07,2440800
2005-01-14,8.24,8.31,8.04,8.1,800400
2005-01-18,8.1,8.18,8.04,8.16,1052000
2005-01-19,8.12,8.22,8.12,8.18,438000
2005-01-20,8.18,8.23,8.14,8.16,598000
2005-01-21,8.19,8.2,8.13,8.16,770800
2005-01-24,8.15,8.2,8.08,8.1,667200
2005-01-25,8.1,8.21,8.09,8.12,1148400
2005-01-26,8.1,8.14,8.05,8.08,954800
2005-01-27,8.05,8.2,8.05,8.15,618800
2005-01-28,8.22,8.61,8.18,8.53,2514800
2005-01-31,8.59,8.61,8.42,8.61,2141600
2005-02-01,8.61,8.68,8.49,8.6,1275200
2005-02-02,8.59,8.77,8.54,8.77,1480800
2005-02-03,8.76,8.83,8.75,8.8,1746000
2005-02-04,8.8,8.92,8.76,8.92,1668400
2005-02-07,8.92,9.02,8.89,9.0,1831600
2005-02-08,9.0,9.18,8.7,9.13,2830000
2005-02-09,9.12,9.22,8.94,9.04,2253200
2005-02-10,9.06,9.16,9.06,9.1,1344400
2005-02-11,9.1,9.12,8.98,9.08,776000
2005-02-14,9.08,9.12,8.95,9.02,2273600
2005-02-15,9.0,9.0,8.88,8.99,1539600
2005-02-16,8.99,9.03,8.94,8.95,1025200
2005-02-17,8.94,9.03,8.87,9.01,1541600
2005-02-18,9.06,9.06,8.84,8.89,1172000
2005-02-22,8.86,8.86,8.74,8.75,1432400
2005-02-23,8.73,8.92,8.72,8.87,760800
2005-02-24,8.86,8.93,8.82,8.92,1017200
2005-02-25,8.94,8.96,8.88,8.95,516000
2005-02-28,8.96,8.98,8.8,8.84,1543200
2005-03-01,8.86,9.03,8.86,8.93,817600
2005-03-02,8.93,8.94,8.81,8.89,840400
