Date,Open,High,Low,Close,Volume
2005-01-03,28.02,28.05,27.3,27.46,1963018
2005-01-04,27.71,27.87,27.23,27.34,1683326
2005-01-05,27.24,27.92,27.24,27.58,1543756
2005-01-06,27.58,28.04,27.56,27.58,1567682
2005-01-07,27.7,27.89,27.2,27.2,1188132
2005-01-10,27.14,27.85,27.12,27.66,1436004
2005-01-11,27.52,27.72,27.5,27.6,1046684
2005-01-12,27.55,27.57,26.53,26.71,1992344
2005-01-13,26.6,26.65,26.01,26.03,1949588
2005-01-14,26.02,26.18,25.76,26.0,1733928
2005-01-18,25.96,26.22,25.78,26.14,1067466
2005-01-19,26.2,26.38,25.81,25.94,1000246
2005-01-20,25.9,26.32,25.74,25.8,873036
2005-01-21,25.81,26.15,25.64,25.7,1019706
2005-01-24,25.74,26.02,25.5,25.52,697018
2005-01-25,25.6,26.2,25.52,25.76,830804
2005-01-26,25.98,26.02,25.64,25.9,859400
2005-01-27,25.8,26.02,25.47,25.68,982258
2005-01-28,25.78,25.78,25.21,25.38,1750908
2005-01-31,25.61,25.82,25.4,25.75,1373610
2005-02-01,25.79,25.96,25.64,25.85,1203406
2005-02-02,25.82,25.98,25.7,25.84,1132578
2005-02-03,25.89,25.97,25.52,25.66,989308
2005-02-04,25.62,25.81,25.5,25.69,816582
2005-02-07,25.75,26.16,25.67,26.16,1747842
2005-02-08,26.16,26.76,26.14,26.68,2723246
2005-02-09,26.75,26.9,25.58,26.0,2266578
2005-02-10,26.02,26.22,25.46,25.6,1919998
2005-02-11,25.58,26.34,25.52,26.18,1073508
2005-02-14,26.15,26.26,25.84,26.04,685302
2005-02-15,26.18,26.9,26.1,26.73,1194636
2005-02-16,26.69,27.18,26.55,27.02,1318680
2005-02-17,27.04,27.18,26.6,26.78,830648
2005-02-18,26.86,27.12,26.42,26.48,1006968
2005-02-22,26.36,26.46,25.9,25.98,1353142
2005-02-23,26.2,26.66,26.1,26.5,993538
2005-02-24,26.36,27.12,26.26,27.12,958506
2005-02-25,27.13,27.45,26.96,27.41,775450
2005-02-28,27.46,27.71,27.2,27.4,1118676
2005-03-01,27.48,27.67,27.34,27.52,921110
2005-03-02,27.48,27.74,27.16,27.34,1047204
2005-03-03,27.48,27.5,26.82,26.97,952912
2005-03-04,27.2,27.36,26.96,27.13,840512
2005-03-07,27.24,27.7,27.01,27.7,849126
2005-03-08,27.74,27.95,27.5,27.54,1093702
2005-03-09,27.62,27.72,27.12,27.42,867878
2005-03-10,27.6,27.6,26.78,27.05,710248
2005-03-11,27.14,27.45,26.83,27.02,782722
2005-03-14,27.14,27.32,26.95,27.12,983232
2005-03-15,27.18,27.3,26.77,26.87,630402
2005-03-16,26.78,27.02,26.27,26.42,724774
2005-03-17,26.4,26.86,26.3,26.62,716684
2005-03-18,26.62,26.82,26.25,26.36,1126610
2005-03-21,26.32,26.46,25.99,26.21,1036334
2005-03-22,26.28,26.38,25.88,25.97,959314
2005-03-23,26.0,26.02,25.46,25.67,957116
2005-03-24,25.65,26.25,25.52,26.0,1024186
2005-03-28,26.01,26.28,25.86,25.86,757042
2005-03-29,25.9,26.02,25.34,25.55,1005380
2005-03-30,25.58,26.04,25.53,26.04,891754
2005-03-31,26.13,26.14,25.68,25.76,621738
2005-04-01,25.97,26.25,25.36,25.61,1179994
2005-04-04,25.54,25.74,25.12,25.49,1096598
2005-04-05,25.5,25.73,25.49,25.6,1197484
2005-04-06,25.72,25.82,25.42,25.42,763728
2005-04-07,25.5,25.54,25.19,25.41,866222
2005-04-08,25.26,25.46,24.74,24.81,1722450
2005-04-11,24.88,25.08,24.4,24.6,1768994
2005-04-12,24.54,25.05,24.51,24.94,1785494
2005-04-13,24.84,24.87,24.12,24.31,1601144
2005-04-14,24.38,24.38,23.75,24.02,1911742
2005-04-15,24.08,24.42,23.8,23.92,1384602
2005-04-18,23.88,24.34,23.6,24.12,1537702
2005-04-19,24.12,24.58,24.07,24.5,1536634
2005-04-20,24.58,24.58,24.07,24.1,1127396
2005-04-21,24.28,24.64,24.28,24.49,1500088
2005-04-22,24.38,24.6,23.72,23.86,1177596
2005-04-25,23.97,24.18,23.8,24.0,1450534
2005-04-26,23.88,24.06,23.65,23.65,1304120
2005-04-27,24.26,25.43,24.14,25.41,3798694
2005-04-28,25.38,25.8,25.16,25.4,2017312
2005-04-29,25.46,25.83,25.43,25.8,1516938
2005-05-02,25.72,26.36,25.72,26.21,1592166
2005-05-03,26.16,26.5,26.16,26.36,1266166
2005-05-04,26.45,27.33,26.22,27.24,3054258
2005-05-05,27.18,27.6,27.08,27.53,1883428
2005-05-06,27.54,27.74,27.5,27.58,1380272
2005-05-09,27.54,27.62,27.3,27.61,921844
2005-05-10,27.37,27.54,27.21,27.39,1638984
2005-05-11,27.44,27.7,27.28,27.64,1568734
2005-05-12,27.58,27.68,27.29,27.5,1622530
2005-05-13,27.52,27.75,26.9,27.2,1355622
2005-05-16,27.18,27.75,27.14,27.7,982042
2005-05-17,27.56,27.86,27.38,27.86,894568
2005-05-18,27.9,28.71,27.88,28.68,1578568
2005-05-19,28.58,29.0,28.58,28.95,837740
2005-05-20,28.83,29.12,28.74,29.0,1097172
2005-05-23,28.9,29.24,28.9,28.96,830064
2005-05-24,29.06,29.72,28.88,29.64,1997762
2005-05-25,29.61,29.61,28.97,29.21,747190
2005-05-26,29.3,29.8,29.26,29.54,1284780
2005-05-27,29.24,29.24,28.7,29.06,1134044
2005-05-31,28.96,29.02,28.27,28.58,1337712
2005-06-01,28.58,28.98,28.52,28.88,961210
2005-06-02,28.84,28.95,28.62,28.66,868688
2005-06-03,28.72,28.78,28.46,28.5,803694
2005-06-06,28.5,28.67,28.48,28.59,556828
2005-06-07,28.63,28.84,28.25,28.28,799708
2005-06-08,28.31,28.31,27.68,27.76,1102494
2005-06-09,27.69,27.85,27.48,27.74,1033912
2005-06-10,27.79,27.8,27.41,27.5,744034
2005-06-13,27.56,28.0,27.31,27.67,787396
2005-06-14,27.66,27.81,27.64,27.74,1116404
2005-06-15,27.85,27.96,27.5,27.95,806372
2005-06-16,27.9,28.53,27.87,28.52,909200
2005-06-17,28.64,29.02,28.44,28.94,2051760
2005-06-20,28.94,29.0,28.68,28.84,1051348
2005-06-21,28.88,29.02,28.6,28.84,475626
2005-06-22,28.89,29.11,28.63,28.9,653522
2005-06-23,28.5,28.75,28.16,28.33,1231876
2005-06-24,28.34,28.63,27.98,28.12,1215080
2005-06-27,28.04,28.52,28.02,28.47,1172646
2005-06-28,28.56,28.94,28.45,28.86,1271540
2005-06-29,28.79,29.38,28.77,29.26,1209856
2005-06-30,29.32,29.43,29.09,29.1,1162148
2005-07-01,29.24,29.24,28.81,29.14,659208
2005-07-05,29.25,29.5,28.7,29.38,674118
2005-07-06,29.44,29.48,29.07,29.2,722222
2005-07-07,29.02,29.24,28.74,29.1,863522
2005-07-08,28.66,29.09,28.38,28.98,1888504
2005-07-11,28.96,29.72,28.84,29.72,1837936
2005-07-12,29.6,30.0,29.44,29.82,1508452
2005-07-13,29.86,29.93,29.65,29.78,755682
2005-07-14,29.87,30.09,29.67,29.98,837894
2005-07-15,29.98,30.11,29.84,30.09,1137134
2005-07-18,30.1,30.16,29.85,29.9,767384
2005-07-19,29.88,29.98,29.46,29.65,924714
2005-07-20,29.62,30.12,29.58,30.04,1150292
2005-07-21,30.12,30.12,29.54,29.98,2010450
2005-07-22,30.02,30.36,29.73,30.14,868200
2005-07-25,30.09,30.25,29.6,29.67,1049062
2005-07-26,29.84,30.33,29.68,29.95,1642690
2005-07-27,30.82,31.75,30.51,31.0,4644936
2005-07-28,31.0,31.28,30.82,31.26,1215580
2005-07-29,31.24,31.43,30.8,31.28,1748760
2005-08-01,31.3,31.52,30.95,31.32,1412726
2005-08-02,31.25,31.35,31.0,31.16,1130612
2005-08-03,31.12,31.18,30.54,30.8,1151084
2005-08-04,30.65,30.72,29.96,30.12,1476904
2005-08-05,30.06,30.22,29.75,29.87,1086514
2005-08-08,29.95,30.04,29.71,29.85,1232018
2005-08-09,29.85,29.92,29.49,29.62,976740
2005-08-10,29.66,30.0,29.34,29.5,1139306
2005-08-11,29.7,29.98,29.41,29.56,1260640
2005-08-12,29.47,29.74,29.2,29.52,1166478
2005-08-15,29.52,29.71,29.26,29.64,924562
2005-08-16,29.6,29.6,29.05,29.15,793880
2005-08-17,29.18,29.43,29.0,29.32,1016646
2005-08-18,29.22,29.64,29.02,29.47,743080
2005-08-19,29.52,29.7,29.42,29.5,720412
2005-08-22,29.7,30.0,29.55,29.96,1126558
2005-08-23,29.98,29.98,29.62,29.7,1324588
2005-08-24,29.74,30.5,29.61,30.12,1606304
2005-08-25,30.15,30.56,30.08,30.51,1143954
2005-08-26,30.52,30.54,29.92,30.14,1659644
2005-08-29,30.14,30.51,29.9,30.46,775720
2005-08-30,30.34,30.43,29.88,30.23,808730
2005-08-31,30.16,30.88,29.84,30.88,1059156
2005-09-01,30.9,31.6,30.75,31.38,1891928
2005-09-02,31.52,31.69,31.0,31.06,665406
2005-09-06,31.25,31.6,30.98,31.33,888934
2005-09-07,31.38,31.58,31.09,31.58,704550
2005-09-08,30.58,31.02,30.56,30.92,1721714
2005-09-09,30.78,31.13,30.6,30.97,1036656
2005-09-12,30.96,31.37,30.82,31.1,695518
2005-09-13,31.06,31.18,30.75,30.97,752610
2005-09-14,31.0,31.25,30.8,31.04,724776
2005-09-15,31.1,31.16,30.55,30.9,1378524
2005-09-16,30.82,30.9,30.2,30.66,2317864
2005-09-19,30.5,30.71,30.41,30.6,702774
2005-09-20,30.66,30.84,30.39,30.5,1208090
2005-09-21,30.6,30.99,30.32,30.65,840572
2005-09-22,30.56,30.66,29.8,30.54,1424252
2005-09-23,30.54,30.54,30.07,30.22,784526
2005-09-26,30.46,30.58,29.91,30.2,744160
2005-09-27,30.3,30.7,30.07,30.51,1160104
2005-09-28,30.74,30.74,30.35,30.54,784004
2005-09-29,30.52,31.48,30.45,31.47,1387848
2005-09-30,31.52,32.16,31.23,32.06,1453670
2005-10-03,32.18,32.56,31.9,32.23,1294802
2005-10-04,32.24,32.55,31.94,31.94,733568
2005-10-05,31.95,32.02,31.23,31.38,958376
2005-10-06,31.38,31.92,30.8,31.1,1213172
2005-10-07,31.28,31.58,30.88,31.32,617202
2005-10-10,31.5,31.68,31.28,31.49,947030
2005-10-11,31.52,32.38,31.28,32.24,1351864
2005-10-12,32.31,32.82,31.67,31.9,1865824
2005-10-13,31.97,31.97,31.02,31.22,1657034
2005-10-14,31.25,31.34,30.64,31.18,1383444
2005-10-17,31.1,31.78,30.83,31.77,425388
2005-10-18,31.5,31.88,30.78,30.8,802758
2005-10-19,31.6,31.6,30.2,30.7,1558293
2005-10-20,30.73,31.19,30.15,30.4,1430358
2005-10-21,30.89,31.16,30.51,30.66,1686011
2005-10-24,31.02,32.11,30.74,31.96,833255
2005-10-25,31.8,32.96,31.8,32.91,1065606
2005-10-26,33.25,33.91,32.83,33.43,1163938
2005-10-27,33.44,33.44,32.48,32.7,580520
2005-10-28,33.3,34.74,32.91,34.49,1417841
2005-10-31,34.37,35.48,34.23,35.26,972313
2005-11-01,35.1,36.0,35.1,35.81,1460474
2005-11-02,35.9,37.0,35.72,36.73,1566528
2005-11-03,36.65,37.96,36.47,37.26,1674000
2005-11-04,37.1,37.32,35.71,36.15,1732091
