Date,Open,High,Low,Close,Volume
2005-01-03,27.18,27.32,26.63,26.67,2600400
2005-01-04,26.65,26.65,26.3,26.47,4178100
2005-01-05,26.54,26.76,26.29,26.31,3882300
2005-01-06,26.26,26.35,26.04,26.32,4538700
2005-01-07,26.3,26.5,26.15,26.27,3200100
2005-01-10,26.23,26.69,26.23,26.68,3730800
2005-01-11,26.64,27.12,26.48,27.0,3846900
2005-01-12,27.23,27.53,27.12,27.5,4672200
2005-01-13,27.57,27.67,27.5,27.54,3714000
2005-01-14,27.54,27.81,27.49,27.78,3041700
2005-01-18,27.54,27.84,27.49,27.65,2911200
2005-01-19,27.65,27.66,27.28,27.31,2277600
2005-01-20,27.28,27.34,26.74,27.02,2811900
2005-01-21,26.89,27.18,26.69,26.72,1585500
2005-01-24,26.73,26.95,26.54,26.69,2053800
2005-01-25,26.69,26.94,26.53,26.6,1957200
2005-01-26,26.58,26.68,26.51,26.61,1929900
2005-01-27,26.63,27.02,26.59,26.85,2062800
2005-01-28,26.83,26.88,26.2,26.2,2776800
2005-01-31,26.37,26.78,26.37,26.75,2280000
2005-02-01,26.88,27.54,26.88,27.52,3382200
2005-02-02,27.52,27.56,27.27,27.37,2040900
2005-02-03,27.25,27.38,27.16,27.31,1887300
2005-02-04,27.35,27.79,27.27,27.73,3249600
2005-02-07,27.56,27.79,27.17,27.65,4119900
2005-02-08,27.64,27.99,27.5,27.97,2849700
2005-02-09,27.67,29.33,28.08,28.45,9871500
2005-02-10,29.1,29.25,28.61,28.99,4767900
2005-02-11,29.05,29.92,28.94,29.89,4859100
2005-02-14,29.6,29.89,29.59,29.8,5880300
2005-02-15,29.68,30.14,29.67,30.05,3840900
2005-02-16,29.9,30.08,29.85,29.9,3751800
2005-02-17,29.65,29.83,29.45,29.57,4416300
2005-02-18,29.58,30.23,29.57,29.99,3241200
2005-02-22,29.72,29.74,29.22,29.4,5041500
2005-02-23,29.37,29.87,29.35,29.84,2990700
2005-02-24,29.75,30.01,29.6,29.9,2177400
2005-02-25,29.78,30.49,29.75,30.47,2862000
2005-02-28,29.97,30.47,29.83,30.27,2954700
2005-03-01,30.12,30.8,30.12,30.59,2238900
