Date,Open,High,Low,Close,Volume
2005-01-03,42.42,42.51,42.07,42.33,477322
2005-01-04,42.45,42.47,41.7,41.7,367374
2005-01-05,42.64,43.05,42.19,42.48,708336
2005-01-06,42.92,42.98,42.3,42.78,357828
2005-01-07,43.26,43.44,42.51,42.58,310506
2005-01-10,42.84,42.95,42.47,42.62,310407
2005-01-11,42.66,42.87,42.27,42.33,436329
2005-01-12,42.9,42.95,41.7,42.07,555316
2005-01-13,42.38,42.58,41.69,41.78,397066
2005-01-14,42.39,42.39,41.84,42.06,333774
2005-01-18,42.35,42.76,41.95,42.67,335854
2005-01-19,42.67,42.83,42.43,42.43,300261
2005-01-20,42.58,42.65,41.97,42.11,382793
2005-01-21,42.42,42.47,41.59,41.71,379072
2005-01-24,41.96,42.08,41.63,41.63,404067
2005-01-25,42.36,42.49,41.69,41.74,320327
2005-01-26,42.28,42.31,41.79,42.06,361497
2005-01-27,42.33,42.35,41.38,41.5,307892
2005-01-28,42.06,42.08,40.84,41.04,347111
2005-01-31,41.81,42.05,41.49,42.02,417583
2005-02-01,42.57,42.57,41.85,42.18,402531
2005-02-02,42.88,43.0,42.46,42.62,605040
2005-02-03,42.9,42.9,42.45,42.63,356243
2005-02-04,42.84,43.22,42.54,43.17,590970
2005-02-07,43.45,43.52,43.11,43.12,442435
2005-02-08,43.25,43.35,42.96,43.09,369402
2005-02-09,43.37,43.39,42.45,42.57,374600
2005-02-10,42.7,43.1,42.29,42.61,412644
2005-02-11,42.83,43.13,42.58,43.04,363113
2005-02-14,42.92,43.4,42.9,43.4,244763
2005-02-15,43.57,43.91,43.42,43.52,327636
2005-02-16,43.9,43.9,43.04,43.21,327439
2005-02-17,43.87,43.9,42.68,42.86,298654
2005-02-18,43.33,43.33,42.62,42.77,381789
2005-02-22,42.98,42.98,42.0,42.13,350920
2005-02-23,43.3,43.3,41.98,42.35,363352
2005-02-24,42.75,42.76,42.03,42.5,280131
2005-02-25,42.46,43.08,42.25,42.95,304450
2005-02-28,43.12,43.13,42.44,42.6,385394
2005-03-01,42.79,43.44,42.69,43.43,546087
2005-03-02,43.59,43.8,43.03,43.31,499236
2005-03-03,43.52,43.61,43.06,43.16,522808
2005-03-04,43.45,43.61,43.02,43.36,371798
2005-03-07,43.52,43.91,43.27,43.73,339045
2005-03-08,43.7,43.77,43.16,43.58,394440
2005-03-09,43.38,43.58,43.07,43.24,460513
2005-03-10,43.33,43.62,43.1,43.59,331305
2005-03-11,43.77,43.85,43.08,43.2,487721
2005-03-14,43.37,43.92,43.2,43.71,403544
2005-03-15,43.78,43.79,42.62,42.64,657370
2005-03-16,42.56,42.75,42.17,42.3,325575
2005-03-17,42.54,42.54,41.92,42.17,348437
2005-03-18,42.03,42.23,41.68,41.81,1593319
2005-03-21,41.67,42.21,41.66,41.9,567648
2005-03-22,42.16,42.16,40.82,40.83,520227
2005-03-23,40.95,41.57,40.84,41.3,448984
2005-03-24,41.56,41.74,41.1,41.22,340846
2005-03-28,41.39,42.06,41.08,41.64,443534
2005-03-29,41.55,42.18,41.5,41.81,310963
2005-03-30,42.1,42.13,41.58,41.84,549560
2005-03-31,41.78,41.9,41.46,41.53,523380
2005-04-01,41.46,41.97,40.9,41.23,474450
2005-04-04,41.11,42.08,41.02,41.83,420703
2005-04-05,42.1,42.13,41.46,41.93,483642
2005-04-06,42.2,42.36,41.75,42.24,385476
2005-04-07,42.39,42.45,41.99,42.2,490056
2005-04-08,42.2,42.43,41.88,42.07,381908
2005-04-11,41.88,42.23,41.83,42.1,527519
2005-04-12,42.24,43.05,41.96,43.01,372389
2005-04-13,43.01,43.12,42.24,42.48,320839
2005-04-14,42.59,42.59,41.86,41.96,347960
2005-04-15,41.78,42.0,41.25,41.27,479804
2005-04-18,41.23,41.5,41.0,41.25,414991
2005-04-19,41.38,41.62,40.94,41.52,503966
2005-04-20,41.64,41.89,41.09,41.21,687888
2005-04-21,40.85,41.26,40.39,41.05,585523
2005-04-22,41.21,41.28,40.4,40.59,474064
2005-04-25,40.89,40.96,40.04,40.37,631463
2005-04-26,40.17,40.19,39.26,39.47,835750
2005-04-27,39.84,39.99,39.15,39.81,476127
2005-04-28,39.92,40.0,39.38,39.54,539162
2005-04-29,39.81,40.28,39.46,40.12,615776
2005-05-02,40.66,40.68,39.55,39.94,484872
2005-05-03,39.91,40.14,39.37,39.64,756416
2005-05-04,40.06,40.5,39.68,40.5,458011
2005-05-05,41.01,41.01,39.89,40.27,572431
2005-05-06,40.8,40.85,39.91,39.91,413928
2005-05-09,39.95,40.1,39.68,39.96,477458
2005-05-10,39.72,39.72,38.86,39.33,506523
2005-05-11,39.45,39.6,38.95,39.55,342294
2005-05-12,39.63,39.64,38.99,39.02,451538
2005-05-13,39.33,39.33,38.38,38.62,482105
2005-05-16,38.93,39.19,38.61,38.96,421852
2005-05-17,38.56,39.76,38.5,39.64,368749
2005-05-18,39.86,40.07,39.63,39.91,346859
2005-05-19,40.06,40.06,39.56,39.85,281648
2005-05-20,40.39,40.5,39.74,39.82,325221
2005-05-23,40.04,40.21,39.8,40.13,378796
2005-05-24,40.39,40.39,39.44,39.77,420978
2005-05-25,40.0,40.0,39.47,39.62,311401
2005-05-26,39.8,39.8,39.46,39.74,355394
2005-05-27,39.75,39.87,39.61,39.72,252991
2005-05-31,39.76,39.79,39.47,39.48,594217
2005-06-01,39.31,39.85,39.29,39.73,464887
2005-06-02,39.55,39.85,39.44,39.62,271637
2005-06-03,39.51,39.92,39.2,39.47,261711
2005-06-06,39.6,39.85,39.39,39.83,452345
2005-06-07,39.95,39.99,39.11,39.47,519250
2005-06-08,39.62,39.75,39.31,39.45,317675
2005-06-09,39.72,39.74,39.16,39.73,322572
2005-06-10,39.55,39.8,39.3,39.53,282727
2005-06-13,39.36,40.06,39.36,39.71,231556
2005-06-14,39.95,39.95,39.47,39.66,380855
2005-06-15,39.82,39.92,39.53,39.8,232526
2005-06-16,39.87,40.25,39.73,40.11,302910
2005-06-17,40.41,40.93,39.65,40.93,808477
2005-06-20,40.65,40.8,40.27,40.45,599077
2005-06-21,40.55,40.69,40.15,40.37,322418
2005-06-22,40.59,40.59,39.58,39.76,567173
2005-06-23,39.89,39.93,39.28,39.34,379161
