Date,Open,High,Low,Close,Volume
2005-01-03,25.46,25.58,24.98,25.01,5383800
2005-01-04,25.06,25.24,24.84,24.84,3895800
2005-01-05,24.52,24.74,24.24,24.28,8916000
2005-01-06,24.75,25.26,24.62,24.86,5987200
2005-01-07,24.86,25.18,24.68,25.04,3691600
2005-01-10,25.04,25.42,25.02,25.27,4684000
2005-01-11,25.18,25.32,25.0,25.22,4142400
2005-01-12,25.06,25.15,24.94,25.1,4678400
2005-01-13,25.25,25.44,24.86,24.95,4201400
2005-01-14,24.95,25.05,24.76,25.04,3377800
2005-01-18,24.88,25.15,24.76,25.07,3427400
2005-01-19,25.07,25.24,24.95,25.04,2423600
2005-01-20,25.06,25.23,24.94,25.06,3227800
2005-01-21,25.06,25.14,24.72,24.9,3756800
2005-01-24,24.9,24.95,24.56,24.63,3898600
2005-01-25,24.76,25.02,24.61,24.9,5636000
2005-01-26,25.0,25.2,24.92,24.94,3940600
2005-01-27,25.98,26.46,25.48,26.34,14601800
2005-01-28,26.16,26.29,25.18,25.83,14362000
2005-01-31,26.0,26.28,25.88,26.27,7586800
2005-02-01,26.27,26.62,26.1,26.6,5785800
2005-02-02,26.62,27.2,26.62,27.14,7082200
2005-02-03,27.25,27.72,27.16,27.39,11064800
2005-02-04,27.18,27.47,27.12,27.42,7439000
2005-02-07,27.42,27.68,27.23,27.6,6137400
2005-02-08,27.59,27.65,27.34,27.45,5810800
2005-02-09,27.46,27.5,27.22,27.26,3528800
2005-02-10,27.26,27.29,26.86,27.0,5098200
2005-02-11,27.05,27.4,27.05,27.32,4423800
2005-02-14,27.33,27.4,27.16,27.24,2855800
2005-02-15,27.25,27.25,26.82,26.96,6124600
2005-02-16,26.96,27.06,26.79,26.99,4586400
2005-02-17,27.0,27.12,26.8,26.96,4642800
2005-02-18,27.02,27.04,26.6,26.6,3953600
2005-02-22,26.6,26.64,26.2,26.2,3968000
2005-02-23,26.25,26.38,26.15,26.3,3773600
2005-02-24,26.25,26.44,26.04,26.42,3542200
2005-02-25,26.25,26.46,26.17,26.3,3566200
2005-02-28,26.21,26.49,26.1,26.46,4051600
2005-03-01,26.46,26.78,26.39,26.44,4736800
2005-03-02,26.44,26.65,26.12,26.36,4765000
2005-03-03,26.45,26.57,26.16,26.34,2756000
2005-03-04,26.38,26.48,26.18,26.42,3368000
2005-03-07,26.5,26.58,26.38,26.46,2720000
2005-03-08,26.44,26.5,26.32,26.41,2662800
2005-03-09,26.28,26.36,25.85,25.88,3926000
2005-03-10,25.84,26.46,25.83,26.35,3910000
2005-03-11,26.28,26.62,26.12,26.17,3240400
2005-03-14,26.17,26.29,26.06,26.29,3068400
2005-03-15,26.42,26.57,26.28,26.3,3012000
2005-03-16,26.3,26.34,26.0,26.1,2421200
2005-03-17,26.15,26.16,25.82,25.98,2429600
2005-03-18,25.9,26.13,25.71,26.07,4781400
2005-03-21,26.07,26.1,25.74,25.83,2926400
2005-03-22,25.72,25.83,25.28,25.3,4660200
2005-03-23,25.3,26.2,25.3,26.06,5536200
2005-03-24,26.0,26.1,25.86,25.88,2901200
2005-03-28,25.88,26.02,25.78,25.81,2215400
2005-03-29,25.75,25.99,25.66,25.72,3060200
2005-03-30,25.68,26.23,25.67,26.14,3007800
2005-03-31,26.22,26.25,26.01,26.08,2224200
2005-04-01,26.15,26.24,25.62,25.76,3702200
2005-04-04,25.78,25.92,25.65,25.89,2768800
2005-04-05,26.01,26.24,26.01,26.14,2817800
2005-04-06,26.24,26.44,26.13,26.41,2531000
2005-04-07,26.46,26.77,26.32,26.77,3204600
2005-04-08,26.77,26.92,26.58,26.77,2967400
2005-04-11,26.86,27.04,26.72,26.86,2711800
2005-04-12,26.87,27.07,26.52,26.98,4331600
2005-04-13,27.04,27.18,26.76,26.96,3672800
2005-04-14,26.96,27.04,26.63,26.65,4442400
2005-04-15,26.66,27.04,26.39,26.41,5536400
2005-04-18,26.36,26.45,26.0,26.18,3755600
2005-04-19,26.16,26.24,25.94,26.06,3840400
2005-04-20,25.98,25.99,25.5,25.54,4877000
2005-04-21,25.8,26.12,25.72,26.0,3930000
2005-04-22,25.81,25.82,25.42,25.69,3136200
2005-04-25,25.74,25.92,25.51,25.82,3125200
2005-04-26,25.85,25.87,25.35,25.35,4758200
2005-04-27,25.32,25.44,24.25,25.36,7679600
2005-04-28,25.32,25.54,25.16,25.21,4451200
2005-04-29,25.28,25.36,24.76,24.9,5902000
2005-05-02,24.96,25.06,24.88,25.06,5369400
2005-05-03,25.01,25.04,24.8,24.92,4871200
2005-05-04,25.0,25.05,24.83,25.02,4179600
2005-05-05,25.04,25.04,24.67,24.79,4959000
2005-05-06,24.88,24.9,24.46,24.58,4227800
2005-05-09,24.62,24.64,24.46,24.5,5998400
2005-05-10,24.5,24.52,24.15,24.3,4411000
2005-05-11,24.36,24.66,24.3,24.64,4499800
2005-05-12,24.64,24.8,24.56,24.62,4034800
2005-05-13,24.68,24.68,24.12,24.3,4894600
2005-05-16,24.38,24.64,24.35,24.59,4028400
2005-05-17,24.46,24.8,24.46,24.8,5239800
2005-05-18,24.83,25.3,24.82,25.2,5376000
2005-05-19,25.2,25.38,25.2,25.34,2693800
2005-05-20,25.49,25.58,25.29,25.56,3555200
2005-05-23,25.56,25.58,25.28,25.36,4506400
2005-05-24,25.45,25.48,25.2,25.4,2933600
2005-05-25,25.38,25.44,25.13,25.23,2853600
2005-05-26,25.3,25.32,25.12,25.14,2416000
2005-05-27,25.11,25.24,25.01,25.03,2411400
2005-05-31,25.08,25.13,24.94,24.98,2566400
2005-06-01,25.0,25.35,24.93,25.12,3019000
2005-06-02,25.0,25.07,24.76,24.8,3161600
2005-06-03,24.68,24.79,24.5,24.54,3877000
2005-06-06,24.46,24.53,24.28,24.48,3845000
2005-06-07,24.45,24.94,24.45,24.84,4559000
2005-06-08,24.82,25.0,24.74,24.9,3708200
