Date,Open,High,Low,Close,Volume
2005-01-03,45.8,46.05,43.55,43.58,5143000
2005-01-04,43.58,44.24,42.0,42.9,6799000
2005-01-05,42.9,43.84,42.72,43.5,4679000
2005-01-06,43.5,44.5,43.22,44.3,2912500
2005-01-07,44.3,44.62,43.42,43.52,2803000
2005-01-10,40.0,43.71,40.0,43.09,4100500
2005-01-11,42.96,43.02,42.41,42.49,2901500
2005-01-12,42.49,42.8,40.0,41.42,9483500
2005-01-13,41.42,42.07,40.63,41.49,4040500
2005-01-14,41.42,41.8,41.06,41.55,1490000
2005-01-18,41.5,41.5,41.0,41.27,2613000
2005-01-19,41.7,41.82,40.75,40.85,2523000
2005-01-20,40.66,40.66,38.68,39.41,8731000
2005-01-21,38.82,39.19,38.2,38.45,5680000
2005-01-24,37.9,38.1,36.82,37.01,8129500
2005-01-25,37.0,38.08,36.7,37.15,5804000
2005-01-26,37.52,39.5,37.07,39.42,6055500
2005-01-27,40.6,42.01,40.07,41.98,7960000
2005-01-28,42.6,42.6,40.84,41.9,6933000
2005-01-31,42.66,43.16,42.27,42.9,5294500
2005-02-01,38.7,39.2,37.22,38.3,16841000
2005-02-02,38.45,39.47,38.45,38.87,7348000
2005-02-03,38.8,39.56,38.1,39.04,4325500
2005-02-04,39.0,41.21,38.8,40.99,6118500
2005-02-07,41.5,41.94,40.99,41.73,5247000
2005-02-08,41.84,42.28,41.55,42.08,4666500
2005-02-09,42.08,42.09,40.4,40.6,4827500
2005-02-10,40.85,41.45,40.33,41.24,4624000
2005-02-11,41.25,42.12,40.8,41.9,3387500
2005-02-14,42.14,42.41,41.66,42.25,2831000
2005-02-15,42.25,42.59,41.85,42.42,3169500
2005-02-16,42.42,43.37,41.56,43.22,5909500
2005-02-17,43.1,43.54,42.44,42.61,3294500
2005-02-18,42.43,43.08,42.3,42.9,2788500
2005-02-22,42.4,43.33,41.7,41.98,3480000
2005-02-23,42.02,42.5,41.3,41.57,3452500
2005-02-24,41.58,42.31,41.15,42.0,2859500
2005-02-25,42.0,42.43,41.48,42.23,2312500
2005-02-28,42.16,42.26,41.25,41.32,3244500
2005-03-01,41.4,44.1,41.4,44.0,6373000
2005-03-02,42.55,42.55,39.02,39.8,19423000
2005-03-03,40.14,40.14,38.14,38.73,9947000
2005-03-04,38.76,40.4,38.76,39.4,6117500
2005-03-07,39.4,39.92,38.52,38.95,4572500
2005-03-08,38.94,39.45,38.44,38.91,2975000
2005-03-09,38.71,38.8,37.76,38.36,4389500
2005-03-10,38.36,39.64,38.36,39.58,4763500
2005-03-11,39.58,39.85,39.11,39.46,3530000
2005-03-14,39.5,39.73,38.8,39.37,3358500
2005-03-15,39.2,39.98,39.2,39.7,2422000
2005-03-16,39.55,39.67,39.21,39.38,1928500
2005-03-17,39.36,39.44,38.7,38.76,2095000
2005-03-18,38.76,39.01,38.48,38.68,2680500
2005-03-21,39.45,39.94,39.31,39.72,3374500
2005-03-22,39.87,39.87,38.65,38.76,2338000
2005-03-23,37.86,38.58,37.77,38.11,2880500
2005-03-24,38.4,38.83,38.25,38.65,1625000
2005-03-28,38.65,39.38,38.6,39.0,1765500
2005-03-29,38.88,39.08,37.86,37.93,2477500
2005-03-30,37.93,38.73,37.87,38.71,1842000
2005-03-31,38.63,39.15,38.46,38.81,1529500
2005-04-01,38.48,38.62,36.16,36.7,9528000
2005-04-04,36.7,38.0,36.25,37.77,4521000
2005-04-05,37.67,37.96,37.25,37.76,2435000
2005-04-06,37.72,38.35,37.72,37.94,2107500
2005-04-07,37.74,37.95,37.36,37.58,2023500
