Date,Open,High,Low,Close,Volume
2005-01-03,21.0,21.2,20.5,20.6,2045600
2005-01-04,20.64,20.82,19.92,20.09,3044400
2005-01-05,19.81,19.85,19.1,19.22,7575200
2005-01-06,19.24,19.31,19.09,19.13,3963200
2005-01-07,19.13,19.13,18.59,18.76,7174000
2005-01-10,18.74,18.74,18.46,18.58,5372000
2005-01-11,18.58,18.93,18.56,18.82,4512400
2005-01-12,18.99,19.02,18.79,18.88,4501600
2005-01-13,18.95,19.08,18.77,18.9,2865600
2005-01-14,18.96,19.16,18.94,19.1,2137600
2005-01-18,19.1,19.35,18.82,19.3,2239600
2005-01-19,19.25,19.44,19.21,19.24,1478000
2005-01-20,19.2,19.2,18.84,18.92,2202400
2005-01-21,19.1,19.1,18.62,18.69,2164800
2005-01-24,18.7,18.8,18.42,18.48,2044400
2005-01-25,18.68,18.88,18.34,18.38,2801600
2005-01-26,18.4,18.5,18.3,18.47,2868000
2005-01-27,18.47,18.77,18.33,18.58,2099600
2005-01-28,18.63,18.7,18.49,18.69,1911200
2005-01-31,18.96,19.42,18.88,19.42,2614800
2005-02-01,19.52,19.84,19.38,19.76,2989200
2005-02-02,18.5,18.5,17.64,18.19,20644800
2005-02-03,18.19,18.25,17.85,18.06,5500000
2005-02-04,18.08,18.5,18.01,18.5,3868000
2005-02-07,18.51,18.91,18.48,18.72,2920000
2005-02-08,18.77,18.94,18.65,18.9,4080400
2005-02-09,18.9,18.9,18.42,18.43,3548800
2005-02-10,18.47,18.53,18.18,18.49,2673200
2005-02-11,18.5,18.72,18.35,18.63,1889200
2005-02-14,18.68,18.79,18.64,18.66,2096000
2005-02-15,18.65,18.65,18.32,18.44,3585200
2005-02-16,18.44,18.64,18.39,18.59,2793200
2005-02-17,18.52,18.65,18.2,18.2,3940000
2005-02-18,17.94,18.07,17.65,18.01,6591200
2005-02-22,18.0,18.1,17.54,17.63,3878400
2005-02-23,17.68,18.24,17.67,18.05,5181200
2005-02-24,18.05,18.31,17.82,18.25,2648400
2005-02-25,18.31,18.68,18.16,18.55,3035200
2005-02-28,18.49,18.82,18.35,18.35,3836800
2005-03-01,18.42,18.76,18.4,18.72,3250800
2005-03-02,18.66,18.83,18.54,18.78,2536000
2005-03-03,18.8,18.82,18.49,18.58,3026400
2005-03-04,18.66,19.05,18.61,19.01,2527200
2005-03-07,18.94,19.28,18.91,19.16,2662800
2005-03-08,19.11,19.28,18.98,19.04,2031200
2005-03-09,19.01,19.09,18.72,18.72,2896400
2005-03-10,18.74,18.86,18.55,18.77,1797200
2005-03-11,18.81,18.99,18.7,18.78,1497200
2005-03-14,18.8,18.92,18.75,18.91,1430800
2005-03-15,19.02,19.18,18.92,18.96,3268000
2005-03-16,18.86,18.86,18.42,18.5,3356800
2005-03-17,18.5,18.69,18.46,18.53,2978000
2005-03-18,18.56,18.57,18.22,18.32,1995600
2005-03-21,18.3,18.51,18.16,18.42,1938800
2005-03-22,18.42,18.62,18.11,18.14,2685200
2005-03-23,18.06,18.11,17.98,18.0,3547200
2005-03-24,18.06,18.35,18.06,18.22,1286400
2005-03-28,18.22,18.22,17.85,17.9,2553600
2005-03-29,17.88,17.95,17.15,17.23,4922800
2005-03-30,17.23,17.54,17.21,17.44,3135200
