Date,Open,High,Low,Close,Volume
2005-01-03,84.05,84.75,83.54,83.8,1721800
2005-01-04,84.0,84.49,82.25,82.25,1562000
2005-01-05,82.26,82.49,81.36,81.43,1508100
2005-01-06,81.49,82.79,80.91,82.45,1397900
2005-01-07,82.51,83.07,81.79,81.96,1500900
2005-01-10,81.7,82.86,81.66,82.31,910000
2005-01-11,81.8,82.6,81.55,82.09,1202200
2005-01-12,81.87,82.47,80.93,82.47,1063200
2005-01-13,82.47,82.93,81.96,82.04,1272500
2005-01-14,82.1,82.38,81.59,82.12,900900
2005-01-18,81.63,83.08,81.61,82.93,1253300
2005-01-19,82.93,83.12,81.79,82.1,1628800
2005-01-20,78.75,79.73,77.6,78.66,7316200
2005-01-21,78.67,79.74,78.39,78.39,2911900
2005-01-24,78.32,78.4,76.67,76.75,2275100
2005-01-25,77.3,77.75,76.75,77.06,1757300
2005-01-26,77.47,78.99,77.2,78.75,1620000
2005-01-27,78.62,78.82,77.62,77.62,1580100
2005-01-28,77.77,77.94,76.95,77.62,1359900
2005-01-31,77.95,78.65,77.59,78.28,1285100
2005-02-01,78.18,79.63,78.0,79.46,1891700
2005-02-02,79.28,79.28,77.99,78.47,1440600
2005-02-03,78.48,79.12,78.18,78.42,1176800
2005-02-04,78.28,78.92,78.1,78.83,1370100
2005-02-07,78.55,79.23,78.37,78.57,711900
2005-02-08,77.78,78.31,77.2,77.32,1507400
2005-02-09,77.36,78.23,76.6,76.83,2082200
2005-02-10,76.93,77.51,76.43,77.2,1808000
2005-02-11,77.4,78.73,76.65,78.4,1237100
2005-02-14,78.41,79.1,78.26,78.85,1064100
2005-02-15,78.5,78.98,78.16,78.5,1704200
2005-02-16,78.25,78.9,78.05,78.63,851200
2005-02-17,78.4,78.8,77.55,77.88,1276500
2005-02-18,77.8,77.81,76.56,76.82,1644500
2005-02-22,76.36,77.1,74.63,75.0,2425900
2005-02-23,75.0,76.45,74.7,75.42,2393300
2005-02-24,75.2,76.05,74.96,76.0,1281700
2005-02-25,75.69,77.55,75.6,77.35,1350300
2005-02-28,77.25,77.3,76.46,76.68,1795500
2005-03-01,77.12,77.48,76.31,76.75,1390600
2005-03-02,76.35,77.3,76.28,76.54,1037000
2005-03-03,77.25,77.49,76.26,76.6,1688500
2005-03-04,77.0,78.46,76.98,78.08,2038000
2005-03-07,75.1,77.74,75.0,76.0,9625200
2005-03-08,76.6,78.75,76.6,78.75,6974700
2005-03-09,78.75,80.05,78.25,78.4,4475500
2005-03-10,78.45,78.95,77.82,78.71,2216800
2005-03-11,78.71,79.31,77.25,77.88,2456700
2005-03-14,78.25,79.13,78.04,79.01,2108900
2005-03-15,79.37,79.37,78.05,78.2,2987400
2005-03-16,78.2,78.2,76.8,77.0,2731400
2005-03-17,77.25,77.46,76.42,76.93,1874400
2005-03-18,77.1,77.1,75.9,76.64,2828900
2005-03-21,76.64,77.47,76.38,76.96,1933200
2005-03-22,76.9,77.22,75.43,75.64,2087100
2005-03-23,75.65,76.07,74.8,75.81,2616400
2005-03-24,75.86,76.28,74.84,75.05,1929900
2005-03-28,75.45,75.45,73.82,74.16,2589000
2005-03-29,73.77,74.38,73.15,73.76,2229700
2005-03-30,73.88,74.71,73.68,74.71,1656500
2005-03-31,74.75,75.0,74.2,74.77,2110600
2005-04-01,76.0,77.0,74.3,74.68,2566700
2005-04-04,74.77,75.5,73.7,74.83,1839400
2005-04-05,75.01,75.7,74.85,75.1,1125400
2005-04-06,75.08,75.66,75.01,75.17,977600
2005-04-07,75.07,75.54,74.55,75.28,1312300
