Date,Open,High,Low,Close,Volume
2005-01-03,43.36,43.36,41.96,42.06,6524200
2005-01-04,42.16,42.38,41.64,41.78,5231400
2005-01-05,41.7,42.37,41.4,42.09,7631600
2005-01-06,42.09,42.96,42.03,42.7,6667000
2005-01-07,42.7,42.7,42.07,42.43,5288000
2005-01-10,42.62,43.16,42.58,42.82,4404400
2005-01-11,42.72,43.04,42.48,42.8,3558000
2005-01-12,42.98,43.68,42.75,43.64,5544000
2005-01-13,43.7,44.76,43.58,44.3,7460000
2005-01-14,44.19,44.82,44.1,44.51,5033800
2005-01-18,44.83,45.18,44.78,45.06,8180200
2005-01-19,44.98,45.25,44.64,44.64,4736800
2005-01-20,44.64,44.64,43.46,43.86,6586800
2005-01-21,43.9,44.23,43.65,43.65,6008600
2005-01-24,43.98,44.44,43.96,44.24,4949800
2005-01-25,44.28,44.6,44.12,44.45,4253000
2005-01-26,45.0,45.47,44.67,45.24,7889400
2005-01-27,45.0,45.91,44.92,45.5,6674800
2005-01-28,45.0,45.67,44.97,45.5,5952000
2005-01-31,45.5,46.69,45.25,46.4,7373000
2005-02-01,46.7,47.36,46.68,47.3,7903800
2005-02-02,47.32,47.8,47.24,47.54,6063600
2005-02-03,47.5,48.08,47.24,47.92,5059200
2005-02-04,48.0,48.14,47.52,48.11,6218400
2005-02-07,48.12,48.32,47.62,48.04,5763800
2005-02-08,48.0,48.42,47.78,48.35,4944600
2005-02-09,48.28,48.68,47.85,48.43,5232400
2005-02-10,48.6,49.82,48.52,49.74,5210200
2005-02-11,49.42,50.14,49.14,49.52,6490600
2005-02-14,49.8,50.8,49.8,50.48,7565600
2005-02-15,50.48,50.72,50.1,50.69,4577000
2005-02-16,50.69,52.25,50.58,52.16,7988600
2005-02-17,52.1,52.59,51.76,52.0,8760400
2005-02-18,52.04,53.42,51.86,53.12,10101800
2005-02-22,53.28,54.16,52.8,52.98,9940200
2005-02-23,52.5,53.74,52.36,53.6,7971600
2005-02-24,53.62,55.16,53.62,55.09,10865400
2005-02-25,55.09,56.98,55.06,56.16,14854600
2005-02-28,56.28,56.88,53.62,55.44,12916400
2005-03-01,55.74,55.74,54.14,54.25,10386800
2005-03-02,53.82,54.88,53.54,54.75,10040800
2005-03-03,54.99,55.76,54.3,55.3,10332000
2005-03-04,55.3,56.46,55.08,56.1,7326000
2005-03-07,55.78,56.24,54.9,55.9,6918800
2005-03-08,55.9,56.04,54.38,54.8,11832400
2005-03-09,54.9,55.82,53.2,53.3,11877600
2005-03-10,52.9,53.12,51.52,52.78,12619600
2005-03-11,52.43,53.62,52.43,52.8,7014400
2005-03-14,52.8,53.3,52.04,53.15,7013200
2005-03-15,53.1,53.74,52.24,52.36,7182200
2005-03-16,52.16,54.22,52.08,53.26,8906000
2005-03-17,53.62,54.39,53.58,53.98,7616000
2005-03-18,55.5,55.5,54.06,55.12,12926600
2005-03-21,55.12,55.3,54.02,54.55,7753000
2005-03-22,54.5,55.26,53.45,53.52,8916200
2005-03-23,52.75,53.12,52.0,52.55,10893400
2005-03-24,52.75,53.31,51.77,52.4,7078400
2005-03-28,52.4,52.96,52.1,52.62,6187600
2005-03-29,52.45,53.12,51.75,51.82,7362800
2005-03-30,52.25,52.84,51.1,52.72,10391000
2005-03-31,52.74,53.96,52.72,53.92,9994400
2005-04-01,58.22,55.37,54.21,55.14,10551400
2005-04-04,55.74,56.5,55.04,55.28,12938200
2005-04-05,55.29,55.59,53.96,54.16,8876200
2005-04-06,54.39,55.54,53.75,55.44,8544600
2005-04-07,55.75,56.0,54.42,55.18,9703800
2005-04-08,55.18,55.73,54.54,54.56,7673600
2005-04-11,54.56,55.21,54.0,55.16,5708800
2005-04-12,54.95,55.14,53.7,54.14,8790400
2005-04-13,53.26,53.96,52.64,52.65,11659200
2005-04-14,52.95,53.44,52.08,52.44,8915000
2005-04-15,52.22,52.25,49.6,50.04,11786800
2005-04-18,50.0,51.42,49.0,51.34,9180600
2005-04-19,51.5,52.49,51.45,52.28,7702200
2005-04-20,52.28,52.9,51.54,51.64,7078600
2005-04-21,51.25,52.84,51.16,52.84,6649600
2005-04-22,52.96,54.0,52.6,53.48,6581200
2005-04-25,54.0,54.74,54.0,54.35,6592200
2005-04-26,54.05,54.35,53.38,53.38,4887200
2005-04-27,54.02,54.02,51.81,51.85,8717600
2005-04-28,51.85,52.09,51.24,51.38,8080000
2005-04-29,51.85,52.84,51.33,52.42,7509200
2005-05-02,52.42,53.35,51.66,53.35,7586600
2005-05-03,53.12,53.18,51.39,51.75,7441200
2005-05-04,52.12,52.36,51.38,52.02,8403400
2005-05-05,52.2,52.89,51.82,52.5,7295400
2005-05-06,52.95,53.37,52.45,52.46,5633600
