Date,Open,High,Low,Close,Volume
2005-01-03,48.24,48.99,47.75,47.9,2268705
2005-01-04,48.19,48.34,47.04,47.04,3287949
2005-01-05,47.18,47.86,46.92,47.22,2724809
2005-01-06,48.86,48.89,47.76,47.9,3771683
2005-01-07,47.83,47.96,47.37,47.49,2480240
2005-01-10,47.41,47.94,47.27,47.58,2093664
2005-01-11,47.37,47.56,47.1,47.32,2407355
2005-01-12,47.26,47.64,47.0,47.53,2367727
2005-01-13,47.8,48.4,47.53,47.74,2913567
2005-01-14,47.88,48.49,47.8,48.27,3035483
2005-01-18,48.15,49.18,47.84,49.14,3130287
2005-01-19,49.15,49.16,48.33,48.36,1840784
2005-01-20,48.49,48.64,47.7,47.79,1871366
2005-01-21,47.71,47.94,46.43,46.51,3104718
2005-01-24,46.6,47.15,46.33,46.42,2487925
2005-01-25,46.9,47.24,46.52,47.08,2146932
2005-01-26,47.2,47.51,47.18,47.36,2601551
2005-01-27,47.24,47.79,46.93,47.23,2258491
2005-01-28,47.32,47.46,46.6,47.29,2648709
2005-01-31,47.7,48.24,47.13,47.27,2871388
2005-02-01,47.19,47.36,46.89,46.96,2637616
2005-02-02,46.97,47.18,46.52,47.17,2263683
2005-02-03,46.5,46.64,45.75,46.37,4787806
2005-02-04,46.36,46.82,45.92,46.18,3578293
2005-02-07,46.2,46.6,46.0,46.1,2576413
2005-02-08,46.48,46.5,45.69,45.88,2893481
2005-02-09,45.84,46.01,45.42,45.51,2227839
2005-02-10,45.58,46.29,45.45,45.86,1966206
2005-02-11,45.98,46.91,45.73,46.44,2959208
2005-02-14,46.52,46.76,46.15,46.51,2043839
2005-02-15,46.74,47.02,46.3,47.0,2083530
2005-02-16,47.0,47.1,46.66,46.94,1794965
2005-02-17,46.8,47.08,46.0,46.1,2190083
2005-02-18,45.99,46.13,45.74,45.8,2028094
2005-02-22,45.52,46.71,45.4,45.4,3522043
2005-02-23,45.75,46.12,45.49,45.65,2810376
2005-02-24,45.66,46.69,45.6,46.54,2389955
2005-02-25,46.42,46.76,46.35,46.57,1525827
2005-02-28,46.61,47.0,46.18,46.59,2425255
2005-03-01,46.63,47.27,46.61,46.71,2906640
2005-03-02,45.41,46.07,44.31,45.02,12766901
2005-03-03,45.1,45.25,44.73,44.8,4944151
2005-03-04,44.76,45.25,44.5,44.76,4714052
2005-03-07,44.92,45.15,44.37,44.54,3306916
2005-03-08,44.8,46.63,44.5,46.06,8117927
2005-03-09,45.94,46.21,45.33,45.61,4918758
