Date,Open,High,Low,Close,Volume
2005-01-03,10.94,11.02,10.2,10.46,9480464
2005-01-04,10.54,10.83,10.34,10.34,10361076
2005-01-05,10.32,10.5,10.24,10.24,5957004
2005-01-06,10.29,10.3,10.02,10.12,5646920
2005-01-07,10.25,10.35,10.08,10.13,4969768
2005-01-10,10.24,10.27,9.82,9.88,8636904
2005-01-11,9.88,9.88,9.17,9.53,14256040
2005-01-12,9.68,9.7,9.2,9.44,12261220
2005-01-13,9.44,9.47,9.22,9.27,10745972
2005-01-14,9.39,9.52,9.27,9.51,6207568
2005-01-18,9.54,9.78,9.5,9.71,6906268
2005-01-19,9.75,9.78,9.56,9.61,6941372
2005-01-20,9.59,9.62,9.15,9.25,13633168
2005-01-21,9.34,9.34,8.89,8.96,12371280
2005-01-24,9.17,9.31,8.99,9.06,9980148
2005-01-25,9.06,9.28,8.91,9.02,6952500
2005-01-26,9.01,9.24,8.95,9.16,5504640
2005-01-27,9.21,9.4,9.16,9.32,6785324
2005-01-28,9.36,9.38,9.1,9.2,5897424
2005-01-31,9.36,9.51,9.21,9.48,8711372
2005-02-01,9.55,9.62,9.47,9.54,5734208
2005-02-02,9.67,9.68,9.45,9.55,4950144
2005-02-03,9.59,9.6,9.31,9.37,4863568
2005-02-04,9.36,9.59,9.26,9.58,3498784
2005-02-07,9.68,9.73,9.44,9.49,4257676
2005-02-08,9.48,9.58,9.31,9.41,5297792
2005-02-09,9.41,9.41,9.12,9.18,9897924
2005-02-10,9.98,10.84,9.95,10.77,34507072
2005-02-11,10.84,11.67,10.78,11.38,22509748
2005-02-14,11.45,11.75,11.27,11.46,8777716
2005-02-15,11.26,11.44,11.06,11.25,11904568
2005-02-16,11.24,11.32,11.09,11.28,6317288
2005-02-17,11.29,11.35,11.03,11.13,4241496
2005-02-18,11.19,11.22,11.04,11.19,4148640
2005-02-22,11.18,11.22,10.93,10.98,6491744
2005-02-23,11.06,11.28,10.98,11.15,8002720
2005-02-24,11.16,11.57,11.16,11.48,8518936
2005-02-25,11.54,11.96,11.42,11.93,10617916
2005-02-28,11.95,12.04,11.51,11.81,8166880
2005-03-01,11.9,11.97,11.76,11.9,6346924
2005-03-02,11.92,12.17,11.81,11.9,6933120
2005-03-03,11.99,12.0,11.49,11.72,4410172
2005-03-04,11.85,12.21,11.71,12.16,5376664
2005-03-07,12.24,12.37,12.05,12.12,5909620
2005-03-08,11.81,11.92,11.53,11.66,11184668
2005-03-09,11.62,11.75,11.35,11.43,6984068
2005-03-10,11.45,11.6,11.22,11.57,6344096
2005-03-11,11.65,11.78,11.48,11.71,7095456
2005-03-14,11.83,11.95,11.58,11.7,5830924
2005-03-15,11.79,11.8,11.24,11.47,7542228
2005-03-16,11.44,11.62,11.22,11.28,6524384
2005-03-17,11.26,11.26,10.81,11.17,7653996
2005-03-18,11.13,11.19,11.01,11.14,4517892
2005-03-21,11.14,11.27,10.99,11.22,4171112
2005-03-22,11.46,11.56,11.28,11.42,6330384
2005-03-23,11.4,11.6,11.22,11.58,5207312
2005-03-24,11.58,11.71,11.5,11.63,4457236
2005-03-28,11.72,11.74,11.28,11.4,6191496
2005-03-29,11.44,11.58,11.1,11.14,6596784
2005-03-30,11.18,11.43,11.13,11.36,4240772
2005-03-31,11.42,11.72,11.3,11.55,5495996
2005-04-01,11.68,11.7,11.28,11.49,8223132
2005-04-04,11.43,11.69,11.4,11.62,3065276
2005-04-05,11.68,12.01,11.63,11.99,6515268
2005-04-06,12.05,12.1,11.8,11.88,5795352
2005-04-07,11.94,11.94,11.76,11.88,4146112
2005-04-08,11.86,11.86,11.43,11.45,5633564
2005-04-11,11.56,11.58,11.28,11.29,4242956
2005-04-12,11.28,11.59,11.2,11.49,4561084
2005-04-13,11.54,11.54,11.28,11.29,3896276
2005-04-14,10.95,10.97,10.28,10.3,25412524
2005-04-15,10.17,10.25,9.77,9.98,23737816
2005-04-18,9.93,10.42,9.89,10.29,8792784
2005-04-19,10.24,10.38,10.06,10.26,9738368
2005-04-20,10.53,10.55,10.2,10.26,12127612
2005-04-21,10.34,10.53,10.27,10.5,8285840
2005-04-22,10.48,10.53,10.28,10.35,5057364
2005-04-25,10.44,10.57,10.37,10.57,4344088
2005-04-26,10.49,10.5,10.18,10.25,8328608
2005-04-27,10.12,10.52,9.53,10.52,18500104
2005-04-28,10.48,10.77,10.43,10.48,6303912
2005-04-29,10.61,10.62,10.23,10.5,7263368
2005-05-02,10.5,10.58,10.35,10.55,5014700
2005-05-03,10.52,10.81,10.48,10.69,5275340
2005-05-04,10.7,10.75,10.52,10.69,6948756
2005-05-05,10.74,10.94,10.58,10.92,6898452
2005-05-06,11.0,11.06,10.9,11.04,3488600
2005-05-09,11.06,11.07,10.81,11.0,2675028
2005-05-10,10.89,10.94,10.68,10.73,4273992
2005-05-11,10.76,10.9,10.5,10.84,5536772
2005-05-12,10.84,10.88,10.5,10.59,3959432
2005-05-13,10.66,10.84,10.56,10.65,4744324
2005-05-16,10.61,10.85,10.53,10.78,4254716
2005-05-17,10.73,10.87,10.62,10.87,5757792
2005-05-18,10.88,11.25,10.85,11.23,7831428
2005-05-19,11.25,11.45,11.15,11.4,4786936
2005-05-20,11.38,11.46,11.27,11.36,4156192
2005-05-23,11.35,11.75,11.26,11.63,5234192
2005-05-24,11.67,11.81,11.52,11.7,5374360
2005-05-25,11.7,11.77,11.49,11.56,5159392
2005-05-26,11.69,11.85,11.62,11.85,5107092
2005-05-27,11.87,11.96,11.76,11.84,3768916
2005-05-31,11.89,12.06,11.77,12.0,15978420
2005-06-01,12.02,12.03,11.83,12.0,5204928
2005-06-02,11.94,12.0,11.86,11.99,3441548
2005-06-03,12.0,12.0,11.67,11.76,4235812
2005-06-06,11.75,11.94,11.69,11.94,2569524
2005-06-07,11.97,12.01,11.76,11.8,3470412
2005-06-08,11.88,11.89,11.57,11.71,3326268
2005-06-09,11.76,11.92,11.48,11.92,5521240
2005-06-10,12.02,12.02,11.71,11.79,3449924
2005-06-13,11.8,12.22,11.59,11.79,6984948
2005-06-14,11.74,11.92,11.73,11.91,3105688
2005-06-15,11.91,12.19,11.88,12.18,5542904
2005-06-16,12.24,12.45,12.06,12.36,5645372
2005-06-17,12.4,12.58,12.38,12.54,10538788
2005-06-20,12.54,12.54,12.08,12.26,7185876
2005-06-21,12.37,12.37,11.86,11.91,8101700
2005-06-22,12.0,12.09,11.72,11.9,6925972
2005-06-23,11.94,12.0,11.58,11.68,8531656
2005-06-24,11.68,11.78,11.48,11.5,5946484
2005-06-27,11.5,11.54,11.38,11.54,5988188
2005-06-28,11.61,11.86,11.56,11.84,5318316
2005-06-29,11.9,11.92,11.65,11.82,6359336
2005-06-30,11.82,11.97,11.75,11.78,6280684
2005-07-01,11.81,11.94,11.59,11.81,3466144
2005-07-05,11.7,11.94,11.64,11.92,4496920
2005-07-06,12.02,12.13,11.93,11.96,4786452
2005-07-07,11.76,11.86,11.63,11.86,4689448
2005-07-08,11.94,12.12,11.77,12.11,4082096
2005-07-11,12.18,12.21,11.98,12.17,3253404
2005-07-12,11.87,12.17,11.35,11.94,15399676
2005-07-13,11.96,12.04,11.79,11.88,6036672
2005-07-14,11.94,11.94,11.7,11.76,4810344
2005-07-15,11.84,12.05,11.7,12.03,3963012
2005-07-18,11.95,12.36,11.95,12.17,4647188
2005-07-19,12.3,12.44,12.1,12.39,4545596
2005-07-20,12.32,12.42,12.15,12.38,2800964
2005-07-21,12.38,12.4,12.0,12.17,3366628
2005-07-22,12.18,12.28,12.01,12.08,3893108
2005-07-25,12.05,12.21,11.9,12.21,4804312
2005-07-26,12.26,12.32,12.22,12.31,4446344
2005-07-27,12.3,12.56,12.14,12.51,5477888
2005-07-28,12.77,12.86,11.64,11.79,23252920
2005-07-29,12.06,12.37,12.06,12.27,12958756
2005-08-01,12.3,12.49,12.25,12.29,5231972
2005-08-02,12.36,12.4,12.21,12.36,5303784
2005-08-03,12.37,12.48,12.3,12.38,6035128
2005-08-04,12.25,12.38,12.14,12.26,4449960
2005-08-05,12.21,12.29,11.82,11.94,6785156
2005-08-08,11.95,12.09,11.82,11.9,3135672
2005-08-09,12.0,12.12,11.9,12.05,4671380
2005-08-10,12.12,12.13,11.66,11.78,7646236
2005-08-11,11.76,11.94,11.74,11.91,5838404
2005-08-12,11.75,11.91,11.5,11.63,7114924
2005-08-15,11.55,11.6,11.5,11.52,4090212
2005-08-16,11.46,11.59,11.29,11.31,7224300
2005-08-17,11.3,11.62,11.08,11.55,8695664
2005-08-18,11.51,11.52,11.33,11.4,5999120
2005-08-19,11.38,11.53,11.34,11.43,3979900
2005-08-22,11.41,11.42,10.94,11.17,12690068
2005-08-23,11.09,11.24,11.09,11.22,6757328
2005-08-24,11.2,11.55,11.2,11.41,6434044
2005-08-25,11.39,11.55,11.39,11.52,4687644
2005-08-26,11.48,11.55,11.41,11.44,3266784
2005-08-29,11.4,11.48,11.36,11.44,4996304
2005-08-30,11.36,11.43,11.19,11.24,4875676
2005-08-31,11.27,11.41,11.22,11.38,6322304
2005-09-01,11.34,11.72,11.32,11.62,6702980
2005-09-02,11.67,11.69,11.51,11.53,2571980
2005-09-06,11.54,11.66,11.46,11.66,3659908
2005-09-07,11.65,11.69,11.46,11.6,3364388
2005-09-08,11.52,11.69,11.52,11.67,4626416
2005-09-09,11.67,12.1,11.58,12.09,7516488
2005-09-12,12.04,12.23,12.0,12.05,4966340
2005-09-13,12.1,12.11,11.86,11.9,3033684
2005-09-14,11.86,11.9,11.69,11.69,3452284
2005-09-15,11.72,11.78,11.52,11.53,3620824
2005-09-16,11.55,11.64,11.36,11.58,6644180
2005-09-19,11.5,11.6,11.33,11.36,3395220
2005-09-20,11.43,11.71,11.32,11.39,6435420
2005-09-21,11.39,11.39,11.03,11.05,4353928
2005-09-22,11.04,11.07,10.61,11.0,8683516
2005-09-23,11.03,11.12,10.88,11.1,3431216
2005-09-26,11.2,11.32,11.1,11.23,6181524
2005-09-27,11.3,11.41,11.22,11.32,6762104
2005-09-28,11.36,11.39,11.2,11.32,4467072
2005-09-29,11.31,11.53,11.28,11.44,5063556
2005-09-30,11.48,11.67,11.32,11.65,4418616
2005-10-03,11.67,11.75,11.42,11.44,7941128
2005-10-04,11.49,11.56,11.31,11.37,7014436
2005-10-05,11.3,11.31,11.03,11.05,6920904
2005-10-06,11.09,11.09,10.64,10.75,6396404
2005-10-07,10.78,11.07,10.75,10.91,5035408
2005-10-10,11.1,11.24,10.98,11.22,8748144
2005-10-11,11.64,11.84,11.26,11.36,11844608
2005-10-12,11.36,11.58,10.87,11.02,10842184
2005-10-13,10.93,11.0,10.78,10.95,5896196
2005-10-14,10.95,11.18,10.92,11.16,3146368
2005-10-17,11.19,11.2,11.0,11.11,5022556
2005-10-18,11.11,11.12,10.93,10.93,4910860
2005-10-19,10.91,11.04,10.56,11.0,10643760
2005-10-20,11.1,11.25,10.85,10.98,6498100
2005-10-21,11.08,11.28,11.0,11.26,5659504
2005-10-24,11.28,11.61,11.26,11.53,6522260
2005-10-25,11.51,11.59,11.38,11.48,2739984
2005-10-26,11.4,11.6,11.26,11.32,6051588
2005-10-27,11.32,11.32,10.86,10.86,8130832
2005-10-28,11.02,11.47,10.98,11.35,8977020
2005-10-31,11.1,11.26,10.83,11.0,12496240
2005-11-01,11.01,11.12,10.8,10.88,6728580
2005-11-02,10.84,11.0,10.75,10.84,9365120
2005-11-03,10.84,11.34,10.84,11.25,8288280
2005-11-04,11.3,11.33,11.09,11.26,3802832
2005-11-07,11.35,11.4,11.13,11.3,4398004
2005-11-08,11.26,11.36,11.2,11.29,3147048
2005-11-09,11.33,11.33,11.18,11.3,2598104
2005-11-10,11.31,11.49,11.16,11.46,4624452
2005-11-11,11.48,11.48,11.3,11.42,3894848
2005-11-14,11.37,11.74,11.32,11.66,7014680
2005-11-15,11.77,11.99,11.75,11.92,10544736
2005-11-16,11.98,12.12,11.78,11.89,9433292
2005-11-17,11.96,12.12,11.88,12.12,6282092
2005-11-18,12.23,12.24,11.99,12.09,4600184
