Date,Open,High,Low,Close,Volume
2005-01-03,34.0,34.09,33.71,33.74,3351800
2005-01-04,33.75,33.96,33.58,33.58,2750200
2005-01-05,33.5,33.58,33.26,33.35,3688600
2005-01-06,33.26,33.56,33.26,33.53,3872600
2005-01-07,33.65,33.94,33.45,33.46,2296800
2005-01-10,33.5,33.96,33.44,33.95,2170200
2005-01-11,33.95,33.96,33.57,33.81,1824600
2005-01-12,33.72,34.09,33.71,34.07,2304000
2005-01-13,34.07,34.65,34.06,34.25,2709000
2005-01-14,34.25,34.61,34.25,34.55,2573000
2005-01-18,34.48,34.82,34.4,34.82,2420800
2005-01-19,34.66,34.79,34.44,34.46,2536600
2005-01-20,34.46,34.46,34.1,34.18,2147200
2005-01-21,34.18,34.38,34.0,34.13,1747800
2005-01-24,34.13,34.48,34.0,34.22,2324400
2005-01-25,34.2,34.48,34.17,34.19,2449600
2005-01-26,34.35,34.56,34.25,34.48,2266800
2005-01-27,34.35,34.59,34.13,34.33,3742000
2005-01-28,34.31,34.4,33.68,34.26,3881000
2005-01-31,34.45,34.7,34.42,34.69,3062600
2005-02-01,34.69,34.7,34.38,34.48,4287800
2005-02-02,34.52,34.6,34.4,34.55,3216600
2005-02-03,34.55,34.55,34.36,34.41,2784200
2005-02-04,34.6,34.97,34.6,34.94,3457800
2005-02-07,34.96,35.12,34.89,35.09,2818600
2005-02-08,35.12,35.33,35.1,35.2,2301200
2005-02-09,35.12,35.42,35.12,35.25,2800400
2005-02-10,35.18,35.54,35.15,35.42,3050600
2005-02-11,35.38,35.45,35.22,35.32,2858800
2005-02-14,35.28,35.58,35.28,35.58,2197400
2005-02-15,35.58,35.6,35.42,35.48,2919200
2005-02-16,35.38,35.85,35.26,35.84,2608600
2005-02-17,35.75,36.27,35.75,36.0,3732000
2005-02-18,36.01,36.07,35.72,35.8,3456400
2005-02-22,35.75,35.82,34.96,35.0,2759600
2005-02-23,35.0,35.42,34.94,35.07,3774000
2005-02-24,35.08,35.48,35.08,35.43,1722800
2005-02-25,35.3,36.47,35.3,36.37,3180200
2005-02-28,36.21,36.37,35.98,36.02,3805800
2005-03-01,35.96,36.3,35.8,35.86,2404600
2005-03-02,35.8,36.16,35.78,35.97,1897000
2005-03-03,35.97,36.26,35.92,36.12,2324000
2005-03-04,36.38,37.24,36.36,37.12,4472800
2005-03-07,37.0,37.72,37.0,37.55,3160800
2005-03-08,37.5,37.65,37.21,37.58,2903000
2005-03-09,37.3,37.54,37.0,37.04,4458800
2005-03-10,37.04,37.24,36.69,37.14,3325400
2005-03-11,37.08,37.24,36.86,36.88,2733200
2005-03-14,36.85,37.42,36.82,37.42,2890400
2005-03-15,37.5,37.62,37.16,37.16,1763000
2005-03-16,37.16,37.47,36.8,37.12,3456800
2005-03-17,37.45,37.9,37.14,37.83,3275000
2005-03-18,37.78,38.0,37.43,37.9,7282000
2005-03-21,37.89,37.9,37.55,37.78,2388800
2005-03-22,37.94,38.0,37.15,37.2,4045400
2005-03-23,37.1,37.1,36.51,36.56,5314200
2005-03-24,36.6,37.03,36.6,36.88,2128400
2005-03-28,36.99,37.16,36.78,36.8,2406400
2005-03-29,36.72,36.86,36.24,36.24,3944200
2005-03-30,36.25,36.96,36.25,36.85,2698800
2005-03-31,37.02,37.5,36.92,37.22,2550400
2005-04-01,37.47,37.7,37.32,37.64,3621800
2005-04-04,37.68,38.04,37.44,38.04,2956800
2005-04-05,38.25,38.42,38.2,38.25,3061600
2005-04-06,38.26,38.44,37.86,37.92,2360800
2005-04-07,37.94,38.36,37.84,38.25,2422000
2005-04-08,38.08,38.08,37.62,37.64,2727800
2005-04-11,37.59,37.9,37.58,37.75,2087400
