Date,Open,High,Low,Close,Volume
2005-01-03,37.2,37.2,36.34,36.47,3536400
2005-01-04,36.72,36.73,35.2,35.6,3272600
2005-01-05,35.3,35.79,35.25,35.26,2466600
2005-01-06,35.55,36.12,35.54,35.74,3605200
2005-01-07,35.62,35.62,35.04,35.25,5093800
2005-01-10,35.2,35.36,34.66,35.09,3919800
2005-01-11,35.05,35.08,34.52,34.62,2862000
2005-01-12,34.88,35.02,34.3,35.0,3152200
2005-01-13,35.0,35.73,35.0,35.28,2956400
2005-01-14,35.18,35.73,35.16,35.42,2435400
2005-01-18,35.42,35.45,35.0,35.32,3495600
2005-01-19,35.05,35.26,34.82,35.02,3156800
2005-01-20,34.8,34.93,34.56,34.64,2826200
2005-01-21,34.38,34.5,33.81,34.0,4664800
2005-01-24,33.99,34.15,33.63,33.83,2528000
2005-01-25,33.88,34.54,33.82,34.06,2733200
2005-01-26,34.22,34.26,33.64,33.85,3973200
2005-01-27,33.25,33.62,32.6,33.54,7710000
2005-01-28,33.75,34.1,33.59,33.98,3580200
2005-01-31,34.11,34.78,34.08,34.72,2883000
2005-02-01,34.76,35.26,34.37,35.14,3520800
2005-02-02,35.08,35.19,34.62,35.07,2203000
2005-02-03,34.95,35.22,34.84,35.15,1862800
2005-02-04,35.22,35.44,34.29,34.68,4437200
2005-02-07,34.58,34.58,34.04,34.12,3598800
2005-02-08,34.21,34.38,34.0,34.15,2915000
2005-02-09,34.25,34.5,33.75,33.8,3260600
2005-02-10,33.92,34.17,33.92,34.05,2401600
2005-02-11,34.15,34.98,34.13,34.66,3399000
2005-02-14,34.75,34.92,34.3,34.68,3449800
2005-02-15,33.85,34.0,32.82,33.05,15688600
2005-02-16,33.05,33.47,32.9,33.35,6073200
2005-02-17,33.45,33.67,32.88,32.92,4487400
2005-02-18,32.92,33.38,32.7,33.28,5648200
2005-02-22,33.2,33.84,32.94,33.12,4323000
2005-02-23,33.42,33.55,33.08,33.4,3152200
2005-02-24,33.45,34.48,33.44,34.38,5803200
2005-02-25,34.34,35.52,34.16,35.3,6330600
2005-02-28,35.15,35.84,35.14,35.56,6336400
2005-03-01,35.49,35.66,35.26,35.49,3990000
2005-03-02,35.12,35.76,35.03,35.73,4383000
2005-03-03,35.73,35.73,35.06,35.27,3404800
2005-03-04,35.7,36.24,35.52,36.18,4120200
2005-03-07,36.0,36.1,35.56,35.75,3303400
2005-03-08,35.68,35.92,35.36,35.66,2743600
2005-03-09,35.66,35.66,34.76,34.88,4170000
2005-03-10,34.93,34.98,34.23,34.5,5393200
2005-03-11,34.6,34.92,34.4,34.7,3520000
2005-03-14,34.6,34.64,34.15,34.25,2659600
2005-03-15,34.22,34.44,33.96,33.96,4262200
2005-03-16,33.85,34.02,33.43,33.6,3829800
2005-03-17,33.7,34.18,33.5,33.88,3768200
2005-03-18,34.0,34.24,33.76,34.18,5083000
2005-03-21,34.21,34.48,34.05,34.32,3181400
2005-03-22,34.32,34.63,33.58,33.64,4067800
2005-03-23,33.66,33.86,33.17,33.54,4566600
2005-03-24,33.69,34.24,33.64,34.14,3927400
2005-03-28,34.15,34.22,33.9,34.04,3257600
2005-03-29,33.76,33.88,33.02,33.08,4215200
2005-03-30,33.15,33.38,32.6,33.15,5352800
2005-03-31,33.34,33.76,33.31,33.56,3675600
2005-04-01,33.8,33.88,32.94,33.12,4597400
2005-04-04,33.12,33.22,32.86,33.04,3365600
2005-04-05,33.12,33.28,32.96,33.2,2618400
2005-04-06,33.26,33.58,33.22,33.38,2113800
2005-04-07,33.38,33.72,33.25,33.66,2040000
2005-04-08,33.67,33.72,33.44,33.5,2050400
2005-04-11,33.58,33.74,33.12,33.2,3923000
2005-04-12,33.0,33.12,31.76,33.05,8479200
2005-04-13,33.0,33.08,32.08,32.31,3904000
2005-04-14,32.35,32.66,31.62,31.76,5111200
2005-04-15,31.52,32.1,31.1,31.24,3545800
2005-04-18,31.15,31.85,31.14,31.46,3314800
2005-04-19,31.42,32.06,31.4,31.89,4701200
2005-04-20,32.25,32.88,31.5,31.6,5336600
2005-04-21,32.0,32.56,31.64,32.5,4004000
2005-04-22,32.35,32.67,31.88,32.28,3529200
2005-04-25,32.38,32.53,32.06,32.2,2728800
2005-04-26,32.08,32.14,31.3,31.54,3871400
2005-04-27,31.28,31.28,30.76,31.07,5875000
2005-04-28,31.14,31.18,30.5,30.67,2441600
2005-04-29,30.9,31.34,30.64,31.27,3103800
2005-05-02,31.27,31.44,30.85,31.08,2570000
2005-05-03,31.08,31.25,30.82,31.0,2472800
2005-05-04,31.02,31.46,30.97,31.3,3527800
2005-05-05,31.38,31.64,31.2,31.44,2453000
2005-05-06,31.58,31.78,31.28,31.34,2125600
2005-05-09,31.34,31.38,31.02,31.28,2518200
2005-05-10,31.08,31.12,30.7,30.77,3290400
2005-05-11,30.78,31.22,30.32,31.1,5630000
2005-05-12,31.07,31.07,29.96,30.26,7294400
2005-05-13,30.26,30.35,29.35,29.84,5795400
2005-05-16,29.84,30.1,29.58,29.9,3966600
2005-05-17,30.78,31.2,30.53,31.14,10108800
2005-05-18,31.42,32.24,31.39,31.98,5526000
2005-05-19,32.24,32.58,32.01,32.3,4394600
2005-05-20,32.17,32.35,31.96,32.22,2912200
2005-05-23,32.38,32.72,32.21,32.52,4141800
2005-05-24,32.52,32.64,32.28,32.51,3449800
2005-05-25,32.52,32.62,31.94,32.5,4270800
2005-05-26,32.62,33.06,32.6,33.0,3242800
2005-05-27,33.15,33.26,33.02,33.16,3027000
2005-05-31,33.09,33.3,32.75,33.08,2955000
2005-06-01,32.85,33.25,32.53,32.78,4586400
2005-06-02,32.79,32.81,32.4,32.5,3029600
2005-06-03,32.5,32.67,32.09,32.28,2418000
2005-06-06,32.34,32.69,32.27,32.64,2434800
2005-06-07,32.8,33.04,32.58,32.58,3583600
2005-06-08,33.0,33.3,32.62,32.84,2739200
2005-06-09,32.82,33.41,32.63,33.31,4005800
2005-06-10,33.43,33.66,33.18,33.4,3953400
2005-06-13,33.32,33.74,33.2,33.52,2628600
2005-06-14,33.52,33.74,33.4,33.53,2538400
2005-06-15,33.32,33.58,32.84,33.07,3614400
2005-06-16,33.02,33.6,32.95,33.48,3614200
2005-06-17,33.72,34.1,33.6,33.96,3385400
2005-06-20,33.97,34.25,33.68,34.06,2386600
2005-06-21,34.06,34.7,34.02,34.06,3996200
2005-06-22,34.15,34.21,33.38,33.5,3258000
2005-06-23,33.52,33.88,33.08,33.16,2812400
2005-06-24,33.12,33.15,32.68,32.97,2793600
2005-06-27,32.82,33.3,32.52,32.68,2602600
2005-06-28,32.75,33.2,32.7,33.15,2765200
2005-06-29,33.23,33.62,32.96,33.22,2093400
2005-06-30,33.2,33.42,32.74,32.74,2763400
2005-07-01,32.78,33.16,32.7,33.05,2951000
2005-07-05,33.5,33.65,33.27,33.62,4987800
2005-07-06,33.7,34.08,33.61,33.8,4183800
2005-07-07,33.32,33.82,33.14,33.78,2713800
2005-07-08,33.72,34.45,33.6,34.38,2409400
2005-07-11,34.5,34.76,34.06,34.76,4841800
2005-07-12,34.62,34.92,34.26,34.84,2703000
2005-07-13,34.7,34.86,34.46,34.52,2637400
2005-07-14,34.6,34.88,34.55,34.7,4173800
2005-07-15,34.71,34.88,34.32,34.88,2438600
2005-07-18,34.88,35.0,34.85,34.96,2351000
2005-07-19,35.0,35.74,35.0,35.74,5432600
2005-07-20,35.53,36.06,35.28,35.82,4354200
2005-07-21,35.9,35.94,35.41,35.65,3483200
2005-07-22,35.6,35.98,35.46,35.68,3697800
2005-07-25,35.7,35.88,35.34,35.36,2442000
2005-07-26,35.35,35.46,35.02,35.26,2774400
2005-07-27,35.41,36.55,35.41,36.3,6031600
2005-07-28,36.49,36.74,36.22,36.71,3416800
2005-07-29,36.71,36.99,36.5,36.76,3352800
2005-08-01,36.77,36.92,36.57,36.6,1542200
2005-08-02,36.59,36.69,36.38,36.44,1933200
2005-08-03,36.45,36.54,35.96,36.22,3243400
2005-08-04,36.22,36.31,35.56,35.71,4193600
2005-08-05,35.7,35.94,35.66,35.8,3617400
2005-08-08,36.0,36.24,35.66,35.71,2415200
2005-08-09,35.9,36.12,35.68,35.81,3908600
2005-08-10,35.92,36.22,35.68,35.7,3237200
2005-08-11,35.82,36.53,35.82,36.44,4512600
2005-08-12,36.44,36.46,36.0,36.3,2095800
2005-08-15,36.33,36.69,36.05,36.4,2234800
2005-08-16,33.56,34.1,32.15,32.32,30690800
2005-08-17,32.4,32.51,32.2,32.26,8503800
2005-08-18,32.25,32.35,32.0,32.12,5077600
2005-08-19,32.27,32.55,32.12,32.48,4482000
2005-08-22,32.53,32.71,32.12,32.34,5165400
2005-08-23,32.38,32.43,32.02,32.04,4560800
2005-08-24,31.98,32.15,31.63,31.66,5298600
2005-08-25,32.45,32.45,31.76,31.92,3271600
2005-08-26,32.05,32.13,31.74,31.92,3269000
2005-08-29,31.65,32.07,31.57,32.0,2812200
2005-08-30,32.0,32.29,31.76,32.26,4296800
2005-08-31,32.18,32.76,32.05,32.69,4984400
2005-09-01,32.73,32.84,32.34,32.44,3919200
2005-09-02,32.54,32.78,32.47,32.52,3278200
2005-09-06,32.72,33.12,32.52,33.03,3139000
2005-09-07,33.04,33.04,32.62,32.93,2039000
2005-09-08,32.7,32.76,32.25,32.36,3215400
2005-09-09,32.35,32.47,32.2,32.28,3626000
2005-09-12,32.21,32.73,32.15,32.66,2607000
2005-09-13,32.67,32.67,32.18,32.32,2695600
2005-09-14,32.32,32.34,31.62,31.74,5344400
2005-09-15,31.74,31.74,31.22,31.32,5771000
2005-09-16,31.37,31.44,31.08,31.28,5789600
2005-09-19,31.23,31.25,30.68,30.8,5414400
2005-09-20,30.76,30.9,30.45,30.52,4444000
2005-09-21,30.42,30.5,29.9,30.2,5933400
2005-09-22,30.23,30.62,30.0,30.49,3710600
2005-09-23,30.48,30.52,30.04,30.28,4630800
2005-09-26,30.4,30.6,29.95,30.44,4289800
2005-09-27,30.5,30.98,30.38,30.91,5006800
2005-09-28,31.02,31.04,30.38,30.42,4537600
2005-09-29,30.42,30.63,30.17,30.3,3912600
2005-09-30,30.25,30.67,30.18,30.6,3577600
2005-10-03,30.6,30.9,30.49,30.81,2311400
2005-10-04,31.62,31.62,30.35,30.39,5013800
2005-10-05,30.44,30.57,30.04,30.04,4715800
2005-10-06,30.16,30.2,29.86,30.18,6694200
2005-10-07,30.38,30.7,30.38,30.56,4759800
2005-10-10,30.56,30.7,30.24,30.24,2235600
2005-10-11,30.2,30.23,29.7,29.78,3851000
2005-10-12,29.79,30.14,29.73,29.93,2519800
2005-10-13,29.82,29.92,29.55,29.66,3596000
2005-10-14,29.68,29.82,29.44,29.68,3868200
2005-10-17,29.68,29.84,29.5,29.66,2082200
2005-10-18,29.48,29.5,29.1,29.18,3432600
2005-10-19,29.12,29.4,28.9,29.4,3317200
2005-10-20,29.46,29.82,29.1,29.29,3154200
2005-10-21,28.9,29.02,28.5,28.58,7420000
2005-10-24,28.88,29.26,28.79,29.25,2799200
2005-10-25,29.31,29.33,29.08,29.12,3239200
2005-10-26,29.12,29.63,28.9,29.57,3741600
2005-10-27,29.57,29.66,29.01,29.08,1721800
2005-10-28,29.12,29.84,29.04,29.82,2748800
2005-10-31,29.91,30.5,29.85,30.34,3681000
2005-11-01,30.34,30.66,30.2,30.55,2875400
2005-11-02,30.62,31.16,30.56,31.08,3759800
2005-11-03,31.25,31.67,31.1,31.23,5542600
2005-11-04,31.23,31.44,30.8,30.98,2924400
2005-11-07,31.18,31.62,31.0,31.54,3368200
2005-11-08,31.5,31.63,31.42,31.54,2579200
2005-11-09,31.54,31.98,31.29,31.73,2501800
2005-11-10,31.7,32.2,31.5,32.14,2710200
2005-11-11,31.95,32.09,31.76,31.94,2226600
2005-11-14,31.89,32.2,31.8,31.92,2771000
2005-11-15,31.55,31.66,31.48,31.52,3117400
2005-11-16,31.6,31.96,31.5,31.89,2215800
2005-11-17,31.42,31.66,31.28,31.42,5063800
2005-11-18,31.65,31.84,31.48,31.55,3611400
2005-11-21,31.54,31.57,31.32,31.5,4579200
2005-11-22,31.78,33.94,31.75,33.7,13942800
2005-11-23,33.48,33.96,33.32,33.9,5146200
2005-11-25,33.98,34.34,33.82,33.84,1367400
2005-11-28,34.62,34.65,34.19,34.45,5377600
2005-11-29,34.46,34.88,34.32,34.62,3638600
2005-11-30,34.48,35.05,34.22,34.68,4470600
