Date,Open,High,Low,Close,Volume
2005-01-03,33.22,33.68,33.0,33.1,2182214
2005-01-04,33.06,33.4,32.17,32.3,1900065
2005-01-05,32.2,32.54,32.14,32.29,1449421
2005-01-06,32.52,32.93,32.39,32.41,2064919
2005-01-07,32.4,32.88,32.34,32.76,1892297
2005-01-10,32.65,33.52,32.62,33.12,1793371
2005-01-11,33.03,33.04,32.48,32.75,2669617
2005-01-12,32.64,32.8,32.07,32.6,1760203
2005-01-13,31.85,32.29,31.8,31.97,2032319
2005-01-14,32.84,33.29,32.76,33.0,2426947
2005-01-18,32.98,33.31,32.86,32.99,1707521
2005-01-19,32.76,32.92,32.3,32.38,2210306
2005-01-20,32.49,32.54,31.71,31.98,2668657
2005-01-21,32.41,33.39,31.95,32.54,4395733
2005-01-24,32.47,32.92,31.94,32.02,2182650
2005-01-25,32.11,32.42,31.92,31.96,1043100
2005-01-26,31.75,31.75,30.48,30.57,5923024
2005-01-27,30.12,30.33,29.45,30.07,6842773
2005-01-28,30.08,30.12,29.89,30.02,3242672
2005-01-31,30.62,31.0,30.38,30.51,2445940
2005-02-01,30.54,30.7,30.31,30.41,1717344
2005-02-02,30.38,30.48,29.9,30.0,1694281
2005-02-03,29.97,30.26,29.72,29.95,1851696
2005-02-04,29.84,30.3,29.61,30.3,1515522
2005-02-07,30.31,30.62,30.23,30.55,1298773
2005-02-08,30.55,30.85,30.28,30.76,1482884
2005-02-09,30.65,30.81,29.97,30.13,1609902
2005-02-10,30.1,30.41,29.97,30.08,1142996
2005-02-11,30.13,30.5,30.06,30.35,1241636
2005-02-14,30.77,31.58,30.65,30.99,3311435
2005-02-15,30.88,31.27,30.74,30.91,1688407
2005-02-16,30.87,31.05,30.25,30.5,2322378
2005-02-17,30.51,30.96,29.85,29.9,2521911
2005-02-18,29.9,30.09,29.61,29.62,1963730
2005-02-22,29.55,30.08,29.43,29.65,1824702
2005-02-23,29.84,29.87,29.0,29.28,2882285
2005-02-24,29.04,29.37,28.99,29.18,1712446
2005-02-25,29.05,29.44,28.81,29.31,2490360
2005-02-28,29.36,29.77,29.32,29.75,1976125
2005-03-01,29.93,30.37,29.78,30.0,2393265
2005-03-02,29.9,30.55,29.9,30.24,1659688
2005-03-03,30.14,30.19,29.96,30.06,1122035
2005-03-04,30.07,30.75,30.07,30.39,1064972
2005-03-07,30.43,30.62,30.21,30.43,1024069
2005-03-08,30.38,30.66,30.36,30.59,1326443
2005-03-09,30.52,30.88,30.52,30.59,1574339
2005-03-10,28.49,29.52,28.2,28.72,15657566
2005-03-11,28.63,29.05,28.36,28.49,4992304
2005-03-14,28.43,28.92,28.39,28.58,2274959
2005-03-15,28.49,28.8,28.13,28.44,2513746
2005-03-16,28.18,28.96,28.18,28.83,4639333
2005-03-17,30.51,31.0,29.59,29.64,11528166
2005-03-18,29.81,30.01,28.26,29.0,4233879
2005-03-21,29.04,29.2,28.78,28.94,2742608
2005-03-22,28.82,29.11,28.45,28.54,4228499
2005-03-23,28.49,28.96,28.41,28.72,2303068
2005-03-24,28.69,28.92,28.51,28.52,2933308
2005-03-28,28.5,28.79,28.5,28.56,1695168
2005-03-29,28.52,28.76,28.04,28.31,1688843
2005-03-30,28.27,28.8,28.25,28.7,1759100
2005-03-31,28.84,29.48,28.41,29.25,3838478
2005-04-01,29.34,29.85,29.01,29.29,2553048
2005-04-04,29.21,29.4,28.89,28.93,1199752
2005-04-05,28.9,29.23,28.79,29.0,1174155
2005-04-06,28.99,29.0,28.66,28.81,1087070
2005-04-07,28.75,29.16,28.75,29.12,1161549
2005-04-08,29.16,29.49,28.95,29.1,845725
2005-04-11,29.14,29.44,28.86,29.3,1031118
2005-04-12,29.3,29.81,29.17,29.77,2103353
2005-04-13,29.69,29.7,29.2,29.26,1814517
2005-04-14,29.22,29.67,28.65,28.73,1907499
2005-04-15,28.54,29.55,28.32,28.9,2810070
2005-04-18,28.83,29.39,28.57,28.7,2120990
2005-04-19,29.24,29.87,29.08,29.45,2809881
2005-04-20,29.4,29.64,29.15,29.52,2098685
2005-04-21,29.62,30.05,29.51,29.97,1144243
2005-04-22,29.84,30.15,29.45,29.65,1226994
2005-04-25,29.65,29.73,29.11,29.5,1112679
2005-04-26,29.25,29.54,29.03,29.05,929975
2005-04-27,29.14,29.34,29.0,29.14,1015784
2005-04-28,28.88,29.05,28.42,28.47,1744240
2005-04-29,28.51,28.99,28.23,28.95,1368892
2005-05-02,29.16,29.31,28.81,29.01,1444551
2005-05-03,28.83,29.26,28.83,29.23,1111636
2005-05-04,29.27,29.97,29.17,29.86,1566015
2005-05-05,29.8,29.9,28.76,28.99,3627162
2005-05-06,29.02,29.1,27.26,27.93,4648739
2005-05-09,27.93,28.32,27.75,28.25,1188547
2005-05-10,28.2,28.43,28.04,28.32,1854241
2005-05-11,28.35,28.54,28.04,28.2,1222296
2005-05-12,28.21,28.39,27.93,28.02,2118673
2005-05-13,28.15,28.93,28.01,28.82,2538198
2005-05-16,28.69,28.83,28.35,28.48,1191127
2005-05-17,28.33,29.01,28.27,28.96,1364956
2005-05-18,29.45,29.52,29.2,29.4,1748765
2005-05-19,29.55,29.8,29.36,29.69,1077590
2005-05-20,29.7,29.9,29.51,29.76,879748
2005-05-23,29.75,29.75,29.24,29.31,950213
2005-05-24,29.22,29.7,29.11,29.53,1146073
2005-05-25,28.84,29.0,28.77,28.95,1315132
2005-05-26,28.92,29.12,28.75,29.11,838755
2005-05-27,29.02,29.11,28.86,29.05,464318
2005-05-31,28.99,29.31,28.7,29.22,1827954
2005-06-01,29.15,29.56,29.11,29.39,1242784
2005-06-02,29.25,30.0,29.25,29.95,1656816
2005-06-03,29.99,30.22,29.9,29.98,1229137
2005-06-06,29.94,30.06,29.47,29.65,961531
2005-06-07,29.5,30.04,29.5,29.56,1219190
2005-06-08,29.72,29.73,29.45,29.46,1289147
2005-06-09,29.45,29.73,29.11,29.2,1337100
2005-06-10,29.25,29.25,28.99,29.15,1891881
2005-06-13,29.08,29.89,29.08,29.81,1050561
2005-06-14,29.96,30.42,29.87,30.31,1501073
2005-06-15,30.49,30.49,29.84,30.18,1492209
2005-06-16,30.15,30.27,29.98,30.05,1378371
2005-06-17,30.53,30.53,29.93,29.97,1718875
2005-06-20,30.28,30.4,30.05,30.09,1236282
2005-06-21,30.11,30.34,29.99,30.13,1434001
2005-06-22,29.55,29.75,29.36,29.66,6957084
2005-06-23,29.75,29.84,29.47,29.65,2397714
2005-06-24,29.6,29.95,29.58,29.86,2336594
2005-06-27,29.68,29.87,29.62,29.7,1776189
2005-06-28,29.8,29.96,29.57,29.82,2310246
2005-06-29,29.65,30.04,29.52,29.91,2258569
2005-06-30,29.82,30.21,29.82,30.16,1738106
2005-07-01,30.09,30.33,30.09,30.19,2134971
