Date,Open,High,Low,Close,Volume
2005-01-03,27.74,27.81,27.0,27.22,1051300
2005-01-04,27.4,27.45,26.93,27.15,839500
2005-01-05,27.07,27.07,26.17,26.37,1894500
2005-01-06,26.3,27.54,26.3,27.37,1497100
2005-01-07,29.0,29.5,28.33,28.37,5698500
2005-01-10,28.44,28.53,27.92,28.24,1632800
2005-01-11,28.0,28.3,27.8,28.21,1207400
2005-01-12,28.22,28.91,28.22,28.9,2080700
2005-01-13,28.92,29.34,28.86,28.95,2220000
2005-01-14,28.9,29.04,28.74,28.74,1980600
2005-01-18,28.87,29.42,28.75,29.42,2206700
2005-01-19,29.42,29.45,28.97,29.0,1869700
2005-01-20,28.82,28.82,28.1,28.1,1964800
2005-01-21,28.16,28.36,27.66,27.72,1332700
2005-01-24,27.73,27.91,27.6,27.75,1299600
2005-01-25,27.8,28.35,27.71,28.23,1390000
2005-01-26,28.25,28.81,28.25,28.65,1141000
2005-01-27,28.64,29.1,28.55,29.06,1321000
2005-01-28,29.0,29.45,28.72,29.08,1835900
2005-01-31,29.5,29.63,29.37,29.56,1562300
2005-02-01,29.55,29.56,29.19,29.35,1178900
2005-02-02,29.44,29.45,28.93,29.24,1147200
2005-02-03,29.1,29.27,28.78,29.24,1091100
2005-02-04,28.55,28.56,28.05,28.19,2242300
2005-02-07,28.1,28.5,27.88,28.32,1443500
2005-02-08,28.32,28.48,28.16,28.46,1158600
2005-02-09,28.4,28.73,28.07,28.13,888200
2005-02-10,28.15,28.6,28.0,28.51,999400
2005-02-11,28.52,28.85,28.1,28.77,943800
2005-02-14,28.65,28.91,28.59,28.63,564100
2005-02-15,28.63,28.75,28.33,28.7,890300
2005-02-16,28.68,28.68,27.85,27.89,1124400
2005-02-17,27.85,27.88,27.48,27.73,1057900
2005-02-18,27.73,27.73,27.07,27.14,1413300
2005-02-22,27.14,27.51,26.88,26.99,969100
2005-02-23,27.2,27.23,27.0,27.05,818600
2005-02-24,27.05,27.39,26.94,27.24,927100
2005-02-25,27.3,27.49,27.02,27.49,984600
2005-02-28,27.35,27.67,26.73,26.8,1602000
2005-03-01,26.95,27.72,26.94,27.53,1303500
2005-03-02,27.55,28.0,27.26,27.92,1219100
2005-03-03,27.95,28.18,27.65,28.11,893500
2005-03-04,28.3,28.85,27.79,28.64,979900
2005-03-07,28.87,29.15,28.75,28.92,639800
2005-03-08,28.82,28.92,28.49,28.6,652000
2005-03-09,28.6,28.6,27.43,27.73,1144500
2005-03-10,27.73,27.73,27.16,27.49,914200
2005-03-11,27.49,27.65,27.21,27.55,925700
2005-03-14,27.68,27.84,27.34,27.41,1296500
2005-03-15,27.5,27.62,27.11,27.12,1338200
2005-03-16,27.05,27.05,25.78,26.25,2194300
2005-03-17,26.42,26.75,26.32,26.68,1404400
2005-03-18,26.75,27.15,26.66,27.04,2089800
2005-03-21,27.2,27.65,27.08,27.51,1303800
2005-03-22,27.45,28.2,27.44,27.55,1571600
2005-03-23,27.61,27.7,27.1,27.37,1303500
2005-03-24,29.29,30.38,29.29,30.0,7551700
2005-03-28,29.91,30.24,29.51,30.0,2695000
2005-03-29,29.75,30.56,29.6,30.41,2142000
2005-03-30,30.15,31.23,30.1,30.76,2424300
2005-03-31,30.63,30.9,30.43,30.68,2021700
2005-04-01,30.8,31.28,30.8,31.05,2412000
2005-04-04,31.75,31.75,30.8,30.99,1566400
2005-04-05,30.94,31.25,30.89,31.02,1438200
2005-04-06,31.02,31.17,30.93,31.01,915000
2005-04-07,31.02,31.09,30.75,31.0,1410300
2005-04-08,30.9,31.04,30.65,30.81,1029100
2005-04-11,31.03,31.51,31.02,31.41,1713400
2005-04-12,31.25,31.45,30.93,31.26,1410500
2005-04-13,31.43,31.72,31.18,31.27,1721500
2005-04-14,31.25,31.25,30.84,30.84,1294100
2005-04-15,30.75,31.02,30.37,30.52,1631600
2005-04-18,30.52,30.78,30.13,30.66,1311400
2005-04-19,30.76,31.01,30.64,30.81,1351800
2005-04-20,30.93,31.0,30.17,30.23,1125000
2005-04-21,30.37,30.8,30.18,30.55,1005300
2005-04-22,30.56,30.74,30.34,30.44,1070400
2005-04-25,30.15,30.72,29.76,30.69,1682300
2005-04-26,30.69,30.88,30.22,30.24,1502500
2005-04-27,30.34,30.55,29.94,30.24,1137000
2005-04-28,30.03,30.3,29.75,29.81,1661300
2005-04-29,29.88,30.13,29.59,30.0,1190900
2005-05-02,30.17,30.17,29.87,30.08,1112100
2005-05-03,30.05,30.4,29.91,30.17,1200200
2005-05-04,30.18,30.67,30.15,30.63,995400
2005-05-05,31.0,31.37,30.73,31.29,1777200
2005-05-06,31.29,31.29,30.69,30.8,1440800
2005-05-09,30.69,30.7,30.34,30.47,1119300
2005-05-10,30.3,31.31,30.27,31.15,1486900
2005-05-11,31.08,31.37,31.08,31.31,1475000
2005-05-12,31.25,31.34,30.65,30.74,1687100
2005-05-13,30.7,30.71,29.89,30.03,1476800
2005-05-16,30.03,30.37,29.85,30.28,1080900
2005-05-17,30.25,30.45,30.0,30.33,1260600
2005-05-18,30.52,31.51,30.52,31.37,1582100
2005-05-19,31.57,31.89,31.34,31.57,1866300
2005-05-20,31.73,31.98,31.43,31.96,1594000
2005-05-23,31.99,32.66,31.99,32.54,1434400
2005-05-24,32.79,32.79,32.28,32.56,1021700
2005-05-25,32.56,32.65,32.18,32.41,931700
2005-05-26,32.6,33.11,32.56,32.75,1221100
2005-05-27,32.67,32.81,32.51,32.8,736900
2005-05-31,32.83,32.83,32.47,32.48,991200
2005-06-01,32.7,32.94,32.55,32.89,1740900
2005-06-02,32.75,32.96,32.69,32.95,1014800
2005-06-03,32.84,32.93,32.81,32.91,1275000
2005-06-06,32.37,32.8,32.14,32.8,1845300
