Date,Open,High,Low,Close,Volume
2005-01-03,76.26,76.65,74.91,75.15,754100
2005-01-04,75.15,75.54,74.4,74.4,830900
2005-01-05,74.4,75.03,73.83,73.83,1075667
2005-01-06,73.59,73.98,73.11,73.83,839933
2005-01-07,74.28,74.82,73.77,74.01,592300
2005-01-10,74.25,75.06,74.04,74.82,858400
2005-01-11,74.94,74.94,73.8,74.28,549900
2005-01-12,74.25,75.18,73.71,75.0,980233
2005-01-13,74.85,75.66,74.76,75.09,623500
2005-01-14,75.18,75.93,74.73,75.39,466433
2005-01-18,75.51,76.26,74.94,76.2,947033
2005-01-19,76.35,76.98,75.93,75.99,768933
2005-01-20,75.99,76.65,75.24,76.08,732667
2005-01-21,76.08,76.23,75.0,75.15,850433
2005-01-24,75.54,76.8,75.15,76.38,784200
2005-01-25,76.47,76.92,75.18,75.45,932067
2005-01-26,75.75,77.85,75.71,77.7,1210933
2005-01-27,77.7,78.84,77.25,78.27,1388867
2005-01-28,78.18,78.6,77.25,78.42,959933
2005-01-31,79.95,80.61,79.5,80.37,2145700
2005-02-01,80.67,81.51,80.28,81.24,2377800
2005-02-02,81.24,81.24,80.34,80.7,1351700
2005-02-03,80.85,81.72,80.43,81.51,1307167
2005-02-04,81.51,83.19,81.33,83.1,1245633
2005-02-07,83.1,83.1,82.14,82.14,1008667
2005-02-08,82.35,82.44,81.27,81.54,1583733
2005-02-09,80.19,80.76,79.68,80.25,1573100
2005-02-10,80.4,80.58,79.62,80.52,1048233
2005-02-11,80.52,80.94,80.16,80.37,983233
2005-02-14,81.9,82.8,81.36,82.2,1420267
2005-02-15,82.44,82.56,82.05,82.35,882467
2005-02-16,82.11,82.5,81.48,82.05,1179000
2005-02-17,82.26,82.35,80.98,81.03,1339533
2005-02-18,81.0,81.0,79.86,79.89,1264033
2005-02-22,79.53,79.59,78.12,78.24,1760833
2005-02-23,76.86,80.1,76.86,79.05,776467
2005-02-24,81.0,81.0,79.2,80.82,1518100
2005-02-25,81.6,82.86,81.39,82.23,1788700
2005-02-28,82.53,82.71,80.55,80.97,1547367
2005-03-01,81.09,82.05,81.06,81.78,1053067
2005-03-02,81.48,82.17,81.03,81.69,1163167
2005-03-03,81.75,82.23,80.79,81.48,1019900
2005-03-04,82.2,83.52,82.08,83.07,1127867
2005-03-07,83.94,84.6,83.73,84.36,1566533
2005-03-08,84.39,84.39,83.49,84.0,960000
2005-03-09,83.85,83.85,82.08,82.08,1272200
2005-03-10,82.2,83.55,81.96,83.28,1218733
2005-03-11,83.31,83.43,82.35,82.41,823067
2005-03-14,82.38,83.67,82.29,83.52,1126267
2005-03-15,84.0,84.21,82.95,82.95,1323433
2005-03-16,83.19,83.4,81.3,81.69,1395500
2005-03-17,82.29,82.83,81.56,82.62,1052900
2005-03-18,82.62,82.8,81.45,82.38,1230333
2005-03-21,81.6,83.31,82.14,82.65,959233
2005-03-22,84.0,84.45,82.05,82.05,1773167
2005-03-23,82.08,82.08,80.58,81.39,1358667
2005-03-24,82.35,83.61,82.2,82.95,1312667
2005-03-28,83.55,83.79,83.1,83.61,1043200
2005-03-29,83.4,83.94,82.29,82.32,1106433
2005-03-30,82.5,83.85,82.5,83.85,897067
2005-03-31,84.15,84.48,83.79,84.03,1177867
2005-04-01,84.63,85.47,84.21,84.96,1030967
2005-04-04,84.96,85.32,84.24,85.2,995200
2005-04-05,85.23,85.53,84.78,85.53,831933
2005-04-06,85.74,86.52,85.66,86.16,1782133
2005-04-07,86.16,86.58,85.86,86.46,1231433
2005-04-08,86.49,86.55,85.02,85.05,873133
2005-04-11,85.35,86.46,85.2,85.98,863133
2005-04-12,84.9,86.73,84.27,86.55,1314867
2005-04-13,86.25,86.64,85.2,85.44,832200
2005-04-14,85.32,85.8,84.78,84.78,757733
2005-04-15,84.84,85.17,83.64,83.67,1161433
2005-04-18,83.85,84.39,83.37,83.64,1935900
2005-04-19,84.84,85.65,83.79,85.35,1099400
2005-04-20,85.05,85.8,84.69,84.99,1123967
2005-04-21,85.5,86.82,85.35,86.55,1213967
2005-04-22,86.55,87.3,86.1,86.85,1303500
2005-04-25,87.45,87.63,86.4,86.79,890667
2005-04-26,86.79,87.0,85.98,85.98,1259200
2005-04-27,86.01,86.76,84.96,86.28,936800
2005-04-28,85.92,87.45,85.8,86.31,1535800
2005-04-29,86.55,87.57,85.92,87.57,1041567
2005-05-02,87.75,88.36,87.09,87.21,773633
2005-05-03,87.0,87.9,86.67,87.57,1018367
2005-05-04,87.57,88.38,86.7,88.05,1423600
2005-05-05,88.32,88.56,87.0,88.35,2151000
2005-05-06,88.35,88.5,87.48,88.08,1293300
2005-05-09,86.52,87.6,85.14,86.46,5673333
2005-05-10,86.22,86.22,83.07,84.06,4699567
2005-05-11,83.22,83.4,82.5,82.86,2034967
2005-05-12,84.54,84.54,82.02,82.95,1954733
2005-05-13,83.25,84.66,82.17,82.71,2245200
2005-05-16,82.89,83.19,82.41,83.1,1240867
2005-05-17,83.1,84.75,82.8,84.6,1219433
2005-05-18,84.9,85.08,83.97,84.03,1370800
2005-05-19,84.06,84.39,83.7,83.91,1305100
2005-05-20,84.0,84.15,83.79,83.85,1356900
2005-05-23,83.94,84.0,83.13,83.19,1432000
2005-05-24,83.31,83.61,82.92,83.22,1328133
2005-05-25,83.22,83.4,82.89,83.16,1420233
2005-05-26,83.55,83.58,82.8,82.83,1113867
2005-05-27,82.86,83.1,82.71,82.95,945933
2005-05-31,82.8,83.25,82.35,82.44,1783667
2005-06-01,82.44,83.46,82.41,83.13,1238900
2005-06-02,83.4,83.73,83.25,83.7,1214967
2005-06-03,83.97,84.3,83.13,83.67,928633
2005-06-06,83.85,84.0,83.49,83.88,1058767
