Date,Open,High,Low,Close,Volume
2005-01-03,19.76,19.96,19.6,19.68,1512800
2005-01-04,19.75,19.96,19.7,19.76,1323200
2005-01-05,19.76,19.86,19.44,19.65,1040800
2005-01-06,19.66,19.68,19.58,19.63,1206400
2005-01-07,19.65,20.02,19.65,19.94,1631200
2005-01-10,19.98,21.2,19.95,20.85,3403400
2005-01-11,21.25,21.28,20.66,20.85,1852400
2005-01-12,20.86,21.2,20.56,20.7,1860600
2005-01-13,20.8,21.08,20.6,20.6,1095200
2005-01-14,20.6,21.01,20.58,21.0,1485000
2005-01-18,21.04,21.29,20.86,21.0,1385600
2005-01-19,21.0,21.24,20.87,20.96,835400
2005-01-20,21.02,21.05,20.66,20.72,945200
2005-01-21,20.72,20.8,20.46,20.5,817200
2005-01-24,20.42,20.42,19.68,20.01,2326800
2005-01-25,20.0,20.3,20.0,20.24,964800
2005-01-26,20.31,20.38,20.18,20.3,1122000
2005-01-27,20.32,20.7,20.32,20.62,925600
2005-01-28,20.8,20.87,20.64,20.7,2132200
2005-01-31,20.78,21.0,20.6,20.98,1910200
2005-02-01,21.0,21.21,20.94,21.08,1604600
2005-02-02,21.15,21.2,20.76,20.84,1344800
2005-02-03,20.87,20.87,20.67,20.7,947800
2005-02-04,20.72,20.8,20.58,20.68,1678200
2005-02-07,20.75,20.75,20.58,20.62,1434400
2005-02-08,20.68,20.79,20.62,20.77,1210600
2005-02-09,20.77,21.6,20.3,21.29,2621400
2005-02-10,21.5,21.9,21.38,21.62,3699400
2005-02-11,21.7,21.94,21.63,21.78,3916800
2005-02-14,21.82,22.02,21.78,21.9,2182600
2005-02-15,21.89,21.89,21.55,21.56,1621400
2005-02-16,21.56,21.56,21.32,21.47,1471000
2005-02-17,21.02,21.6,20.48,21.12,3199000
2005-02-18,21.0,21.22,20.9,21.08,3263000
2005-02-22,20.98,21.0,20.5,20.7,2963400
2005-02-23,20.62,20.84,20.35,20.81,2040800
2005-02-24,20.81,21.22,20.72,21.1,1693400
2005-02-25,21.04,21.32,20.9,21.2,1813400
2005-02-28,21.12,21.22,20.92,21.12,746800
2005-03-01,21.18,21.4,21.18,21.3,876000
2005-03-02,21.12,21.68,21.08,21.6,1150000
2005-03-03,21.6,22.12,21.58,22.05,1921200
2005-03-04,22.1,22.13,21.72,22.02,1354600
2005-03-07,21.5,21.68,20.95,21.05,2594000
2005-03-08,20.85,20.98,20.73,20.86,1780800
2005-03-09,20.86,20.99,20.6,20.86,1110200
2005-03-10,20.8,20.91,20.7,20.88,797400
2005-03-11,20.76,20.9,20.42,20.51,1913600
2005-03-14,20.55,21.14,20.5,21.08,2378400
2005-03-15,21.0,21.25,20.95,21.14,1069000
2005-03-16,21.12,21.2,20.76,20.88,1120800
2005-03-17,20.88,21.1,20.84,20.96,636000
2005-03-18,20.98,21.04,20.7,20.98,577000
2005-03-21,20.98,21.08,20.64,21.04,621400
2005-03-22,20.94,21.12,20.84,20.92,1558600
2005-03-23,20.9,21.06,20.68,21.02,1063800
2005-03-24,20.98,21.08,20.87,20.95,1298000
2005-03-28,20.7,20.82,20.64,20.68,639400
2005-03-29,20.72,20.75,20.52,20.63,1338200
2005-03-30,20.6,21.0,20.56,20.92,1059800
2005-03-31,20.92,21.03,20.8,20.92,623600
2005-04-01,21.12,21.24,20.98,21.0,1341800
2005-04-04,21.0,21.04,20.9,21.03,769000
2005-04-05,21.04,21.22,21.02,21.12,728200
2005-04-06,21.22,21.38,21.15,21.34,2044000
2005-04-07,21.3,21.67,21.3,21.63,1071800
2005-04-08,21.64,21.86,21.43,21.63,1446400
2005-04-11,21.72,21.91,21.71,21.84,1383800
2005-04-12,21.84,22.05,21.76,21.98,1166000
2005-04-13,21.9,21.9,21.6,21.6,1188200
2005-04-14,21.56,21.58,20.98,21.06,1304600
2005-04-15,21.1,21.11,20.68,20.8,1051000
2005-04-18,20.82,20.95,20.65,20.89,1153600
2005-04-19,20.95,21.02,20.4,20.96,1904800
2005-04-20,20.88,20.98,20.55,20.6,1399800
2005-04-21,20.62,20.78,20.35,20.5,1533400
2005-04-22,20.56,20.6,20.16,20.32,1223800
2005-04-25,20.32,20.52,20.32,20.48,1313800
2005-04-26,20.38,20.46,20.3,20.4,1385000
2005-04-27,20.43,20.72,20.1,20.66,1489000
2005-04-28,20.4,20.44,19.58,20.0,2555600
2005-04-29,20.0,20.3,20.0,20.15,1718600
2005-05-02,20.1,20.25,20.0,20.08,1449800
2005-05-03,20.09,20.22,20.0,20.12,1334000
2005-05-04,20.62,21.0,20.58,20.6,3855400
2005-05-05,20.5,20.82,20.44,20.75,1678200
2005-05-06,20.56,20.9,20.51,20.75,628000
2005-05-09,20.68,21.27,20.62,21.26,956600
2005-05-10,21.26,21.47,21.14,21.29,1504800
2005-05-11,21.24,21.38,21.22,21.32,758800
2005-05-12,21.3,21.31,20.95,21.06,547000
2005-05-13,21.02,21.1,20.6,20.83,1161400
2005-05-16,20.84,21.04,20.84,20.96,916200
2005-05-17,20.99,21.12,20.8,21.12,751400
2005-05-18,21.1,21.58,21.1,21.37,995800
2005-05-19,21.32,21.6,21.26,21.55,438000
2005-05-20,21.51,21.8,21.38,21.75,1028200
2005-05-23,21.7,21.98,21.67,21.92,698200
2005-05-24,21.88,21.98,21.78,21.84,953200
2005-05-25,21.92,21.95,21.75,21.84,852600
2005-05-26,21.82,22.62,21.82,22.55,3288000
2005-05-27,22.46,23.38,22.46,23.04,2320000
2005-05-31,23.1,23.16,22.94,23.03,3863400
2005-06-01,23.04,23.34,22.9,23.2,1314200
2005-06-02,23.27,23.46,23.18,23.3,1051000
2005-06-03,23.18,23.48,23.1,23.12,1005000
2005-06-06,23.04,23.06,22.9,23.0,898600
2005-06-07,22.95,23.24,22.94,23.14,1006000
2005-06-08,23.11,23.3,23.11,23.29,620400
2005-06-09,23.2,23.25,22.97,23.06,592000
2005-06-10,23.1,23.1,22.75,22.82,445400
