Date,Open,High,Low,Close,Volume
2005-01-03,38.93,38.93,36.9,37.2,4160100
2005-01-04,37.2,37.63,37.03,37.11,3047500
2005-01-05,37.12,37.35,36.53,36.6,4268700
2005-01-06,36.49,37.62,36.48,37.11,4270300
2005-01-07,37.09,37.22,36.65,37.01,2454800
2005-01-10,37.6,38.1,37.55,37.61,2595700
2005-01-11,38.15,38.29,37.75,37.89,3118500
2005-01-12,38.02,38.64,37.85,38.2,3544300
2005-01-13,38.35,38.91,38.0,38.07,3443000
2005-01-14,38.94,38.94,38.0,38.55,2550500
2005-01-18,39.0,39.49,38.96,39.4,2701300
2005-01-19,39.55,39.82,39.35,39.47,2025100
2005-01-20,39.18,39.61,38.71,39.26,2535100
2005-01-21,39.51,40.03,39.39,39.44,2331700
2005-01-24,39.84,39.95,39.63,39.63,1380200
2005-01-25,39.92,40.1,39.66,39.89,1938400
2005-01-26,39.97,40.53,39.63,40.53,2256200
2005-01-27,40.53,41.49,40.4,41.06,2512300
2005-01-28,41.07,41.07,40.0,40.14,2163600
2005-01-31,40.15,40.9,39.7,40.67,2305300
2005-02-01,40.9,41.52,40.8,41.52,2129200
2005-02-02,42.0,43.0,41.63,42.56,3768500
2005-02-03,42.16,42.36,41.33,41.44,2920100
2005-02-04,40.8,40.9,40.57,40.72,4126700
2005-02-07,40.47,40.6,39.82,40.21,2564700
2005-02-08,39.75,40.53,39.72,40.35,2872600
2005-02-09,40.26,40.93,39.9,40.45,2969800
2005-02-10,40.9,42.15,40.75,42.03,3142800
2005-02-11,42.03,42.57,41.76,42.46,2295000
2005-02-14,42.6,42.73,42.12,42.12,2406000
2005-02-15,42.13,42.52,41.92,42.12,2539700
2005-02-16,42.45,43.74,42.3,43.61,3222400
2005-02-17,43.89,43.99,42.52,42.59,3134600
2005-02-18,42.72,43.83,42.5,43.62,2780600
2005-02-22,44.2,45.05,44.02,44.05,4138800
2005-02-23,44.5,44.86,44.14,44.68,2323500
2005-02-24,44.95,45.99,44.66,45.95,3559400
2005-02-25,46.0,47.95,45.97,47.47,6013000
2005-02-28,47.98,48.85,45.0,46.79,5510400
2005-03-01,46.4,46.88,44.9,45.25,4377700
