Date,Open,High,Low,Close,Volume
2005-01-03,58.6,58.88,56.87,57.06,19771950
2005-01-04,57.32,57.38,55.25,55.66,22034758
2005-01-05,55.54,56.54,55.21,55.45,19798202
2005-01-06,55.85,55.98,52.78,53.09,42984798
2005-01-07,53.53,54.3,53.16,53.29,28260308
2005-01-10,53.65,54.29,52.95,53.66,22627932
2005-01-11,53.36,53.74,52.01,52.42,23411644
2005-01-12,52.38,53.7,50.9,53.62,47236960
2005-01-13,53.72,53.87,51.3,51.6,31434206
2005-01-14,51.98,52.83,51.61,52.6,25992526
2005-01-18,52.81,53.42,52.3,53.18,22099680
2005-01-19,53.86,53.88,51.44,51.52,49971386
2005-01-20,43.34,43.48,40.7,41.66,173343458
2005-01-21,42.62,44.04,42.21,43.02,95868302
2005-01-24,43.12,43.4,40.76,41.18,65505628
2005-01-25,41.63,42.3,39.7,40.02,66989762
2005-01-26,40.35,41.24,39.94,41.16,49209076
2005-01-27,41.38,41.88,40.84,41.35,34829298
2005-01-28,41.56,41.64,40.04,40.55,32051716
2005-01-31,41.08,41.38,40.51,40.75,25630342
2005-02-01,40.4,40.7,38.89,38.96,44758580
2005-02-02,39.26,39.95,38.28,39.4,55374862
2005-02-03,39.06,39.84,38.56,38.61,37352990
2005-02-04,38.43,38.55,37.46,37.94,53080884
2005-02-07,38.3,38.46,37.66,37.8,29909828
2005-02-08,37.98,39.42,37.9,39.26,43556612
2005-02-09,39.9,40.78,39.37,39.5,47287458
2005-02-10,40.0,40.8,38.48,40.61,54888750
2005-02-11,40.4,41.23,39.96,41.04,36701028
2005-02-14,40.5,42.16,40.5,42.16,29558442
2005-02-15,42.1,43.14,41.72,42.7,40908828
2005-02-16,42.42,43.14,42.38,43.04,24964856
2005-02-17,43.34,43.45,42.14,42.72,24684756
2005-02-18,42.79,42.84,42.21,42.46,19711063
2005-02-22,42.27,42.58,40.9,41.1,19618721
2005-02-23,41.71,42.0,41.2,41.84,17484849
2005-02-24,41.29,42.49,41.21,42.37,18690844
2005-02-25,42.42,43.04,41.99,42.24,12948378
2005-02-28,42.05,43.31,41.98,42.84,13610519
2005-03-01,42.85,43.07,42.08,42.58,14647602
2005-03-02,42.21,42.51,41.84,42.07,13927197
2005-03-03,42.39,42.58,40.9,41.49,17498341
2005-03-04,42.0,42.3,41.31,41.75,13760244
2005-03-07,41.43,42.14,41.07,41.89,16330439
2005-03-08,41.63,41.96,40.8,40.85,13667091
2005-03-09,40.17,40.87,39.81,39.9,16863841
2005-03-10,39.88,40.16,38.69,38.86,21308684
2005-03-11,39.1,39.3,38.11,38.25,17573933
2005-03-14,37.79,37.88,35.95,36.48,43327117
2005-03-15,36.87,37.72,36.79,37.07,24144642
2005-03-16,36.75,37.35,36.24,36.48,17877329
2005-03-17,36.4,36.83,36.06,36.12,12337199
2005-03-18,35.95,36.12,35.0,35.01,33621221
2005-03-21,35.28,36.41,35.2,36.13,21622408
2005-03-22,36.48,36.95,35.72,35.88,24203265
2005-03-23,35.69,36.44,35.55,35.92,16448645
2005-03-24,36.26,36.57,35.45,35.5,13581087
2005-03-28,35.61,36.49,35.56,35.91,16760804
2005-03-29,36.0,36.61,35.57,36.1,16621032
2005-03-30,36.46,37.74,36.26,37.69,24540986
2005-03-31,37.91,38.32,37.09,37.26,17452319
2005-04-01,37.74,37.86,36.54,37.07,18884156
2005-04-04,36.85,38.28,36.6,38.16,18402403
2005-04-05,38.6,38.75,37.75,38.28,17269331
2005-04-06,38.54,38.61,37.05,37.17,15659501
2005-04-07,37.1,37.35,35.33,36.14,26602558
2005-04-08,36.23,36.32,35.04,35.16,19527397
2005-04-11,35.25,35.41,33.8,33.97,26110542
2005-04-12,33.69,33.85,31.95,33.66,58165338
2005-04-13,33.83,34.27,32.71,32.79,27097453
2005-04-14,33.1,33.41,32.59,32.99,19922852
2005-04-15,32.64,33.38,31.9,31.97,23223794
2005-04-18,31.87,32.89,31.58,32.6,22966053
2005-04-19,33.07,33.17,31.6,32.17,26936906
2005-04-20,32.69,33.5,32.49,33.11,44900728
2005-04-21,33.67,33.81,31.21,33.08,66430286
2005-04-22,32.77,33.12,31.25,31.51,30117162
2005-04-25,31.44,31.81,30.87,31.55,29384722
2005-04-26,31.17,31.58,30.85,31.14,21574398
2005-04-27,30.84,31.75,30.78,31.48,23377685
2005-04-28,31.22,32.27,31.2,31.8,21824118
2005-04-29,32.28,32.45,31.2,31.71,18490621
2005-05-02,31.49,31.95,31.38,31.52,13817718
2005-05-03,31.55,32.4,31.39,32.17,17098728
2005-05-04,32.36,34.52,32.27,34.47,33612219
2005-05-05,34.11,34.51,33.61,33.91,17484168
2005-05-06,34.31,34.76,33.6,33.79,29681223
