Date,Open,High,Low,Close,Volume
2005-01-03,35.0,35.08,34.52,34.6,650000
2005-01-04,34.6,34.65,33.86,34.16,883700
2005-01-05,34.2,34.58,33.82,33.83,763000
2005-01-06,33.71,34.25,33.71,33.93,498500
2005-01-07,33.91,34.05,33.62,33.73,693800
2005-01-10,33.7,34.28,33.7,34.03,570600
2005-01-11,33.99,34.03,33.57,33.75,607000
2005-01-12,33.61,33.82,33.36,33.66,833000
2005-01-13,33.7,33.82,33.15,33.24,797700
2005-01-14,33.46,33.73,33.38,33.66,754000
2005-01-18,33.43,34.23,33.42,34.21,885000
2005-01-19,34.08,34.43,34.08,34.26,561300
2005-01-20,34.15,34.39,34.0,34.13,656000
2005-01-21,34.13,34.27,33.58,33.7,1055700
2005-01-24,33.7,33.86,33.34,33.41,632800
2005-01-25,33.65,33.7,33.38,33.48,654700
2005-01-26,33.54,33.69,33.36,33.63,846200
2005-01-27,33.6,33.64,33.4,33.53,755800
2005-01-28,33.35,33.7,33.35,33.55,632000
2005-01-31,33.78,33.95,33.58,33.65,797300
2005-02-01,33.65,33.99,33.51,33.92,863400
2005-02-02,33.75,34.0,33.6,33.91,566600
2005-02-03,33.68,33.77,33.03,33.3,1962600
2005-02-04,33.35,33.64,33.3,33.57,787600
2005-02-07,32.84,33.57,32.0,32.93,1693000
2005-02-08,32.99,33.1,32.62,32.94,1054900
2005-02-09,32.81,32.81,32.16,32.23,1198100
2005-02-10,32.3,32.82,32.17,32.74,1182500
2005-02-11,32.75,33.29,32.45,32.95,1003600
2005-02-14,32.92,32.97,32.79,32.81,787500
2005-02-15,32.73,32.81,32.48,32.58,955500
2005-02-16,32.58,32.58,32.09,32.14,1226500
2005-02-17,32.14,32.17,31.63,31.63,1578500
2005-02-18,31.68,31.84,31.59,31.81,1336900
2005-02-22,31.8,32.07,31.39,31.5,1421600
2005-02-23,31.49,31.91,31.48,31.66,1298700
2005-02-24,31.64,31.8,31.41,31.57,1075700
2005-02-25,31.4,31.79,31.37,31.66,1111800
2005-02-28,31.53,31.84,31.2,31.71,1230700
2005-03-01,31.91,32.09,31.62,31.88,1279500
2005-03-02,31.88,32.03,31.51,31.88,971700
2005-03-03,32.1,32.25,31.91,32.13,1171300
2005-03-04,33.2,33.25,32.75,33.09,1408100
2005-03-07,32.99,33.15,32.86,32.89,844100
2005-03-08,32.95,33.06,32.57,32.65,676400
2005-03-09,32.65,32.87,32.55,32.57,747900
2005-03-10,32.58,32.78,32.45,32.55,887200
