Date,Open,High,Low,Close,Volume
2005-01-03,32.09,32.27,31.6,31.76,1582700
2005-01-04,32.0,32.34,31.58,31.68,1117800
2005-01-05,31.88,31.88,31.05,31.17,1834800
2005-01-06,31.02,31.3,30.97,31.18,1039500
2005-01-07,31.24,31.55,30.93,30.95,653300
2005-01-10,31.05,31.48,30.94,31.01,1649700
2005-01-11,31.07,31.11,30.64,30.71,1284400
2005-01-12,30.75,30.94,30.43,30.79,1030400
2005-01-13,30.54,31.32,30.54,30.94,985000
2005-01-14,31.05,31.25,30.83,31.2,864500
2005-01-18,31.24,31.74,31.19,31.51,1323200
2005-01-19,31.51,31.92,31.51,31.64,757000
2005-01-20,31.75,31.75,31.33,31.57,887400
2005-01-21,31.5,31.72,31.45,31.6,1095400
2005-01-24,31.59,32.11,31.57,31.95,1260900
2005-01-25,31.95,32.25,31.69,31.71,1035900
2005-01-26,31.92,31.98,31.57,31.89,1160300
2005-01-27,31.8,32.19,31.65,32.07,883500
2005-01-28,31.98,32.09,31.59,31.99,920300
2005-01-31,32.15,32.55,32.05,32.47,1124500
2005-02-01,32.85,32.98,32.22,32.22,1746600
2005-02-02,32.48,32.67,32.34,32.45,1084500
2005-02-03,32.45,32.54,32.23,32.47,713300
2005-02-04,32.3,32.9,32.3,32.9,977900
2005-02-07,32.86,32.86,32.48,32.52,897100
2005-02-08,32.74,33.0,32.59,32.66,1091700
2005-02-09,32.69,32.75,32.44,32.51,628500
2005-02-10,32.5,32.61,32.4,32.56,1099900
2005-02-11,32.58,32.76,32.42,32.68,1310800
2005-02-14,32.77,33.1,32.76,33.0,1241400
2005-02-15,33.1,33.15,32.55,32.73,1246700
2005-02-16,32.61,33.0,32.42,32.92,1061700
2005-02-17,32.99,33.0,32.66,32.79,775100
2005-02-18,33.0,33.1,32.39,32.5,1612500
2005-02-22,32.51,32.51,31.5,31.5,1827100
2005-02-23,31.75,32.01,31.7,31.95,2045700
2005-02-24,32.0,32.11,31.86,32.02,1457600
2005-02-25,32.05,32.77,32.05,32.69,978700
2005-02-28,32.75,32.88,32.44,32.48,1780600
2005-03-01,32.48,32.79,32.35,32.52,1789700
2005-03-02,32.4,32.77,32.1,32.35,1206500
2005-03-03,32.4,32.75,32.15,32.31,1352400
2005-03-04,32.5,33.19,32.44,32.99,2384800
2005-03-07,33.17,33.94,33.13,33.7,3599400
2005-03-08,33.77,33.77,33.27,33.35,1455200
2005-03-09,33.24,33.59,32.93,33.32,1753400
2005-03-10,33.4,33.93,33.08,33.9,2160000
2005-03-11,34.0,34.95,33.51,33.57,1974100
2005-03-14,33.58,34.14,33.4,33.85,2205600
2005-03-15,34.15,34.33,33.55,33.55,2275700
2005-03-16,33.5,33.81,33.04,33.58,2487500
2005-03-17,33.73,34.16,33.4,33.84,2373600
2005-03-18,33.9,34.23,33.8,34.23,2964800
2005-03-21,34.23,34.87,34.12,34.75,2399700
2005-03-22,34.76,34.8,33.92,34.08,1740200
2005-03-23,33.99,34.3,33.11,34.13,2538700
2005-03-24,34.19,34.75,34.14,34.6,1081200
