Date,Open,High,Low,Close,Volume
2005-01-03,22.9,22.98,22.76,22.8,1114400
2005-01-04,22.74,22.8,22.27,22.34,1829600
2005-01-05,22.25,22.26,21.84,21.91,2576800
2005-01-06,22.0,22.32,21.92,22.2,3028000
2005-01-07,22.18,22.42,22.1,22.4,1687400
2005-01-10,22.36,22.56,22.26,22.5,1518200
2005-01-11,22.48,22.56,22.4,22.51,1792800
2005-01-12,22.46,22.64,22.46,22.64,1456600
2005-01-13,22.64,22.75,22.54,22.62,1366000
2005-01-14,22.62,22.92,22.62,22.8,1561400
2005-01-18,22.76,23.24,22.7,23.19,1465000
2005-01-19,23.18,23.24,23.07,23.12,728000
2005-01-20,23.13,23.33,23.12,23.16,1643400
2005-01-21,23.21,23.32,22.92,22.92,1385600
2005-01-24,22.93,22.97,22.7,22.82,936600
2005-01-25,22.8,22.94,22.68,22.7,1154200
2005-01-26,22.72,22.78,22.48,22.68,1807200
2005-01-27,22.72,22.89,21.95,22.68,2430800
2005-01-28,23.02,23.75,23.02,23.4,3444800
2005-01-31,23.5,23.54,22.3,22.57,4001400
2005-02-01,22.57,22.75,22.44,22.55,2441600
2005-02-02,22.5,22.86,22.48,22.83,1097000
2005-02-03,22.7,22.79,22.25,22.5,1835000
2005-02-04,22.5,22.7,22.42,22.7,2205600
2005-02-07,22.65,22.74,22.23,22.26,1800600
2005-02-08,22.0,22.08,21.68,21.85,5259400
2005-02-09,22.05,22.15,21.71,21.85,3257000
2005-02-10,21.75,21.8,21.5,21.61,3141000
2005-02-11,21.52,21.65,21.35,21.52,2231400
2005-02-14,21.98,22.17,21.82,21.95,3384600
2005-02-15,22.08,22.42,21.95,22.35,3069800
2005-02-16,22.25,22.37,22.0,22.24,1534000
2005-02-17,22.5,22.57,22.27,22.35,1993400
2005-02-18,22.3,22.42,22.09,22.19,1251800
2005-02-22,22.2,22.22,21.78,21.78,1638400
2005-02-23,22.18,22.18,21.88,22.0,1602400
2005-02-24,22.04,22.2,21.99,22.19,987000
2005-02-25,22.2,22.25,22.06,22.08,1018400
2005-02-28,22.08,22.12,21.92,21.99,1287000
2005-03-01,22.02,22.2,21.94,21.97,1948200
2005-03-02,21.9,21.9,21.1,21.36,4680400
2005-03-03,21.36,21.49,21.35,21.44,3202000
2005-03-04,21.54,21.65,21.49,21.5,2632800
2005-03-07,21.5,21.84,21.5,21.65,1688200
2005-03-08,21.64,21.72,21.54,21.7,2356200
2005-03-09,21.58,21.64,21.22,21.35,3856800
2005-03-10,21.5,21.52,20.92,21.08,8347800
2005-03-11,21.25,21.44,21.21,21.34,2456400
2005-03-14,21.4,21.7,21.35,21.7,2785200
2005-03-15,21.93,22.9,21.93,22.21,8292000
2005-03-16,22.18,22.25,22.08,22.16,1890400
2005-03-17,22.2,22.24,21.89,22.0,1678000
2005-03-18,21.95,22.0,21.66,21.7,1593800
2005-03-21,21.7,21.94,21.7,21.88,1496600
2005-03-22,21.93,22.0,21.58,21.62,1485800
2005-03-23,21.47,22.27,21.46,22.2,2563600
2005-03-24,23.2,23.2,22.4,22.5,3193600
2005-03-28,22.24,22.6,22.12,22.45,1613400
2005-03-29,22.46,22.56,22.09,22.15,1390600
2005-03-30,22.22,22.58,22.22,22.52,997800
2005-03-31,22.53,22.62,22.44,22.49,1083200
2005-04-01,22.75,22.76,22.36,22.46,1592800
2005-04-04,22.4,22.58,22.36,22.5,1151200
2005-04-05,22.55,22.58,22.27,22.45,954200
2005-04-06,22.55,22.57,22.32,22.49,1302800
2005-04-07,22.49,22.62,22.35,22.54,1248600
2005-04-08,22.46,22.6,22.44,22.6,1686800
2005-04-11,22.72,22.8,22.45,22.64,1126400
2005-04-12,22.68,22.92,22.4,22.84,1564800
2005-04-13,22.8,22.92,22.15,22.26,2035000
2005-04-14,22.42,22.53,22.18,22.2,1051000
2005-04-15,22.28,22.37,21.85,21.85,1134200
2005-04-18,21.9,21.98,21.58,21.87,1107800
2005-04-19,21.85,21.87,21.46,21.51,2323000
2005-04-20,21.52,21.52,20.95,21.08,1908200
2005-04-21,21.13,21.24,20.93,21.1,2215400
2005-04-22,21.12,21.29,20.86,20.92,2249000
2005-04-25,21.09,21.38,21.0,21.15,2545200
2005-04-26,21.15,21.15,20.82,20.82,1782600
2005-04-27,20.7,20.78,20.0,20.7,2899000
2005-04-28,19.62,19.8,18.74,18.88,12618000
2005-04-29,18.95,19.22,18.68,19.2,6431000
2005-05-02,19.33,19.35,19.04,19.18,7539400
2005-05-03,19.18,19.18,18.88,19.05,4531600
2005-05-04,19.05,19.1,18.84,18.9,3810600
2005-05-05,18.92,19.1,18.84,18.96,3727000
2005-05-06,18.84,19.01,18.68,18.81,2837800
2005-05-09,18.81,19.0,18.59,18.93,3316800
2005-05-10,18.93,18.98,18.75,18.8,3252000
2005-05-11,18.63,18.82,18.44,18.68,3266000
2005-05-12,18.7,18.74,18.58,18.64,3336200
2005-05-13,18.63,18.71,18.42,18.5,2960600
2005-05-16,18.42,18.67,18.42,18.58,2704600
2005-05-17,18.5,18.8,18.46,18.8,2780800
2005-05-18,18.9,19.8,18.87,19.65,4290800
2005-05-19,19.72,19.8,19.52,19.65,2535600
2005-05-20,19.68,20.02,19.62,20.02,2456000
2005-05-23,19.55,19.89,19.55,19.75,2187800
2005-05-24,19.73,19.73,19.44,19.62,1629400
