Date,Open,High,Low,Close,Volume
2005-01-03,28.72,28.88,28.44,28.65,1915400
2005-01-04,26.88,27.64,26.06,26.1,9916400
2005-01-05,26.12,26.25,25.33,25.8,4926400
2005-01-06,25.8,26.58,25.8,26.34,3350200
2005-01-07,26.37,26.44,26.08,26.13,1722200
2005-01-10,26.16,26.3,26.08,26.18,1461200
2005-01-11,26.18,26.24,25.76,25.96,1083000
2005-01-12,25.96,26.03,25.62,25.96,1398400
2005-01-13,25.96,26.12,25.72,25.76,1157200
2005-01-14,25.77,25.85,25.58,25.7,1844800
2005-01-18,25.49,25.84,25.24,25.63,2761200
2005-01-19,25.7,26.11,25.59,25.9,1494000
2005-01-20,25.9,26.4,25.88,26.39,2253400
2005-01-21,26.54,26.72,26.5,26.62,2279400
2005-01-24,26.63,26.8,26.41,26.49,1912800
2005-01-25,26.58,26.86,26.44,26.5,2178000
2005-01-26,26.58,26.73,26.48,26.62,802000
2005-01-27,27.15,27.18,26.67,26.78,2266400
2005-01-28,26.78,26.78,26.36,26.5,1755200
2005-01-31,26.85,27.2,26.8,27.08,2221400
2005-02-01,27.12,27.17,26.69,26.72,2541000
2005-02-02,26.91,27.02,26.9,26.96,2111600
2005-02-03,26.94,27.07,26.82,26.95,1931400
2005-02-04,26.98,27.1,26.9,27.1,2022000
2005-02-07,27.17,27.25,27.06,27.18,1454200
2005-02-08,27.24,27.24,26.98,27.1,1057600
2005-02-09,27.1,27.1,26.88,26.99,823000
2005-02-10,27.02,27.27,26.88,27.19,1307800
2005-02-11,27.25,27.86,27.14,27.76,1236400
2005-02-14,27.75,27.8,27.64,27.7,950600
2005-02-15,27.72,28.16,27.69,28.16,1061600
2005-02-16,28.0,28.3,27.92,28.2,725800
2005-02-17,28.12,28.36,28.1,28.19,802600
2005-02-18,28.21,28.49,28.2,28.32,961800
2005-02-22,28.3,28.47,28.06,28.28,1326200
2005-02-23,28.2,28.5,28.18,28.47,1648400
2005-02-24,28.5,28.92,28.21,28.92,1307200
2005-02-25,28.74,29.16,28.5,29.16,1240800
2005-02-28,29.0,29.2,28.7,28.87,1099400
2005-03-01,28.94,29.44,28.94,29.18,1254200
2005-03-02,28.86,29.13,28.72,28.98,922000
2005-03-03,29.08,29.22,28.95,29.09,1117400
2005-03-04,29.25,29.63,29.25,29.57,1335400
2005-03-07,29.45,29.62,29.33,29.58,1076200
2005-03-08,29.4,29.64,29.4,29.56,1158800
2005-03-09,30.0,30.9,30.0,30.68,2896600
2005-03-10,30.64,30.79,29.98,30.44,2001400
2005-03-11,30.3,30.76,30.3,30.5,1000000
2005-03-14,30.55,30.78,30.26,30.47,1246600
2005-03-15,30.5,30.62,30.36,30.4,914200
2005-03-16,30.3,30.35,29.51,29.61,1714200
2005-03-17,29.61,30.02,29.55,30.0,1460200
2005-03-18,29.98,30.48,29.95,30.48,1560800
2005-03-21,30.52,30.52,30.02,30.18,1037600
2005-03-22,30.18,30.58,30.06,30.14,972200
2005-03-23,29.95,30.03,29.74,29.79,1478000
2005-03-24,29.92,30.09,29.78,29.86,635400
2005-03-28,29.91,30.05,29.64,29.69,908200
2005-03-29,29.7,29.9,29.07,29.16,1326200
2005-03-30,29.26,29.58,29.13,29.58,1679200
2005-03-31,29.56,29.82,29.44,29.5,1539200
2005-04-01,29.62,29.86,29.4,29.56,1648600
2005-04-04,29.35,29.52,29.2,29.37,1539600
2005-04-05,29.38,29.56,29.3,29.42,792600
2005-04-06,29.5,29.62,29.38,29.52,1057600
