Date,Open,High,Low,Close,Volume
2005-01-03,35.1,35.1,34.28,34.35,2713000
2005-01-04,34.42,34.48,33.92,33.95,3658400
2005-01-05,33.92,34.11,33.63,33.64,3075400
2005-01-06,33.6,34.22,33.55,33.86,3446600
2005-01-07,33.88,33.96,33.3,33.56,2222200
2005-01-10,33.55,33.84,33.35,33.64,2412400
2005-01-11,34.0,34.34,33.9,33.92,4854800
2005-01-12,33.85,33.9,33.15,33.8,3329000
2005-01-13,33.8,33.81,33.25,33.4,1769800
2005-01-14,33.5,34.04,33.48,33.9,2141800
2005-01-18,33.7,34.2,33.44,34.06,2954800
2005-01-19,34.12,34.12,33.62,33.66,2347600
2005-01-20,33.58,33.6,33.0,33.02,2503000
2005-01-21,32.89,33.1,32.6,32.6,3491600
2005-01-24,32.68,32.92,32.42,32.54,2713200
2005-01-25,32.66,33.1,32.56,33.0,2308000
2005-01-26,33.08,33.29,32.96,33.06,2424800
2005-01-27,32.75,33.03,32.46,32.83,3365000
2005-01-28,32.94,33.16,32.65,32.7,3628400
2005-01-31,33.05,33.71,32.98,33.62,3158400
2005-02-01,33.62,34.41,33.31,34.2,4856000
2005-02-02,34.21,34.3,33.86,34.04,2727400
2005-02-03,34.0,34.28,33.94,34.24,2239800
2005-02-04,34.12,34.5,34.08,34.36,2668800
2005-02-07,34.35,34.48,34.14,34.16,2115800
2005-02-08,34.08,34.61,34.04,34.35,2071400
2005-02-09,34.24,34.24,33.66,33.83,2412200
2005-02-10,33.94,34.06,33.76,33.86,1979000
2005-02-11,33.86,34.26,33.78,34.12,2757800
2005-02-14,34.12,34.26,33.8,33.91,1906200
2005-02-15,33.92,34.22,33.81,34.0,1863800
2005-02-16,33.95,34.34,33.72,34.09,2115800
2005-02-17,34.0,34.06,33.46,33.48,3084200
2005-02-18,33.58,33.68,33.35,33.46,3022200
2005-02-22,33.52,33.62,32.7,32.76,2997000
2005-02-23,32.84,33.08,32.76,32.76,2362600
2005-02-24,32.83,33.28,32.68,33.22,2257600
2005-02-25,33.12,33.49,32.96,33.36,2425400
2005-02-28,33.38,33.68,33.04,33.16,2364800
2005-03-01,33.22,33.45,32.98,33.04,3222800
2005-03-02,32.95,33.27,32.7,33.12,2279600
2005-03-03,33.12,33.3,32.98,33.01,2749800
2005-03-04,33.3,33.56,33.12,33.43,2853000
2005-03-07,33.55,34.06,33.54,33.72,2581000
2005-03-08,33.72,33.92,33.59,33.77,2354200
2005-03-09,33.77,33.99,33.59,33.61,2480400
2005-03-10,33.46,34.0,33.44,33.76,2000000
2005-03-11,33.72,33.96,33.5,33.58,2253600
2005-03-14,33.61,34.15,33.61,33.99,2018000
2005-03-15,33.98,34.16,33.45,33.45,2117600
2005-03-16,33.34,33.44,32.94,33.07,2122400
2005-03-17,33.25,33.4,32.96,33.18,1982800
2005-03-18,33.18,33.26,32.82,33.01,3429600
2005-03-21,33.01,33.5,32.98,33.36,2477000
2005-03-22,33.42,33.75,33.18,33.2,2281400
2005-03-23,33.18,33.38,32.9,32.96,2657000
2005-03-24,33.02,33.36,33.0,33.1,2183800
2005-03-28,33.11,33.32,33.0,33.01,2021200
2005-03-29,32.76,32.94,31.96,32.11,4194000
2005-03-30,32.24,32.67,32.03,32.44,3736000
2005-03-31,32.58,32.9,32.3,32.46,2582800
2005-04-01,32.55,32.78,31.76,31.98,4046200
2005-04-04,32.05,32.16,31.71,31.86,2759600
2005-04-05,32.05,32.68,32.02,32.6,4838800
2005-04-06,32.72,32.84,32.17,32.32,3284200
2005-04-07,32.44,33.28,32.44,33.06,3271600
2005-04-08,33.19,33.22,32.6,32.62,1838800
2005-04-11,32.62,32.79,32.44,32.62,2315400
2005-04-12,32.52,32.84,32.1,32.66,2535800
2005-04-13,32.67,32.77,32.18,32.24,2407200
2005-04-14,32.26,32.3,31.7,31.84,3487000
2005-04-15,31.8,31.84,31.14,31.24,4522200
2005-04-18,31.36,31.52,31.06,31.31,2832800
2005-04-19,31.34,31.7,31.27,31.58,2230400
2005-04-20,31.68,32.02,31.34,31.36,3098000
2005-04-21,31.78,32.6,31.53,32.34,3582000
2005-04-22,32.34,32.5,31.78,32.09,2930400
2005-04-25,32.38,32.74,32.16,32.3,2500800
2005-04-26,32.3,32.3,31.4,31.6,4660400
2005-04-27,31.48,31.6,31.14,31.44,3521200
2005-04-28,31.15,31.28,30.34,30.68,5875800
2005-04-29,30.88,31.55,30.68,31.34,5243800
2005-05-02,31.55,32.0,31.51,32.0,3314200
2005-05-03,32.21,33.0,32.01,32.95,6377400
2005-05-04,33.1,33.5,33.02,33.5,5035800
2005-05-05,33.5,33.84,33.1,33.31,3602400
2005-05-06,33.44,33.64,33.21,33.43,1997600
2005-05-09,33.3,33.69,33.28,33.69,1778000
2005-05-10,33.5,33.54,33.15,33.26,2103200
2005-05-11,33.06,33.35,32.92,33.29,2070800
2005-05-12,33.25,33.44,32.88,33.02,2912200
2005-05-13,33.02,33.18,32.5,32.7,2115000
2005-05-16,32.9,33.25,32.84,33.17,1914200
2005-05-17,32.94,33.36,32.84,33.32,2266400
2005-05-18,33.5,34.06,33.4,33.92,2596800
2005-05-19,34.12,34.12,33.6,33.9,2124000
2005-05-20,33.9,33.94,33.53,33.7,2525400
2005-05-23,33.8,34.3,33.7,34.0,1988800
2005-05-24,33.96,34.08,33.8,33.9,1859800
