Date,Open,High,Low,Close,Volume
2005-01-03,17.84,17.84,16.54,16.64,12028400
2005-01-04,16.68,16.85,16.32,16.38,11683200
2005-01-05,16.38,16.48,16.02,16.24,7855200
2005-01-06,16.24,16.75,16.05,16.48,8714800
2005-01-07,16.49,16.49,16.15,16.37,4044400
2005-01-10,16.55,16.86,16.53,16.63,4525600
2005-01-11,16.71,16.82,16.52,16.74,4511600
2005-01-12,16.76,17.0,16.52,16.95,6363200
2005-01-13,17.04,17.33,16.95,17.14,5078800
2005-01-14,17.14,17.53,17.07,17.49,3964400
2005-01-18,17.7,18.0,17.7,17.9,7363600
2005-01-19,17.9,18.06,17.71,17.72,3413600
2005-01-20,17.62,17.9,17.4,17.78,5607200
2005-01-21,18.11,18.12,17.85,17.91,5141200
2005-01-24,18.04,18.14,18.02,18.03,5111200
2005-01-25,18.1,18.22,17.87,17.98,3914800
2005-01-26,18.09,18.27,17.95,18.24,4443600
2005-01-27,18.24,18.6,18.18,18.39,3816000
2005-01-28,18.4,18.52,18.26,18.5,5884000
2005-01-31,18.5,18.7,18.32,18.56,6724800
2005-02-01,18.69,19.02,18.68,18.99,5659200
2005-02-02,19.0,19.16,18.92,19.16,4858000
2005-02-03,19.62,19.68,18.98,19.32,8987600
2005-02-04,19.35,19.44,19.04,19.16,6324400
2005-02-07,19.16,19.25,18.95,19.24,5845600
2005-02-08,19.24,19.54,19.05,19.42,5128400
2005-02-09,19.39,19.79,19.17,19.56,5895600
2005-02-10,19.74,20.06,19.68,20.0,4697600
2005-02-11,20.0,20.4,19.88,20.31,6347200
2005-02-14,20.32,20.56,20.32,20.54,7238800
2005-02-15,20.54,20.72,20.36,20.54,4679600
2005-02-16,20.56,21.32,20.56,21.25,8237600
2005-02-17,21.36,21.41,20.82,20.89,8660800
2005-02-18,20.96,21.53,20.94,21.39,8029200
2005-02-22,21.56,22.08,21.56,21.65,9570000
2005-02-23,21.58,21.79,21.54,21.61,7083200
2005-02-24,21.72,22.08,21.62,22.08,6459600
2005-02-25,22.08,22.94,22.08,22.88,7640400
2005-02-28,22.92,23.32,22.3,22.78,10749200
