Date,Open,High,Low,Close,Volume
2005-01-03,30.23,30.26,29.44,29.58,624400
2005-01-04,29.52,29.66,29.3,29.35,631400
2005-01-05,29.35,29.48,29.21,29.24,598400
2005-01-06,29.24,29.94,29.22,29.74,479400
2005-01-07,29.74,29.74,29.29,29.42,452600
2005-01-10,29.5,29.7,29.39,29.49,655000
2005-01-11,29.49,29.58,29.27,29.44,582200
2005-01-12,29.49,29.64,29.28,29.56,706800
2005-01-13,29.64,29.8,29.23,29.25,637600
2005-01-14,29.26,29.34,29.1,29.22,554400
2005-01-18,29.32,29.48,29.13,29.25,1205600
2005-01-19,29.15,29.29,28.76,28.92,1041800
2005-01-20,28.82,28.84,28.38,28.55,1409600
2005-01-21,28.68,28.74,28.5,28.58,1149800
2005-01-24,28.71,28.71,28.38,28.4,912800
2005-01-25,28.47,28.76,28.16,28.22,919200
2005-01-26,28.28,28.46,28.0,28.16,1362800
2005-01-27,28.16,28.36,27.89,28.26,1048000
2005-01-28,28.26,28.36,27.9,28.31,944000
2005-01-31,28.31,28.66,28.21,28.52,706000
2005-02-01,28.55,28.96,28.55,28.84,673800
2005-02-02,28.88,29.12,28.69,28.82,883000
2005-02-03,28.8,28.96,28.56,28.91,690800
2005-02-04,28.96,29.06,28.78,29.05,595600
2005-02-07,29.02,29.19,28.74,28.97,381000
2005-02-08,28.93,29.02,28.75,28.91,727000
2005-02-09,28.91,29.06,28.66,28.7,605200
2005-02-10,28.88,28.92,28.58,28.84,467800
2005-02-11,28.69,28.89,28.48,28.72,470800
2005-02-14,28.8,29.03,28.74,29.0,522600
2005-02-15,29.05,29.22,28.98,29.16,374200
2005-02-16,29.26,29.6,29.14,29.59,371200
2005-02-17,29.64,29.7,29.34,29.42,558400
2005-02-18,29.46,29.73,29.44,29.53,624800
2005-02-22,29.67,29.9,29.57,29.58,823400
2005-02-23,29.62,29.72,29.33,29.46,974800
2005-02-24,29.54,29.55,29.24,29.51,672400
2005-02-25,29.64,29.94,29.58,29.75,1031200
2005-02-28,29.82,30.03,29.18,29.68,743000
2005-03-01,29.68,29.88,29.45,29.7,538400
2005-03-02,29.7,29.84,29.46,29.62,583400
2005-03-03,29.8,30.08,29.62,29.87,900200
2005-03-04,29.95,30.26,29.74,30.18,404200
2005-03-07,30.18,30.24,29.94,30.18,872200
2005-03-08,30.18,30.56,30.18,30.44,478400
2005-03-09,30.5,30.62,29.88,29.88,1006400
2005-03-10,29.88,29.88,29.32,29.58,386800
2005-03-11,29.45,29.83,29.43,29.51,484600
2005-03-14,29.57,30.11,29.49,30.04,672800
