Date,Open,High,Low,Close,Volume
2005-01-03,18.81,18.82,18.4,18.5,504300
2005-01-04,18.51,18.58,18.31,18.32,499500
2005-01-05,18.25,18.3,18.12,18.15,631700
2005-01-06,18.19,18.24,18.11,18.12,555300
2005-01-07,18.17,18.26,18.1,18.1,235700
2005-01-10,18.0,18.09,17.84,17.95,617200
2005-01-11,17.95,18.02,17.86,18.0,382200
2005-01-12,17.98,18.0,17.87,18.0,523900
2005-01-13,17.95,18.02,17.81,17.87,552000
2005-01-14,17.91,18.0,17.79,17.84,554700
2005-01-18,17.84,18.12,17.75,18.1,324500
2005-01-19,18.07,18.28,18.05,18.17,498500
2005-01-20,18.14,18.35,18.0,18.2,820400
2005-01-21,18.23,18.42,18.21,18.27,395000
2005-01-24,18.17,18.43,18.17,18.2,263300
2005-01-25,18.17,18.28,17.97,18.2,468000
2005-01-26,18.25,18.7,18.25,18.55,810400
2005-01-27,18.55,18.64,18.35,18.47,300800
2005-01-28,18.55,18.55,18.23,18.4,330100
2005-01-31,18.5,18.7,18.47,18.7,213200
2005-02-01,18.65,18.77,18.6,18.65,349500
2005-02-02,18.58,18.8,18.5,18.8,430400
2005-02-03,18.75,18.9,18.64,18.9,355100
2005-02-04,18.9,19.49,18.73,19.45,961100
2005-02-07,19.3,19.4,19.1,19.19,565000
2005-02-08,19.13,19.23,19.13,19.2,324700
2005-02-09,19.2,19.21,18.89,18.96,421500
2005-02-10,18.86,19.0,18.71,18.97,460300
2005-02-11,19.05,19.08,18.86,18.95,384900
2005-02-14,18.96,19.05,18.9,19.04,424800
2005-02-15,19.04,19.08,18.8,18.9,461900
2005-02-16,18.77,19.03,18.77,19.03,262400
2005-02-17,18.93,19.12,18.84,19.02,543700
2005-02-18,19.03,19.08,18.85,18.93,305600
2005-02-22,18.88,18.88,18.52,18.54,441800
2005-02-23,18.68,18.84,18.54,18.66,341400
2005-02-24,18.56,18.8,18.56,18.78,310600
2005-02-25,18.56,18.87,18.54,18.85,762800
2005-02-28,18.7,18.82,18.5,18.67,475300
2005-03-01,18.67,18.76,18.59,18.76,402200
2005-03-02,18.67,18.72,18.5,18.62,373600
2005-03-03,18.62,18.73,18.39,18.51,453800
2005-03-04,18.55,18.75,18.5,18.75,321800
2005-03-07,18.65,18.98,18.65,18.88,315800
2005-03-08,18.78,19.1,18.78,18.93,520800
2005-03-09,18.9,18.95,18.67,18.67,411900
2005-03-10,18.62,19.2,18.62,19.06,901500
2005-03-11,19.11,19.5,19.11,19.25,757200
2005-03-14,18.7,19.28,18.64,19.07,1037000
2005-03-15,19.12,19.17,18.88,18.96,522100
2005-03-16,18.86,19.0,18.72,18.78,277200
2005-03-17,18.8,19.05,18.74,18.98,424200
2005-03-18,18.95,19.05,18.86,18.95,677700
2005-03-21,18.9,19.05,18.89,19.03,359900
2005-03-22,18.93,19.11,18.74,18.75,411900
2005-03-23,18.74,18.76,18.54,18.54,578200
2005-03-24,18.57,18.9,18.57,18.71,292400
2005-03-28,18.71,18.95,18.7,18.82,286400
2005-03-29,18.7,18.95,18.7,18.7,483300
2005-03-30,18.75,18.93,18.75,18.87,301000
2005-03-31,18.9,19.45,18.85,19.27,634700
2005-04-01,19.42,19.45,19.08,19.28,376300
2005-04-04,19.2,19.3,19.06,19.26,344500
2005-04-05,19.26,19.48,19.22,19.37,300000
2005-04-06,19.38,19.38,19.11,19.14,369300
2005-04-07,19.1,19.1,18.95,19.03,463400
2005-04-08,19.03,19.03,18.92,18.96,263200
2005-04-11,18.96,19.03,18.81,18.98,458900
2005-04-12,18.93,19.19,18.82,19.15,356300
2005-04-13,19.16,19.16,18.92,19.1,405300
2005-04-14,19.05,19.11,18.85,18.9,449000
2005-04-15,18.9,18.9,18.53,18.53,333600
2005-04-18,18.48,18.62,18.36,18.47,507300
2005-04-19,18.5,18.68,18.38,18.68,278700
2005-04-20,18.64,18.68,18.39,18.39,494800
2005-04-21,18.5,18.7,18.42,18.68,507800
2005-04-22,18.72,18.77,18.55,18.7,372900
2005-04-25,18.69,18.75,18.65,18.68,278800
2005-04-26,18.68,18.68,18.47,18.56,470500
2005-04-27,18.46,18.64,18.3,18.45,439200
2005-04-28,18.46,18.51,18.11,18.11,403500
2005-04-29,18.27,18.4,18.02,18.31,573900
2005-05-02,18.95,19.0,18.62,18.72,1094000
2005-05-03,18.7,18.7,18.5,18.7,894800
2005-05-04,18.7,18.86,18.65,18.83,483800
2005-05-05,18.74,18.9,18.67,18.9,596300
2005-05-06,18.95,19.0,18.83,18.87,563700
2005-05-09,18.8,18.9,18.7,18.85,517200
2005-05-10,18.65,19.02,18.62,19.01,434200
2005-05-11,18.94,19.36,18.86,19.35,691800
2005-05-12,19.28,19.4,19.17,19.17,559100
2005-05-13,19.18,19.26,18.85,19.05,757900
2005-05-16,19.09,19.31,18.85,19.27,780100
2005-05-17,19.25,19.33,19.1,19.3,585800
2005-05-18,19.42,19.45,19.26,19.35,361100
2005-05-19,19.35,19.39,19.13,19.24,424700
2005-05-20,19.24,19.3,19.16,19.29,456000
2005-05-23,19.25,19.33,19.22,19.31,613800
2005-05-24,19.3,19.37,19.21,19.28,549700
2005-05-25,19.29,19.43,19.2,19.33,522400
2005-05-26,19.5,19.9,19.49,19.85,1074500
2005-05-27,19.85,19.91,19.62,19.74,412600
2005-05-31,19.73,19.88,19.69,19.81,765600
2005-06-01,19.75,20.05,19.74,19.95,696700
2005-06-02,19.83,19.98,19.8,19.9,354200
2005-06-03,19.95,20.0,19.86,19.92,489400
2005-06-06,19.95,19.99,19.79,19.98,339000
2005-06-07,19.98,20.14,19.85,20.03,501300
2005-06-08,20.02,20.15,19.96,20.02,297000
2005-06-09,19.95,20.1,19.85,20.1,410900
2005-06-10,20.28,20.7,20.28,20.57,896900
2005-06-13,20.55,20.97,20.47,20.85,516700
2005-06-14,20.8,20.95,20.65,20.72,725300
2005-06-15,20.72,20.94,20.59,20.93,821300
2005-06-16,20.87,20.91,20.68,20.85,460400
2005-06-17,20.95,21.22,20.82,21.22,739700
2005-06-20,21.14,21.22,21.04,21.17,657900
2005-06-21,21.17,21.17,20.89,20.93,784300
2005-06-22,21.05,21.15,20.82,21.0,740900
2005-06-23,21.0,21.13,20.96,21.11,350400
2005-06-24,21.0,21.0,20.71,20.72,432400
2005-06-27,20.72,20.97,20.65,20.85,505700
2005-06-28,20.95,21.0,20.87,20.9,536600
2005-06-29,20.98,20.98,20.83,20.97,344400
2005-06-30,20.99,21.03,20.86,20.86,588600
2005-07-01,20.9,21.05,20.89,20.99,436300
