Date,Open,High,Low,Close,Volume
2005-01-03,9.54,9.64,9.42,9.5,5411384
2005-01-04,9.49,9.57,9.4,9.45,7358504
2005-01-05,9.45,9.63,9.44,9.52,8929736
2005-01-06,9.57,9.72,9.55,9.55,7640824
2005-01-07,9.54,9.64,9.5,9.6,2952152
2005-01-10,9.58,9.78,9.57,9.62,9249112
2005-01-11,9.53,9.59,9.46,9.5,5013544
2005-01-12,9.57,9.78,9.54,9.74,8407480
2005-01-13,9.71,9.78,9.67,9.71,5303896
2005-01-14,9.69,9.8,9.6,9.67,5380952
2005-01-18,9.62,9.72,9.56,9.69,5364800
2005-01-19,9.72,9.72,9.55,9.56,4531064
2005-01-20,9.58,9.64,9.43,9.46,6598520
2005-01-21,9.4,9.45,9.2,9.23,8466384
2005-01-24,9.24,9.31,9.16,9.26,4655232
2005-01-25,9.29,9.3,9.14,9.15,4756784
2005-01-26,9.19,9.35,9.17,9.29,3132288
2005-01-27,9.28,9.5,9.23,9.33,5287096
2005-01-28,9.31,9.34,9.13,9.2,5127504
2005-01-31,9.2,9.32,9.2,9.27,2817536
2005-02-01,9.31,9.52,9.28,9.5,7048552
2005-02-02,9.47,9.54,9.42,9.52,4207176
2005-02-03,9.49,9.52,9.32,9.42,4638288
2005-02-04,9.38,9.55,9.34,9.55,3393064
2005-02-07,9.54,9.62,9.42,9.46,4565696
2005-02-08,9.48,9.57,9.38,9.4,3077576
2005-02-09,9.38,9.41,9.18,9.24,6548920
2005-02-10,9.24,9.32,9.22,9.25,3024792
2005-02-11,9.24,9.4,9.21,9.32,3854360
2005-02-14,9.3,9.44,9.3,9.43,4245168
2005-02-15,9.45,9.6,9.41,9.56,3627216
2005-02-16,9.58,9.72,9.55,9.66,6819704
2005-02-17,9.66,9.66,9.5,9.59,3937352
2005-02-18,9.58,9.68,9.55,9.61,3520168
2005-02-22,9.55,9.58,9.26,9.3,5664016
2005-02-23,9.31,9.53,9.19,9.47,5843496
2005-02-24,9.44,9.64,9.41,9.64,4624928
2005-02-25,9.6,9.66,9.55,9.59,3203136
