Date,Open,High,Low,Close,Volume
2005-01-03,149.5,149.6,146.3,147.0,257520
2005-01-04,147.0,147.8,138.7,141.0,597580
2005-01-05,140.0,141.3,137.7,138.5,485060
2005-01-06,137.5,140.2,137.5,138.8,327170
2005-01-07,138.6,139.9,136.5,136.5,255180
2005-01-10,135.7,137.5,135.0,136.9,323670
2005-01-11,136.2,136.5,131.4,132.8,517580
2005-01-12,132.0,134.1,128.0,133.2,527030
2005-01-13,134.5,134.9,131.6,132.4,551800
2005-01-14,132.7,133.0,131.0,132.2,416370
2005-01-18,133.9,137.5,133.4,135.7,348260
2005-01-19,135.5,136.69,131.5,131.8,507720
2005-01-20,131.8,132.9,130.3,130.4,221910
2005-01-21,131.0,132.8,130.7,131.0,277470
2005-01-24,130.3,131.8,128.6,129.2,235640
2005-01-25,130.1,134.5,129.8,133.9,397080
2005-01-26,133.0,133.0,126.0,129.5,528950
2005-01-27,132.3,135.4,130.5,134.7,417370
2005-01-28,135.2,136.6,133.8,135.5,362460
2005-01-31,136.5,137.9,132.0,137.5,289630
2005-02-01,137.8,137.8,134.2,135.9,295220
2005-02-02,136.2,137.4,134.8,135.2,242460
2005-02-03,135.2,135.6,133.4,133.9,224320
2005-02-04,133.6,133.6,129.3,130.0,610880
2005-02-07,129.2,133.2,129.2,132.0,374930
2005-02-08,132.5,136.0,132.4,135.4,407490
2005-02-09,135.4,135.9,133.5,133.9,333850
2005-02-10,133.6,134.2,130.2,130.5,309960
2005-02-11,130.6,139.0,130.5,133.9,249540
2005-02-14,134.0,135.6,132.6,133.1,196780
2005-02-15,133.1,133.1,130.5,131.8,323070
2005-02-16,130.7,134.0,130.5,133.5,262380
2005-02-17,133.0,133.1,131.0,132.7,300310
2005-02-18,132.7,132.7,130.5,131.2,227200
2005-02-22,130.0,130.8,128.9,129.5,252130
2005-02-23,129.7,130.2,127.8,128.5,238390
2005-02-24,128.5,130.1,127.1,129.8,231490
2005-02-25,130.7,134.6,130.7,134.6,315360
2005-02-28,134.6,135.0,132.0,132.7,203410
2005-03-01,132.7,136.6,132.6,135.5,278750
2005-03-02,135.5,138.6,133.4,136.5,335580
2005-03-03,136.8,137.6,133.2,133.2,193840
2005-03-04,134.4,137.5,134.1,136.1,183750
2005-03-07,134.3,137.27,134.3,136.8,178410
2005-03-08,134.6,136.0,133.3,135.1,156100
2005-03-09,133.8,133.8,130.7,130.8,353820
2005-03-10,131.2,132.0,130.2,131.2,156070
2005-03-11,131.6,131.82,127.5,128.7,197920
2005-03-14,129.5,130.0,127.9,128.8,279690
2005-03-15,129.9,130.2,127.5,127.5,241360
2005-03-16,127.4,127.9,123.4,125.5,260400
2005-03-17,125.0,127.5,124.5,125.9,258570
2005-03-18,125.9,126.3,122.9,123.5,326610
2005-03-21,124.0,124.8,121.0,122.4,168010
