Date,Open,High,Low,Close,Volume
2005-01-03,36.3,36.34,35.47,35.56,1116000
2005-01-04,35.4,35.56,34.4,34.6,2596800
2005-01-05,34.6,34.65,34.04,34.1,2448400
2005-01-06,34.2,34.32,33.96,34.2,2553600
2005-01-07,34.12,34.22,33.55,33.88,2307000
2005-01-10,33.95,34.38,33.95,34.12,1508400
2005-01-11,34.12,34.35,33.92,34.21,1393800
2005-01-12,34.24,34.7,34.18,34.66,1760400
2005-01-13,34.66,34.8,34.35,34.38,1718400
2005-01-14,34.5,34.85,34.32,34.65,1078400
2005-01-18,34.52,34.6,34.1,34.54,2605400
2005-01-19,34.72,34.75,34.3,34.32,994600
2005-01-20,34.05,34.1,33.32,33.44,2573200
2005-01-21,33.48,33.5,32.48,32.7,5527000
2005-01-24,32.9,33.12,32.2,32.4,5449000
2005-01-25,32.75,33.28,32.75,33.08,5009400
2005-01-26,33.55,33.7,33.4,33.58,3089200
2005-01-27,33.18,33.66,33.13,33.64,3149800
2005-01-28,33.75,33.78,33.42,33.5,3103800
2005-01-31,33.6,34.0,33.58,34.0,1834800
2005-02-01,34.1,34.1,33.75,33.9,3405400
2005-02-02,33.9,34.02,33.6,33.95,2645600
2005-02-03,33.92,34.0,33.73,33.9,2491600
2005-02-04,34.0,34.44,33.95,34.3,1652400
2005-02-07,34.35,34.68,34.24,34.52,2085000
2005-02-08,34.5,34.86,34.5,34.61,1516400
2005-02-09,34.58,34.58,34.3,34.36,2021000
2005-02-10,34.4,34.72,34.34,34.68,1176400
2005-02-11,34.75,35.24,34.52,35.01,1661600
2005-02-14,35.12,35.37,34.88,34.94,1498800
2005-02-15,34.92,35.08,34.8,34.94,948800
2005-02-16,35.0,35.04,34.64,34.76,1072200
2005-02-17,34.72,34.82,34.28,34.32,2264000
2005-02-18,34.35,34.55,34.22,34.31,2375200
2005-02-22,34.31,34.4,33.82,33.82,2298400
2005-02-23,34.0,34.29,33.7,34.18,1347200
2005-02-24,34.18,34.59,34.0,34.54,1082000
2005-02-25,34.35,35.12,34.35,35.02,2206000
2005-02-28,34.8,35.12,34.72,34.88,2008800
2005-03-01,34.88,35.56,34.84,35.52,1960400
2005-03-02,35.52,35.52,34.9,35.04,3690000
2005-03-03,35.1,35.35,34.97,35.18,1696800
2005-03-04,35.4,35.48,34.88,35.05,2948200
2005-03-07,35.02,35.36,34.88,35.18,1446400
2005-03-08,35.24,35.48,34.9,34.92,812600
2005-03-09,34.92,35.0,34.56,34.65,897200
2005-03-10,34.78,34.9,34.35,34.8,966400
2005-03-11,34.8,34.98,34.64,34.75,870400
2005-03-14,34.82,35.07,34.62,34.92,1156000
2005-03-15,34.92,35.15,34.76,34.76,1321800
2005-03-16,34.6,34.6,34.05,34.3,1787000
2005-03-17,34.5,34.5,34.16,34.18,1240000
2005-03-18,34.1,34.15,33.63,34.0,2825000
2005-03-21,33.92,34.25,33.82,33.94,1487000
2005-03-22,34.05,34.24,33.52,33.56,1278000
2005-03-23,33.56,33.69,33.42,33.6,1947200
2005-03-24,33.62,33.82,33.36,33.4,1746800
2005-03-28,33.4,33.4,32.11,32.82,5388200
2005-03-29,32.8,32.88,32.08,32.08,2903400
2005-03-30,32.2,32.6,32.2,32.5,1769200
2005-03-31,32.68,32.81,32.54,32.7,2227000
2005-04-01,32.9,33.0,32.33,32.52,2133200
2005-04-04,32.5,32.58,32.15,32.34,1700400
2005-04-05,32.22,32.48,32.18,32.26,1453800
2005-04-06,32.5,32.54,32.25,32.37,1979400
2005-04-07,32.36,32.53,32.25,32.45,2058400
2005-04-08,32.55,32.55,31.95,32.04,1555200
2005-04-11,32.02,32.1,31.61,31.62,2363000
2005-04-12,31.62,31.82,31.14,31.78,4079400
2005-04-13,31.7,31.88,31.38,31.53,2333400
2005-04-14,30.75,31.3,28.82,29.2,9337200
2005-04-15,29.2,29.2,28.5,28.78,5697600
2005-04-18,28.78,29.28,28.77,29.26,4949000
2005-04-19,29.26,29.65,29.25,29.55,4363000
2005-04-20,29.75,29.93,29.47,29.54,4235800
2005-04-21,29.9,30.45,29.75,30.33,2812000
2005-04-22,30.2,30.54,29.89,30.16,3095200
2005-04-25,30.22,30.34,29.98,30.15,1863000
2005-04-26,30.15,30.15,29.6,29.66,2213800
2005-04-27,29.5,29.53,29.04,29.48,2204600
2005-04-28,29.32,29.6,29.28,29.32,2363000
2005-04-29,29.45,29.48,29.03,29.32,2077000
2005-05-02,29.38,29.62,29.37,29.48,2039600
2005-05-03,29.48,29.63,29.38,29.48,3150600
2005-05-04,28.75,30.01,28.75,29.91,2289600
2005-05-05,29.4,29.63,29.26,29.46,3551200
2005-05-06,29.58,29.92,29.55,29.72,1553200
2005-05-09,30.0,30.1,29.81,30.02,1754600
2005-05-10,29.95,29.96,29.38,29.48,1390600
2005-05-11,29.48,29.71,29.2,29.62,1366400
2005-05-12,30.22,30.22,29.02,29.1,1613000
2005-05-13,29.02,29.13,28.64,28.85,2248200
2005-05-16,28.88,29.2,28.75,29.14,1640000
2005-05-17,29.02,29.45,28.84,29.4,998800
2005-05-18,29.48,30.22,29.48,30.12,2229400
2005-05-19,30.12,30.3,29.78,29.9,2080200
2005-05-20,29.98,29.98,29.48,29.68,2807600
2005-05-23,30.5,30.82,30.33,30.56,3254000
2005-05-24,30.52,30.52,30.1,30.34,1314000
2005-05-25,30.32,30.32,29.87,30.03,1090600
2005-05-26,30.2,30.59,30.2,30.44,2049200
2005-05-27,30.39,30.48,30.28,30.32,957400
2005-05-31,30.22,30.25,29.82,29.92,2541200
2005-06-01,29.97,30.34,29.6,30.04,1562200
2005-06-02,30.1,30.3,29.97,30.26,4302200
2005-06-03,30.18,30.39,29.72,29.74,2088600
2005-06-06,29.85,29.92,29.64,29.73,1428600
2005-06-07,29.88,30.31,29.74,30.01,1670600
2005-06-08,30.15,30.5,30.02,30.04,1707400
2005-06-09,30.1,30.13,29.53,29.74,1784600
2005-06-10,29.74,30.02,29.58,29.84,1500400
2005-06-13,29.82,30.28,29.74,30.02,1238800
2005-06-14,30.0,30.32,29.92,30.23,1325000
2005-06-15,30.27,30.3,29.79,30.3,1574400
2005-06-16,30.28,30.79,30.2,30.71,2263800
2005-06-17,30.98,31.04,30.67,30.67,2700800
2005-06-20,30.68,30.88,30.45,30.48,1329800
2005-06-21,30.49,30.96,30.49,30.74,1416800
2005-06-22,30.56,30.79,30.44,30.52,1506400
2005-06-23,30.62,30.62,29.78,29.8,2076400
2005-06-24,29.7,29.72,29.18,29.36,2660200
2005-06-27,29.12,29.5,29.12,29.49,1400400
2005-06-28,29.72,30.25,29.63,30.21,1495400
2005-06-29,30.28,30.28,30.02,30.18,984200
2005-06-30,30.16,30.32,29.8,29.95,2458600
2005-07-01,29.92,30.16,29.88,30.06,2208400
2005-07-05,30.07,30.34,29.78,30.32,1800200
2005-07-06,30.28,30.64,30.06,30.06,2023600
2005-07-07,29.65,30.32,29.23,30.3,1563600
2005-07-08,30.29,31.0,30.28,30.92,1615800
2005-07-11,31.1,31.22,30.86,31.08,1705400
2005-07-12,31.08,31.12,30.65,30.88,1054400
2005-07-13,30.82,31.08,30.82,31.08,1002200
2005-07-14,31.12,31.32,30.98,31.11,1451200
2005-07-15,31.11,31.24,30.98,31.02,1547400
2005-07-18,32.5,33.55,31.78,32.88,6263200
2005-07-19,32.88,32.99,32.51,32.86,2514600
2005-07-20,32.73,33.42,32.58,33.24,2331000
2005-07-21,33.2,33.38,32.92,33.15,1722200
2005-07-22,33.25,33.54,33.0,33.16,1625400
2005-07-25,33.5,33.66,33.1,33.16,1424400
2005-07-26,33.15,33.18,32.92,33.0,1026000
2005-07-27,33.0,33.13,32.72,32.96,989000
2005-07-28,33.0,33.19,32.85,32.96,1449600
2005-07-29,32.92,32.96,32.66,32.67,1373800
2005-08-01,32.68,33.08,32.68,33.06,1379600
2005-08-02,33.14,33.26,33.02,33.23,1249600
2005-08-03,33.2,33.6,33.1,33.53,2119800
2005-08-04,33.35,33.68,33.17,33.21,1723000
2005-08-05,33.15,33.15,32.64,32.72,1056000
2005-08-08,32.75,33.08,32.75,32.94,744400
2005-08-09,32.99,33.28,32.92,33.25,959600
2005-08-10,33.4,33.92,33.28,33.38,1650600
2005-08-11,33.32,33.78,33.24,33.78,1283000
2005-08-12,33.55,33.66,33.04,33.18,880200
2005-08-15,33.15,33.47,32.98,33.34,666400
2005-08-16,33.22,33.23,32.44,32.46,1569000
2005-08-17,32.46,32.79,32.25,32.67,866200
2005-08-18,32.42,32.42,32.01,32.25,1313400
2005-08-19,32.58,32.64,32.28,32.54,819200
2005-08-22,32.65,32.88,32.2,32.44,648400
2005-08-23,32.56,32.6,32.27,32.38,744800
2005-08-24,32.38,32.76,32.06,32.1,830400
2005-08-25,32.12,32.45,32.0,32.15,1156400
2005-08-26,32.3,32.3,31.81,32.16,843200
2005-08-29,32.04,32.22,31.86,32.09,1088400
2005-08-30,32.02,32.05,31.42,31.62,1317200
2005-08-31,31.5,31.96,31.3,31.96,1645000
2005-09-01,31.92,32.18,31.82,32.02,1209600
2005-09-02,32.05,32.16,31.87,31.92,943400
2005-09-06,32.0,32.38,32.0,32.38,849800
2005-09-07,32.38,32.76,32.25,32.74,1372400
2005-09-08,32.0,32.51,31.98,32.18,1479800
2005-09-09,32.18,32.57,32.06,32.49,1172600
2005-09-12,32.5,33.18,32.38,33.0,1543800
2005-09-13,32.95,33.02,32.7,32.75,1303800
2005-09-14,32.72,32.78,32.3,32.43,1315600
2005-09-15,32.44,32.5,32.1,32.2,1358600
2005-09-16,32.42,32.48,31.92,32.03,1932400
2005-09-19,32.06,32.11,31.66,31.76,1022400
2005-09-20,31.84,32.03,31.24,31.26,1003000
2005-09-21,31.15,31.48,30.76,31.32,1448800
2005-09-22,31.43,31.81,31.2,31.51,970000
2005-09-23,31.51,31.51,31.13,31.19,1501000
2005-09-26,31.58,31.58,31.1,31.3,1644000
2005-09-27,31.25,31.32,30.76,30.86,1319200
2005-09-28,30.92,31.04,30.6,30.79,1419800
2005-09-29,30.73,30.96,30.55,30.9,1146600
2005-09-30,30.85,31.84,30.85,31.78,1658600
2005-10-03,31.75,32.12,31.49,31.5,1614800
2005-10-04,31.7,31.86,31.1,31.1,1322200
2005-10-05,31.1,31.21,30.5,30.5,1078800
2005-10-06,30.65,30.94,30.26,30.52,1617800
2005-10-07,30.64,30.99,30.34,30.8,2193200
2005-10-10,30.72,30.72,30.09,30.2,1387200
2005-10-11,30.2,30.3,29.81,29.88,1371000
2005-10-12,29.98,30.1,29.47,29.7,1714000
2005-10-13,29.6,29.8,29.5,29.65,1199200
2005-10-14,29.68,29.93,29.18,29.92,1233600
2005-10-17,29.88,30.19,29.55,29.96,2163600
2005-10-18,30.08,30.24,29.48,29.62,1757400
2005-10-19,29.6,30.14,29.31,30.12,1745000
2005-10-20,30.12,30.2,29.22,29.46,2258000
2005-10-21,29.46,29.46,28.59,28.82,2283600
2005-10-24,28.85,29.44,28.85,29.36,2605000
2005-10-25,29.35,29.48,29.04,29.18,1488800
2005-10-26,29.1,29.3,28.92,28.96,1664000
2005-10-27,28.96,28.96,28.32,28.34,1066400
2005-10-28,28.45,29.0,28.42,28.91,1419800
2005-10-31,28.98,29.58,28.92,29.42,1402200
2005-11-01,29.42,29.64,29.24,29.52,1362800
2005-11-02,29.55,30.42,29.52,30.22,1712400
2005-11-03,30.44,30.44,29.71,29.92,2308800
2005-11-04,29.98,30.26,29.56,29.7,1237000
2005-11-07,29.9,30.06,29.73,30.06,1122200
2005-11-08,29.95,30.07,29.75,30.05,1006000
2005-11-09,30.12,30.4,30.0,30.36,1477000
2005-11-10,30.28,30.49,29.91,30.49,1574200
2005-11-11,30.5,31.24,30.38,31.18,2126200
2005-11-14,31.18,31.18,30.78,30.86,1227600
2005-11-15,30.9,31.16,30.88,30.97,1015600
2005-11-16,30.99,31.24,30.86,30.96,1315200
2005-11-17,30.95,31.68,30.9,31.68,1317800
2005-11-18,31.98,31.98,31.58,31.72,1405800
2005-11-21,31.72,31.75,31.38,31.7,1032400
2005-11-22,31.65,31.78,31.1,31.78,1511000
2005-11-23,31.78,32.09,31.52,32.03,676400
2005-11-25,32.1,32.1,31.76,31.86,230800
2005-11-28,31.8,31.9,31.62,31.62,820600
2005-11-29,31.7,32.12,31.7,31.91,785200
2005-11-30,32.0,32.14,31.84,31.86,1089800
2005-12-01,32.05,32.56,32.02,32.49,1342200
2005-12-02,32.45,32.45,32.06,32.06,997400
2005-12-05,32.06,32.28,31.9,32.25,1050800
2005-12-06,32.25,32.55,32.0,32.32,1002200
2005-12-07,32.2,32.34,31.8,31.9,1253400
2005-12-08,31.92,32.26,31.78,32.14,1242200
2005-12-09,32.3,32.65,32.0,32.5,1086800
2005-12-12,32.56,33.0,32.56,32.84,1488200
2005-12-13,32.78,33.14,32.64,33.03,1405800
2005-12-14,33.04,33.58,33.04,33.36,1602200
2005-12-15,33.25,33.53,33.2,33.5,1786600
2005-12-16,33.73,33.82,33.56,33.63,1978400
2005-12-19,33.85,33.9,33.38,33.44,1516000
2005-12-20,33.42,33.83,33.38,33.7,1399400
2005-12-21,33.95,33.95,33.57,33.7,1498600
2005-12-22,33.75,33.87,33.54,33.72,810800
2005-12-23,33.8,34.0,33.76,33.91,516000
2005-12-27,33.91,33.98,33.4,33.4,839400
2005-12-28,33.6,33.79,33.46,33.62,856400
2005-12-29,33.74,33.94,33.66,33.76,586800
2005-12-30,33.7,33.7,33.41,33.54,656400
2006-01-03,33.65,33.78,32.82,33.62,2404800
2006-01-04,33.58,33.65,33.42,33.47,2569800
2006-01-05,33.44,33.64,33.2,33.28,1477600
2006-01-06,33.45,33.95,33.45,33.78,2706800
2006-01-09,33.92,34.12,33.82,33.96,2056600
2006-01-10,33.92,33.96,33.55,33.62,1973800
2006-01-11,33.62,33.9,33.42,33.78,1559400
2006-01-12,33.3,33.52,32.86,32.88,1788800
2006-01-13,32.85,32.86,32.41,32.52,1891000
2006-01-17,32.4,32.45,32.14,32.24,1262400
2006-01-18,32.0,32.78,31.92,32.61,1715400
2006-01-19,32.67,33.26,32.59,33.05,2085600
2006-01-20,33.3,33.3,32.4,32.44,1647600
2006-01-23,31.75,33.08,31.18,32.9,4404600
2006-01-24,33.13,33.44,32.94,33.12,1667400
2006-01-25,33.25,33.25,32.58,32.77,1933400
2006-01-26,33.18,33.18,32.57,32.76,1751600
2006-01-27,32.76,33.48,32.57,33.42,1440400
2006-01-30,33.38,33.53,33.2,33.21,953600
2006-01-31,33.22,33.32,32.85,33.1,1344800
2006-02-01,33.12,33.36,32.98,33.24,1529600
2006-02-02,33.06,33.36,32.88,33.16,2576200
2006-02-03,33.16,33.54,32.98,33.28,1501200
2006-02-06,33.4,33.49,33.16,33.32,1174600
2006-02-07,33.32,33.54,33.15,33.24,1371200
2006-02-08,33.36,33.5,33.18,33.36,1150000
2006-02-09,33.36,33.66,33.13,33.18,1250000
2006-02-10,33.22,33.5,32.98,33.45,1031800
2006-02-13,33.46,33.46,33.06,33.32,686000
2006-02-14,33.45,34.6,33.3,34.55,2266000
2006-02-15,34.4,34.52,34.09,34.28,2097200
2006-02-16,34.22,34.54,34.18,34.51,1120800
2006-02-17,34.62,34.78,34.4,34.68,1237000
2006-02-21,34.67,34.68,33.94,34.15,1581400
2006-02-22,34.5,35.0,34.41,34.93,1418400
2006-02-23,34.98,35.43,34.72,35.18,2029400
2006-02-24,35.15,35.53,35.02,35.4,1691200
2006-02-27,35.18,35.5,35.18,35.24,1815000
2006-02-28,34.78,35.18,34.78,34.84,1844800
2006-03-01,34.96,35.5,34.9,35.5,1240400
2006-03-02,35.38,35.38,35.0,35.22,1154400
2006-03-03,35.12,35.5,34.97,35.16,1026400
2006-03-06,35.08,35.16,34.63,34.68,1151000
2006-03-07,34.65,34.93,34.44,34.7,1084200
2006-03-08,34.6,34.7,33.88,34.52,1494200
2006-03-09,34.5,34.51,34.11,34.12,966800
2006-03-10,34.02,34.76,34.02,34.65,1292000
2006-03-13,34.6,34.64,34.23,34.38,900000
2006-03-14,34.38,35.55,34.32,35.34,1827800
2006-03-15,35.45,35.95,35.3,35.88,2231600
2006-03-16,35.88,36.14,35.74,35.88,1170000
2006-03-17,36.15,36.2,35.96,35.96,1813800
2006-03-20,35.88,36.0,35.7,35.84,803000
2006-03-21,35.64,35.92,35.36,35.5,1323000
2006-03-22,34.8,35.94,34.8,35.92,1001000
2006-03-23,35.82,35.82,35.22,35.56,1406200
2006-03-24,35.48,35.72,35.24,35.47,1552600
2006-03-27,35.26,35.76,35.18,35.63,1216800
2006-03-28,35.63,36.02,35.5,35.6,1015600
2006-03-29,35.5,36.0,35.35,35.93,1389000
2006-03-30,35.88,36.64,35.82,36.64,2633800
2006-03-31,36.5,36.82,36.3,36.48,2022800
2006-04-03,36.95,37.36,36.78,36.88,2808400
2006-04-04,36.78,37.16,36.45,37.1,1788000
2006-04-05,37.1,37.3,36.72,37.2,1601200
2006-04-06,36.94,37.16,36.0,36.47,2463000
2006-04-07,36.84,37.18,36.78,36.8,1639200
2006-04-10,36.98,37.32,36.82,37.24,1102800
2006-04-11,37.4,37.48,36.72,36.95,1595400
2006-04-12,37.12,37.38,36.96,37.09,1484400
2006-04-13,37.12,37.5,36.92,37.31,1185000
2006-04-17,37.9,38.55,37.02,38.0,4283600
2006-04-18,38.45,39.62,38.36,38.9,3202800
2006-04-19,38.8,39.04,38.68,38.81,1924600
2006-04-20,38.82,39.11,38.51,38.85,1548200
2006-04-21,38.95,38.95,38.45,38.58,1456400
2006-04-24,38.58,38.58,38.15,38.33,1322200
2006-04-25,38.4,38.52,38.1,38.28,2294200
2006-04-26,38.48,38.76,38.32,38.58,1987800
2006-04-27,38.58,38.71,38.08,38.3,2172000
2006-04-28,38.36,38.62,38.13,38.32,1906000
2006-05-01,38.44,38.76,38.38,38.48,1765200
2006-05-02,38.6,38.74,38.3,38.68,1182200
2006-05-03,38.7,39.1,38.68,38.7,1217000
2006-05-04,38.74,39.08,38.68,38.92,1318800
2006-05-05,39.15,39.28,38.94,39.05,2097800
2006-05-08,38.78,39.1,38.76,38.92,1437200
2006-05-09,38.8,39.16,38.78,38.95,1191600
2006-05-10,38.95,39.35,38.88,39.09,1237200
2006-05-11,39.15,39.99,39.09,39.44,2391400
2006-05-12,39.44,39.45,38.26,38.31,1606400
2006-05-15,38.32,38.47,38.02,38.43,1384000
2006-05-16,38.75,39.26,38.62,39.02,1916200
2006-05-17,38.92,38.93,37.96,38.14,2674400
2006-05-18,38.16,38.56,37.71,37.82,3447400
2006-05-19,38.12,38.56,37.64,37.88,2980600
2006-05-22,37.88,37.88,36.5,37.02,2938000
2006-05-23,37.82,37.82,36.95,36.96,2200400
2006-05-24,36.89,37.01,36.02,36.5,3509800
2006-05-25,36.82,37.12,36.62,37.06,1549200
2006-05-26,37.35,37.69,37.14,37.42,1536600
2006-05-30,37.22,37.23,36.46,36.54,1769400
2006-05-31,36.68,37.06,36.46,36.77,1810400
2006-06-01,36.92,37.3,36.67,37.24,2366200
2006-06-02,37.32,37.54,36.81,37.28,1520000
2006-06-05,37.15,37.21,36.2,36.38,1551800
2006-06-06,36.5,36.61,35.68,35.95,2205400
2006-06-07,36.03,36.15,35.53,35.57,2900400
2006-06-08,35.57,35.68,34.54,35.26,3324000
2006-06-09,35.28,35.7,35.28,35.4,2158400
2006-06-12,35.4,36.41,34.88,34.9,1519600
2006-06-13,34.56,35.36,34.54,34.92,2395400
2006-06-14,35.0,35.44,34.88,35.38,1808800
2006-06-15,35.55,36.35,35.4,36.25,1544000
2006-06-16,35.98,36.34,35.86,36.22,1617000
2006-06-19,36.35,36.54,35.79,35.92,1130200
2006-06-20,35.85,36.42,35.68,36.22,1549000
2006-06-21,36.3,37.14,36.23,37.02,1638600
2006-06-22,36.9,36.9,36.22,36.44,1415400
2006-06-23,36.32,36.81,36.0,36.34,1319400
2006-06-26,36.31,36.62,36.3,36.5,838400
2006-06-27,36.38,36.86,36.38,36.58,2145800
2006-06-28,36.58,36.84,36.32,36.6,1331400
2006-06-29,36.6,37.65,36.6,37.59,1765200
2006-06-30,37.9,37.9,37.32,37.7,1549800
2006-07-03,37.78,37.8,37.33,37.43,763200
2006-07-05,37.16,37.24,36.7,37.2,1548800
2006-07-06,37.32,37.62,36.82,36.95,1318800
2006-07-07,36.94,37.02,36.16,36.22,1809200
2006-07-10,36.36,36.55,36.14,36.51,1431800
2006-07-11,36.36,36.39,35.72,36.17,1684800
2006-07-12,36.2,36.31,35.49,35.52,1868800
2006-07-13,35.28,35.32,34.5,34.6,3391800
2006-07-14,34.77,34.79,33.74,34.02,3015400
2006-07-17,33.62,33.87,31.75,32.53,6198400
2006-07-18,32.56,33.26,32.54,33.16,3889600
2006-07-19,33.27,33.68,33.26,33.38,2853000
2006-07-20,33.48,33.66,32.52,32.52,2405000
2006-07-21,32.53,32.53,31.9,31.96,2939200
