Date,Open,High,Low,Close,Volume
2005-01-03,67.6,67.8,66.45,66.45,1049400
2005-01-04,66.46,67.02,65.9,65.94,1185500
2005-01-05,65.5,65.82,64.87,64.88,1478700
2005-01-06,64.85,65.11,64.48,64.94,1260600
2005-01-07,65.0,65.52,64.76,64.91,1281800
2005-01-10,64.8,65.46,64.6,65.33,1311100
2005-01-11,65.33,65.42,64.75,65.18,1293300
2005-01-12,65.05,65.77,64.76,65.58,1316800
2005-01-13,65.53,66.49,65.53,65.88,541800
2005-01-14,65.98,66.7,65.59,66.5,859900
2005-01-18,66.0,67.18,65.82,66.99,742200
2005-01-19,67.4,67.73,66.57,66.69,534100
2005-01-20,66.69,66.85,65.93,66.55,952400
2005-01-21,66.55,67.02,66.36,66.7,1092800
2005-01-24,66.8,68.37,66.7,68.01,1516100
2005-01-25,68.01,68.45,67.91,68.02,1073300
2005-01-26,68.05,69.41,67.95,69.01,1282600
2005-01-27,68.76,69.58,68.72,69.47,747800
2005-01-28,69.35,69.8,69.12,69.54,1071200
2005-01-31,69.05,70.36,69.01,69.52,1342800
2005-02-01,69.64,69.67,69.01,69.4,1224000
2005-02-02,69.4,71.12,69.27,70.66,1101600
2005-02-03,69.95,70.71,69.81,70.71,812100
2005-02-04,70.98,71.58,70.82,71.58,796700
2005-02-07,71.02,71.45,70.78,70.9,881900
2005-02-08,70.9,71.39,70.75,71.14,1233700
2005-02-09,70.93,71.06,70.12,70.33,761000
2005-02-10,70.31,70.6,70.07,70.35,956100
2005-02-11,69.41,70.43,69.41,70.21,1046100
2005-02-14,69.94,70.88,69.75,70.85,964100
2005-02-15,70.86,71.1,70.3,70.61,760200
2005-02-16,70.33,70.91,69.79,70.79,622200
2005-02-17,70.64,70.94,70.45,70.65,899300
2005-02-18,69.95,70.15,68.85,68.85,988300
2005-02-22,68.27,68.44,66.75,66.78,1595700
2005-02-23,67.16,67.87,67.04,67.85,919200
2005-02-24,67.95,68.74,67.6,68.69,1045600
2005-02-25,68.73,70.42,68.38,70.27,899100
2005-02-28,69.27,70.12,69.09,69.12,1133100
2005-03-01,69.17,70.41,69.17,69.69,1010800
2005-03-02,69.5,70.24,69.17,69.67,731400
2005-03-03,69.7,70.28,69.52,69.87,557300
2005-03-04,70.1,71.26,70.1,71.2,841500
2005-03-07,71.2,71.94,71.16,71.78,885000
2005-03-08,71.38,71.62,67.5,71.17,891300
2005-03-09,70.4,70.69,69.89,70.0,945300
2005-03-10,70.01,70.73,69.35,70.39,761200
2005-03-11,70.25,70.78,69.96,70.0,681200
2005-03-14,70.0,71.9,70.0,71.9,1005700
2005-03-15,71.95,72.0,71.2,71.51,1147300
2005-03-16,71.51,71.91,70.42,70.85,864600
2005-03-17,71.0,71.13,70.06,70.3,1017300
2005-03-18,70.3,70.75,69.84,70.22,1110600
2005-03-21,69.7,70.6,69.7,70.37,651100
2005-03-22,70.57,70.95,69.17,69.27,893500
2005-03-23,68.8,69.17,67.8,68.85,1186400
2005-03-24,69.1,69.63,69.1,69.38,614000
2005-03-28,69.42,70.29,69.26,69.97,576000
2005-03-29,69.97,70.23,69.05,69.16,769300
2005-03-30,69.39,70.32,69.16,69.98,1007900
2005-03-31,70.3,70.98,70.3,70.66,1226200
2005-04-01,71.35,71.87,70.76,71.24,1246000
2005-04-04,71.24,71.49,70.46,70.79,1090100
2005-04-05,71.15,72.45,71.05,72.2,1402800
2005-04-06,72.45,72.69,72.08,72.19,751600
2005-04-07,72.25,72.84,72.22,72.48,626600
2005-04-08,72.52,72.7,71.8,72.45,812300
2005-04-11,72.7,73.28,72.67,72.93,974300
2005-04-12,72.85,73.37,72.07,73.23,1165400
2005-04-13,74.52,74.52,72.45,72.5,856300
2005-04-14,71.85,72.22,71.53,71.56,1469400
2005-04-15,71.56,71.65,70.1,70.1,1098300
2005-04-18,70.0,71.74,69.61,71.34,1216600
2005-04-19,71.45,71.97,71.34,71.75,1217500
2005-04-20,71.05,71.82,70.81,71.5,941200
2005-04-21,71.79,72.13,71.55,72.03,694000
2005-04-22,72.18,72.5,71.76,72.35,853600
2005-04-25,76.6,76.6,71.78,71.78,982600
2005-04-26,70.68,71.15,70.42,70.48,1399600
2005-04-27,70.65,71.81,70.04,71.64,1013700
2005-04-28,71.93,72.69,71.42,71.86,1729400
2005-04-29,71.96,73.49,71.52,73.3,1174600
2005-05-02,73.25,73.64,72.94,73.09,943200
2005-05-03,72.75,73.09,71.51,72.1,1475600
2005-05-04,72.13,73.1,71.6,73.0,1197900
2005-05-05,73.0,73.32,72.55,72.85,959700
2005-05-06,72.7,72.9,72.43,72.6,752400
2005-05-09,72.53,72.92,71.9,72.85,1275500
2005-05-10,72.06,72.81,72.03,72.25,1521900
2005-05-11,72.5,72.63,71.74,72.59,964700
2005-05-12,72.64,72.64,71.75,71.77,648800
2005-05-13,71.9,71.95,69.35,70.43,1471600
2005-05-16,70.18,70.56,69.6,70.56,1205600
2005-05-17,70.38,71.68,70.32,71.5,782800
2005-05-18,72.15,72.39,71.37,71.44,856000
2005-05-19,71.5,71.75,71.08,71.39,952000
2005-05-20,71.0,71.07,70.49,71.01,1512900
2005-05-23,71.14,71.75,70.57,71.65,940300
2005-05-24,71.76,71.79,71.1,71.32,976500
2005-05-25,71.34,71.45,70.7,71.07,514500
2005-05-26,71.3,71.9,70.83,71.63,752800
2005-05-27,71.68,72.21,71.66,72.07,739000
2005-05-31,72.27,72.56,71.82,71.83,1004500
2005-06-01,71.95,73.38,71.86,72.84,1216500
2005-06-02,72.8,72.92,72.46,72.5,833100
2005-06-03,72.7,72.92,72.41,72.7,1002400
2005-06-06,72.9,73.72,72.7,73.69,854900
2005-06-07,73.94,74.97,73.69,73.93,831700
2005-06-08,74.1,74.18,73.44,73.5,570600
2005-06-09,73.5,73.6,73.0,73.5,589600
2005-06-10,73.48,73.76,73.08,73.6,600600
2005-06-13,73.59,74.06,73.37,73.83,518000
2005-06-14,73.58,74.43,73.53,74.16,465500
2005-06-15,74.45,74.45,73.03,73.44,784200
2005-06-16,73.44,73.54,72.7,72.99,858200
2005-06-17,73.35,73.97,73.22,73.63,805500
2005-06-20,73.52,74.43,73.48,74.16,643800
2005-06-21,74.48,75.06,74.41,74.79,1139000
2005-06-22,75.11,75.42,74.71,75.35,663700
2005-06-23,75.3,76.09,75.2,75.87,1151700
2005-06-24,75.69,76.05,74.75,74.91,861800
2005-06-27,74.86,75.46,74.7,75.01,721100
2005-06-28,75.25,75.66,75.1,75.5,951300
2005-06-29,75.75,76.06,75.25,75.51,1369200
2005-06-30,75.55,75.95,75.26,75.55,2470700
2005-07-01,75.75,75.79,75.25,75.77,1418600
2005-07-05,75.3,76.61,75.24,76.51,725300
2005-07-06,76.47,76.81,75.44,75.46,986400
2005-07-07,75.21,76.06,75.1,76.04,1163100
2005-07-08,75.95,76.59,75.69,76.58,1145200
2005-07-11,76.5,77.23,76.5,77.09,824800
2005-07-12,77.29,77.33,76.56,76.94,790500
2005-07-13,77.1,77.44,76.73,77.11,919100
2005-07-14,77.11,77.49,75.57,75.83,953400
2005-07-15,75.82,76.15,75.58,75.8,699600
2005-07-18,75.85,76.18,75.65,75.82,783800
2005-07-19,76.07,76.46,75.76,76.1,802200
2005-07-20,75.9,76.0,75.48,75.8,1281100
2005-07-21,75.69,75.8,74.65,75.52,1493000
2005-07-22,75.82,77.01,75.8,76.93,775200
2005-07-25,76.5,77.72,76.45,77.01,1023300
2005-07-26,77.26,77.75,77.01,77.45,935200
2005-07-27,77.9,78.12,77.46,77.6,755800
2005-07-28,77.65,78.14,76.97,78.0,570400
2005-07-29,77.85,78.5,77.82,77.94,859900
2005-08-01,78.1,78.3,75.89,75.9,1117400
2005-08-02,76.1,77.96,76.09,77.6,1171600
2005-08-03,77.6,79.22,77.39,78.43,1143500
2005-08-04,78.45,78.45,77.56,78.0,799100
2005-08-05,77.74,77.78,75.92,76.38,810400
2005-08-08,76.32,77.1,74.87,74.88,1186700
2005-08-09,74.9,76.03,74.9,75.6,1075700
2005-08-10,75.75,76.21,74.76,75.05,1577600
2005-08-11,75.3,76.1,75.2,75.5,887000
2005-08-12,75.52,75.86,74.91,75.55,659600
2005-08-15,75.67,76.0,75.26,75.8,362500
2005-08-16,75.89,76.05,74.83,75.0,636700
2005-08-17,74.73,74.99,74.17,74.64,1068600
2005-08-18,74.7,75.34,74.11,75.14,615000
2005-08-19,75.5,75.7,75.06,75.33,794700
2005-08-22,75.33,76.0,75.28,75.9,799200
2005-08-23,75.9,76.78,75.9,76.63,640700
2005-08-24,76.76,77.61,76.4,76.47,819600
2005-08-25,76.65,77.18,76.5,76.93,529900
2005-08-26,77.9,78.13,77.23,77.29,873700
2005-08-29,76.2,77.51,76.15,77.38,865200
2005-08-30,77.2,77.39,76.1,76.62,1652600
2005-08-31,76.13,76.31,74.46,74.91,4592500
2005-09-01,74.75,74.91,73.2,73.65,5461200
2005-09-02,74.0,76.03,73.9,75.55,2909300
2005-09-06,75.6,76.41,75.41,75.66,2219700
2005-09-07,75.4,75.63,74.49,74.72,2016400
2005-09-08,74.35,74.62,73.95,74.02,1418000
2005-09-09,74.01,75.33,73.99,74.8,1890100
2005-09-12,74.6,74.79,73.9,74.04,1396700
2005-09-13,73.3,73.86,73.0,73.12,1535600
2005-09-14,73.09,73.86,72.96,73.69,1337400
2005-09-15,73.49,74.45,73.49,74.02,997600
2005-09-16,74.9,74.95,74.24,74.77,1637900
2005-09-19,75.92,76.11,74.9,75.24,1406600
2005-09-20,74.74,75.25,74.33,74.39,1659700
