Date,Open,High,Low,Close,Volume
2005-01-03,10.32,10.36,10.15,10.19,1617200
2005-01-04,10.16,10.17,9.94,9.97,2601600
2005-01-05,9.92,9.95,9.84,9.87,1754000
2005-01-06,9.87,10.04,9.87,10.01,1778800
2005-01-07,10.0,10.05,9.92,10.01,713200
2005-01-10,10.01,10.39,10.01,10.32,2053200
2005-01-11,10.31,10.31,10.05,10.06,1512800
2005-01-12,10.08,10.18,9.95,10.02,2270800
2005-01-13,10.01,10.11,10.0,10.08,3052000
2005-01-14,10.06,10.3,10.04,10.3,1305600
2005-01-18,10.25,10.48,10.21,10.47,1375600
2005-01-19,10.46,10.46,10.3,10.33,892800
2005-01-20,10.3,10.36,10.16,10.22,1843600
2005-01-21,10.24,10.28,10.2,10.26,1312800
2005-01-24,10.26,10.49,10.25,10.34,2539200
2005-01-25,10.34,10.44,10.22,10.22,1128000
2005-01-26,10.22,10.3,10.14,10.18,1471600
2005-01-27,10.13,10.34,10.12,10.28,1786800
2005-01-28,10.28,10.28,9.64,10.04,9047600
2005-01-31,10.1,10.2,10.07,10.18,1820000
2005-02-01,10.19,10.28,10.1,10.13,2079600
2005-02-02,10.13,10.19,9.96,10.06,2217200
2005-02-03,10.04,10.12,9.98,10.11,1571600
2005-02-04,10.11,10.18,10.09,10.15,2562000
2005-02-07,10.15,10.27,10.13,10.16,1808000
2005-02-08,10.16,10.27,10.12,10.22,1849200
2005-02-09,10.22,10.34,10.2,10.28,3217600
2005-02-10,10.3,10.4,10.3,10.4,1861600
2005-02-11,10.39,10.66,10.38,10.64,1804000
2005-02-14,10.64,10.7,10.47,10.5,1901200
2005-02-15,10.5,10.6,10.46,10.56,1037200
2005-02-16,10.56,10.61,10.54,10.56,1119200
2005-02-17,10.58,10.62,10.49,10.5,1078000
2005-02-18,10.51,10.51,10.45,10.46,1166800
2005-02-22,10.44,10.45,10.31,10.31,1486000
2005-02-23,10.31,10.51,10.31,10.49,1234800
2005-02-24,10.46,10.62,10.45,10.61,1203600
2005-02-25,10.61,10.7,10.52,10.69,1656000
2005-02-28,10.66,10.76,10.6,10.75,1538000
2005-03-01,10.8,10.93,10.76,10.91,1634400
2005-03-02,10.94,11.06,10.85,11.02,1712400
2005-03-03,11.0,11.0,10.85,10.94,1660800
2005-03-04,10.98,11.03,10.88,10.98,779200
2005-03-07,10.96,10.96,10.84,10.89,1132800
2005-03-08,10.89,10.98,10.71,10.77,1396000
2005-03-09,10.75,10.88,10.75,10.87,896400
2005-03-10,10.88,10.97,10.82,10.86,960800
2005-03-11,10.87,10.9,10.82,10.86,1258000
2005-03-14,10.86,11.09,10.86,11.07,1480000
2005-03-15,11.11,11.16,10.87,10.92,955600
2005-03-16,10.92,10.92,10.71,10.74,1258800
2005-03-17,10.72,10.82,10.68,10.76,776000
2005-03-18,10.82,10.86,10.78,10.84,1856800
2005-03-21,10.82,10.89,10.75,10.88,957600
2005-03-22,10.88,10.91,10.77,10.82,1305200
2005-03-23,10.8,10.82,10.75,10.78,1413200
2005-03-24,10.78,10.84,10.72,10.72,1582800
2005-03-28,10.71,10.75,10.65,10.72,1058400
2005-03-29,10.68,10.84,10.65,10.75,1238400
2005-03-30,10.75,10.86,10.68,10.85,2278400
2005-03-31,10.85,10.86,10.79,10.8,1370400
2005-04-01,10.78,10.88,10.78,10.81,3448400
2005-04-04,10.82,10.83,10.63,10.68,1321600
2005-04-05,10.69,10.76,10.69,10.74,1299200
2005-04-06,10.74,10.82,10.7,10.72,1430400
2005-04-07,10.7,10.7,10.62,10.67,1871600
2005-04-08,10.65,10.65,10.56,10.62,869600
2005-04-11,10.62,10.68,10.6,10.62,816800
2005-04-12,10.62,10.64,10.5,10.56,1502800
2005-04-13,10.58,10.72,10.57,10.63,1240000
2005-04-14,10.62,10.66,10.45,10.5,3590800
2005-04-15,10.46,10.64,10.42,10.46,1739200
2005-04-18,10.44,10.56,10.4,10.52,1467600
2005-04-19,10.56,10.65,10.53,10.6,1464800
2005-04-20,10.62,10.72,10.52,10.54,1425200
2005-04-21,10.6,10.64,10.45,10.6,3623600
2005-04-22,10.6,10.69,10.45,10.66,3856400
2005-04-25,10.66,10.98,10.66,10.94,3682000
2005-04-26,10.95,11.08,10.83,10.9,2430400
2005-04-27,10.94,11.01,10.82,11.0,1206400
2005-04-28,11.0,11.05,10.94,11.03,2244800
2005-04-29,11.03,11.04,10.92,11.01,3206800
2005-05-02,11.0,11.22,11.0,11.19,2222400
2005-05-03,11.18,11.35,11.16,11.27,2314800
2005-05-04,11.28,11.37,11.24,11.33,2104000
2005-05-05,11.33,11.43,11.23,11.38,1802000
2005-05-06,11.4,11.45,11.38,11.43,1060000
2005-05-09,11.43,11.55,11.36,11.55,1692400
2005-05-10,11.5,11.67,11.33,11.38,3467200
2005-05-11,11.38,11.49,11.35,11.48,615200
2005-05-12,11.44,11.46,11.31,11.34,1346000
2005-05-13,11.32,11.35,11.14,11.26,636000
2005-05-16,11.26,11.37,11.25,11.35,746800
2005-05-17,11.34,11.35,11.19,11.32,1457600
2005-05-18,11.31,11.47,11.31,11.47,1652800
2005-05-19,11.47,11.52,11.4,11.52,610800
2005-05-20,11.52,11.52,11.43,11.49,1370400
2005-05-23,11.49,11.59,11.45,11.56,703600
2005-05-24,11.57,11.57,11.43,11.53,1466000
2005-05-25,11.5,11.5,11.36,11.39,2094800
2005-05-26,11.43,11.46,11.39,11.44,1036800
2005-05-27,11.43,11.6,11.38,11.57,1288400
2005-05-31,11.6,11.6,11.43,11.43,1247200
2005-06-01,11.35,11.56,11.35,11.5,1311200
2005-06-02,11.5,11.68,11.45,11.64,1711200
2005-06-03,11.65,11.72,11.56,11.69,2045600
2005-06-06,11.69,11.69,11.48,11.54,2334400
2005-06-07,11.57,11.7,11.57,11.65,2864400
2005-06-08,11.67,11.68,11.47,11.48,773200
2005-06-09,11.48,11.48,11.29,11.33,1926800
2005-06-10,11.36,11.37,11.22,11.24,1570000
2005-06-13,11.24,11.3,11.21,11.26,959200
2005-06-14,10.75,10.84,10.41,10.79,8037600
2005-06-15,10.81,10.86,10.74,10.79,2923600
2005-06-16,10.78,10.86,10.76,10.82,973600
2005-06-17,10.82,10.85,10.73,10.82,2075200
2005-06-20,10.76,10.82,10.69,10.72,1930400
2005-06-21,10.72,10.72,10.66,10.7,1355200
2005-06-22,10.64,10.65,10.38,10.62,3098400
2005-06-23,10.6,10.71,10.6,10.66,1751200
2005-06-24,10.72,10.77,10.52,10.58,2099600
2005-06-27,10.6,10.64,10.55,10.6,1074000
2005-06-28,10.62,10.72,10.62,10.7,1594000
2005-06-29,10.73,10.73,10.62,10.7,2348000
2005-06-30,10.72,10.83,10.69,10.76,1618000
2005-07-01,10.76,10.8,10.66,10.75,1269200
2005-07-05,10.74,10.89,10.72,10.75,1140400
2005-07-06,10.74,10.74,10.56,10.56,1810400
2005-07-07,10.5,10.56,10.42,10.51,1474000
2005-07-08,10.5,10.57,10.44,10.55,1745200
2005-07-11,10.57,10.61,10.54,10.57,1018400
2005-07-12,10.56,10.6,10.49,10.58,1076400
2005-07-13,10.58,10.58,10.49,10.51,680000
2005-07-14,10.52,10.59,10.36,10.38,1461200
2005-07-15,10.33,10.37,10.17,10.22,3142400
2005-07-18,10.16,10.29,10.16,10.23,1853200
2005-07-19,10.27,10.28,10.05,10.16,2938000
2005-07-20,10.1,10.27,10.1,10.22,2485200
2005-07-21,10.22,10.37,10.18,10.28,1736000
2005-07-22,10.81,11.37,10.81,11.12,12959200
2005-07-25,11.14,11.28,11.08,11.26,3662000
2005-07-26,11.31,11.5,11.3,11.48,3781200
2005-07-27,11.5,11.56,11.38,11.48,1909600
2005-07-28,11.5,11.61,11.39,11.56,1873200
2005-07-29,11.55,11.59,11.44,11.47,1182800
2005-08-01,11.47,11.51,11.42,11.46,1665600
2005-08-02,11.44,11.47,11.35,11.4,1785200
2005-08-03,11.4,11.44,11.31,11.35,1137200
2005-08-04,11.3,11.36,11.22,11.25,1169200
2005-08-05,11.22,11.22,11.12,11.14,1475200
2005-08-08,11.12,11.16,10.97,10.98,1951200
2005-08-09,10.99,11.0,10.93,11.0,1518400
2005-08-10,11.03,11.05,10.9,10.92,1376000
2005-08-11,10.94,11.12,10.94,11.04,1375200
2005-08-12,11.02,11.08,10.91,11.0,1076400
2005-08-15,10.98,11.08,10.94,11.04,750000
2005-08-16,11.02,11.02,10.86,10.88,898000
2005-08-17,10.93,10.94,10.83,10.88,1540000
2005-08-18,10.88,10.88,10.76,10.84,914800
2005-08-19,10.86,10.89,10.64,10.75,1209600
2005-08-22,10.78,10.8,10.62,10.78,1104400
2005-08-23,10.78,10.82,10.6,10.73,1233200
2005-08-24,10.73,10.83,10.71,10.75,970000
2005-08-25,10.74,10.76,10.62,10.66,1052400
2005-08-26,10.7,10.82,10.67,10.78,1396400
2005-08-29,10.78,10.91,10.75,10.9,1069200
2005-08-30,10.88,10.91,10.79,10.9,1259600
2005-08-31,10.88,11.03,10.8,11.0,1302400
2005-09-01,10.94,11.05,10.94,11.02,1045600
2005-09-02,11.05,11.11,10.94,10.95,481200
2005-09-06,11.0,11.2,11.0,11.2,1088400
2005-09-07,11.22,11.28,11.15,11.16,890400
2005-09-08,11.16,11.19,10.94,10.98,1819600
2005-09-09,10.98,11.04,10.92,10.99,1093200
2005-09-12,11.0,11.04,10.94,10.98,736400
2005-09-13,10.98,11.06,10.92,10.98,1016000
2005-09-14,11.04,11.06,10.94,10.97,757200
2005-09-15,11.0,11.06,10.87,10.92,1104400
2005-09-16,10.93,11.02,10.9,11.0,986000
2005-09-19,10.98,11.04,10.9,11.03,963600
2005-09-20,11.05,11.1,10.86,10.93,882400
2005-09-21,10.9,10.9,10.75,10.8,1197200
2005-09-22,10.76,10.9,10.75,10.9,1496000
2005-09-23,10.86,10.86,10.8,10.83,1072000
2005-09-26,10.86,10.99,10.81,10.94,1141200
2005-09-27,10.99,11.02,10.89,11.0,952000
2005-09-28,11.02,11.06,10.89,10.91,892400
2005-09-29,10.92,11.0,10.84,11.0,746400
2005-09-30,10.98,11.1,10.88,11.1,1088800
2005-10-03,11.01,11.13,10.98,11.05,2737600
2005-10-04,11.06,11.24,11.05,11.08,1060000
2005-10-05,11.06,11.08,10.9,10.92,989200
2005-10-06,10.92,10.95,10.75,10.86,1563600
2005-10-07,10.86,10.91,10.67,10.76,883200
2005-10-10,10.76,10.78,10.6,10.65,812000
2005-10-11,10.67,10.72,10.49,10.5,1006000
2005-10-12,10.5,10.54,10.35,10.44,1605600
2005-10-13,10.45,10.57,10.43,10.48,879600
2005-10-14,10.51,10.58,10.39,10.48,1107200
2005-10-17,10.48,10.49,10.38,10.48,1687200
2005-10-18,10.5,10.75,10.45,10.71,3125600
2005-10-19,10.7,10.76,10.63,10.75,1984000
2005-10-20,10.78,10.8,10.65,10.72,1614400
2005-10-21,10.72,10.75,10.62,10.64,1126400
2005-10-24,10.64,10.69,10.52,10.67,1718000
2005-10-25,10.67,10.69,10.5,10.54,1022400
2005-10-26,10.54,10.54,10.38,10.41,2486800
2005-10-27,10.4,10.45,10.24,10.26,1600400
2005-10-28,10.31,10.35,10.14,10.34,1703600
2005-10-31,10.34,10.53,10.33,10.34,1392000
2005-11-01,10.28,10.5,10.28,10.44,1332000
2005-11-02,10.39,10.58,10.39,10.5,1125600
2005-11-03,10.5,10.57,10.43,10.5,1488800
2005-11-04,10.51,10.52,10.36,10.48,923200
2005-11-07,10.49,10.54,10.43,10.48,1668400
2005-11-08,10.46,10.56,10.42,10.56,1020800
2005-11-09,10.54,10.66,10.54,10.6,738800
2005-11-10,10.6,10.65,10.46,10.56,1024000
2005-11-11,10.57,10.58,10.42,10.53,1030000
2005-11-14,10.53,10.54,10.41,10.48,752000
2005-11-15,10.46,10.51,10.38,10.48,1375200
2005-11-16,10.49,10.52,10.46,10.5,1609600
2005-11-17,10.51,10.52,10.43,10.45,1210400
2005-11-18,10.46,10.49,10.39,10.42,1322000
2005-11-21,10.44,10.44,10.34,10.39,1763200
2005-11-22,10.35,10.38,10.25,10.28,1906400
2005-11-23,10.3,10.32,10.22,10.25,1335600
2005-11-25,10.28,10.35,10.26,10.32,190400
2005-11-28,10.32,10.32,10.11,10.11,1873600
2005-11-29,10.14,10.19,9.91,9.96,2258400
2005-11-30,10.02,10.12,9.97,10.0,2890800
2005-12-01,9.98,10.15,9.94,10.15,4130400
2005-12-02,10.15,10.54,10.12,10.48,2542000
2005-12-05,10.48,10.56,10.36,10.44,1346400
2005-12-06,10.48,10.55,10.45,10.48,1141200
2005-12-07,10.5,10.56,10.33,10.37,1474800
2005-12-08,10.39,10.4,10.26,10.32,1156000
2005-12-09,10.38,10.45,10.35,10.38,1517200
2005-12-12,10.43,10.48,10.36,10.42,1039600
2005-12-13,10.44,10.47,10.39,10.41,1040800
2005-12-14,10.45,10.56,10.4,10.47,993600
2005-12-15,10.48,10.5,10.41,10.48,847600
2005-12-16,10.49,10.64,10.47,10.51,1311600
2005-12-19,10.54,10.54,10.32,10.38,1013600
2005-12-20,10.44,10.44,10.33,10.39,856400
2005-12-21,10.44,10.46,10.35,10.45,1119200
2005-12-22,10.46,10.58,10.44,10.5,584400
2005-12-23,10.53,10.6,10.42,10.51,516400
2005-12-27,10.58,10.6,10.39,10.44,1323600
2005-12-28,10.46,10.51,10.42,10.46,861600
2005-12-29,10.49,10.51,10.4,10.48,738000
2005-12-30,10.48,10.49,10.38,10.4,594400
2006-01-03,10.37,10.41,10.28,10.35,1762800
2006-01-04,10.35,10.59,10.34,10.58,1614000
2006-01-05,10.6,10.65,10.52,10.54,1439200
2006-01-06,10.56,10.62,10.5,10.62,940400
2006-01-09,10.64,10.66,10.46,10.48,1515200
2006-01-10,10.48,10.64,10.48,10.62,1850400
2006-01-11,10.62,10.78,10.54,10.56,2250800
2006-01-12,10.55,10.71,10.54,10.69,1074800
2006-01-13,10.69,10.81,10.69,10.74,1001600
2006-01-17,10.72,10.76,10.56,10.59,1227200
2006-01-18,10.54,10.68,10.54,10.67,1070000
2006-01-19,10.68,10.68,10.58,10.64,959600
2006-01-20,10.62,10.64,10.55,10.55,1044800
2006-01-23,10.59,10.62,10.55,10.56,2076000
2006-01-24,10.58,10.64,10.54,10.56,1737200
2006-01-25,10.56,10.58,10.4,10.44,1576400
2006-01-26,10.46,10.67,10.46,10.62,1792800
2006-01-27,10.66,10.74,10.6,10.64,707600
2006-01-30,10.64,10.72,10.61,10.7,1091200
2006-01-31,10.67,10.75,10.65,10.74,1124000
2006-02-01,10.67,10.86,10.67,10.83,1731200
2006-02-02,10.82,10.83,10.69,10.7,885200
2006-02-03,11.12,11.83,11.12,11.55,10204400
2006-02-06,11.52,11.52,11.13,11.17,3344800
2006-02-07,11.2,11.27,10.94,11.0,2257600
2006-02-08,11.01,11.05,10.97,11.01,1714800
2006-02-09,11.07,11.14,10.94,11.13,1945200
2006-02-10,11.12,11.12,10.88,10.9,2023600
2006-02-13,10.83,10.93,10.75,10.83,2090000
2006-02-14,10.83,10.92,10.75,10.77,1786000
2006-02-15,10.76,10.82,10.68,10.75,1732000
2006-02-16,10.76,10.81,10.7,10.76,1376800
2006-02-17,10.77,10.77,10.59,10.6,1060400
2006-02-21,10.59,10.59,10.42,10.53,2044800
2006-02-22,10.53,10.6,10.51,10.59,1513200
2006-02-23,10.59,10.63,10.52,10.52,1234400
2006-02-24,10.5,10.56,10.48,10.51,938400
2006-02-27,10.5,10.51,10.48,10.5,1977600
2006-02-28,10.49,10.5,10.25,10.34,2331200
2006-03-01,10.28,10.52,10.26,10.48,2201600
2006-03-02,10.5,10.57,10.47,10.56,1675600
2006-03-03,10.59,10.69,10.54,10.62,2086000
2006-03-06,10.6,10.65,10.5,10.55,1420400
2006-03-07,10.54,10.61,10.41,10.46,1936800
2006-03-08,10.41,10.46,10.32,10.36,1441600
2006-03-09,10.39,10.5,10.37,10.43,1115200
2006-03-10,10.42,10.5,10.4,10.45,601200
2006-03-13,10.44,10.52,10.36,10.39,858400
2006-03-14,10.38,10.48,10.34,10.47,1246000
2006-03-15,10.46,10.57,10.44,10.57,933600
2006-03-16,10.55,10.58,10.5,10.58,982400
2006-03-17,10.58,10.69,10.55,10.65,1246800
2006-03-20,10.62,10.69,10.6,10.68,1074400
2006-03-21,10.72,10.77,10.66,10.76,2285600
2006-03-22,10.76,10.97,10.7,10.96,2323600
2006-03-23,10.96,11.22,10.96,11.22,4107200
2006-03-24,11.22,11.29,11.18,11.2,1680800
2006-03-27,11.21,11.22,11.12,11.12,1566400
2006-03-28,11.12,11.12,11.01,11.07,994400
2006-03-29,11.04,11.11,10.95,10.96,1563600
2006-03-30,10.96,10.96,10.7,10.83,5004400
2006-03-31,10.86,10.9,10.82,10.88,1368000
2006-04-03,10.73,10.91,10.73,10.86,1908800
2006-04-04,10.84,10.86,10.75,10.85,1750000
2006-04-05,10.85,10.88,10.74,10.86,1208400
2006-04-06,10.82,10.88,10.75,10.84,1189200
2006-04-07,10.86,10.98,10.8,10.82,978000
2006-04-10,10.81,10.85,10.72,10.78,1048800
2006-04-11,10.76,10.8,10.66,10.7,766000
2006-04-12,10.7,10.79,10.69,10.72,810400
2006-04-13,10.71,10.72,10.5,10.71,1308400
2006-04-17,10.71,10.73,10.64,10.69,1108000
2006-04-18,10.7,11.0,10.7,10.88,1650800
2006-04-19,10.88,10.98,10.87,10.94,1637600
2006-04-20,10.98,11.26,10.96,11.22,2174800
2006-04-21,11.38,11.53,11.25,11.38,3080400
2006-04-24,11.34,11.34,11.14,11.23,2112400
2006-04-25,11.22,11.23,11.12,11.17,866000
2006-04-26,11.19,11.22,11.1,11.16,853600
2006-04-27,11.16,11.18,11.11,11.16,637600
2006-04-28,11.12,11.24,11.09,11.11,1288800
2006-05-01,11.0,11.1,10.95,10.98,1285200
2006-05-02,10.98,11.02,10.94,10.98,974000
2006-05-03,10.99,11.02,10.87,10.92,828000
2006-05-04,10.92,11.04,10.92,11.02,789600
2006-05-05,11.02,11.11,10.94,11.08,872800
2006-05-08,11.04,11.1,11.0,11.02,646000
2006-05-09,11.0,11.02,10.87,10.88,1298400
2006-05-10,10.88,11.0,10.88,10.98,2076400
2006-05-11,10.94,11.2,10.92,11.05,1436400
2006-05-12,11.06,11.08,10.9,11.0,1051600
2006-05-15,10.94,11.13,10.94,11.12,1952800
2006-05-16,11.12,11.19,11.08,11.1,1180800
2006-05-17,11.06,11.13,10.88,10.96,1301200
2006-05-18,10.98,11.1,10.93,10.94,1173600
2006-05-19,11.0,11.1,10.96,11.06,1285200
2006-05-22,11.05,11.1,10.9,11.01,1658000
2006-05-23,11.02,11.03,10.84,10.88,1172400
2006-05-24,10.87,11.02,10.78,10.96,1096400
2006-05-25,10.97,11.02,10.88,10.99,988000
2006-05-26,11.0,11.12,10.96,11.0,855600
2006-05-30,10.98,11.1,10.96,11.05,820800
2006-05-31,11.04,11.12,10.96,11.08,1055600
2006-06-01,11.06,11.16,11.0,11.14,1246000
2006-06-02,11.19,11.29,11.14,11.27,958400
2006-06-05,11.24,11.3,11.09,11.13,824000
2006-06-06,11.12,11.19,11.05,11.1,836800
2006-06-07,11.1,11.27,11.1,11.22,1411200
2006-06-08,11.2,11.35,11.18,11.33,1436400
2006-06-09,11.32,11.38,11.24,11.27,657200
2006-06-12,11.29,11.29,11.14,11.16,1049200
2006-06-13,11.14,11.3,11.14,11.2,1189200
2006-06-14,11.16,11.18,11.08,11.16,1008400
2006-06-15,11.18,11.34,11.11,11.33,1232400
2006-06-16,11.35,11.42,11.29,11.35,1402400
2006-06-19,11.34,11.4,11.22,11.25,1647600
2006-06-20,11.23,11.32,11.2,11.25,1216400
2006-06-21,11.22,11.35,11.22,11.32,1113600
2006-06-22,11.31,11.32,11.06,11.08,1816000
2006-06-23,11.06,11.15,11.0,11.08,957600
2006-06-26,11.06,11.26,11.03,11.14,1601200
2006-06-27,11.14,11.14,11.0,11.04,1234000
2006-06-28,11.07,11.11,10.97,10.99,1157600
2006-06-29,11.03,11.18,11.0,11.14,2435200
2006-06-30,11.17,11.36,11.08,11.36,2011600
2006-07-03,11.36,11.41,11.26,11.38,619200
2006-07-05,11.38,11.4,11.16,11.2,1015200
2006-07-06,11.19,11.34,11.19,11.24,783600
2006-07-07,11.21,11.32,11.2,11.23,658000
2006-07-10,11.25,11.36,11.18,11.2,1374000
2006-07-11,11.18,11.24,11.16,11.2,977600
2006-07-12,11.18,11.3,11.18,11.23,891200
2006-07-13,11.21,11.28,11.16,11.16,894000
2006-07-14,11.16,11.22,11.0,11.05,1170800
2006-07-17,11.01,11.17,11.01,11.12,1056800
2006-07-18,11.12,11.23,11.02,11.15,998400
2006-07-19,11.16,11.49,11.16,11.43,1393600
2006-07-20,11.45,11.48,11.31,11.4,1052800
2006-07-21,11.4,11.42,11.19,11.29,795600
2006-07-24,11.28,11.38,11.12,11.23,1186000
2006-07-25,10.78,10.91,10.39,10.82,6282000
2006-07-26,10.79,10.89,10.59,10.85,3655200
2006-07-27,10.85,10.91,10.69,10.87,1702000
2006-07-28,10.87,11.05,10.82,11.0,1109200
2006-07-31,11.01,11.12,10.97,11.06,879600
2006-08-01,11.02,11.05,10.86,11.02,949600
2006-08-02,11.07,11.2,11.05,11.09,1286800
2006-08-03,11.05,11.14,10.89,11.08,1184400
2006-08-04,11.12,11.25,11.12,11.18,1227600
2006-08-07,11.14,11.17,11.02,11.07,725600
2006-08-08,11.09,11.18,11.06,11.14,940400
2006-08-09,11.19,11.24,11.17,11.19,983200
2006-08-10,11.16,11.42,11.14,11.36,1664000
2006-08-11,11.34,11.35,11.27,11.3,636000
2006-08-14,11.32,11.35,11.23,11.29,706000
2006-08-15,11.32,11.39,11.29,11.37,1383200
2006-08-16,11.38,11.46,11.38,11.44,1056000
2006-08-17,11.4,11.61,11.4,11.59,1246400
2006-08-18,11.58,11.58,11.42,11.53,685200
2006-08-21,11.5,11.53,11.44,11.49,416400
2006-08-22,11.47,11.47,11.35,11.37,940800
2006-08-23,11.35,11.62,11.35,11.59,1656000
2006-08-24,11.59,11.6,11.46,11.5,762400
2006-08-25,11.48,11.67,11.48,11.62,1022000
2006-08-28,11.59,11.62,11.48,11.54,825200
2006-08-29,11.51,11.61,11.43,11.61,971200
2006-08-30,11.61,11.66,11.55,11.64,679200
2006-08-31,11.64,11.74,11.57,11.67,683200
2006-09-01,11.67,11.7,11.52,11.67,642000
2006-09-05,11.63,11.68,11.6,11.64,608400
2006-09-06,11.58,11.58,11.39,11.5,1176800
2006-09-07,11.44,11.75,11.42,11.63,1189600
2006-09-08,11.63,11.71,11.49,11.67,956800
2006-09-11,11.64,11.81,11.61,11.81,779600
2006-09-12,11.75,11.92,11.73,11.86,1245600
2006-09-13,11.86,11.88,11.78,11.81,840400
2006-09-14,11.77,11.77,11.67,11.77,681200
2006-09-15,11.83,11.87,11.73,11.74,1268800
2006-09-18,11.75,11.77,11.63,11.68,762800
2006-09-19,11.65,11.74,11.54,11.66,686800
2006-09-20,11.68,11.71,11.63,11.68,927600
2006-09-21,11.67,11.7,11.57,11.62,1108400
2006-09-22,11.6,11.62,11.5,11.56,614400
2006-09-25,11.56,11.64,11.5,11.62,1016800
2006-09-26,11.6,11.69,11.56,11.68,767200
2006-09-27,11.68,11.74,11.66,11.69,1218000
