Date,Open,High,Low,Close,Volume
2005-01-03,28.02,28.28,27.26,27.42,1214298
2005-01-04,27.5,27.74,26.76,26.96,1237252
2005-01-05,27.09,27.92,26.9,27.82,2056454
2005-01-06,27.82,28.34,27.74,27.96,1520628
2005-01-07,28.26,28.58,28.08,28.22,2359782
2005-01-10,28.22,28.88,28.13,28.62,1738504
2005-01-11,28.45,28.74,28.38,28.56,1324370
2005-01-12,28.26,28.35,27.5,27.78,2016398
2005-01-13,27.78,27.86,27.15,27.2,1469012
2005-01-14,27.27,27.77,27.12,27.58,1315334
2005-01-18,27.61,28.34,27.38,28.2,1193812
2005-01-19,28.14,28.22,27.46,27.5,1200580
2005-01-20,27.42,28.15,27.34,27.56,1232650
2005-01-21,27.52,27.81,27.17,27.21,1355214
2005-01-24,27.21,27.78,27.18,27.34,1183774
2005-01-25,27.48,27.99,27.3,27.56,1090460
2005-01-26,27.74,28.2,27.53,28.12,1045144
2005-01-27,28.06,28.3,27.8,28.24,1197236
2005-01-28,28.25,28.44,27.78,28.1,1657288
2005-01-31,28.2,28.46,27.75,28.07,1439456
2005-02-01,28.0,28.36,27.96,28.2,1477260
2005-02-02,28.33,28.49,27.89,28.14,1273722
2005-02-03,28.14,28.38,27.9,27.97,915496
2005-02-04,28.0,28.45,27.9,28.16,1545070
2005-02-07,28.22,28.44,27.98,27.98,912760
2005-02-08,28.12,28.12,27.67,27.96,1288362
2005-02-09,27.88,27.94,27.15,27.26,1798386
2005-02-10,27.28,27.49,26.92,26.94,1216152
2005-02-11,27.04,28.1,26.95,27.82,1047420
2005-02-14,27.82,28.02,27.35,27.44,868456
2005-02-15,27.25,27.92,26.88,27.89,1948788
2005-02-16,27.7,27.98,27.39,27.89,1206182
2005-02-17,27.8,27.9,27.22,27.36,1207464
2005-02-18,27.36,27.65,27.26,27.5,871802
2005-02-22,27.32,27.73,26.86,26.94,1513940
2005-02-23,26.98,27.48,26.96,27.0,1199088
2005-02-24,26.94,27.5,26.9,27.25,1453970
2005-02-25,27.28,28.1,27.2,27.98,1316716
2005-02-28,28.02,28.36,27.58,27.76,1516568
2005-03-01,27.82,28.27,27.46,27.6,1491148
2005-03-02,27.47,28.84,27.47,28.37,1997044
2005-03-03,28.57,28.68,27.62,27.68,2118560
2005-03-04,27.82,28.18,27.75,27.84,1525248
2005-03-07,27.92,28.58,27.8,28.36,1519136
2005-03-08,28.29,28.6,28.12,28.32,1253408
2005-03-09,28.28,28.78,28.12,28.57,1501108
2005-03-10,28.48,28.57,27.95,28.14,1253108
2005-03-11,28.2,28.7,28.03,28.38,1168872
2005-03-14,28.38,28.68,28.32,28.52,1507792
2005-03-15,28.45,28.58,28.26,28.31,1406332
2005-03-16,28.15,28.2,27.65,27.75,1688052
2005-03-17,27.81,28.0,27.58,27.6,1149850
2005-03-18,27.62,27.67,26.98,27.12,2211842
2005-03-21,27.12,27.14,26.74,27.02,1837328
2005-03-22,27.12,27.36,26.75,26.85,2043884
2005-03-23,26.85,26.86,26.32,26.46,1862476
2005-03-24,26.5,26.71,26.26,26.52,1742842
2005-03-28,26.5,27.17,26.5,26.79,1431288
2005-03-29,26.87,27.37,26.3,26.68,1612460
2005-03-30,26.62,27.12,26.58,27.09,1021646
2005-03-31,27.16,27.16,26.62,26.78,1259132
2005-04-01,27.0,27.16,26.32,26.43,1753572
2005-04-04,26.48,27.14,26.36,26.97,1869722
2005-04-05,27.12,27.12,26.54,26.68,1217562
2005-04-06,26.7,26.96,26.38,26.38,1235644
2005-04-07,26.41,26.52,25.56,26.28,3948718
2005-04-08,26.09,26.23,25.34,25.56,2350604
2005-04-11,25.51,25.62,24.82,25.34,2417526
2005-04-12,25.35,26.07,25.2,25.84,1586016
2005-04-13,25.78,25.81,24.98,25.06,1344162
2005-04-14,25.08,25.26,24.61,24.66,1854238
2005-04-15,24.56,25.06,24.05,24.08,2440658
2005-04-18,24.1,24.5,23.82,24.32,1674830
2005-04-19,24.47,24.58,24.14,24.56,1622202
2005-04-20,24.47,24.68,24.1,24.21,1147122
2005-04-21,24.42,25.63,24.41,25.5,2589738
2005-04-22,25.55,25.65,24.55,24.78,2007556
2005-04-25,24.97,25.18,24.73,24.98,950194
2005-04-26,24.98,24.98,24.2,24.34,1212692
2005-04-27,24.4,24.9,24.1,24.79,1915496
2005-04-28,24.56,24.95,24.44,24.44,1461044
2005-04-29,24.7,24.84,24.2,24.56,1801160
2005-05-02,24.62,24.92,24.38,24.62,1750128
2005-05-03,24.55,24.81,24.38,24.52,1362390
2005-05-04,24.69,24.7,24.28,24.44,2910284
2005-05-05,24.25,24.3,23.58,24.0,4254356
2005-05-06,24.2,24.52,24.02,24.36,3626216
2005-05-09,24.4,24.42,24.18,24.38,1646466
2005-05-10,24.12,24.28,23.68,23.86,1766064
2005-05-11,24.0,24.59,23.85,24.54,1668912
2005-05-12,24.5,24.53,23.74,23.9,1548304
2005-05-13,23.94,24.2,23.68,23.95,1450856
2005-05-16,24.07,24.44,23.95,24.13,1263002
2005-05-17,24.03,24.72,23.8,24.72,1274674
2005-05-18,24.68,25.4,24.68,25.35,1496344
2005-05-19,25.44,25.54,25.18,25.54,1367308
2005-05-20,25.42,25.85,25.36,25.7,1463628
2005-05-23,25.65,26.1,25.65,25.98,1406424
2005-05-24,26.02,26.32,25.61,26.17,1668094
2005-05-25,26.18,26.18,25.75,26.02,935848
2005-05-26,26.0,26.32,25.98,26.14,1135610
2005-05-27,26.05,26.17,25.78,26.09,972408
2005-05-31,25.91,25.95,25.4,25.49,1912014
2005-06-01,25.4,25.92,25.4,25.76,1476764
2005-06-02,25.6,26.0,25.57,25.9,970054
2005-06-03,25.85,26.15,25.82,26.02,1720864
2005-06-06,25.98,26.32,25.98,26.16,1587988
2005-06-07,26.13,26.34,25.5,25.58,1543816
2005-06-08,25.52,25.6,24.89,24.98,1750636
2005-06-09,24.49,24.92,24.42,24.9,2231792
2005-06-10,25.0,25.02,24.5,24.82,1432840
2005-06-13,24.85,25.0,24.5,24.84,1527388
2005-06-14,24.91,24.98,24.48,24.6,1095816
2005-06-15,24.79,24.98,24.62,24.84,1161444
2005-06-16,24.85,25.24,24.74,25.2,843736
2005-06-17,25.28,25.69,25.15,25.56,2237252
2005-06-20,25.38,25.71,25.2,25.54,1132030
2005-06-21,25.48,25.76,25.34,25.54,1390362
2005-06-22,25.6,25.9,25.56,25.87,1844774
2005-06-23,25.64,25.82,25.46,25.53,4974992
2005-06-24,25.14,25.3,24.78,24.88,2918646
2005-06-27,24.74,24.91,24.38,24.65,2095100
2005-06-28,24.75,25.14,24.58,25.1,1251340
2005-06-29,25.08,25.48,24.89,25.16,1600984
2005-06-30,25.24,25.65,24.82,24.9,2309794
2005-07-01,25.01,25.3,24.74,25.11,2623492
2005-07-05,25.14,25.5,24.98,25.44,1628266
2005-07-06,25.47,25.72,25.16,25.44,1505798
2005-07-07,25.26,25.51,25.04,25.19,1411938
2005-07-08,25.2,25.68,24.9,25.54,2078450
2005-07-11,25.67,26.01,25.48,25.92,2019624
2005-07-12,25.82,26.14,25.58,26.08,1469124
2005-07-13,26.06,26.34,25.97,26.26,2003008
2005-07-14,26.14,26.75,26.14,26.72,2279060
2005-07-15,26.63,26.82,26.5,26.6,2219876
2005-07-18,26.61,26.63,26.18,26.26,2300648
2005-07-19,26.46,26.46,26.12,26.33,1842632
2005-07-20,26.34,27.52,26.26,27.37,3496996
2005-07-21,27.38,27.66,27.1,27.58,2443706
2005-07-22,27.46,27.78,27.44,27.66,1165590
2005-07-25,27.64,27.98,27.38,27.6,1813990
2005-07-26,27.6,27.68,27.28,27.46,1547082
2005-07-27,27.58,27.85,27.32,27.54,1405746
2005-07-28,27.62,27.69,27.38,27.61,1415624
2005-07-29,27.58,27.74,27.3,27.52,1418562
2005-08-01,27.54,27.65,27.25,27.39,1207550
2005-08-02,26.7,27.16,26.26,26.88,3111590
2005-08-03,26.71,27.2,26.47,26.95,1787494
2005-08-04,26.76,27.0,26.47,26.8,2134692
2005-08-05,26.85,27.02,26.68,26.87,1584630
2005-08-08,26.88,27.18,26.86,27.14,1577666
2005-08-09,27.15,27.57,27.15,27.22,1752694
2005-08-10,27.32,27.72,27.1,27.35,1408308
2005-08-11,27.4,27.82,27.35,27.4,1432848
2005-08-12,27.36,27.76,27.34,27.56,1709468
2005-08-15,27.46,27.57,27.22,27.46,882586
2005-08-16,27.48,27.5,26.84,26.9,1047500
2005-08-17,26.8,27.24,26.74,27.05,929438
2005-08-18,26.98,27.34,26.76,27.29,1177290
2005-08-19,27.22,27.34,26.92,27.07,1057924
2005-08-22,27.1,27.58,26.98,27.55,1097488
2005-08-23,27.5,27.62,26.92,26.96,1799174
2005-08-24,26.92,27.58,26.8,27.1,1480328
2005-08-25,27.1,27.58,27.0,27.48,1061856
2005-08-26,27.42,27.46,26.9,26.96,1418284
2005-08-29,27.06,27.48,26.76,27.41,1291520
2005-08-30,27.38,27.5,27.0,27.41,1326976
2005-08-31,27.46,27.76,27.16,27.76,1642834
2005-09-01,27.76,27.96,27.48,27.59,1242860
2005-09-02,27.53,27.86,27.43,27.48,1057944
2005-09-06,27.5,27.84,27.32,27.48,1459026
2005-09-07,27.55,27.58,27.2,27.42,1036480
2005-09-08,27.24,27.32,26.79,26.92,1507410
2005-09-09,27.0,27.08,26.5,26.97,1429632
2005-09-12,26.85,27.55,26.85,27.36,1623284
2005-09-13,27.48,27.48,26.98,27.33,1286596
2005-09-14,27.6,27.8,27.3,27.5,1400992
2005-09-15,27.48,27.68,27.29,27.52,1534974
2005-09-16,27.46,27.73,27.29,27.59,2169984
2005-09-19,27.6,27.6,27.08,27.2,845192
2005-09-20,27.32,27.49,26.89,26.98,1101968
2005-09-21,26.69,27.42,26.6,27.0,1372006
2005-09-22,26.96,27.17,26.72,27.07,1373836
2005-09-23,27.08,27.26,26.78,27.14,728800
2005-09-26,27.3,27.54,27.14,27.38,968812
2005-09-27,27.48,27.98,27.35,27.76,1246364
2005-09-28,27.87,27.98,27.5,27.87,679540
2005-09-29,27.92,28.4,27.52,28.29,1380688
2005-09-30,28.19,28.5,28.02,28.39,1315776
2005-10-03,28.39,28.74,28.39,28.64,1417416
2005-10-04,28.54,28.82,28.35,28.36,1044144
2005-10-05,28.34,28.42,27.73,27.75,1268244
2005-10-06,27.74,28.05,27.12,27.26,1784132
2005-10-07,27.28,27.88,27.08,27.74,949046
2005-10-10,27.62,27.98,27.53,27.82,901802
2005-10-11,27.72,28.23,27.58,28.04,1390156
2005-10-12,28.02,28.48,27.42,27.92,1759326
2005-10-13,27.8,27.84,27.0,27.37,1563266
2005-10-14,27.4,27.52,27.08,27.5,1041416
2005-10-17,27.45,27.68,26.91,27.58,1211590
2005-10-18,27.6,27.6,27.06,27.16,852160
2005-10-19,27.02,27.59,26.88,27.58,1023642
2005-10-20,27.49,27.68,27.04,27.62,1721388
2005-10-21,27.64,28.46,27.5,28.36,2355306
2005-10-24,28.38,28.9,28.38,28.82,1638286
2005-10-25,28.68,29.2,28.62,29.2,1625764
2005-10-26,28.99,30.1,28.99,30.06,2594258
2005-10-27,29.92,30.04,29.38,29.47,1668736
2005-10-28,29.42,29.89,29.26,29.84,1728746
2005-10-31,29.84,30.34,29.82,30.34,1694892
2005-11-01,30.38,32.73,30.05,32.26,5817792
2005-11-02,32.1,33.28,32.0,33.09,3805918
2005-11-03,32.9,34.72,32.88,33.66,3530958
2005-11-04,33.74,33.8,33.16,33.39,2369348
2005-11-07,33.58,34.25,33.52,34.0,5106208
2005-11-08,33.95,34.46,33.88,34.27,2811328
2005-11-09,34.18,35.07,34.16,34.75,1903860
2005-11-10,34.65,35.04,34.52,34.9,2814310
2005-11-11,34.66,34.79,34.38,34.5,2474660
2005-11-14,34.33,34.47,34.23,34.47,1714944
2005-11-15,34.12,34.25,33.87,33.94,2956462
2005-11-16,33.88,34.68,33.88,34.36,1634506
2005-11-17,34.57,35.25,34.5,35.24,1970388
2005-11-18,35.45,36.08,35.32,35.42,4277832
2005-11-21,35.48,35.78,35.38,35.59,4491762
2005-11-22,35.5,36.37,35.38,36.26,3353032
2005-11-23,36.18,36.32,35.66,35.9,1596162
2005-11-25,35.84,36.02,35.68,35.91,480388
2005-11-28,36.11,36.15,35.61,35.72,1834780
2005-11-29,35.88,36.12,35.76,35.84,1901008
2005-11-30,35.81,35.99,35.37,35.5,1724438
2005-12-01,35.48,35.84,35.4,35.68,1881838
2005-12-02,35.66,35.68,35.4,35.66,1261638
2005-12-05,35.57,35.66,35.06,35.28,1456180
2005-12-06,35.0,36.26,34.96,35.61,2040640
2005-12-07,35.55,35.84,35.33,35.46,1041314
2005-12-08,35.4,35.7,34.74,34.82,1427314
2005-12-09,35.0,35.0,34.18,34.77,2025646
2005-12-12,34.72,34.82,34.02,34.42,1589654
2005-12-13,33.84,33.93,33.46,33.89,3718990
2005-12-14,33.94,34.24,33.89,34.18,2537934
2005-12-15,34.27,34.85,34.26,34.36,1881058
2005-12-16,34.33,34.68,33.96,33.96,2362312
2005-12-19,34.09,34.54,33.66,33.7,1001378
2005-12-20,33.7,33.96,33.26,33.55,923380
2005-12-21,33.62,34.9,33.61,34.54,1366580
2005-12-22,34.5,35.12,34.39,35.09,1130234
2005-12-23,35.12,35.4,34.61,34.75,875268
2005-12-27,34.88,35.0,34.02,34.07,896674
2005-12-28,34.06,34.12,33.77,33.96,1001532
2005-12-29,34.02,34.7,33.92,34.42,1481512
2005-12-30,34.25,34.39,33.74,33.76,1013020
2006-01-03,33.87,34.06,32.96,33.72,2306624
2006-01-04,33.88,34.25,33.76,34.07,2196756
2006-01-05,34.05,34.12,33.56,34.02,1421632
2006-01-06,34.16,34.16,33.55,33.84,1146274
2006-01-09,33.74,34.44,33.72,34.41,1269280
2006-01-10,34.22,34.22,33.78,34.06,930570
2006-01-11,34.07,34.14,33.5,33.82,945546
2006-01-12,33.74,33.84,33.02,33.11,1347952
2006-01-13,33.11,33.6,33.05,33.44,1042050
2006-01-17,32.44,33.52,32.9,33.19,1059044
2006-01-18,33.26,34.0,32.82,33.78,1642894
2006-01-19,33.8,34.58,33.72,34.24,1401474
2006-01-20,34.09,34.83,33.55,33.64,1397822
2006-01-23,33.84,33.86,33.06,33.29,1153154
2006-01-24,33.18,34.66,33.15,34.42,1693610
2006-01-25,34.36,34.6,33.63,33.98,1253012
2006-01-26,34.36,35.22,34.29,35.2,1300916
2006-01-27,35.2,36.36,35.02,35.68,1444498
2006-01-30,35.72,36.5,35.72,36.1,1325222
2006-01-31,36.17,36.77,35.46,36.77,1727166
2006-02-01,36.72,36.98,36.24,36.47,1235986
2006-02-02,36.45,37.38,36.42,36.63,2017378
2006-02-03,36.39,36.68,36.18,36.52,1753962
2006-02-06,36.4,36.92,36.16,36.88,979032
2006-02-07,36.88,37.25,36.78,36.9,1999288
2006-02-08,36.92,37.48,36.64,37.18,1575014
2006-02-09,37.06,38.09,37.06,37.64,1576222
2006-02-10,37.58,37.94,36.88,37.88,1639364
2006-02-13,37.86,38.08,37.59,37.86,1257316
2006-02-14,37.88,38.96,37.07,38.4,2846888
2006-02-15,38.16,38.32,37.35,38.26,2487316
2006-02-16,38.4,38.7,37.4,37.94,1947720
2006-02-17,38.08,38.18,37.42,38.02,1392764
2006-02-21,38.1,38.6,37.85,37.96,1250890
2006-02-22,38.02,39.48,37.98,38.91,1690502
2006-02-23,38.84,39.06,38.52,38.64,1096068
2006-02-24,38.63,39.1,38.48,39.0,1502892
2006-02-27,39.04,39.26,38.9,39.18,1528974
2006-02-28,39.02,39.12,38.61,38.9,2197318
2006-03-01,38.94,39.74,38.84,39.58,1194368
2006-03-02,39.39,39.74,39.3,39.58,1284400
2006-03-03,39.3,40.32,38.94,39.61,1400940
2006-03-06,39.49,39.59,38.88,39.25,1088298
2006-03-07,39.13,39.18,38.67,38.92,1143224
2006-03-08,38.78,38.91,38.18,38.68,1494512
2006-03-09,38.82,39.66,38.52,39.5,1227274
2006-03-10,39.62,40.7,39.32,40.32,1995006
2006-03-13,40.4,40.82,40.33,40.77,1042766
2006-03-14,40.8,41.79,40.62,41.6,2338326
2006-03-15,41.8,42.24,41.38,41.7,1476536
2006-03-16,41.77,42.0,41.5,41.57,1121238
2006-03-17,41.58,41.75,41.35,41.43,1739394
2006-03-20,41.5,41.7,41.37,41.51,1030122
2006-03-21,41.48,41.99,41.2,41.48,1701184
2006-03-22,41.41,41.63,41.01,41.57,1500776
2006-03-23,41.4,41.4,40.75,41.04,2149658
2006-03-24,41.0,41.55,40.94,41.54,1462088
2006-03-27,41.57,41.9,41.08,41.44,1601328
2006-03-28,41.62,42.2,41.61,42.15,1731174
2006-03-29,42.3,43.62,42.02,43.52,3112016
2006-03-30,43.64,43.64,42.75,42.96,1803060
2006-03-31,43.03,43.29,42.84,43.2,1476802
2006-04-03,43.16,43.88,43.16,43.48,1536692
2006-04-04,43.61,43.98,43.5,43.88,1290110
2006-04-05,43.88,45.18,43.81,44.73,2999786
2006-04-06,44.86,45.78,44.6,45.46,4253892
2006-04-07,45.68,45.9,45.25,45.38,1898562
2006-04-10,45.42,45.5,45.02,45.26,1661938
2006-04-11,45.4,45.81,45.05,45.32,1651674
2006-04-12,45.32,45.64,45.08,45.55,893780
2006-04-13,45.26,46.2,44.74,46.06,1886474
2006-04-17,45.38,45.58,44.56,44.8,2188910
2006-04-18,44.92,45.52,44.66,45.43,1942130
2006-04-19,45.32,45.68,45.12,45.23,1676150
2006-04-20,45.12,45.76,44.98,45.36,1389632
2006-04-21,45.58,45.68,44.69,45.02,1426574
2006-04-24,45.22,45.77,44.98,45.3,1350060
2006-04-25,45.72,45.72,44.61,45.24,1780666
2006-04-26,44.88,45.39,44.66,44.7,1507062
2006-04-27,44.39,44.49,43.12,43.18,3482852
2006-04-28,42.95,42.95,42.31,42.8,3329808
2006-05-01,43.04,43.56,42.68,42.88,1626518
2006-05-02,43.0,43.86,42.91,43.76,1763284
2006-05-03,43.72,44.22,43.5,43.88,1302882
2006-05-04,49.21,52.7,48.76,51.9,10183606
2006-05-05,51.98,53.61,51.62,53.28,5428632
2006-05-08,52.5,54.5,52.5,53.94,3460888
2006-05-09,53.58,54.06,53.51,53.97,2122440
2006-05-10,53.68,53.98,53.14,53.68,2251288
2006-05-11,53.52,53.96,52.48,53.58,2537202
2006-05-12,53.03,53.37,51.41,51.51,2700634
2006-05-15,51.14,51.86,50.96,51.6,2052552
2006-05-16,51.56,51.86,50.92,51.76,2038156
2006-05-17,51.57,51.75,50.76,50.8,2689064
2006-05-18,50.8,51.5,50.5,50.55,2101706
2006-05-19,50.54,50.89,48.0,48.55,4427758
2006-05-22,47.94,49.55,47.65,49.26,3682460
2006-05-23,49.54,50.12,47.88,48.0,3132344
2006-05-24,48.06,49.5,48.06,48.63,3002260
2006-05-25,48.55,49.4,48.54,48.74,1609026
2006-05-26,49.02,49.31,48.33,49.31,1094950
2006-05-30,49.25,49.29,48.46,48.54,1681786
2006-05-31,48.96,49.38,48.42,49.22,1983638
2006-06-01,49.34,51.66,48.9,51.66,4023838
2006-06-02,52.25,52.54,51.29,51.52,2054386
