Date,Open,High,Low,Close,Volume
2005-01-03,19.04,19.04,18.59,18.6,6002400
2005-01-04,18.37,18.38,17.78,17.87,8562000
2005-01-05,17.8,18.02,17.61,17.66,6105800
2005-01-06,17.64,17.82,17.56,17.64,4166400
2005-01-07,17.81,18.12,17.64,17.81,5658400
2005-01-10,17.85,18.0,17.59,17.72,5625400
2005-01-11,17.85,17.96,17.6,17.78,3883600
2005-01-12,17.92,17.93,17.56,17.9,4659400
2005-01-13,17.81,18.3,17.57,18.13,5332800
2005-01-14,18.12,18.46,18.05,18.3,4413800
2005-01-18,18.75,19.24,18.3,19.1,8690000
2005-01-19,18.98,19.0,18.54,18.58,6085800
2005-01-20,18.4,18.57,18.24,18.39,3685800
2005-01-21,18.4,18.82,18.4,18.67,4979600
2005-01-24,18.74,18.9,18.62,18.68,3804600
2005-01-25,18.75,18.92,18.36,18.41,3043400
2005-01-26,18.58,18.73,18.48,18.65,3001600
2005-01-27,18.5,18.58,18.2,18.53,4172800
2005-01-28,18.56,18.62,17.96,17.98,4003200
2005-01-31,18.04,18.42,17.86,18.4,2633400
2005-02-01,18.32,18.74,18.3,18.54,3205000
2005-02-02,18.62,18.96,18.6,18.83,4800000
2005-02-03,18.72,18.74,18.46,18.68,2896800
2005-02-04,18.68,18.85,18.29,18.56,4286200
2005-02-07,18.64,18.76,18.29,18.36,3421800
2005-02-08,18.26,18.27,17.88,18.12,4577800
2005-02-09,17.9,18.08,17.81,17.96,3024400
2005-02-10,18.06,18.59,18.04,18.56,3417800
2005-02-11,18.64,19.08,18.4,19.04,5347800
2005-02-14,19.12,19.25,18.9,19.08,4717400
2005-02-15,19.22,19.44,18.99,19.06,3704600
2005-02-16,19.2,19.78,19.03,19.58,6220400
2005-02-17,19.58,20.34,19.5,19.85,11903800
2005-02-18,19.85,20.08,19.7,19.86,8713600
2005-02-22,20.12,20.3,19.7,19.84,8770200
2005-02-23,19.94,19.94,19.51,19.9,5732800
2005-02-24,19.9,20.23,19.36,20.23,6114200
2005-02-25,20.23,20.62,20.12,20.55,7765200
2005-02-28,20.72,21.04,20.72,20.91,7470400
2005-03-01,20.91,20.99,20.58,20.64,6564800
2005-03-02,20.5,20.94,20.28,20.89,5085600
2005-03-03,20.89,20.98,20.63,20.7,3333000
2005-03-04,20.95,21.95,20.92,21.86,7355800
2005-03-07,21.82,21.86,21.36,21.45,4334200
2005-03-08,21.6,21.75,21.42,21.5,6440000
2005-03-09,21.5,21.76,21.15,21.2,6149800
2005-03-10,20.86,20.92,20.15,20.46,9191400
2005-03-11,20.65,20.74,20.31,20.42,5204800
2005-03-14,20.44,20.5,20.18,20.48,3743600
2005-03-15,20.62,20.78,20.62,20.69,3558000
2005-03-16,20.84,20.94,20.26,20.42,2791600
2005-03-17,20.3,20.75,20.15,20.74,3975200
2005-03-18,20.74,20.94,20.3,20.6,5852600
2005-03-21,20.5,20.5,20.08,20.16,3587000
2005-03-22,20.21,20.74,20.0,20.04,7250400
2005-03-23,20.0,20.02,19.38,19.46,5843600
2005-03-24,19.46,19.7,19.31,19.36,5451800
2005-03-28,19.5,19.6,19.28,19.32,3935600
2005-03-29,19.32,19.5,18.81,18.93,9455800
2005-03-30,18.98,19.43,18.94,19.42,5677400
2005-03-31,19.66,19.9,19.46,19.8,4358600
2005-04-01,19.88,20.16,19.55,20.0,4915200
2005-04-04,19.78,19.81,19.41,19.58,3996400
2005-04-05,19.62,19.84,19.4,19.46,3075600
2005-04-06,19.46,19.65,19.22,19.48,5481800
2005-04-07,19.56,19.85,19.37,19.46,3337800
2005-04-08,19.4,19.52,19.19,19.22,2868000
2005-04-11,19.25,19.35,19.01,19.08,4832800
2005-04-12,18.92,19.33,18.77,19.24,4419400
2005-04-13,18.98,18.98,18.12,18.26,8637800
2005-04-14,18.05,18.1,17.28,17.41,12329800
2005-04-15,17.35,17.7,17.06,17.09,6315800
2005-04-18,17.12,17.7,17.11,17.6,6801000
2005-04-19,17.64,18.18,17.56,18.1,6615200
2005-04-20,18.32,18.48,17.92,18.0,7578600
2005-04-21,18.12,18.24,17.92,18.05,4864000
2005-04-22,18.46,18.55,17.96,18.12,5470800
2005-04-25,18.16,18.6,17.67,18.6,7090200
2005-04-26,18.6,18.64,18.05,18.05,3719600
2005-04-27,18.03,18.04,17.16,17.43,8492000
2005-04-28,17.43,17.55,16.87,16.98,7624600
2005-04-29,17.15,17.44,17.03,17.33,4798400
2005-05-02,17.33,17.45,17.1,17.39,4907400
2005-05-03,17.39,17.74,17.3,17.7,4565200
2005-05-04,17.99,18.1,17.7,18.02,5889600
2005-05-05,18.12,18.24,17.88,18.14,3778400
2005-05-06,18.25,18.25,17.98,18.12,2253000
2005-05-09,18.06,18.24,18.0,18.14,3018200
2005-05-10,18.12,18.23,17.68,17.77,3085600
2005-05-11,17.6,17.86,17.48,17.62,3192200
2005-05-12,17.15,17.5,16.41,16.54,8411200
2005-05-13,16.58,16.64,15.79,16.03,7562400
2005-05-16,16.0,16.14,15.76,16.04,7346800
2005-05-17,16.22,16.84,16.16,16.75,7172400
2005-05-18,16.97,17.46,16.92,17.22,6046000
2005-05-19,17.2,17.23,16.93,17.16,3278000
2005-05-20,17.11,17.11,16.79,16.88,4220800
2005-05-23,16.18,17.09,16.16,16.96,5343600
2005-05-24,17.04,17.34,17.0,17.3,5216800
2005-05-25,17.3,17.35,17.07,17.31,7731200
2005-05-26,17.42,17.56,17.34,17.47,3848600
2005-05-27,17.58,17.78,17.52,17.77,2633600
2005-05-31,17.58,17.76,17.18,17.65,3582600
2005-06-01,17.67,18.22,17.5,18.04,3927200
2005-06-02,18.14,18.68,17.98,18.12,5426000
2005-06-03,18.21,18.6,18.21,18.41,3936200
2005-06-06,18.53,18.58,18.0,18.09,3113200
2005-06-07,18.12,18.17,17.78,17.81,4749600
2005-06-08,17.81,17.88,17.44,17.48,3843200
2005-06-09,17.53,17.56,17.25,17.49,3776000
2005-06-10,17.54,17.92,17.42,17.86,3353200
2005-06-13,17.92,18.11,17.69,18.0,6963000
2005-06-14,18.0,18.14,17.56,17.7,3865800
2005-06-15,18.05,18.34,17.96,18.34,4410200
2005-06-16,18.64,19.17,18.64,19.0,7146000
2005-06-17,19.25,19.4,19.12,19.27,7071800
2005-06-20,19.27,19.32,18.74,18.76,4331000
2005-06-21,18.7,18.88,18.34,18.65,4279400
2005-06-22,18.7,18.78,18.37,18.46,3343400
2005-06-23,18.3,18.56,18.0,18.14,4671200
2005-06-24,18.2,18.65,18.17,18.34,3706600
2005-06-27,18.37,18.52,18.2,18.37,2385800
2005-06-28,18.47,18.66,18.38,18.58,2315000
2005-06-29,18.55,19.08,18.45,18.95,4856400
2005-06-30,19.0,19.24,18.62,18.72,5126400
2005-07-01,18.82,18.98,18.56,18.96,3858200
2005-07-05,18.96,19.03,18.6,18.99,3506000
2005-07-06,19.07,19.34,18.96,19.18,3252000
2005-07-07,19.02,19.14,18.84,19.11,2811600
2005-07-08,19.27,19.52,19.25,19.4,3318000
2005-07-11,19.55,19.82,19.42,19.72,4279800
2005-07-12,19.74,19.75,19.49,19.6,2673400
2005-07-13,19.5,19.73,19.35,19.66,3207400
2005-07-14,19.75,19.92,19.36,19.36,4454600
