Date,Open,High,Low,Close,Volume
2005-01-03,47.62,47.98,47.3,47.55,6287135
2005-01-04,47.57,47.61,46.99,47.21,2145148
2005-01-05,47.25,47.39,46.45,46.45,2589054
2005-01-06,46.55,46.75,46.15,46.26,2190668
2005-01-07,46.5,46.5,45.88,45.95,1875062
2005-01-10,46.0,46.11,45.75,46.03,2619438
2005-01-11,46.11,46.19,45.47,45.67,3138604
2005-01-12,45.67,45.75,45.0,45.25,2896854
2005-01-13,45.34,45.39,44.37,44.52,3763049
2005-01-14,44.61,44.8,44.4,44.51,4026573
2005-01-18,45.35,47.21,45.0,47.17,8089467
2005-01-19,47.1,47.25,46.64,46.68,3517410
2005-01-20,46.67,46.87,45.99,46.29,2706148
2005-01-21,45.99,46.46,45.98,46.01,2126466
2005-01-24,46.25,47.31,46.05,46.61,3524512
2005-01-25,46.52,46.77,46.15,46.25,3451834
2005-01-26,46.34,46.87,46.29,46.63,2185786
2005-01-27,46.59,46.83,46.31,46.43,2513097
2005-01-28,46.52,46.52,45.51,45.8,3228757
2005-01-31,46.3,46.51,46.19,46.47,2518391
2005-02-01,46.57,47.17,46.49,46.95,2411693
2005-02-02,47.06,47.47,46.75,47.39,4173173
2005-02-03,47.24,47.39,47.17,47.36,2260692
2005-02-04,47.41,48.1,47.2,48.09,2484766
2005-02-07,48.0,48.12,47.75,47.96,1865772
2005-02-08,47.68,48.02,47.5,47.62,2576256
2005-02-09,47.65,47.74,47.19,47.54,2725532
2005-02-10,47.47,47.92,47.47,47.72,2563400
2005-02-11,47.7,47.81,47.38,47.59,2105932
2005-02-14,47.74,47.74,47.32,47.45,1638481
2005-02-15,47.51,47.54,46.75,47.02,2314725
2005-02-16,47.09,47.09,46.52,46.8,2541730
2005-02-17,46.85,46.92,46.3,46.34,2149633
2005-02-18,46.37,46.45,45.45,45.7,2276799
2005-02-22,45.8,45.98,44.45,44.84,4278870
2005-02-23,44.95,45.2,44.73,44.89,3061675
2005-02-24,44.94,45.38,44.81,45.27,2474661
2005-02-25,45.21,45.4,45.09,45.3,1576020
2005-02-28,45.15,45.23,44.56,44.77,2558535
2005-03-01,44.85,45.1,44.77,44.84,2958557
