Date,Open,High,Low,Close,Volume
2005-01-03,27.2,27.22,26.37,26.53,971000
2005-01-04,26.41,26.49,25.76,26.01,846400
2005-01-05,26.01,26.13,25.88,25.99,603200
2005-01-06,25.99,26.3,25.92,26.21,672400
2005-01-07,26.16,26.34,25.8,26.15,679300
2005-01-10,26.17,26.39,25.84,26.0,866500
2005-01-11,26.0,26.1,25.84,26.02,700400
2005-01-12,26.09,26.14,25.85,26.11,348300
2005-01-13,25.9,26.14,25.85,25.98,427000
2005-01-14,25.95,26.41,25.79,26.32,731800
2005-01-18,26.11,26.5,26.02,26.35,616700
2005-01-19,26.35,26.37,25.94,26.0,494100
2005-01-20,26.0,26.3,25.8,26.01,450800
2005-01-21,25.99,26.1,25.91,25.98,489500
2005-01-24,26.02,26.16,25.75,25.81,424300
2005-01-25,25.91,26.24,25.91,26.01,390800
2005-01-26,26.21,26.22,25.8,26.08,315600
2005-01-27,25.96,26.5,25.9,26.46,356200
2005-01-28,26.33,26.52,26.14,26.16,376100
2005-01-31,26.3,26.92,26.3,26.92,640100
2005-02-01,27.17,27.38,26.81,27.23,646800
2005-02-02,27.23,27.46,27.11,27.38,522000
2005-02-03,27.0,27.42,26.8,27.25,730500
2005-02-04,27.35,27.45,27.15,27.3,566200
2005-02-07,27.4,27.43,27.02,27.09,501700
2005-02-08,27.09,27.24,26.87,27.24,576200
2005-02-09,27.19,27.3,26.72,26.78,535500
2005-02-10,27.0,27.08,26.65,26.99,593800
2005-02-11,26.99,27.24,26.92,27.2,551000
2005-02-14,27.09,27.25,26.73,26.88,402300
2005-02-15,26.92,27.01,26.6,26.76,380100
2005-02-16,26.75,26.79,26.53,26.76,420100
2005-02-17,26.71,27.05,26.57,26.62,364500
2005-02-18,26.6,26.69,26.32,26.4,326000
2005-02-22,26.25,27.08,26.23,26.59,771000
2005-02-23,26.59,26.92,26.27,26.33,616600
2005-02-24,26.27,26.85,26.16,26.85,853200
2005-02-25,26.85,27.25,26.73,27.25,595400
2005-02-28,27.25,27.7,27.09,27.3,984800
2005-03-01,27.25,27.85,27.11,27.77,963600
2005-03-02,27.87,29.04,27.8,28.95,3518200
2005-03-03,28.95,29.26,28.29,28.68,1347000
2005-03-04,28.73,28.85,28.32,28.74,990500
2005-03-07,28.75,28.86,28.45,28.75,554900
2005-03-08,28.75,28.99,28.58,28.73,621700
2005-03-09,28.65,28.81,28.43,28.51,561000
2005-03-10,28.4,28.59,28.18,28.46,341400
2005-03-11,28.4,28.85,28.34,28.75,403200
2005-03-14,28.95,29.21,28.8,29.07,686300
2005-03-15,29.15,29.95,29.15,29.58,1285500
2005-03-16,29.59,29.62,29.37,29.4,813400
2005-03-17,29.33,29.44,29.1,29.3,533600
2005-03-18,29.45,29.55,28.45,28.78,847800
2005-03-21,28.57,28.76,28.24,28.68,296300
2005-03-22,28.68,29.0,28.35,28.43,522500
2005-03-23,28.3,28.39,27.92,28.14,329500
2005-03-24,28.01,28.37,27.58,28.07,568300
2005-03-28,28.17,28.61,28.17,28.43,338000
2005-03-29,28.4,28.88,28.31,28.39,511300
2005-03-30,28.28,29.28,28.1,29.07,814500
2005-03-31,29.07,29.65,28.95,29.3,952800
2005-04-01,29.37,29.43,28.64,28.71,467800
2005-04-04,28.74,29.13,28.65,29.0,376600
2005-04-05,29.0,29.45,29.0,29.18,927800
2005-04-06,29.1,29.22,28.94,28.98,1046000
2005-04-07,28.83,29.1,28.42,28.8,411600
2005-04-08,28.65,28.65,27.61,28.01,1687500
2005-04-11,28.08,28.24,27.8,27.93,570600
2005-04-12,28.03,28.96,27.88,28.68,714800
2005-04-13,28.61,28.81,28.4,28.55,849500
2005-04-14,28.54,29.02,28.44,28.52,1274100
2005-04-15,28.3,28.5,27.74,27.85,1249700
2005-04-18,27.85,28.12,27.6,27.91,1164700
2005-04-19,28.12,28.2,27.85,28.05,923900
2005-04-20,28.23,28.44,27.35,27.49,504200
2005-04-21,27.64,28.1,27.34,27.34,816100
2005-04-22,27.35,27.35,26.23,26.71,2207300
2005-04-25,26.61,27.02,26.38,26.62,1062400
2005-04-26,26.37,26.93,25.88,26.46,1048100
2005-04-27,26.31,27.24,26.27,27.07,1176500
2005-04-28,27.07,27.11,26.58,26.65,473400
2005-04-29,26.94,27.2,25.95,26.66,911600
2005-05-02,27.01,27.25,25.88,26.41,1069400
2005-05-03,26.41,26.93,26.38,26.63,511800
2005-05-04,26.84,26.95,26.43,26.9,524600
2005-05-05,26.8,26.8,25.73,26.0,1735700
2005-05-06,26.2,26.2,25.58,25.74,710300
2005-05-09,25.61,25.76,25.28,25.58,933000
2005-05-10,25.25,25.5,24.5,25.09,1483800
2005-05-11,25.15,25.38,24.7,25.05,896600
2005-05-12,25.23,25.44,24.75,24.8,416400
2005-05-13,24.81,24.99,24.31,24.54,870400
2005-05-16,24.6,25.33,24.57,25.31,704700
2005-05-17,25.09,25.59,25.0,25.34,699500
2005-05-18,25.4,26.07,25.0,26.01,1016300
2005-05-19,26.75,27.65,26.14,26.68,1419800
2005-05-20,26.5,26.58,26.1,26.5,611700
2005-05-23,26.49,26.68,26.2,26.24,792600
2005-05-24,26.05,26.51,26.05,26.47,858600
2005-05-25,26.3,26.53,26.08,26.51,635600
2005-05-26,26.49,26.67,26.38,26.45,363500
2005-05-27,26.3,26.6,26.25,26.46,356200
2005-05-31,26.0,26.56,25.93,26.41,883500
2005-06-01,26.3,27.02,26.24,26.52,411500
2005-06-02,26.37,26.9,26.32,26.75,734100
2005-06-03,26.78,27.12,26.62,26.68,763100
2005-06-06,26.76,26.9,26.63,26.8,551800
2005-06-07,26.86,27.08,26.54,26.6,420500
2005-06-08,26.7,26.7,25.82,25.92,856200
2005-06-09,25.84,26.0,25.7,25.9,1306400
2005-06-10,26.0,26.03,25.71,25.96,400600
2005-06-13,25.9,26.15,25.75,26.01,665700
2005-06-14,25.86,26.56,25.86,26.56,660700
2005-06-15,26.52,26.63,26.09,26.27,939800
2005-06-16,26.16,26.16,25.65,25.76,1290100
2005-06-17,26.0,26.05,25.39,25.5,1624300
2005-06-20,25.5,25.52,24.94,25.36,821600
2005-06-21,25.46,25.62,25.3,25.55,1035000
2005-06-22,25.55,26.37,25.55,26.35,1658900
2005-06-23,26.34,26.92,26.34,26.8,1451100
2005-06-24,26.75,26.91,26.3,26.31,1051300
2005-06-27,26.29,26.31,25.88,26.27,994600
2005-06-28,26.8,27.16,26.52,27.06,1267200
2005-06-29,26.96,27.61,26.95,27.53,1416000
2005-06-30,27.53,27.62,27.0,27.22,870700
2005-07-01,27.34,27.59,27.0,27.19,712700
2005-07-05,27.11,27.57,27.0,27.35,739300
2005-07-06,27.33,27.43,26.83,26.88,921100
2005-07-07,26.4,26.77,26.2,26.67,915300
2005-07-08,26.7,27.13,26.6,27.13,312300
2005-07-11,27.22,27.38,26.7,26.79,609100
2005-07-12,26.79,26.89,26.61,26.8,446600
2005-07-13,26.66,26.92,26.25,26.39,902500
2005-07-14,26.58,26.75,26.09,26.3,830700
2005-07-15,26.3,26.47,26.1,26.23,395000
2005-07-18,26.1,26.85,26.07,26.42,464600
2005-07-19,26.6,26.84,26.29,26.58,475700
2005-07-20,26.45,26.48,26.22,26.3,1018100
2005-07-21,26.33,26.33,25.7,25.88,625400
2005-07-22,26.1,26.32,26.06,26.21,463600
2005-07-25,26.21,26.58,26.03,26.26,742700
2005-07-26,26.26,26.41,25.87,26.02,695800
2005-07-27,26.04,26.08,25.55,25.7,1020500
2005-07-28,25.51,25.66,25.2,25.42,1463000
2005-07-29,25.43,25.65,24.96,25.0,2333400
2005-08-01,25.17,25.37,25.03,25.25,1658000
2005-08-02,22.25,24.21,22.25,23.65,6562800
2005-08-03,23.52,23.77,23.23,23.39,5016300
2005-08-04,23.21,23.44,22.61,22.88,2050600
2005-08-05,23.0,23.08,22.65,22.75,3755100
2005-08-08,22.77,23.01,22.51,22.75,1830300
2005-08-09,22.73,23.15,22.69,22.8,1069000
2005-08-10,23.0,23.22,22.55,22.62,1109900
2005-08-11,22.46,22.66,22.21,22.35,1542500
2005-08-12,22.37,22.5,22.17,22.26,1227300
2005-08-15,22.31,22.33,21.65,22.11,1500600
2005-08-16,21.96,21.97,21.7,21.73,1450000
2005-08-17,21.73,22.28,21.69,22.25,1285200
2005-08-18,22.01,22.7,21.95,22.58,1676300
2005-08-19,22.6,22.61,21.68,22.04,2373600
2005-08-22,22.01,22.45,21.85,22.08,957200
2005-08-23,21.98,22.05,21.7,21.74,1172200
2005-08-24,21.7,21.86,21.65,21.75,567600
2005-08-25,21.75,21.9,21.41,21.43,920300
2005-08-26,21.3,21.41,21.03,21.33,1170000
2005-08-29,21.14,21.25,21.06,21.17,961200
2005-08-30,21.08,21.21,20.87,21.15,1436500
2005-08-31,21.07,21.87,20.92,21.84,982900
2005-09-01,21.7,21.8,21.25,21.37,1513400
2005-09-02,21.39,21.54,21.18,21.29,828200
2005-09-06,21.26,21.36,20.85,21.0,1472000
2005-09-07,21.0,21.1,20.79,21.1,1062000
2005-09-08,21.1,21.14,20.88,21.03,591300
2005-09-09,21.04,21.1,20.83,20.94,833100
2005-09-12,20.85,21.11,20.79,20.99,722500
2005-09-13,20.98,21.13,20.81,21.0,907000
2005-09-14,21.1,21.71,21.08,21.58,1696000
2005-09-15,21.57,21.78,21.45,21.68,1216900
2005-09-16,21.8,21.81,21.42,21.52,1754500
2005-09-19,22.02,22.3,21.85,22.14,1238200
2005-09-20,22.3,22.32,21.58,21.74,1876100
2005-09-21,21.57,21.6,21.01,21.06,1001000
2005-09-22,21.04,21.56,20.9,21.29,984100
2005-09-23,21.3,21.37,21.01,21.21,1241600
2005-09-26,21.35,21.93,21.35,21.6,1661000
2005-09-27,21.68,21.75,21.3,21.36,1138100
