Date,Open,High,Low,Close,Volume
2005-01-03,15.83,16.0,15.58,15.7,1041752
2005-01-04,15.6,15.77,15.07,15.1,1277596
2005-01-05,15.06,15.31,14.82,15.13,1089560
2005-01-06,15.2,15.2,14.96,15.01,1051476
2005-01-07,15.02,15.13,15.0,15.02,903216
2005-01-10,15.0,15.28,14.85,15.13,1017116
2005-01-11,15.06,15.18,14.66,14.72,1445572
2005-01-12,14.66,14.9,14.53,14.68,993572
2005-01-13,14.65,14.8,14.57,14.65,1108824
2005-01-14,14.61,14.77,14.57,14.72,691788
2005-01-18,14.72,15.12,14.67,15.08,831432
2005-01-19,15.12,15.12,14.76,14.8,662956
2005-01-20,14.74,14.86,14.62,14.69,691964
2005-01-21,14.69,14.72,14.4,14.44,733992
2005-01-24,14.5,14.59,14.13,14.14,1029100
2005-01-25,14.23,14.56,14.18,14.47,888740
2005-01-26,14.55,14.77,14.44,14.74,843964
2005-01-27,14.65,15.07,14.65,15.0,782052
2005-01-28,14.87,15.1,14.73,14.96,590944
2005-01-31,15.04,15.32,14.88,15.24,811044
2005-02-01,15.38,15.56,15.34,15.47,1017520
2005-02-02,15.34,15.45,14.48,15.29,5047800
2005-02-03,15.48,15.74,15.15,15.56,1509534
2005-02-04,15.57,15.74,15.32,15.7,1720134
2005-02-07,15.8,16.25,15.68,15.86,1261584
2005-02-08,15.88,16.11,15.78,15.85,788952
2005-02-09,15.8,15.92,15.52,15.55,732050
2005-02-10,15.6,15.77,15.34,15.66,729974
2005-02-11,15.6,15.96,15.48,15.93,799056
2005-02-14,15.98,16.02,15.84,15.94,564686
2005-02-15,16.05,16.05,15.8,15.88,570802
2005-02-16,15.78,15.92,15.7,15.9,590870
2005-02-17,15.9,15.9,15.44,15.5,557668
2005-02-18,15.47,15.54,15.3,15.5,574914
2005-02-22,15.5,15.5,15.22,15.22,1053938
2005-02-23,15.24,15.75,15.24,15.65,1819688
2005-02-24,15.6,15.75,15.42,15.58,990012
2005-02-25,15.54,15.62,15.44,15.54,1059560
2005-02-28,15.45,15.7,15.32,15.62,933958
2005-03-01,15.55,15.95,15.55,15.88,826154
2005-03-02,15.91,15.94,15.61,15.71,465478
2005-03-03,15.69,16.04,15.58,15.91,1377322
2005-03-04,15.96,17.06,15.95,16.67,2663032
2005-03-07,17.21,17.48,16.78,17.06,2714394
2005-03-08,17.22,17.34,16.76,16.84,1756976
2005-03-09,16.8,17.08,16.7,16.86,804720
2005-03-10,16.81,16.91,16.33,16.76,1188852
2005-03-11,16.81,17.0,16.52,16.67,2080436
2005-03-14,16.62,16.72,16.56,16.62,530562
2005-03-15,16.62,17.0,16.48,16.58,673024
2005-03-16,16.5,16.5,16.16,16.26,664690
2005-03-17,16.15,16.42,16.02,16.26,1664636
2005-03-18,16.32,16.4,15.93,16.08,860010
2005-03-21,16.06,16.22,15.56,15.88,1134342
2005-03-22,15.75,16.14,15.59,15.81,826838
2005-03-23,15.68,16.0,15.4,15.62,839896
2005-03-24,15.62,15.82,14.68,14.78,2537440
2005-03-28,14.63,14.82,14.34,14.66,1634856
2005-03-29,14.52,14.56,13.68,14.05,3045258
2005-03-30,14.58,15.52,14.48,15.42,2451270
2005-03-31,15.46,15.48,15.12,15.15,859422
2005-04-01,15.26,15.46,15.16,15.3,739772
2005-04-04,15.19,15.24,14.87,15.14,641542
2005-04-05,15.23,15.44,15.08,15.09,769776
2005-04-06,15.09,15.4,15.04,15.09,1483336
2005-04-07,15.07,15.26,14.99,15.08,871750
2005-04-08,15.16,15.21,14.77,14.81,615086
2005-04-11,14.72,14.9,14.65,14.72,718806
2005-04-12,13.35,13.38,11.92,12.24,13907186
2005-04-13,12.16,12.74,12.16,12.58,3005464
2005-04-14,12.55,12.66,12.02,12.29,1903322
2005-04-15,12.18,12.38,12.12,12.23,1278106
2005-04-18,12.16,12.6,12.16,12.6,1291406
2005-04-19,12.71,13.17,12.54,12.96,2381954
2005-04-20,12.91,13.15,12.34,12.86,2066870
2005-04-21,12.94,13.2,12.56,13.02,1456576
2005-04-22,13.12,13.5,13.06,13.42,1536034
2005-04-25,13.43,13.46,13.16,13.28,798796
2005-04-26,13.28,13.35,13.02,13.15,1167474
2005-04-27,13.06,13.25,12.91,13.18,888046
2005-04-28,13.07,13.26,12.79,12.84,440754
2005-04-29,12.75,13.4,12.72,13.3,927816
2005-05-02,13.81,13.81,13.2,13.42,901384
2005-05-03,13.47,13.49,13.06,13.24,670418
2005-05-04,13.28,13.52,13.12,13.52,1553292
2005-05-05,13.49,13.66,13.3,13.42,738064
2005-05-06,13.34,13.61,13.26,13.58,687558
2005-05-09,13.26,13.42,13.13,13.33,988800
2005-05-10,12.8,13.18,12.56,12.96,2202492
2005-05-11,12.85,13.08,12.81,13.0,986876
2005-05-12,12.95,13.08,12.95,13.07,1316022
2005-05-13,13.05,13.18,12.88,12.92,818154
2005-05-16,12.86,12.98,12.69,12.74,855944
2005-05-17,12.76,12.76,12.46,12.55,1384504
2005-05-18,12.52,12.64,12.44,12.56,2282138
2005-05-19,12.5,12.82,12.5,12.82,1565592
2005-05-20,12.75,12.98,12.7,12.96,1032626
2005-05-23,12.84,13.21,12.73,13.15,1352904
2005-05-24,13.15,13.25,12.88,12.98,730046
2005-05-25,12.94,13.0,12.86,12.88,714188
2005-05-26,12.85,13.0,12.78,12.99,805396
2005-05-27,12.91,13.15,12.86,13.14,523726
2005-05-31,13.54,13.6,13.14,13.4,3112704
2005-06-01,13.42,14.0,13.38,13.9,1785576
2005-06-02,13.88,14.15,13.78,14.06,1676196
2005-06-03,14.04,14.07,13.86,14.02,1055830
2005-06-06,14.0,14.06,13.9,13.98,614654
2005-06-07,13.95,14.32,13.95,14.14,931498
2005-06-08,14.34,14.34,13.72,13.8,808268
2005-06-09,13.72,13.8,13.6,13.66,687914
2005-06-10,13.7,13.74,13.47,13.52,371494
2005-06-13,13.9,14.2,13.64,13.75,1958730
2005-06-14,13.58,13.91,13.54,13.9,2340334
2005-06-15,14.32,14.92,14.25,14.62,4373232
2005-06-16,14.64,14.74,14.45,14.61,1104030
2005-06-17,14.58,14.94,14.58,14.82,1515744
2005-06-20,14.65,14.91,14.62,14.84,1518548
2005-06-21,14.8,14.84,14.66,14.8,1226818
2005-06-22,14.83,14.94,14.72,14.86,951732
2005-06-23,14.78,14.94,14.58,14.6,1002804
2005-06-24,14.52,14.64,14.2,14.26,1304232
2005-06-27,14.21,14.4,14.1,14.22,750946
2005-06-28,14.38,14.82,14.36,14.76,1302692
2005-06-29,14.78,15.46,14.7,15.18,1925546
2005-06-30,15.06,15.25,14.91,14.92,995592
2005-07-01,15.0,15.17,14.86,15.02,527762
2005-07-05,14.95,15.21,14.93,15.06,1078128
2005-07-06,14.97,15.15,14.84,14.98,444934
2005-07-07,15.2,15.9,15.09,15.27,1860534
2005-07-08,15.32,15.5,15.09,15.28,1099060
2005-07-11,15.44,15.45,14.98,15.14,2211836
2005-07-12,15.12,15.2,14.92,14.98,1043784
2005-07-13,15.0,15.0,14.56,14.73,1651292
2005-07-14,14.83,14.83,14.65,14.69,824440
2005-07-15,14.69,14.72,14.54,14.61,1260784
2005-07-18,14.58,14.66,14.43,14.48,912398
2005-07-19,14.52,14.6,14.42,14.52,606836
2005-07-20,14.48,14.68,14.38,14.49,706704
2005-07-21,15.54,17.68,15.4,16.34,9183310
2005-07-22,16.24,17.08,16.24,16.49,2703032
2005-07-25,16.4,17.12,16.16,16.94,3030878
2005-07-26,16.9,17.37,16.7,16.75,1496588
2005-07-27,16.75,16.75,16.35,16.53,1451154
2005-07-28,16.74,16.74,16.05,16.55,1241380
2005-07-29,16.76,16.78,16.26,16.44,1189144
2005-08-01,16.76,18.18,16.76,18.04,6756972
2005-08-02,17.9,18.0,17.49,17.62,2000088
2005-08-03,17.4,17.7,16.92,17.06,2044640
2005-08-04,17.06,17.1,16.56,16.6,1204676
2005-08-05,16.57,16.64,16.22,16.34,1288308
2005-08-08,16.24,16.41,16.08,16.15,679878
2005-08-09,16.18,16.56,16.16,16.22,1281864
2005-08-10,16.38,16.64,16.3,16.38,881000
2005-08-11,16.46,16.46,16.12,16.18,686930
2005-08-12,16.1,16.12,15.84,16.0,715814
2005-08-15,16.0,16.21,15.96,16.14,840748
2005-08-16,16.14,16.31,16.0,16.15,870430
2005-08-17,16.18,16.46,16.1,16.2,1216290
2005-08-18,16.16,16.4,15.86,16.4,1025934
2005-08-19,16.46,16.5,16.25,16.35,817946
2005-08-22,16.5,16.64,16.38,16.56,901648
2005-08-23,16.56,16.62,16.4,16.54,749274
2005-08-24,16.48,16.6,16.22,16.24,841800
2005-08-25,16.22,16.44,16.2,16.26,342750
2005-08-26,16.21,16.36,15.88,16.26,487688
2005-08-29,16.26,16.32,15.99,16.1,437090
2005-08-30,16.04,16.2,15.86,16.19,311520
2005-08-31,16.15,16.23,15.92,16.14,444076
2005-09-01,16.03,16.2,15.76,15.8,578290
2005-09-02,15.98,15.98,15.01,15.4,1898990
2005-09-06,15.4,15.52,15.21,15.31,1107164
2005-09-07,15.28,15.66,15.23,15.51,704634
2005-09-08,15.51,15.55,15.04,15.15,865130
2005-09-09,15.12,15.18,14.61,15.0,952164
2005-09-12,15.46,15.87,15.17,15.38,1533690
2005-09-13,15.32,15.57,15.08,15.18,1289210
2005-09-14,15.18,15.27,14.78,14.82,1106886
2005-09-15,14.82,14.94,14.73,14.8,943630
2005-09-16,14.8,15.22,14.75,15.04,2893336
2005-09-19,15.06,15.1,14.82,14.9,763272
2005-09-20,14.88,14.9,14.42,14.52,1795318
2005-09-21,14.72,14.94,14.05,14.44,2105094
2005-09-22,14.48,14.48,13.9,14.37,1579448
2005-09-23,14.32,14.64,14.28,14.56,810298
2005-09-26,14.7,14.91,14.58,14.84,1067512
2005-09-27,14.75,15.6,14.75,14.84,1737466
2005-09-28,14.84,15.1,14.75,14.96,880964
2005-09-29,14.92,15.15,14.83,14.94,589926
2005-09-30,15.03,15.04,14.68,14.78,852850
2005-10-03,14.56,14.98,14.55,14.78,1100338
2005-10-04,14.84,15.1,14.74,14.92,1471476
2005-10-05,14.95,15.04,14.29,14.34,1046276
2005-10-06,14.26,14.36,14.02,14.09,957664
2005-10-07,14.12,14.13,13.65,13.94,867582
2005-10-10,12.08,12.45,11.68,12.0,10954484
2005-10-11,12.02,12.1,11.74,11.99,2378244
